Date,HII,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-25,1.0,-0.0,-0.17444122163453338,-0.9103565944378094,-0.8001023716089406,-0.5274867770005118,0.0
2020-02-26,1.0,-0.0,-0.16770269367020924,-0.8814250384332598,-0.7834703562596084,-0.5094579239355658,0.0
2020-02-27,1.0,-0.0,-0.16706754860693526,-0.8800360793746241,-0.7852943141578139,-0.5082848934322176,0.0
2020-02-28,1.0,-0.0,-0.24257127453778582,-0.7884438524720134,-0.6552817683062189,-0.4849522722227508,0.0
2020-03-02,1.0,-0.0,-0.2757646756748082,-0.8208428282568924,-0.6331803447058446,-0.4797316814840966,0.0
2020-03-03,1.0,-0.0,-0.33581791969571484,-0.7042115272537652,-0.5726204717646698,-0.4547406521272353,0.0
2020-03-04,1.0,-0.0,-0.3749734631365056,-0.7245928486943862,-0.5095381069359779,-0.42364965274618627,0.0
2020-03-05,1.0,-0.0,-0.3986472393552039,-0.6833824975417895,-0.4846399094186704,-0.41297935103244837,0.0
2020-03-06,1.0,-0.0,-0.4339169139465875,-0.6632640949554895,-0.47335311572700295,-0.39679525222551926,0.0
2020-03-09,1.0,-0.0,-0.42940010062446354,-0.6630560241498712,-0.47059693983248985,-0.3965195773772529,0.0
2020-03-10,1.0,-0.0680242397772561,-0.2875743844516023,-0.6041109351968117,-0.4604465796800786,-0.30954850685155866,0.0
2020-03-11,1.0,-0.06902466917170398,-0.2925175624897893,-0.6006371507923542,-0.45433752654794973,-0.30634972499047,0.0
2020-03-12,1.0,-0.0849398231973586,-0.2480562360208755,-0.5667536478858238,-0.4540153370966024,-0.30892533816167855,0.0
2020-03-13,1.0,-0.17351354103034003,-0.22113622480146608,-0.48108837304011404,-0.40427102423131744,-0.265271838729383,0.0
2020-03-16,1.0,-0.11275870465059654,-0.37117117117117115,-0.4671779887996104,-0.36971025079133185,-0.11404918431945459,0.0
2020-03-17,1.0,-0.1937400857068447,-0.3005658545824751,-0.3584298127234415,-0.34301678623008264,-0.17183985605038238,0.0
2020-03-18,1.0,-0.18845006061736452,-0.31607292735242,-0.31259908607665765,-0.33822157978177747,-0.17611675836985916,0.0
2020-03-19,1.0,-0.2462062485318299,-0.17282123561193327,-0.31310782241014795,-0.3723749119097956,-0.24456189805027012,0.0
2020-03-20,1.0,-0.24594092906318285,-0.13935947743133062,-0.3269813670433986,-0.37677107074884275,-0.2606499212857445,0.0
2020-03-23,1.0,-0.24619396673244992,-0.14126961751715064,-0.3259797011559064,-0.37569307395921436,-0.2602668922093788,0.0
2020-03-24,1.0,-0.24740740740740738,-0.1437037037037037,-0.32587889476778364,-0.374156378600823,-0.26041152263374484,0.0
2020-03-25,1.0,-0.24907258987863523,-0.14657659720632013,-0.27950538126860547,-0.3659949622166247,-0.2487749026791848,0.0
2020-03-26,1.0,-0.23381620118206048,-0.1498203731602735,-0.31085873218217636,-0.3762429018426237,-0.2470274655232356,0.0
2020-03-27,1.0,-0.23540678797505313,-0.15281119338487772,-0.31921702366214294,-0.380019153955759,-0.24841746280161642,0.0
2020-03-30,1.0,-0.23725444340505145,-0.15264265668849392,-0.31578578110383543,-0.3828344246959776,-0.25011693171188026,0.0
2020-03-31,1.0,-0.23185432162092845,-0.15642705588845623,-0.31642146004803096,-0.37783580871552147,-0.24908484693044836,0.0
