Date,IWF,IWM,MTUM,SPY,TSN,VLUE,VXX
2019-06-24,-0.0,-0.16664778520448625,-0.0,-1.0808881839809674,1.0,-0.5847116800725047,0.0
2019-06-25,-0.0,-0.13908565901396833,-0.0,-1.1106369662314017,1.0,-0.5951182043185116,0.0
2019-06-26,-0.0,-0.13762173244490006,-0.0,-1.1059001082066178,1.0,-0.6040207301099152,0.0
2019-06-27,-0.0,-0.1367253229900465,-0.0,-1.120269229672304,1.0,-0.5950146878475887,0.0
2019-06-28,-0.0,-0.12338569432961768,-0.0,-1.1320808506998887,1.0,-0.5953758873335804,0.0
2019-07-01,-0.0,-0.12146683382721678,-0.0,-1.1324937314793708,1.0,-0.595338500113973,0.0
2019-07-02,-0.0,-0.1268314888048024,-0.0,-1.1251813707360094,1.0,-0.5930182935503143,0.0
2019-07-03,-0.0,-0.12690758495489873,-0.0,-1.1174902138764393,1.0,-0.5921881204969649,0.0
2019-07-05,-0.0,-0.11608585930189695,-0.0,-1.1230895738225537,1.0,-0.5963365185584257,0.0
2019-07-08,-0.0,-0.11722887812615063,-0.0,-1.1216189424193501,1.0,-0.5934517234542726,0.0
2019-07-09,-0.0,-0.11528885871102813,-0.0,-1.1195892038703108,1.0,-0.5942963843150568,0.0
2019-07-10,-0.0,-0.09603417062683865,-0.0,-1.1349852907897715,1.0,-0.5976748133061779,0.0
2019-07-11,-0.0,-0.09217632256057906,-0.0,-1.1448242712132781,1.0,-0.5904939632991206,0.0
2019-07-12,-0.0,-0.09325693640802732,-0.0,-1.1568489090857772,1.0,-0.5724406559598069,0.0
2019-07-15,-0.0,-0.10725979451281473,-0.0,-1.162329231116631,1.0,-0.5530371457604155,0.0
2019-07-16,-0.0,-0.07345130381402301,-0.0,-1.006085355112499,1.0,-0.5894787412923372,0.0
2019-07-17,-0.0,-0.08219877010660866,-0.0,-1.0193345685974382,1.0,-0.5838234109401433,0.0
2019-07-18,-0.0,-0.08270071622092867,-0.0,-1.0207891842592343,1.0,-0.5789854878081494,0.0
2019-07-19,-0.0,-0.08353980394269094,-0.0,-1.0205213831735431,1.0,-0.5890337175482064,0.0
2019-07-22,-0.0,-0.0755636970986773,-0.0,-1.0198001131435037,1.0,-0.5985291344521969,0.0
2019-07-23,-0.0,-0.06763362448914176,-0.0,-1.0061703662152417,1.0,-0.5973502150279136,0.0
2019-07-24,-0.0,-0.0683819996797096,-0.0,-1.0069396252602358,1.0,-0.5937650136123418,0.0
2019-07-25,-0.0,-0.04364103112632367,-0.0,-1.0478126002781045,1.0,-0.5826291581987377,0.0
2019-07-26,-0.0,-0.030174950510941097,-0.0,-1.0586913487774865,1.0,-0.5861912150232732,0.0
2019-07-29,-0.0,-0.005732961851693099,-0.0,-1.0597406772396056,1.0,-0.6135072867552507,0.0
2019-07-30,-0.0,-0.005519384829729658,-0.0,-1.0576320231492644,1.0,-0.6161616161616161,0.0
2019-07-31,-0.0,-0.01853339761101291,-0.0,-1.0482350420483155,1.0,-0.6114682093309766,0.0
2019-08-01,-0.0,-0.025329362204513133,-0.0,-1.046365612170973,1.0,-0.6114733424561968,0.0
2019-08-02,-0.0,-0.014467468327249301,-0.0,-1.069706892849474,1.0,-0.5999570538973588,0.0
2019-08-05,-0.0,-0.014585670780573809,-0.0,-1.0695357161938346,1.0,-0.5872468878559598,0.0
2019-08-06,-0.0,-0.018826858200021765,-0.0,-1.0648873653281097,1.0,-0.6369028185874415,0.0
2019-08-07,-0.0,-0.033056730664931123,-0.0,-1.0447987851176919,1.0,-0.6339353509057382,0.0
2019-08-08,-0.0,-0.036265913841309484,-0.0,-1.0490241320339857,1.0,-0.6292244632047559,0.0
2019-08-09,-0.0,-0.03363781747214919,-0.0,-1.0458623587130351,1.0,-0.6310411189114467,0.0
2019-08-12,-0.0,-0.030212788997780064,-0.0,-1.055904488602523,1.0,-0.621121879906871,0.0
2019-08-13,-0.0,-0.01188835751533328,-0.0,-1.0601442814298452,1.0,-0.6298667963578396,0.0
2019-08-14,-0.0,-0.023749259518552425,-0.0,-1.0425978781840701,1.0,-0.6263126716570628,0.0
2019-08-15,-0.0,-0.04281734978113808,-0.0,-1.0209842154131847,1.0,-0.5890436397400185,0.0
2019-08-16,-0.0,-0.03495813556610314,-0.0,-1.0465041864433895,1.0,-0.5850887952642525,0.0
2019-08-19,-0.0,-0.01528361065334113,-0.0,-1.0641911647440327,1.0,-0.5785178884695126,0.0
2019-08-20,-0.0,-0.021009072099315615,-0.0,-1.0651493447928273,1.0,-0.5664756751021275,0.0
2019-08-21,-0.0,-0.027148841401983138,-0.0,-1.0673948777771887,1.0,-0.556710323983244,0.0
2019-08-22,-0.0,-0.02865473823724321,-0.0,-1.0569383697813122,1.0,-0.565142478462558,0.0
2019-08-23,-0.0,-0.021200191519923393,-0.0,-1.0597701760919296,1.0,-0.5790285683885726,0.0
2019-08-26,-0.0,-0.013564411199199305,-0.0,-1.0533094529459794,1.0,-0.5669923881265309,0.0
2019-08-27,-0.0,-0.012955892034233049,-0.0,-1.0535615536537197,1.0,-0.5668202764976958,0.0
2019-08-28,-0.0,-0.017774730346264405,-0.0,-1.0487618344365621,1.0,-0.5706637833276194,0.0
2019-08-29,-0.0,-0.006113790286452157,-0.0,-1.0562363296176247,1.0,-0.5729043139115082,0.0
2019-08-30,-0.0,-0.004707800746935984,-0.0,-1.0557834937667667,1.0,-0.569564988690758,0.0
2019-09-03,-0.0,-0.0017644580217002002,-0.0,-1.0508005899083535,1.0,-0.580980722637733,0.0
2019-09-04,-0.0,-0.0,-0.0,-1.0471846906051208,1.0,-0.5814888807107933,0.0
2019-09-05,-0.0,-0.025696646087101618,-0.0,-1.1881361588519939,1.0,-0.5672173090828189,0.0
2019-09-06,-0.0,-0.016403013706247044,-0.0,-1.2259723650921626,1.0,-0.5377964358197337,0.0
2019-09-09,-0.0,-0.007239342079715973,-0.0,-1.2227276509583114,1.0,-0.5437550273208887,0.0
2019-09-10,-0.0,-0.0,-0.06068830442081702,-1.2717403469501958,1.0,-0.4655567991046447,0.0
2019-09-11,-0.0,-0.0,-0.11670416197975253,-1.2840832395950506,1.0,-0.4113610798650168,0.0
2019-09-12,-0.0,-0.0,-0.11960030314087632,-1.2790299491958346,1.0,-0.4082297134195976,0.0
2019-09-13,-0.0,-0.0,-0.12522476961114856,-1.2815239379635874,1.0,-0.40289952798381656,0.0
2019-09-16,-0.0,-0.0,-0.11561654643823265,-1.2918169522091976,1.0,-0.41042042380523,0.0
2019-09-17,-0.0,-0.0,-0.115943661971831,-1.2947887323943663,1.0,-0.40619718309859154,0.0
2019-09-18,-0.0,-0.0,-0.1352446244936117,-1.3021332049066545,1.0,-0.3955636137001048,0.0
2019-09-19,-0.0,-0.0,-0.1357657197936157,-1.2962238475931283,1.0,-0.4029596870216023,0.0
2019-09-20,-0.0,-0.0,-0.16396319886765745,-1.2678273177636235,1.0,-0.3990658174097665,0.0
2019-09-23,-0.0,-0.0,-0.17815201779830464,-1.2400518178489959,1.0,-0.3980117716635219,0.0
2019-09-24,-0.0,-0.0,-0.20461434826540925,-1.2141293364769283,1.0,-0.38803749859660946,0.0
2019-09-25,-0.0,-0.0,-0.20571252382554095,-1.221717681354412,1.0,-0.37557461598833947,0.0
2019-09-26,-0.0,-0.0,-0.2393395957870766,-1.2725590663250783,1.0,-0.334642755479647,0.0
2019-09-27,-0.0,-0.0,-0.2423650975889782,-1.2832663605051664,1.0,-0.3446326061997704,0.0
2019-09-30,-0.0,-0.0,-0.2824759490754076,-1.2616222132611326,1.0,-0.33625208825393166,0.0
2019-10-01,-0.0,-0.0,-0.30266942814405706,-1.240852606144287,1.0,-0.33301691404901623,0.0
2019-10-02,-0.0,-0.0,-0.3292842785982697,-1.2474292871915873,1.0,-0.3362754522415451,0.0
2019-10-03,-0.0,-0.0,-0.32343148325081794,-1.2508179159790382,1.0,-0.32102840267523675,0.0
2019-10-04,-0.0,-0.0,-0.34548198015205156,-1.2242179792234926,1.0,-0.332046892229122,0.0
2019-10-07,-0.0,-0.0,-0.340954475732932,-1.2161317396463402,1.0,-0.33698955228200156,0.0
2019-10-08,-0.0,-0.0,-0.3461672070402964,-1.2120194534506714,1.0,-0.3367010189902732,0.0
2019-10-09,-0.0,-0.0,-0.3445027083093235,-1.212919211709116,1.0,-0.3237870231646882,0.0
2019-10-10,-0.0,-0.0,-0.4021653023501452,-1.1649502684622832,1.0,-0.3668691136343632,0.0
2019-10-11,-0.0,-0.0,-0.46028423163108856,-1.1076188229744073,1.0,-0.38058733341195894,0.0
2019-10-14,-0.0,-0.0,-0.4736592873209423,-1.1129099088433763,1.0,-0.37303184562566594,0.0
2019-10-15,-0.0,-0.0,-0.5036884036588964,-1.09949837710239,1.0,-0.3475656535851284,0.0
2019-10-16,-0.0,-0.0,-0.522288657352593,-1.0959921856500119,1.0,-0.3417002131186361,0.0
2019-10-17,-0.0,-0.0,-0.602893372770668,-0.9961636454154099,1.0,-0.32945793188274225,0.0
2019-10-18,-0.0,-0.0,-0.5876735858394713,-1.002358147253195,1.0,-0.32123205915747177,0.0
2019-10-21,-0.0,-0.0,-0.5853985655140241,-0.9973467840690419,1.0,-0.33290570878768444,0.0
2019-10-22,-0.0,-0.0,-0.5945740290906962,-1.0023413035207351,1.0,-0.3297140683075302,0.0
2019-10-23,-0.0,-0.0,-0.6072477387524962,-1.0146246916480677,1.0,-0.31481263949254085,0.0
2019-10-24,-0.0,-0.0,-0.6744255179999404,-0.9881387675020065,1.0,-0.31017568893248904,0.0
2019-10-25,-0.0,-0.0,-0.6681519769479844,-0.9908207824614562,1.0,-0.3116775094317203,0.0
