Date,EPAC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-05-08,1.0,-0.0,-0.6397046196118839,-0.0,-0.9187360467113171,-0.8762150094453031,0.0
2019-05-09,1.0,-0.0,-0.6404397869781825,-0.0,-0.9173681498024395,-0.8780278302697132,0.0
2019-05-10,1.0,-0.0,-0.6402170926078593,-0.0,-0.9201703764770542,-0.8746221489420171,0.0
2019-05-13,1.0,-0.0,-0.6413681788522958,-0.0,-0.9168240667605343,-0.8759916205913664,0.0
2019-05-14,1.0,-0.0,-0.6281454817129078,-0.0,-0.9102115665432811,-0.8575746255985328,0.0
2019-05-15,1.0,-0.0,-0.6418554110496112,-0.0,-0.9149376888858706,-0.8389079425447384,0.0
2019-05-16,1.0,-0.0,-0.6395758520224948,-0.0,-0.911308354224541,-0.8368791923572058,0.0
2019-05-17,1.0,-0.0,-0.6337278307165384,-0.0,-0.9025399301434434,-0.8548272237105362,0.0
2019-05-20,1.0,-0.0,-0.6303339988494467,-0.0,-0.9011539372610063,-0.8524923014449595,0.0
2019-05-21,1.0,-0.0,-0.6217174103827718,-0.0,-0.903125632890029,-0.8506041990143792,0.0
2019-05-22,1.0,-0.0,-0.6148655487702015,-0.0,-0.9093086811295928,-0.849792503120888,0.0
2019-05-23,1.0,-0.0,-0.6262962962962964,-0.0,-0.9055555555555557,-0.8351515151515152,0.0
2019-05-24,1.0,-0.0,-0.6321668410218338,-0.0,-0.9074005331893499,-0.8350150170418115,0.0
2019-05-28,1.0,-0.0,-0.6284897410023544,-0.0,-0.9070299360914901,-0.8280861083081063,0.0
2019-05-29,1.0,-0.0,-0.6397665526262829,-0.0,-0.9045079492855705,-0.8098544308043201,0.0
2019-05-30,1.0,-0.0,-0.6382593536274641,-0.0,-0.9025077108756873,-0.8117875821375888,0.0
2019-05-31,1.0,-0.0,-0.6371075932385296,-0.0,-0.908304266165817,-0.8084920847866918,0.0
2019-06-03,1.0,-0.0,-0.6415605255240197,-0.0,-0.9124126633904991,-0.7890549259519272,0.0
2019-06-04,1.0,-0.0,-0.6415303483255518,-0.0,-0.8812266971213599,-0.8362164522521918,0.0
2019-06-05,1.0,-0.0,-0.6354513935191359,-0.0,-0.8924856647553007,-0.8058407787705026,0.0
2019-06-06,1.0,-0.0,-0.5609824169690204,-0.0,-0.7878562346884982,-0.7522250131795206,0.0
2019-06-07,1.0,-0.0,-0.5855024915658176,-0.0,-0.7672165650437959,-0.7423937602525612,0.0
2019-06-10,1.0,-0.0,-0.5891763104152484,-0.0,-0.7641252552756977,-0.740949316170555,0.0
2019-06-11,1.0,-0.0,-0.5915532264566343,-0.0,-0.7716518341654004,-0.7376662842258674,0.0
2019-06-12,1.0,-0.0,-0.6004958933829228,-0.0,-0.7689756702309004,-0.7298620796528746,0.0
2019-06-13,1.0,-0.0,-0.6199882166888896,-0.0,-0.7659152221774318,-0.7149679059815808,0.0
2019-06-14,1.0,-0.0,-0.6203422406844814,-0.0,-0.7623845247690496,-0.717248434496869,0.0
2019-06-17,1.0,-0.0,-0.6229767441860465,-0.0,-0.7566821705426356,-0.7211162790697674,0.0
2019-06-18,1.0,-0.0,-0.6221595312645317,-0.0,-0.7530458505130668,-0.7248969215984127,0.0
2019-06-19,1.0,-0.0,-0.6172709212813509,-0.0,-0.7546250310404767,-0.732151725850509,0.0
