Date,HVT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-06,1.0,-0.0,-0.7626733348488294,-1.7258467833598545,-1.460786542395999,-0.7338031370766084,0.0
2020-02-07,1.0,-0.0,-0.7692264033146036,-1.7239343890118621,-1.4533174413984902,-0.7292127816561667,0.0
2020-02-10,1.0,-0.0,-0.7767661439892092,-1.697746304726578,-1.4322486371044794,-0.7134266284493902,0.0
2020-02-11,1.0,-0.0,-0.7673897203071577,-1.6849952356930664,-1.4197074155036153,-0.7329746090465781,0.0
2020-02-12,1.0,-0.0,-0.7646564286514964,-1.6823786571012218,-1.4250644546575495,-0.7325972424616074,0.0
2020-02-13,1.0,-0.0,-0.7743834080717489,-1.686378923766816,-1.4258408071748878,-0.7187780269058296,0.0
2020-02-14,1.0,-0.0,-0.7791507526398562,-1.695461694001348,-1.4144012581442371,-0.7277016400808808,0.0
2020-02-18,1.0,-0.0,-0.7841093741245028,-1.679722082142657,-1.400963747408528,-0.738387404045498,0.0
2020-02-19,1.0,-0.0,-0.833361358668236,-1.6736730003923543,-1.3667955832072194,-0.7311809876128019,0.0
2020-02-20,1.0,-0.0,-0.8689873001250248,-2.1531223267750215,-1.6806606567085611,-0.8774758175955781,0.0
2020-02-21,1.0,-0.0,-0.876594345825115,-2.150032873109796,-1.6734385272846808,-0.874490466798159,0.0
2020-02-24,1.0,-0.0,-0.9006252494346149,-2.1836503924437944,-1.690834109352135,-0.8764799787149129,0.0
2020-02-25,1.0,-0.0,-0.9281049855582066,-2.0669973628029634,-1.4919000376742433,-0.7919753861609945,0.0
2020-02-26,1.0,-0.0,-0.8793736826257152,-1.9837398373983741,-1.447997591087022,-0.7111713339355615,0.0
2020-02-27,1.0,-0.0,-0.858131067961165,-2.0018810679611647,-1.5117718446601942,-0.6962378640776699,0.0
2020-02-28,1.0,-0.0,-1.0378481313972865,-1.9136515115448705,-1.3299809569150203,-0.6694239466793621,0.0
2020-03-02,1.0,-0.0,-0.9965513140682603,-1.903853014627185,-1.3666309906053038,-0.6789749078368414,0.0
2020-03-03,1.0,-0.0,-1.0908640888839998,-1.5994719762389307,-1.1957538089214015,-0.6141026346185579,0.0
2020-03-04,1.0,-0.0,-1.1591867632745756,-1.622634367903104,-1.0853790418514113,-0.5399589055910026,0.0
2020-03-05,1.0,-0.0,-1.254376087624117,-1.4206674173405671,-0.9586958747057017,-0.48449175964786567,0.0
2020-03-06,1.0,-0.0,-1.338676344573819,-1.3721961792429054,-0.8958112808105246,-0.43389283734059175,0.0
2020-03-09,1.0,-0.0,-1.3185277916875313,-1.3777165748622935,-0.886029043565348,-0.4252378567851778,0.0
2020-03-10,1.0,-0.18267965254014215,-0.8744406422742826,-1.2160656313064842,-0.8204352022462051,-0.29345441782925336,0.0
2020-03-11,1.0,-0.028073916133617628,-1.1676883439943142,-1.3646499644633974,-0.7285003553660271,-0.15316275764036957,0.0
2020-03-12,1.0,-0.08188596119630602,-1.0133864271795305,-1.2629839871219182,-0.7392612047784461,-0.13873591459798357,0.0
2020-03-13,1.0,-0.24556407447973716,-0.758780576852866,-0.9626871120847026,-0.6099671412924426,-0.07396860167944506,0.0
2020-03-16,1.0,-0.15845889372029529,-0.842923113223447,-0.8626082853001653,-0.5067583510297637,-0.0,0.0
2020-03-17,1.0,-0.26202998428243257,-0.5801595937613347,-0.551535485431024,-0.5065892878732922,-0.12229476484101076,0.0
2020-03-18,1.0,-0.2479224376731302,-0.5945659220840456,-0.48423410149112983,-0.49672894442152415,-0.12341604290681912,0.0
2020-03-19,1.0,-0.24741309150098825,-0.5615335426113243,-0.4727647947913033,-0.49363446110917336,-0.1312928729217533,0.0
2020-03-20,1.0,-0.24892027547566245,-0.5006711801097233,-0.5020719038169722,-0.5051359869265788,-0.16137504377261586,0.0
2020-03-23,1.0,-0.24900547708273277,-0.5427788988181033,-0.44646872297492074,-0.49411934275007213,-0.15027385413663882,0.0
2020-03-24,1.0,-0.25242242473180293,-0.5415272811166224,-0.4434479178682662,-0.4909159072557388,-0.15552543545968392,0.0
2020-03-25,1.0,-0.25230666925272227,-0.5323487850156549,-0.3701753899864232,-0.47371920977529025,-0.14225153085256712,0.0
2020-03-26,1.0,-0.2658932329161591,-0.5333093365821243,-0.3569332151954812,-0.47211762099900323,-0.1406025030457415,0.0
2020-03-27,1.0,-0.2624125064683934,-0.5258327205381703,-0.33297927390582016,-0.471144156657679,-0.1311654002233298,0.0
2020-03-30,1.0,-0.25911316648531013,-0.5284820457018499,-0.3325897714907508,-0.4733405875952122,-0.12684983677910772,0.0
2020-03-31,1.0,-0.24338349766476386,-0.558053150520307,-0.33242290989539236,-0.4656815885068145,-0.13172916723568132,0.0
2020-04-01,1.0,-0.24981577008106118,-0.5823303037746663,-0.31138950298861867,-0.468680913780398,-0.11711564180245093,0.0
2020-04-02,1.0,-0.24687440155390802,-0.5898284682515799,-0.31288813503679586,-0.4709052608541022,-0.11531201269389653,0.0
2020-04-03,1.0,-0.246806071194584,-0.5915592924219262,-0.3119676785324307,-0.46549464948678754,-0.11402598820703211,0.0
2020-04-06,1.0,-0.24991749174917494,-0.6084433443344335,-0.3175742574257426,-0.46534653465346537,-0.108993399339934,0.0
2020-04-07,1.0,-0.2520506468483347,-0.6058353977429122,-0.3172034131571704,-0.465290393614093,-0.1121662537847509,0.0
2020-04-08,1.0,-0.25162391280413965,-0.6051965209732467,-0.31649785313222506,-0.46548497192557525,-0.11361884839810635,0.0
2020-04-09,1.0,-0.25155638807779185,-0.609443005894992,-0.3173103410280425,-0.4653187152223017,-0.11104071401024736,0.0
2020-04-13,1.0,-0.24198234594205706,-0.6428788843078116,-0.31110434710423646,-0.4667810398738206,-0.10434710423642049,0.0
2020-04-14,1.0,-0.24353937247523655,-0.6397266338332134,-0.3134856953129323,-0.4662442587571246,-0.10389574456311217,0.0
2020-04-15,1.0,-0.1663242771300909,-0.6265214935031586,-0.24271994247855788,-0.3826203071234143,-0.14973550408299524,0.0
2020-04-16,1.0,-0.16481571725358432,-0.6299725563620509,-0.24306855779835335,-0.38149221575316117,-0.14547692939034085,0.0
2020-04-17,1.0,-0.15757311217808817,-0.6443628520810333,-0.22959406372762986,-0.383521195470768,-0.15254063214111485,0.0
2020-04-20,1.0,-0.15813798238631988,-0.6433871671759058,-0.22928595270495805,-0.3838806583305518,-0.15292577091945467,0.0
2020-04-21,1.0,-0.15745303356944873,-0.6401550148855354,-0.22944256236526023,-0.38314854737706605,-0.15627245662662972,0.0
