Date,INS,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-09-05,1.0,-0.0,-0.7727637921799678,-1.4799143010176754,-6.019014461703268,-4.1186395286555975,0.0
2019-09-06,1.0,-0.0,-0.731137805371845,-1.5780807126467808,-6.145903630719395,-4.042110946146579,0.0
2019-09-09,1.0,-0.0,-0.7843480603448275,-1.584051724137931,-6.109779094827586,-3.9916487068965516,0.0
2019-09-10,1.0,-0.0,-0.730836825740165,-1.7626064620792214,-6.153575773962418,-3.871839935108828,0.0
2019-09-11,1.0,-0.0,-0.654003826182017,-1.939874282590872,-6.269335884121345,-3.801858431265374,0.0
2019-09-12,1.0,-0.0,-0.567862501705088,-1.9758559541672351,-6.282498976947211,-3.814486427499659,0.0
2019-09-13,1.0,-0.0,-0.5673352435530086,-1.964660936007641,-6.28312184472643,-3.8293082275890304,0.0
2019-09-16,1.0,-0.0,-0.5799782372143634,-1.9638193688792167,-6.244967355821545,-3.8131120783460277,0.0
2019-09-17,1.0,-0.0,-0.5871697085262871,-1.9628166712067554,-6.261509125578861,-3.8087714519204576,0.0
2019-09-18,1.0,-0.0,-0.5662355343771273,-1.963648740639891,-6.2684819605173585,-3.8163376446562287,0.0
2019-09-19,1.0,-0.0,-0.5689960495845253,-1.9705762157744178,-6.264950279253507,-3.8175997820460426,0.0
2019-09-20,1.0,-0.0,-0.6147764449291168,-2.0329880043620503,-6.213604143947656,-3.770038167938931,0.0
2019-09-23,1.0,-0.0,-0.6325944170771757,-2.0595238095238093,-6.196496989600438,-3.7948823207443896,0.0
2019-09-24,1.0,-0.0,-0.6349315068493151,-2.068767123287671,-6.19986301369863,-3.7950684931506853,0.0
2019-09-25,1.0,-0.0,-0.6066111186996312,-2.058461958748805,-6.2095342166370715,-3.7845922688157354,0.0
2019-09-26,1.0,-0.0,-0.4567517990687174,-2.505432482009313,-6.424298010441653,-3.7237194863835192,0.0
2019-09-27,1.0,-0.0,-0.42559652928416486,-2.524945770065076,-6.633116413593636,-3.8775126536514817,0.0
2019-09-30,1.0,-0.0,-0.3725290697674419,-2.5441860465116277,-6.695058139534884,-3.9232558139534883,0.0
2019-10-01,1.0,-0.0,-0.40244079616446315,-2.542641290135115,-6.671945372657271,-3.9115211390382103,0.0
2019-10-02,1.0,-0.0,-0.5079802669762044,-2.7234474753337206,-6.581543818920488,-3.696894950667441,0.0
2019-10-03,1.0,-0.0,-0.7308960573476702,-2.6615053763440857,-6.450179211469534,-3.494480286738351,0.0
2019-10-04,1.0,-0.0,-0.7981505562779946,-2.729663343447479,-6.424505129316573,-3.4964600491258495,0.0
2019-10-07,1.0,-0.0,-0.8413882116735981,-2.6961135809551124,-6.340742865337731,-3.462785027965008,0.0
2019-10-08,1.0,-0.0,-0.8551455750936869,-2.674978379936581,-6.395503026808879,-3.487604496973191,0.0
2019-10-09,1.0,-0.0,-0.8818051575931232,-2.631375358166189,-6.38538681948424,-3.428080229226361,0.0
2019-10-10,1.0,-0.0,-1.0393780877651844,-2.850043591979076,-6.143126997965707,-3.4981110142400462,0.0
2019-10-11,1.0,-0.0,-1.0751857788139298,-3.074748652192919,-5.9367623488270445,-3.4840448783330906,0.0
2019-10-14,1.0,-0.0,-0.9581552968911154,-3.2681597171062324,-6.08663621629586,-3.4209518196552233,0.0
2019-10-15,1.0,-0.0,-0.96684350132626,-3.33289124668435,-6.073386383731211,-3.363247863247863,0.0
2019-10-16,1.0,-0.0,-1.0571177504393674,-3.363796133567663,-5.962067955477447,-3.2625951962507327,0.0
2019-10-17,1.0,-0.0,-0.9783025830258303,-3.4999261992619926,-5.974907749077491,-3.307011070110701,0.0
2019-10-18,1.0,-0.0,-1.0852197070572571,-3.574493268234946,-5.8301523894067175,-3.3050747151945554,0.0
2019-10-21,1.0,-0.0,-0.9745712596096984,-3.579982259018332,-5.820224719101123,-3.409520993494973,0.0
2019-10-22,1.0,-0.0,-0.8858020178388653,-3.5588536335721592,-5.756982014914461,-3.420236876736365,0.0
2019-10-23,1.0,-0.0,-0.8866598330648704,-3.5671401376482645,-5.769512373700396,-3.420120076145848,0.0
2019-10-24,1.0,-0.0,-0.8323397913561846,-3.85230998509687,-5.80327868852459,-3.4153502235469446,0.0
2019-10-25,1.0,-0.0,-0.7246437552388935,-3.5336686225202567,-5.51802179379715,-3.1940486169321036,0.0
2019-10-28,1.0,-0.0,-0.8288515406162464,-3.588935574229691,-5.478851540616246,-3.1089635854341737,0.0
2019-10-29,1.0,-0.0,-0.8170835702103467,-3.8217737350767473,-5.452671972711768,-3.1210915292779986,0.0
2019-10-30,1.0,-0.0,-0.8209711470795215,-3.7791695988740326,-5.382266009852217,-3.0921885995777623,0.0
2019-10-31,1.0,-0.0,-0.7935883014623172,-3.7958380202474684,-5.324943757030371,-3.1465129358830146,0.0
2019-11-01,1.0,-0.0,-0.8499230015399692,-3.82402351952961,-5.27537449251015,-3.050538989220216,0.0
2019-11-04,1.0,-0.0,-0.7878319516650275,-3.9554587607137837,-5.309259519460447,-2.998313896304623,0.0
2019-11-05,1.0,-0.0,-0.873571531896427,-4.3959207290611895,-5.311152900332707,-2.8848546217271807,0.0
2019-11-06,1.0,-0.0,-0.8226086956521738,-4.365072463768116,-5.271594202898551,-3.033623188405797,0.0
2019-11-07,1.0,-0.0,-0.8295619379170293,-4.373513199883957,-5.267043806208297,-3.0352480417754566,0.0
2019-11-08,1.0,-0.0,-0.8304119193689746,-4.425065731814199,-5.302074203914696,-3.049371895997663,0.0
2019-11-11,1.0,-0.0,-0.7715549005158439,-4.570228445099485,-5.3030213706705975,-3.093588798820929,0.0
2019-11-12,1.0,-0.0,-0.7566012686236908,-4.574273491665437,-5.317598465850421,-3.102817524708659,0.0
2019-11-13,1.0,-0.0,-0.8008123965698811,-4.973672333383481,-5.218895742440198,-3.051000451331428,0.0
2019-11-14,1.0,-0.0,-0.7825236877725975,-5.005113550909911,-5.197022108587759,-3.055346668671981,0.0
2019-11-15,1.0,-0.0,-0.7663579324768449,-5.0292799521959966,-5.114132058559904,-3.028981177173588,0.0
2019-11-18,1.0,-0.0,-0.7438115120787355,-5.046078138980018,-5.125410080524904,-2.9968684759916497,0.0
2019-11-19,1.0,-0.0,-1.039824348879467,-4.969563900666262,-5.102967898243489,-3.0299818291944276,0.0
2019-11-20,1.0,-0.0,-1.0600813130552629,-4.97425086583346,-5.0496913115494655,-2.973949706369523,0.0
2019-11-21,1.0,-0.0,-0.9420157862780814,-5.201275045537342,-4.947328476017001,-3.0884942319368553,0.0
2019-11-22,1.0,-0.0,-0.9221429655486416,-5.192138412505692,-4.965245105478828,-3.0974351191379568,0.0
2019-11-25,1.0,-0.0,-0.9238370325326846,-5.205685618729097,-4.977044694435999,-3.0956217695348127,0.0
2019-11-26,1.0,-0.0,-0.8492485198117504,-5.220130560194322,-4.9886139365416735,-3.123424927888265,0.0
2019-11-27,1.0,-0.0,-0.8447647951441578,-5.21092564491654,-4.988163884673749,-3.130652503793627,0.0
2019-11-29,1.0,-0.0,-0.828110599078341,-5.397849462365591,-5.101075268817204,-3.0339477726574495,0.0
2019-12-02,1.0,-0.0,-0.8840647370059135,-5.607376283846872,-5.079831932773109,-2.9906629318394025,0.0
2019-12-03,1.0,-0.0,-0.8598449612403101,-5.551007751937985,-5.075658914728682,-3.017364341085271,0.0
2019-12-04,1.0,-0.0,-0.964610084559975,-5.595991230817413,-5.084246789852803,-3.014406514249922,0.0
2019-12-05,1.0,-0.0,-0.9260925449871465,-5.813785347043702,-5.127731362467866,-3.199228791773779,0.0
2019-12-06,1.0,-0.13373415664608385,-1.1103347416314593,-5.83539161520962,-5.162820929476763,-3.0073123171920706,0.0
2019-12-09,1.0,-0.029401993355481732,-0.9029900332225914,-6.109468438538206,-5.402990033222592,-3.166445182724253,0.0
2019-12-10,1.0,-0.4584855529724344,-0.8168382597143805,-6.397376286947857,-5.327465958153437,-2.605778811026237,0.0
2019-12-11,1.0,-0.4740703685175921,-0.7937301984325497,-6.43538435884609,-5.342671335667834,-2.629147907286977,0.0
2019-12-12,1.0,-0.5496245510936989,-0.7453476983349657,-6.245674175644792,-5.201599738818151,-2.581782566111655,0.0
2019-12-13,1.0,-0.5705920624593364,-0.7496746909564086,-6.341086532205595,-5.129472999349382,-2.47462589459987,0.0
2019-12-16,1.0,-0.6251802018260452,-0.735063270863367,-6.304981579368894,-5.028031395162582,-2.3246836456831654,0.0
2019-12-17,1.0,-0.9453941908713692,-0.5888796680497925,-6.577095435684647,-5.192033195020747,-2.2941078838174276,0.0
2019-12-18,1.0,-1.1767288693743139,-0.6558726673984632,-7.2328942553969995,-5.679839004756678,-2.5495792169776803,0.0
2019-12-19,1.0,-1.1923929098966026,-0.718426883308715,-7.295051698670606,-5.684084194977844,-2.5740398818316104,0.0
2019-12-20,1.0,-1.2051376146788992,-0.8297247706422018,-7.264220183486238,-5.596880733944954,-2.4524770642201834,0.0
2019-12-23,1.0,-1.251776279832392,-0.8666423756604117,-7.154490799781381,-5.553652760065585,-2.3916924758608125,0.0
2019-12-24,1.0,-1.2577487765089723,-0.8655066159144463,-7.110023563530905,-5.509334783396774,-2.3831792640928042,0.0
2019-12-26,1.0,-1.2126858985844833,-0.8462641103744849,-7.029206235441677,-5.418921340261601,-2.4108582691273965,0.0
2019-12-27,1.0,-1.1868723098995697,-0.9157101865136299,-7.076398852223816,-5.369978479196557,-2.385043041606887,0.0
