Date,IAA,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-04-15,1.0,-0.3024359916351099,-0.4699316113717289,-0.4513932063527949,-0.4741988356977336,-0.12801672978013903,0.0
2020-04-16,1.0,-0.3215072594768657,-0.4478278063386249,-0.4684198632845602,-0.47963391898762786,-0.1073103214507655,0.0
2020-04-17,1.0,-0.31357968842771916,-0.4600073510701462,-0.45528570216856573,-0.48217365489553,-0.11628827504311685,0.0
2020-04-20,1.0,-0.3102471897386528,-0.46634765127275823,-0.4525865730384801,-0.4843559758756406,-0.11796018914403829,0.0
2020-04-21,1.0,-0.3090867890324042,-0.4661794697484704,-0.45238499886698386,-0.4874518468162247,-0.11746544300929072,0.0
2020-04-22,1.0,-0.3012221626351294,-0.4753450563098027,-0.4455954161844817,-0.4889215049817946,-0.11149058680741765,0.0
2020-04-23,1.0,-0.2981447019680821,-0.4777815372469407,-0.44374894264929793,-0.48807308408052785,-0.11188180228951673,0.0
2020-04-24,1.0,-0.2969148755174956,-0.49537798446095394,-0.43982873022174335,-0.49010378268020194,-0.11333862643906313,0.0
2020-04-27,1.0,-0.2973954491289792,-0.4965386143108438,-0.44016342279975035,-0.4906372354309709,-0.11243829086988594,0.0
2020-04-28,1.0,-0.2927570823743358,-0.507629358110988,-0.43886568351660843,-0.48918819083340437,-0.1130338419572074,0.0
2020-04-29,1.0,-0.2803547066848568,-0.5198101409731697,-0.43019554342883126,-0.48567530695770805,-0.126193724420191,0.0
2020-04-30,1.0,-0.2807380533983334,-0.4973924380704042,-0.4393174990079927,-0.4969956351680744,-0.11989116263250381,0.0
2020-05-01,1.0,-0.2824676244722152,-0.49548017795913746,-0.4397120915866134,-0.49848394683895836,-0.11762872283147723,0.0
2020-05-04,1.0,-0.2812818192103179,-0.49355130670890374,-0.4422445978051816,-0.5018667270053173,-0.10945808349360787,0.0
2020-05-05,1.0,-0.27992081447963796,-0.4926470588235294,-0.4372454751131221,-0.5044117647058823,-0.1138574660633484,0.0
2020-05-06,1.0,-0.27982805916122283,-0.4926614066344278,-0.43717655043692205,-0.5044540595571393,-0.11385424620344448,0.0
2020-05-07,1.0,-0.2940558944531139,-0.4936870478081997,-0.445822102425876,-0.5024826216484608,-0.10123421761952052,0.0
2020-05-08,1.0,-0.29178743961352654,-0.49036658141517475,-0.4559533958510941,-0.5028132992327365,-0.10079568059107702,0.0
2020-05-11,1.0,-0.2977255302836698,-0.47931396768606077,-0.46219155521481103,-0.5075389726552518,-0.0927960927960928,0.0
2020-05-12,1.0,-0.2922768878718536,-0.48701372997711667,-0.43606979405034324,-0.5252002288329519,-0.11985125858123569,0.0
2020-05-13,1.0,-0.29048394934682564,-0.4868650487379585,-0.43701226309921964,-0.5277420461366951,-0.11645656461709974,0.0
2020-05-14,1.0,-0.2886748227761262,-0.48905213812028353,-0.4368854333409559,-0.5300137205579694,-0.11382346215412761,0.0
2020-05-15,1.0,-0.2920856262064594,-0.47192370854821514,-0.43542020801521214,-0.5414733930680803,-0.14019418594600824,0.0
2020-05-18,1.0,-0.29152024886226163,-0.464946137450314,-0.4316492885534881,-0.5430612362463276,-0.14920214298058643,0.0
2020-05-19,1.0,-0.2948994562872185,-0.45519403929691327,-0.4427950864474555,-0.5439429245418717,-0.13992692960501713,0.0
2020-05-20,1.0,-0.2930428266758891,-0.4615828001613926,-0.44057294368551503,-0.5481583952965589,-0.1386535246988299,0.0
2020-05-21,1.0,-0.2933864036226241,-0.46520146520146516,-0.4384355801678636,-0.5493063367079115,-0.13792506705892532,0.0
2020-05-22,1.0,-0.29411934524668726,-0.46153179941684236,-0.4408325875458299,-0.5514304685470136,-0.13900516758566933,0.0
2020-05-26,1.0,-0.29488549397868713,-0.46278915297311346,-0.4417939757992318,-0.5513327750021659,-0.13711843359228348,0.0
2020-05-27,1.0,-0.2836218375499334,-0.4723267527354832,-0.4206854628611127,-0.5551438661494819,-0.16291321715972906,0.0
2020-05-28,1.0,-0.28121742152206647,-0.47419784547665933,-0.41908954013668476,-0.5545870496930384,-0.16680180701957603,0.0
2020-05-29,1.0,-0.2825948450622647,-0.4726904141326383,-0.4203301476976542,-0.5567332754126846,-0.16365479293368085,0.0
2020-06-01,1.0,-0.2828303307652204,-0.47210797659734693,-0.4213056826739269,-0.5566239935121358,-0.16349997103632044,0.0
2020-06-02,1.0,-0.28302542421960963,-0.4760236288874733,-0.4240169108704466,-0.5544680604621534,-0.15816296982683734,0.0
2020-06-03,1.0,-0.2825603236526513,-0.47449790492703364,-0.4154023984973269,-0.5554688628810865,-0.16182632567548041,0.0
2020-06-04,1.0,-0.28238424386152644,-0.47627035312490956,-0.4112849582092142,-0.5580877461896636,-0.16406860051479308,0.0
2020-06-05,1.0,-0.2866321303504761,-0.4773825717014442,-0.4137701502040344,-0.5584753856394524,-0.15781552976586694,0.0
2020-06-08,1.0,-0.2840557946111416,-0.461807260230456,-0.4318595315794033,-0.5575995610361856,-0.1525688046899818,0.0
2020-06-09,1.0,-0.2868277474668745,-0.45962876360382204,-0.43373459195750697,-0.5574608123322076,-0.14910077653647413,0.0
2020-06-10,1.0,-0.2806557565979025,-0.46508009680765244,-0.43961046444623714,-0.5578252852368331,-0.13803734009450272,0.0
2020-06-11,1.0,-0.27356752087532393,-0.4803052116325943,-0.428476821192053,-0.5533256550532681,-0.14367981572127844,0.0
