Date,AA,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-10-04,1.0,-0.0,-0.5606999239213128,-0.0,-0.0,-0.0,-0.0,-1.1713400717313336,-0.0,-0.21312900771655255,-0.8269209868492555,-0.0,-0.0,-0.0,-0.0,-0.0,-1.624062601891099,-0.0,-0.03798500163025758
2019-10-07,1.0,-0.0,-0.5626740947075208,-0.0,-0.0,-0.0,-0.0,-1.1505249625026783,-0.0,-0.19107563745446754,-0.8257981572744802,-0.0,-0.0,-0.0,-0.0,-0.0,-1.571298478680094,-0.0,-0.05544246839511463
2019-10-08,1.0,-0.0,-0.5739242269974814,-0.0,-0.0,-0.0,-0.0,-1.147741278602433,-0.0,-0.2012217994748406,-0.8173195434328278,-0.0,-0.0,-0.0,-0.0,-0.0,-1.580193987460479,-0.0,-0.03842237822196024
2019-10-09,1.0,-0.0,-0.614570657637162,-0.0,-0.0,-0.0,-0.0,-1.0835934606634567,-0.0,-0.1700439130204751,-0.8128670440717422,-0.0,-0.0,-0.0,-0.0,-0.0,-1.549124384953177,-0.0,-0.06047299084704512
2019-10-10,1.0,-0.0,-0.6098969715891351,-0.0,-0.0,-0.0,-0.0,-1.1176501196794673,-0.0,-0.18524300135289834,-0.77651160370486,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5013008637735457,-0.0,-0.012800499531689042
2019-10-11,1.0,-0.0,-0.6432996902168482,-0.0,-0.0,-0.0,-0.0,-1.2375836914160088,-0.0,-0.12096532427300888,-0.6038273208753872,-0.0,-0.0,-0.0,-0.0,-0.0,-1.373988208254222,-0.0,-0.016788248226241632
2019-10-14,1.0,-0.0,-0.6542116846738696,-0.0,-0.0,-0.0,-0.0,-1.230092036814726,-0.0,-0.12214885954381755,-0.5984393757503002,-0.0,-0.0,-0.0,-0.0,-0.0,-1.376000400160064,-0.0,-0.02110844337735094
2019-10-15,1.0,-0.0,-0.657847444089457,-0.0,-0.0,-0.0,-0.0,-1.2262380191693292,-0.0,-0.11566493610223642,-0.5932008785942492,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3673123003194887,-0.0,-0.031749201277955275
2019-10-16,1.0,-0.0,-0.6336230444499628,-0.0,-0.0,-0.0,-0.0,-1.1803327539111002,-0.0,-0.17149242612366525,-0.6130618326297491,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3663769555500371,-0.0,-0.0015892724112242366
2019-10-17,1.0,-0.0,-0.6465358827911596,-0.0,-0.0,-0.0,-0.0,-1.1749689595232182,-0.0,-0.1717904147007698,-0.6048174819965234,-0.0,-0.0,-0.0,-0.0,-0.0,-1.364738018375962,-0.0,-0.0036751924509560467
2019-10-18,1.0,-0.0,-0.7918352526195663,-0.0,-0.046581595601203445,-0.0,-0.0,-1.034080298786181,-0.0,-0.1818134661271916,-0.6205000518726009,-0.0,-0.0,-0.0,-0.0,-0.0,-1.492737835875091,-0.0,-0.01971158833903932
2019-10-21,1.0,-0.0,-0.7046643785517357,-0.0,-0.23293760198053226,-0.0,-0.0,-1.1306476115456028,-0.0,-0.0,-0.643616721994036,-0.0,-0.0,-0.0,-0.0,-0.11945085241658696,-1.6944241264839923,-0.0,-0.1007708321611433
2019-10-22,1.0,-0.0,-0.6735349372765288,-0.0,-0.3013150718138295,-0.0,-0.0,-0.9790921762317436,-0.09841827768014061,-0.0,-0.6370522998606146,-0.0,-0.0,-0.0,-0.0,-0.08944912429549726,-1.9676383249500033,-0.0,-0.3137385612993152
2019-10-23,1.0,-0.0,-0.6547120577704958,-0.0,-0.23569391346562293,-0.0,-0.0,-0.9737241337459798,-0.1294981491595364,-0.0,-0.6656350506705504,-0.0,-0.0,-0.0,-0.0,-0.09217792341768312,-1.9821591115965775,-0.0,-0.3347290490927848
2019-10-24,1.0,-0.0,-0.6986923690834305,-0.0,-0.23881146786174717,-0.0,-0.0,-0.9284179507643194,-0.14819817054453926,-0.0,-0.6846338019522377,-0.0,-0.0,-0.0,-0.0,-0.09558597826754252,-2.0196451593099636,-0.0,-0.32512738657990053
2019-10-25,1.0,-0.0,-0.6835528745537363,-0.0,-0.3083836021174443,-0.0,-0.0,-0.9387541548688909,-0.108580573679675,-0.009417702819155485,-0.6899544503262341,-0.0,-0.0,-0.0,-0.0,-0.12218392219623292,-1.994644835651853,-0.0,-0.29988920349624526
2019-10-28,1.0,-0.0,-0.6928655550734519,-0.0,-0.2867414616004463,-0.0,-0.0,-1.0275212297774747,-0.1516766875348664,-0.027955123039732226,-0.648174549060931,-0.0,-0.0,-0.0,-0.0,-0.1956858612781256,-1.932870513853592,-0.0,-0.23504617864005456
2019-10-29,1.0,-0.0,-0.7307763801970383,-0.0,-0.30429394634116114,-0.0,-0.0,-1.157506660883574,-0.12410930045232045,-0.06648491232418365,-0.5579651775202925,-0.0,-0.0,-0.0,-0.0,-0.14579589813495258,-1.9297973852159365,-0.03023731334035566,-0.14926575376417373
2019-10-30,1.0,-0.0,-0.7350670208166038,-0.0,-0.2586324047192538,-0.0,-0.0,-1.1809870899993822,-0.15016369139539193,-0.06973871147075174,-0.5422200259435419,-0.0,-0.0,-0.0,-0.0,-0.1268145036753351,-1.9385385138056703,-0.023102106368521835,-0.15176972018036938
2019-10-31,1.0,-0.0,-0.751493053372729,-0.0,-0.16420443829760484,-0.0,-0.0,-1.1721254793487146,-0.2337335764129,-0.08486829697617401,-0.5876029421009619,-0.0,-0.0,-0.0,-0.0,-0.13710944867039668,-2.0476519771169928,-0.0,-0.10775130445715722
2019-11-01,1.0,-0.0,-0.8102646748899771,-0.0,-0.18744188929523337,-0.0,-0.0,-1.1767185272422984,-0.24930267154280047,-0.09223331060559103,-0.5070972540754974,-0.0,-0.0,-0.0,-0.0,-0.12725469534494513,-1.8676005702597163,-0.0,-0.18049959709911362
2019-11-04,1.0,-0.0,-0.824945567651633,-0.0,-0.16491446345256608,-0.0,-0.0,-1.1875583203732503,-0.25828926905132193,-0.08603421461897356,-0.5168895800933125,-0.0,-0.0,-0.0,-0.0,-0.12926905132192845,-1.8767029548989114,-0.0,-0.1761741835147745
2019-11-05,1.0,-0.0,-0.7259190031152648,-0.0,-0.2854828660436137,-0.0,-0.0,-1.186417445482866,-0.24442367601246107,-0.13464174454828662,-0.6025545171339564,-0.0,-0.0,-0.0,-0.0,-0.11439252336448599,-1.8264797507788162,-0.0,-0.11021806853582555
2019-11-06,1.0,-0.0,-0.7354226495192908,-0.0,-0.2633911849169684,-0.0,-0.0,-1.0971407166937197,-0.30440754151579474,-0.1493320014983144,-0.6164315145461357,-0.0,-0.0,-0.0,-0.0,-0.08827568984891997,-1.8398676488949934,-0.0,-0.14877013359970034
2019-11-07,1.0,-0.0,-0.7551378446115289,-0.0,-0.2578947368421053,-0.0,-0.0,-1.0588972431077694,-0.3091478696741855,-0.15513784461152882,-0.6474310776942357,-0.0,-0.0,-0.0,-0.0,-0.08822055137844613,-1.8455513784461153,-0.0,-0.14818295739348372
2019-11-08,1.0,-0.0,-0.7189571089158434,-0.0,-0.25678379392272105,-0.0,-0.0,-1.0672752282105789,-0.3710766537451544,-0.23902713517569088,-0.6795048143053645,-0.0,-0.0,-0.0,-0.0,-0.09778667000125048,-1.7920470176316117,-0.0,-0.02976116043516319
2019-11-11,1.0,-0.0,-0.7285328984507308,-0.0,-0.24750674277112214,-0.0,-0.0,-1.0674277112212256,-0.39158251270149913,-0.2468167847958352,-0.6762842626858183,-0.0,-0.0,-0.0,-0.0,-0.1161638336574045,-1.7819732798093209,-0.0,-0.016119927240795334
2019-11-12,1.0,-0.0,-0.7325865198072471,-0.0,-0.2328055572939483,-0.0,-0.0,-1.075035984729958,-0.39414231178421677,-0.2374992177232618,-0.672570248451092,-0.0,-0.0,-0.0,-0.0,-0.13204831341135242,-1.7596845860191501,-0.0,-0.021841166531072036
2019-11-13,1.0,-0.0,-0.7462565002192845,-0.0,-0.24353110707349165,-0.0,-0.0,-1.0266900570139714,-0.4048618507612305,-0.23833093164588684,-0.6943173986592319,-0.0,-0.0,-0.0,-0.0,-0.1292525530981768,-1.7438130442954702,-0.0,-0.038280809473090656
2019-11-14,1.0,-0.0,-0.7900132067165587,-0.0,-0.24073957612728758,-0.0,-0.0,-1.030186780705616,-0.4587761775988931,-0.20577322180994903,-0.6813407961763411,-0.0,-0.0,-0.0,-0.0,-0.1459027734104773,-1.668322746997044,-0.0,-0.06785736746116595
2019-11-15,1.0,-0.0,-0.7551138930115506,-0.0,-0.34903529715428794,-0.0,-0.0,-1.165774020778215,-0.3812996063754275,-0.05362328192553397,-0.68516487062012,-0.0,-0.0,-0.0,-0.0,-0.13118668129315353,-1.7671807446602568,-0.10227786023101246,-0.062270116796799384
2019-11-18,1.0,-0.0,-0.8252810096627884,-0.0,-0.29080391770196545,-0.0,-0.0,-1.1189114573062513,-0.3971603234076119,-0.0525866035627424,-0.6984815618221258,-0.0,-0.0,-0.0,-0.0,-0.13817130086110566,-1.8968645237625716,-0.0,-0.15513048051009007
