Date,IWF,IWM,MTUM,PTGX,SPY,VLUE,VXX
2019-12-19,-4.924513413992636,-4.493687532877433,-5.639137296159916,1.0,-5.338243029984219,-4.906365071015256,0.0
2019-12-20,-4.926091530773277,-4.506049447659127,-5.6412414518674385,1.0,-5.333508679642294,-4.895055234087323,0.0
2019-12-23,-4.915725912312943,-4.5019690207403515,-5.6300866369125755,1.0,-5.322394329220268,-4.883433972171174,0.0
2019-12-24,-4.922712933753944,-4.5084121976866465,-5.637749737118823,1.0,-5.329390115667718,-4.889589905362777,0.0
2019-12-26,-4.930489731437599,-4.515534491837809,-5.648762506582412,1.0,-5.338599262769879,-4.896261190100052,0.0
2019-12-27,-4.9684182590233545,-4.561305732484077,-5.697983014861996,1.0,-5.377919320594479,-4.933651804670913,0.0
2019-12-30,-5.017379679144385,-4.592245989304813,-5.7534759358288765,1.0,-5.420320855614973,-4.954545454545454,0.0
2019-12-31,-5.021156936261382,-4.607391537225496,-5.761649705409749,1.0,-5.428494911622924,-4.961971076593466,0.0
2020-01-02,-5.03921568627451,-4.631211388665055,-5.770077894171368,1.0,-5.440504969110933,-4.978780553317217,0.0
2020-01-03,-5.073131094257855,-4.676868905742145,-5.820151679306608,1.0,-5.484561213434453,-5.030877573131094,0.0
2020-01-06,-5.1167484997272235,-4.716039279869067,-5.859792689579924,1.0,-5.520185488270595,-5.06492089470813,0.0
2020-01-07,-5.112868047982553,-4.714285714285714,-5.856324972737187,1.0,-5.5163576881134135,-5.063249727371865,0.0
2020-01-08,-5.1237704918032785,-4.724590163934426,-5.865846994535519,1.0,-5.526229508196721,-5.081967213114754,0.0
2020-01-09,-5.1504667764964305,-4.758099945085118,-5.887149917627677,1.0,-5.549972542559034,-5.111202635914333,0.0
2020-01-10,-5.149478880965441,-4.750685682940208,-5.882611080636314,1.0,-5.5422380691168405,-5.102029621503017,0.0
2020-01-13,-5.149396929824562,-4.746984649122807,-5.8826754385964914,1.0,-5.537828947368421,-5.095394736842105,0.0
2020-01-14,-5.221023513139695,-4.773997233748271,-5.955739972337482,1.0,-5.591147994467496,-5.120608575380359,0.0
2020-01-15,-5.243475846751805,-4.792892837312603,-5.97834536368684,1.0,-5.610771793448084,-5.136868406440866,0.0
2020-01-16,-5.23648461325201,-4.785140005544775,-5.968672026614916,1.0,-5.60327141668977,-5.130579428888273,0.0
2020-01-17,-5.2318118948824335,-4.7745504840940525,-5.948824343015214,1.0,-5.593360995850622,-5.113969571230982,0.0
2020-01-21,-5.2337482710926695,-4.774273858921162,-5.94744121715076,1.0,-5.5939142461964035,-5.113139695712309,0.0
2020-01-22,-5.214994487320838,-4.754410143329658,-5.928059536934951,1.0,-5.570837927232636,-5.0950937155457545,0.0
2020-01-23,-5.2710826607291965,-4.80684664625661,-5.972446423601448,1.0,-5.624547731700529,-5.157250208739216,0.0
2020-01-24,-5.276957369740876,-4.812482585678462,-5.97938144329897,1.0,-5.631095012538312,-5.162998049595988,0.0
2020-01-27,-5.2600722422895245,-4.790775215337593,-5.968602389552653,1.0,-5.611558766323979,-5.154209502639622,0.0
2020-01-28,-5.173603504928806,-4.734118291347207,-5.8937568455640745,1.0,-5.523001095290252,-5.058050383351588,0.0
2020-01-29,-5.131357084579821,-4.703834647810716,-5.852325265161817,1.0,-5.483274408485179,-5.025020397062823,0.0
2020-01-30,-5.139787870546641,-4.699211313570846,-5.852325265161817,1.0,-5.487897742725048,-5.016861571933642,0.0
2020-01-31,-5.140676117775355,-4.726553980370775,-5.861777535441658,1.0,-5.500000000000001,-5.033805888767721,0.0
2020-02-03,-5.154329418191751,-4.728216334334881,-5.877082764272057,1.0,-5.511062551215515,-5.044523354274789,0.0
2020-02-04,-5.110116625983184,-4.68890697043667,-5.8337401681583945,1.0,-5.474640629237863,-5.014917276918904,0.0
2020-02-05,-5.048092423428264,-4.64615797958087,-5.786136485760343,1.0,-5.4258463191832345,-4.9610424502955395,0.0
2020-02-06,-5.038759689922481,-4.62015503875969,-5.7687784014969266,1.0,-5.389735364875702,-4.913392141138734,0.0
2020-02-07,-5.036076964190272,-4.620256547300908,-5.766969535008017,1.0,-5.388295029396045,-4.912346338856227,0.0
2020-02-10,-5.023447908339994,-4.599786837196909,-5.752997601918465,1.0,-5.3735678124167325,-4.895550226485478,0.0
2020-02-11,-4.992046659597031,-4.57608695652174,-5.719247083775186,1.0,-5.3449098621421,-4.8788441145281025,0.0
2020-02-12,-4.997612732095491,-4.577188328912467,-5.721750663129974,1.0,-5.348806366047746,-4.880106100795756,0.0
2020-02-13,-5.0087742621643185,-4.5934591863866,-5.737835681999468,1.0,-5.361074182398299,-4.887264025525127,0.0
2020-02-14,-4.965963060686015,-4.563852242744063,-5.69551451187335,1.0,-5.3108179419525054,-4.849076517150396,0.0
2020-02-18,-4.960189823358819,-4.562878987608753,-5.687582388610599,1.0,-5.305299235433694,-4.848404956498814,0.0
2020-02-19,-4.988319617732944,-4.619060260153968,-5.721263604990709,1.0,-5.3336872843111225,-4.883727103796124,0.0
2020-02-20,-4.99150517653305,-4.617732943987257,-5.719139899123971,1.0,-5.334483674011149,-4.88319617732944,0.0
2020-02-21,-5.006663113006397,-4.642590618336888,-5.74360341151386,1.0,-5.355543710021323,-4.903784648187633,0.0
2020-02-24,-5.018999197217019,-4.675140487021675,-5.763981803585764,1.0,-5.376505218089376,-4.924805994112925,0.0
2020-02-25,-4.805892995606099,-4.531144998707676,-5.609718273455673,1.0,-5.174722150426467,-4.7249935383820105,0.0
2020-02-26,-4.617063492063492,-4.313988095238095,-5.400297619047619,1.0,-4.969990079365079,-4.500248015873016,0.0
2020-02-27,-4.571358509073075,-4.262873957822462,-5.329573320255028,1.0,-4.911966650318784,-4.445806768023541,0.0
2020-02-28,-4.157657657657658,-3.9731981981981983,-4.844144144144144,1.0,-4.467117117117117,-4.080405405405405,0.0
2020-03-02,-4.161573033707866,-3.9498876404494387,-4.827415730337079,1.0,-4.460898876404494,-4.072134831460675,0.0
2020-03-03,-3.9424398625429555,-3.8468642611683848,-4.547465635738832,1.0,-4.241838487972509,-3.8990549828178698,0.0
2020-03-04,-3.8806733432772216,-3.8502024291497974,-4.541870871510761,1.0,-4.190922650756446,-3.844449179629235,0.0
2020-03-05,-3.5748811410459593,-3.625396196513471,-4.179278922345484,1.0,-3.8688589540412046,-3.5610142630744854,0.0
2020-03-06,-3.4244330093386695,-3.540880503144654,-3.991804840861444,1.0,-3.6971602820659424,-3.4042309891366496,0.0
2020-03-09,-3.3827904349463376,-3.4903031444172474,-3.94972698173602,1.0,-3.6509131990209,-3.3551120316324607,0.0
2020-03-10,-3.0277551020408167,-2.8334693877551023,-3.5322448979591834,1.0,-3.1791020408163266,-2.7539591836734694,0.0
2020-03-11,-2.881458003169572,-2.8440570522979396,-3.4486529318541996,1.0,-3.046592709984152,-2.6270998415213946,0.0
2020-03-12,-2.7298423088366555,-2.595953585242487,-3.2357929187741745,1.0,-2.873103243082416,-2.441832787860756,0.0
2020-03-13,-2.4361921983983468,-2.1234823043141304,-2.878584345130457,1.0,-2.514337380521829,-1.9639628003099971,0.0
2020-03-16,-2.071364046973803,-1.9457994579945799,-2.519308943089431,1.0,-2.169602529358627,-1.5857046070460705,0.0
2020-03-17,-1.7457031620928687,-1.512866774285443,-2.0431108156870192,1.0,-1.909790143386193,-1.2843034849491977,0.0
2020-03-18,-1.713135474206535,-1.5382454826327123,-1.9428892425802828,1.0,-1.8925194270199417,-1.2756296226945043,0.0
2020-03-19,-1.665073927154706,-1.4112874143526866,-1.875495852866931,1.0,-1.837360259646592,-1.226289217454021,0.0
2020-03-20,-1.6737042406669085,-1.438292859731787,-1.881569409206234,1.0,-1.8486770569046758,-1.21901051105473,0.0
2020-03-23,-1.6375666074600355,-1.4648312611012433,-1.787122557726465,1.0,-1.8049733570159858,-1.1865896980461812,0.0
2020-03-24,-1.6635989992852036,-1.4982130092923516,-1.7617941386704787,1.0,-1.8097748391708364,-1.2015725518227303,0.0
2020-03-25,-1.5972351007333727,-1.438421984320998,-1.566298575402512,1.0,-1.7348899940993003,-1.0927252802832335,0.0
2020-03-26,-1.6026244952893673,-1.4368270524899056,-1.5509757738896366,1.0,-1.7300639300134588,-1.0913526244952894,0.0
2020-03-27,-1.5766291396170597,-1.3967458295669324,-1.4903443175281452,1.0,-1.7073711890870245,-1.0465116279069766,0.0
2020-03-30,-1.56383153064569,-1.3818420190101608,-1.515732546705998,1.0,-1.7074729596853493,-1.0250737463126842,0.0
2020-03-31,-1.5449082345298035,-1.3756699691408154,-1.4977261653402631,1.0,-1.691245736560013,-1.0112879649179796,0.0
2020-04-01,-1.5438852419158766,-1.387308533916849,-1.4795364292082016,1.0,-1.6885485047410649,-1.0051057622173596,0.0
2020-04-02,-1.527823953138605,-1.3118815799889179,-1.4447083036491728,1.0,-1.6677748753265258,-0.9635874297474868,0.0
2020-04-03,-1.5234331779024737,-1.3168418556863983,-1.4433731130957084,1.0,-1.6562870465502253,-0.9632498221765589,0.0
