Date,IWF,IWM,LNTH,MTUM,SPY,VLUE,VXX
2019-03-29,-0.0,-1.0447642341163756,1.0,-0.0,-1.9363517433593085,-1.7068426141857689,0.0
2019-04-01,-0.0,-1.0609561752988048,1.0,-0.0,-1.9388730791121231,-1.6916903813318156,0.0
2019-04-02,-0.0,-1.0865144285389683,1.0,-0.0,-1.9671097477845942,-1.6269597818677572,0.0
2019-04-03,-0.0,-1.0874751491053678,1.0,-0.0,-1.9706901448452145,-1.6219823913660891,0.0
2019-04-04,-0.0,-1.084251789569367,1.0,-0.0,-1.952391773662084,-1.6445290307919553,0.0
2019-04-05,-0.0,-1.0632523279582105,1.0,-0.0,-1.9568476039064275,-1.6577901430842608,0.0
2019-04-08,-0.0,-1.0567943262411348,1.0,-0.0,-1.9600567375886526,-1.6569645390070924,0.0
2019-04-09,-0.0,-1.041695146958305,1.0,-0.0,-2.011278195488722,-1.6430849851902485,0.0
2019-04-10,-0.0,-1.0164251207729469,1.0,-0.0,-2.0214833759590793,-1.645581131003126,0.0
2019-04-11,-0.0,-1.0091461682667726,1.0,-0.0,-2.02709765380901,-1.644606033062546,0.0
2019-04-12,-0.0,-1.0098273119745513,1.0,-0.0,-2.025789593274256,-1.6449102476709838,0.0
2019-04-15,-0.0,-1.014336917562724,1.0,-0.0,-2.018376287193491,-1.6565397963247424,0.0
2019-04-16,-0.0,-1.006133227326935,1.0,-0.0,-2.0135158157760236,-1.659265148503606,0.0
2019-04-17,-0.0,-0.973498635122839,1.0,-0.0,-2.0677320291173795,-1.6457575068243857,0.0
2019-04-18,-0.0,-0.9909116728202214,1.0,-0.0,-2.0713433683612608,-1.6179494461800623,0.0
2019-04-22,-0.0,-0.9664890402680877,1.0,-0.0,-1.975553480195572,-1.55150249958798,0.0
2019-04-23,-0.0,-1.004725949263947,1.0,-0.0,-1.9437231788798959,-1.4836764625998151,0.0
2019-04-24,-0.0,-1.0261103491929529,1.0,-0.0,-1.8242430636143052,-1.424517354151282,0.0
2019-04-25,-0.0,-1.012877115526122,1.0,-0.0,-1.8334910122989592,-1.4095973930411014,0.0
2019-04-26,-0.0,-1.014173640167364,1.0,-0.0,-1.8366631799163178,-1.3792887029288703,0.0
2019-04-29,-0.0,-1.0057531380753137,1.0,-0.0,-1.8363493723849371,-1.3880230125523012,0.0
2019-04-30,-0.0,-0.9833124739257405,1.0,-0.0,-1.8326032540675845,-1.3989361702127658,0.0
2019-05-01,-0.0,-1.0076535961417488,1.0,-0.0,-1.8477668274271335,-1.3867162927238412,0.0
2019-05-02,-0.0,-1.0095377842993398,1.0,-0.0,-1.8318834503720784,-1.3991195891415995,0.0
2019-05-03,-0.0,-1.0609107659910502,1.0,-0.0,-1.8107923137667805,-1.3928402211108186,0.0
2019-05-06,-0.0,-1.035109849679386,1.0,-0.0,-1.813623462630085,-1.4072322085567117,0.0
2019-05-07,-0.0,-1.0213270142180095,1.0,-0.0,-1.8233807266982622,-1.4212216956292785,0.0
2019-05-08,-0.0,-1.0060168471720818,1.0,-0.0,-1.7904044367707843,-1.4355674148485325,0.0
2019-05-09,-0.0,-1.0077361350687366,1.0,-0.0,-1.79331974282578,-1.4260101406094818,0.0
2019-05-10,-0.0,-1.0009374023539215,1.0,-0.0,-1.7940839495885845,-1.4127695031767527,0.0
2019-05-13,-0.0,-0.9928808979422157,1.0,-0.0,-1.790688006651424,-1.4128559551028894,0.0
2019-05-14,-0.0,-0.950604013104013,1.0,-0.0,-1.7825552825552824,-1.385595823095823,0.0
