Date,IWF,IWM,MTUM,SPY,VLUE,VXX,YIN
2019-05-03,-0.0,-1.789099526066351,-0.0,-7.380884676145341,-5.627804107424961,0.0,1.0
2019-05-06,-0.0,-1.6430798004987532,-0.0,-7.328397755610973,-5.614557356608479,0.0,1.0
2019-05-07,-0.0,-1.6373902132998748,-0.0,-7.383626097867001,-5.662797992471769,0.0,1.0
2019-05-08,-0.0,-1.6313161875945534,-0.0,-7.034341906202722,-5.4629349470499236,0.0,1.0
2019-05-09,-0.0,-1.629517157607045,-0.0,-7.092317036137261,-5.461888855147282,0.0,1.0
2019-05-10,-0.0,-1.62900045502806,-0.0,-7.095707568633399,-5.442893978462005,0.0,1.0
2019-05-13,-0.0,-1.6949710167632774,-0.0,-7.310668964436785,-5.660974463418455,0.0,1.0
2019-05-14,-0.0,-1.45155789800031,-0.0,-7.410013951325376,-5.639900790575105,0.0,1.0
2019-05-15,-0.0,-1.4715397527849838,-0.0,-7.333282466046085,-5.455363955440256,0.0,1.0
2019-05-16,-0.0,-1.488304540590124,-0.0,-7.334199663659991,-5.4655251490597765,0.0,1.0
2019-05-17,-0.0,-1.4471954760813082,-0.0,-7.3091853889653065,-5.527128228641296,0.0,1.0
2019-05-20,-0.0,-1.4003941782898726,-0.0,-7.267889630078835,-5.492419648271679,0.0,1.0
2019-05-21,-0.0,-1.3947527141133895,-0.0,-7.221652593486127,-5.462002412545235,0.0,1.0
2019-05-22,-0.0,-1.3556732223903174,-0.0,-7.295612708018154,-5.477307110438728,0.0,1.0
2019-05-23,-0.0,-1.329187893317351,-0.0,-7.257117171111777,-5.39721306562781,0.0,1.0
2019-05-24,-0.0,-1.1893757503001199,-0.0,-7.344837935174069,-5.471788715486194,0.0,1.0
2019-05-28,-0.0,-1.1626858945470933,-0.0,-7.36623103500075,-5.492864653747934,0.0,1.0
2019-05-29,-0.7444163506110408,-3.260008428150021,-2.3512431521281076,-7.252633796881584,-6.462073324905184,0.0,1.0
2019-05-30,-0.7340425531914894,-3.287872340425532,-2.357659574468085,-7.35404255319149,-6.542765957446808,0.0,1.0
2019-05-31,-0.7441369110500741,-3.285231354320727,-2.3353053031903657,-7.2869216141981825,-6.476653285442636,0.0,1.0
2019-06-03,-0.6934291991212302,-3.124825244657479,-2.2346714599560613,-6.876772518474136,-6.0423407229878165,0.0,1.0
2019-06-04,-0.6626602564102564,-3.129607371794872,-2.231169871794872,-6.914663461538462,-6.09395032051282,0.0,1.0
2019-06-05,-0.6372901678657075,-3.071143085531575,-2.3557154276578736,-6.991806554756195,-5.928257394084732,0.0,1.0
2019-06-06,-0.6247011952191235,-3.093824701195219,-2.3143426294820717,-6.953784860557769,-5.933864541832668,0.0,1.0
2019-06-07,-0.6352252070288831,-3.1926883457887296,-2.349828317511614,-7.0179761664310245,-6.002423752777217,0.0,1.0
2019-06-10,-0.5878078320549052,-3.2180056519983853,-2.3445700444085587,-7.00545014129996,-6.029874848607186,0.0,1.0
2019-06-11,-0.6014376996805112,-3.1785143769968047,-2.4343051118210863,-6.848841853035144,-5.904952076677316,0.0,1.0
2019-06-12,-0.6036903329322101,-3.199157641395909,-2.4532691536301643,-6.876253509827516,-5.923385479342158,0.0,1.0
