Date,CCBG,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-13,1.0,-0.0,-0.7188862903735542,-0.48884394159661215,-0.588932431578282,-0.36369382466342204,0.0
2020-02-14,1.0,-0.0,-0.7142405863027546,-0.4816464493303007,-0.5958743997978266,-0.3672289613343442,0.0
2020-02-18,1.0,-0.0,-0.7133575145876045,-0.4771802554802082,-0.5944172843400094,-0.3691215896546286,0.0
2020-02-19,1.0,-0.0,-0.7046462612853502,-0.47422064236056494,-0.5990436943596841,-0.3678316398754286,0.0
2020-02-20,1.0,-0.0,-0.7032105760151086,-0.47802958766131576,-0.5974819011646207,-0.3689014793830658,0.0
2020-02-21,1.0,-0.0,-0.7035651408450705,-0.4774270623742455,-0.5958878269617707,-0.3670145875251509,0.0
2020-02-24,1.0,-0.0,-0.7073377500078496,-0.47577631950767685,-0.5920751043988822,-0.36459543470752614,0.0
2020-02-25,1.0,-0.0,-0.7065660747692213,-0.47998895942589015,-0.526052688073113,-0.35421841935780657,0.0
2020-02-26,1.0,-0.0,-0.6924850299401197,-0.4552694610778443,-0.5228443113772455,-0.32344311377245505,0.0
2020-02-27,1.0,-0.0,-0.6861778415202582,-0.45075893390701566,-0.5331062507469823,-0.3178857416039202,0.0
2020-02-28,1.0,-0.0,-0.7110690416774231,-0.39158993775636064,-0.4528583311820555,-0.31285316811519376,0.0
2020-03-02,1.0,-0.0,-0.6914156454014431,-0.3858950864734853,-0.46959111212919485,-0.31642996220364217,0.0
2020-03-03,1.0,-0.0,-0.7187482843810047,-0.3009332967334614,-0.4198462805380181,-0.3054625308811419,0.0
2020-03-04,1.0,-0.0,-0.7231092551652611,-0.29547749665656814,-0.42285542727694536,-0.28786266000709626,0.0
2020-03-05,1.0,-0.0,-0.7569854702219383,-0.24101868114322209,-0.3822715418595987,-0.28088243120975037,0.0
2020-03-06,1.0,-0.0,-0.7560572099476999,-0.24447646493756003,-0.3827249439641371,-0.2851158074501014,0.0
