Date,IWF,IWM,MTUM,SCU,SPY,VLUE,VXX
2019-10-11,-0.0,-1.5082238657688487,-2.129484490561872,1.0,-3.7054862567612314,-2.695661772822607,0.0
2019-10-14,-0.0,-1.4326571333555038,-2.243764549384769,1.0,-3.7663230240549828,-2.6425008313934155,0.0
2019-10-15,-0.0,-1.4425720620842573,-2.291019955654102,1.0,-3.755432372505543,-2.5974501108647448,0.0
2019-10-16,-0.0,-1.4815663176265272,-2.2610165794066317,1.0,-3.650087260034904,-2.514834205933682,0.0
2019-10-17,-0.0,-1.4096767147225862,-2.3505897771952817,1.0,-3.6365224989078198,-2.525120139799039,0.0
2019-10-18,-0.0,-1.482456140350877,-2.38859649122807,1.0,-3.57390350877193,-2.5199561403508772,0.0
2019-10-21,-0.0,-1.4695871761089152,-2.393390425999122,1.0,-3.5769653052261754,-2.5394158981115504,0.0
2019-10-22,-0.0,-1.436116589962744,-2.3978742055665134,1.0,-3.576156037694499,-2.547556432171817,0.0
2019-10-23,-0.0,-1.4332787779596292,-2.35417348608838,1.0,-3.5699945444626295,-2.5537370430987454,0.0
2019-10-24,-0.0027657926761809936,-1.4073459453479367,-2.506693218276358,1.0,-3.6064830180329683,-2.5398827303905303,0.0
2019-10-25,-0.0,-1.418070953436807,-2.4840354767184034,1.0,-3.6233924611973394,-2.5609756097560976,0.0
2019-10-28,-0.0,-1.4747184809008613,-2.4927136233164053,1.0,-3.564031795098256,-2.5085007727975275,0.0
2019-10-29,-0.05878378378378378,-1.4809684684684683,-2.6201576576576575,1.0,-3.5689189189189183,-2.5323198198198194,0.0
2019-10-30,-0.048387096774193554,-1.4893976990751183,-2.629145048499887,1.0,-3.5761335438754793,-2.5358673584480034,0.0
2019-10-31,-0.050625900077545145,-1.4553007643735458,-2.5812562313060816,1.0,-3.462390605959898,-2.5283039769580147,0.0
2019-11-01,-0.05882999780074775,-1.4780074774576646,-2.5822520343083353,1.0,-3.420606993622169,-2.4565647679788873,0.0
2019-11-04,-0.06734671492815619,-1.4426894811889877,-2.615772732258418,1.0,-3.422397718547768,-2.420204014478447,0.0
2019-11-05,-0.1892374679021994,-1.4666741096349223,-2.79502065423691,1.0,-3.364854303896394,-2.3486658479401585,0.0
2019-11-06,-0.18725144869901147,-1.4732416770821497,-2.8375184638109303,1.0,-3.4089308033178045,-2.455402795136916,0.0
2019-11-07,-0.18949044585987262,-1.4915832575068244,-2.8387170154686077,1.0,-3.401956323930846,-2.4522292993630574,0.0
2019-11-08,-0.1931594202898551,-1.4993623188405798,-2.926840579710145,1.0,-3.4804637681159423,-2.494376811594203,0.0
2019-11-11,-0.20930776426566886,-1.4664405986903648,-3.0049111318989707,1.0,-3.493802619270346,-2.518709073900842,0.0
2019-11-12,-0.20975096457383377,-1.459487898982813,-3.0070150824272184,1.0,-3.4954986554425354,-2.520168361978253,0.0
2019-11-13,-0.29635861074390096,-1.4757841605576252,-3.24696550895325,1.0,-3.4922485278211752,-2.5063093378199737,0.0
2019-11-14,-0.2927237912876975,-1.472594542843466,-3.216012446146482,1.0,-3.4625418860698898,-2.523456199138344,0.0
2019-11-15,-0.28832978974722423,-1.4488542404913773,-3.2017481691471774,1.0,-3.38979447200567,-2.4832270257500593,0.0
2019-11-18,-0.31398104265402843,-1.4363744075829383,-3.2165876777251183,1.0,-3.402962085308057,-2.4784360189573458,0.0
2019-11-19,-0.41122320302648174,-1.6498108448928122,-3.349936948297604,1.0,-3.559394703656999,-2.639974779319042,0.0
2019-11-20,-0.01113438430162055,-1.4588248263697499,-2.8897585712710834,1.0,-3.2695402932422004,-2.394884797706978,0.0
2019-11-21,-0.0,-0.7222763435622666,-2.0852411105698976,1.0,-2.465091735671375,-1.845672998863452,0.0
2019-11-22,-0.0,-0.713849123371401,-2.0928904616374457,1.0,-2.4477239826282773,-1.7880006433971367,0.0
2019-11-25,-0.0,-0.7148936170212766,-2.091529506222401,1.0,-2.4426334805299077,-1.7798474508229627,0.0
2019-11-26,-0.0,-0.6905989686632289,-2.0703689012296707,1.0,-2.391273304244348,-1.781118603728679,0.0
2019-11-27,-0.0,-0.5967603769176856,-2.0282688264153883,1.0,-2.382057472159489,-1.7804688108402773,0.0
2019-11-29,-0.0,-0.6227746843384832,-2.1306564191043837,1.0,-2.44263195043526,-1.6464591012469607,0.0
2019-12-02,-0.0,-0.6459184490907635,-2.249138828807178,1.0,-2.46318993831611,-1.6526476007370026,0.0
2019-12-03,-0.0,-0.6246806534024928,-2.1446930401796083,1.0,-2.354571494929163,-1.6177905086320352,0.0
2019-12-04,-0.0,-0.7113048894425412,-2.1755683587667396,1.0,-2.3237309249455,-1.5750545001557148,0.0
2019-12-05,-0.0,-0.691021475552738,-2.2614311752119822,1.0,-2.3216578175766704,-1.6504477375386324,0.0
2019-12-06,-0.0,-0.76438178577216,-2.330173391670718,1.0,-2.3915086695835357,-1.616350672500405,0.0
2019-12-09,-0.0,-0.6537403052289217,-2.455341506129597,1.0,-2.5238095238095237,-1.7066966891835542,0.0
2019-12-10,-0.0,-0.6483457365731193,-2.940554111001524,1.0,-2.8098269523894914,-1.5673809737290414,0.0
2019-12-11,-0.0,-0.610308917476153,-2.87678305767043,1.0,-2.7096350748227884,-1.5544762404830665,0.0
2019-12-12,-0.0,-0.5947968328547811,-2.851909858174541,1.0,-2.699991299051596,-1.5543374227790827,0.0
2019-12-13,-0.0,-0.5962759567530461,-2.879783765230822,1.0,-2.619014930495967,-1.4856701561695553,0.0
2019-12-16,-0.0,-0.5888206999502404,-2.8512191076463758,1.0,-2.524382152927517,-1.3288273345496766,0.0
2019-12-17,-0.0,-0.5118050904219691,-2.9952277294038847,1.0,-2.6075853985264565,-1.2577026121902208,0.0
2019-12-18,-0.0,-0.5842091548684096,-3.1246417093720145,1.0,-2.6716754972639625,-1.305307044210892,0.0
2019-12-19,-0.0,-0.6077401278346904,-3.161369407232291,1.0,-2.6754224673846423,-1.3111811575168548,0.0
2019-12-20,-0.0,-0.6772311710927297,-3.1598606878537225,1.0,-2.627862429255551,-1.2419677840661731,0.0
2019-12-23,-0.0,-0.6945548833189283,-3.1127917026793432,1.0,-2.6360414866032844,-1.1996542783059638,0.0
2019-12-24,-0.0,-0.6858047403097458,-3.075382904081458,1.0,-2.6053734919140923,-1.18995465046633,0.0
2019-12-26,-0.0,-0.6766313631704817,-3.0690980526135974,1.0,-2.588401093269559,-1.2070379227878374,0.0
2019-12-27,-0.0,-0.6935608334047844,-3.092857755294521,1.0,-2.5845837263139844,-1.203035239646746,0.0
2019-12-30,-0.0,-0.7143842704380821,-3.1581579855122457,1.0,-2.624266988616765,-1.1268540876164197,0.0
2019-12-31,-0.0,-0.7878920241111208,-3.186074954136455,1.0,-2.6468070236743255,-1.1152266969511662,0.0
2020-01-02,-0.0,-0.7882925980690615,-3.1694355049143255,1.0,-2.6365138731843087,-1.1035922414542922,0.0
2020-01-03,-0.0,-0.8143765453903214,-3.2504415400918405,1.0,-2.6235429176969274,-1.1425291416460615,0.0
2020-01-06,-0.0,-0.8326501514881482,-3.2671538050258424,1.0,-2.6474781678845125,-1.1637854214934948,0.0
2020-01-07,-0.0,-0.8449125952487674,-3.2777229941730166,1.0,-2.691169878978037,-1.150694755714926,0.0
2020-01-08,-0.0,-0.8447750492919878,-3.2756766445599568,1.0,-2.689012367807851,-1.15271554041943,0.0
2020-01-09,-0.0,-0.8699304489206034,-3.292024207388673,1.0,-2.6923493812663715,-1.1783036762713397,0.0
2020-01-10,-0.0,-0.8725153595952295,-3.302312974340441,1.0,-2.6872063606794363,-1.1729309721720274,0.0
2020-01-13,-0.0,-0.8725614161849711,-3.305635838150289,1.0,-2.6828937861271673,-1.170610549132948,0.0
2020-01-14,-0.015055540255209767,-0.8612870650876709,-3.4140273570182686,1.0,-2.7466262737537868,-1.1433030386486736,0.0
2020-01-15,-0.04710446106954835,-0.8579477232843816,-3.431883254825898,1.0,-2.764662418029001,-1.1344786182691418,0.0
2020-01-16,-0.03524756120007362,-0.8328731824038283,-3.4000552181115404,1.0,-2.7533591017853856,-1.1814835265967236,0.0
2020-01-17,-0.03920668441832706,-0.8099348085575245,-3.3908731980534386,1.0,-2.753649802589294,-1.1883206317142594,0.0
2020-01-21,-0.02443056576047024,-0.8052902277736957,-3.408247612049963,1.0,-2.7510102865540045,-1.1954445260837618,0.0
2020-01-22,-0.004035216434336024,-0.7759537784299341,-3.4490095377842995,1.0,-2.723312545854732,-1.218727072633896,0.0
2020-01-23,-0.04159764402724093,-0.744156083195288,-3.4148720780415975,1.0,-2.7251058347137858,-1.277194919933738,0.0
2020-01-24,-0.04032035349351008,-0.749700819294854,-3.4194053208137714,1.0,-2.727883641719598,-1.2682500230139004,0.0
