Date,CIB,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-09-04,1.0,-0.0,-0.08670076726342711,-0.0,-1.1603864734299516,-0.5946575731741972,0.0
2019-09-05,1.0,-0.0,-0.09780699268997564,-0.0,-1.1580155267184224,-0.5775202584008614,0.0
2019-09-06,1.0,-0.0,-0.08493530760737238,-0.0,-1.2059681209478779,-0.5402734916904957,0.0
2019-09-09,1.0,-0.0,-0.07942524183967868,-0.0,-1.2050404480398258,-0.544068563670306,0.0
2019-09-10,1.0,-0.0,-0.06727257283615051,-0.03496701492114726,-1.2244401030606755,-0.5046858631331578,0.0
2019-09-11,1.0,-0.0,-0.05733457912171919,-0.0475381522693168,-1.2285172286871089,-0.4979472805005804,0.0
2019-09-12,1.0,-0.0,-0.07971673966213526,-0.04115238041067061,-1.2268926682213754,-0.49621750753654514,0.0
2019-09-13,1.0,-0.0,-0.08119172162838298,-0.03633158972026381,-1.2249545144416647,-0.5003411416875142,0.0
2019-09-16,1.0,-0.0,-0.07448083067092652,-0.04946371519853949,-1.226466225467823,-0.5021679598356915,0.0
2019-09-17,1.0,-0.0,-0.11970965621695766,-0.0381504872403052,-1.2275597976738204,-0.4723230360357786,0.0
2019-09-18,1.0,-0.0,-0.12383918621596136,-0.03880332599937138,-1.2251907306340544,-0.4695545332457068,0.0
2019-09-19,1.0,-0.0,-0.12688294983564385,-0.038445047877661856,-1.2205516649992854,-0.4725167929112477,0.0
2019-09-20,1.0,-0.0,-0.13307212720928902,-0.04864725733569753,-1.2074300749299318,-0.47074300749299314,0.0
2019-09-23,1.0,-0.0,-0.1331635281323336,-0.050168851239196385,-1.2080018316066623,-0.47055119912998683,0.0
2019-09-24,1.0,-0.0,-0.13202576950608447,-0.04718682891911239,-1.2108518253400142,-0.4732426628489621,0.0
2019-09-25,1.0,-0.0,-0.11743996336262413,-0.050290522941294324,-1.2259781893121904,-0.46858631250536675,0.0
2019-09-26,1.0,-0.0,-0.09593308335736947,-0.0495240842226709,-1.2864147678107873,-0.45246610902797807,0.0
2019-09-27,1.0,-0.0,-0.080484475296988,-0.04409073745969968,-1.3060501321560314,-0.4739028144877865,0.0
2019-09-30,1.0,-0.0,-0.05154969822433449,-0.07502113887512027,-1.3039624456949588,-0.4851444732775462,0.0
2019-10-01,1.0,-0.0,-0.048049365385740186,-0.08144703749195764,-1.3074808445926185,-0.4875124290811253,0.0
2019-10-02,1.0,-0.0,-0.04260739699551963,-0.09312132126855838,-1.3196872529210226,-0.47292746493308735,0.0
2019-10-03,1.0,-0.0,-0.08420807769474573,-0.08179465557849437,-1.3135994882382018,-0.4281352679480097,0.0
2019-10-04,1.0,-0.0,-0.08094724884215432,-0.09021001427281466,-1.3098657190294485,-0.4317963356732982,0.0
2019-10-07,1.0,-0.0,-0.08043572984749456,-0.07186637618010168,-1.3154103122730574,-0.4371532316630356,0.0
2019-10-08,1.0,-0.0,-0.07723636363636364,-0.07153454545454546,-1.3219781818181817,-0.4383418181818182,0.0
2019-10-09,1.0,-0.0,-0.07904347826086956,-0.060405797101449284,-1.331217391304348,-0.42788405797101453,0.0
2019-10-10,1.0,-0.0,-0.10530489954176947,-0.09722711784749147,-1.2905064034778522,-0.44430736693690515,0.0
2019-10-11,1.0,-0.0,-0.11831613508442777,-0.17416158536585366,-1.1847150562851783,-0.45432692307692313,0.0
2019-10-14,1.0,-0.0,-0.09535574575722815,-0.20435895173387453,-1.2056236948145533,-0.4359245860172358,0.0
2019-10-15,1.0,-0.0,-0.10574800600406156,-0.22880183653648056,-1.1961915413367867,-0.4124554845925184,0.0
