Date,IWF,IWM,MTUM,RPD,SPY,VLUE,VXX
2019-09-23,-0.4597531072968631,-0.509934894732392,-1.316944280037203,1.0,-0.9410247738226093,-0.0,0.0
2019-09-24,-0.45913278674668245,-0.5102696306313921,-1.3031020201166428,1.0,-0.9536810075226101,-0.0,0.0
2019-09-25,-0.4579229891373262,-0.509996195950801,-1.3054651506826156,1.0,-0.9533369964918214,-0.0,0.0
2019-09-26,-0.4528553027050236,-0.45105195362816664,-1.4631172176899958,1.0,-0.9267067410905968,-0.0,0.0
2019-09-27,-0.4269215796530991,-0.4642501838314806,-1.459794973831048,1.0,-0.9745231195120896,-0.0,0.0
2019-09-30,-0.4549773361227336,-0.4296112273361227,-1.505273709902371,1.0,-0.9685320781032077,-0.0,0.0
2019-10-01,-0.4559843034663179,-0.4224983649444081,-1.5120994113799868,1.0,-0.9695661652496186,-0.0,0.0
2019-10-02,-0.46275523617562,-0.43063710454824294,-1.5458329681885898,1.0,-0.9425116116028394,-0.0,0.0
2019-10-03,-0.4491728863864519,-0.47226223211557766,-1.5442800401553838,1.0,-0.899044127275108,-0.0,0.0
2019-10-04,-0.46796988508783516,-0.46748558094483333,-1.563994188350284,1.0,-0.9033152819970941,-0.0,0.0
2019-10-07,-0.47720098211153983,-0.46168011224131883,-1.5339354612416696,1.0,-0.9116538056822168,-0.0,0.0
2019-10-08,-0.471421057245551,-0.4657666345226615,-1.5119225037257824,1.0,-0.934163233102481,-0.0,0.0
2019-10-09,-0.46834061135371174,-0.4706113537117904,-1.5165502183406112,1.0,-0.9113100436681222,-0.0,0.0
2019-10-10,-0.49951379066478074,-0.5170615275813296,-1.5690417256011318,1.0,-0.8344678217821783,-0.0,0.0
2019-10-11,-0.5012666103728723,-0.5300653304297587,-1.6181503044309142,1.0,-0.7947646771254611,-0.0,0.0
2019-10-14,-0.5306167990716771,-0.4931714719271624,-1.6404088190663213,1.0,-0.7988931536195661,-0.0,0.0
2019-10-15,-0.553020493816136,-0.4858686431218467,-1.6488368977988124,1.0,-0.7771576550430861,-0.0,0.0
2019-10-16,-0.530351866774107,-0.5026412391440594,-1.6716805443638643,1.0,-0.7720028650729698,-0.0,0.0
2019-10-17,-0.5243088228704575,-0.5047273379038402,-1.6744186046511629,1.0,-0.7774790518438858,-0.0,0.0
2019-10-18,-0.5000673703121491,-0.5392768919829328,-1.7111610150460366,1.0,-0.7408937794745116,-0.0,0.0
2019-10-21,-0.5008792100635736,-0.5583209342170522,-1.7142792731863474,1.0,-0.7353352270165473,-0.0,0.0
2019-10-22,-0.46852517985611514,-0.5379496402877698,-1.7331384892086332,1.0,-0.7567895683453237,-0.0,0.0
2019-10-23,-0.45350616617157263,-0.5596363309028716,-1.6857502925555856,1.0,-0.8020073814024664,-0.0,0.0
2019-10-24,-0.4459846181362904,-0.5648810588445716,-1.6699606510463245,1.0,-0.7906903952781255,-0.0,0.0
2019-10-25,-0.44583518930957683,-0.5580400890868596,-1.6810244988864143,1.0,-0.7694432071269488,-0.0,0.0
2019-10-28,-0.4426332008396231,-0.5756330668572195,-1.6904113259791882,1.0,-0.7573578670001341,-0.0,0.0
2019-10-29,-0.4481075027995521,-0.5737066069428891,-1.6983202687569987,1.0,-0.7591489361702127,-0.0,0.0
2019-10-30,-0.47117153497554626,-0.5607753398842373,-1.688966662179746,1.0,-0.7659622201283259,-0.0,0.0
