Date,GATX,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-08-28,1.0,-0.0,-0.5808028114875625,-0.0,-0.46216572401295924,-0.7026247872165176,0.0
2019-08-29,1.0,-0.0,-0.5832191217586755,-0.0,-0.46337920070171595,-0.6944794693273395,0.0
2019-08-30,1.0,-0.0,-0.5782690781733111,-0.0,-0.4676717651243604,-0.6902618545981886,0.0
2019-09-03,1.0,-0.0,-0.5924165437359996,-0.0,-0.461700267715675,-0.6777031087799814,0.0
2019-09-04,1.0,-0.0,-0.5999015478860144,-0.0,-0.46075589345293444,-0.6741235027074332,0.0
2019-09-05,1.0,-0.0,-0.6036004042942607,-0.0,-0.46002130740022396,-0.6681235829212991,0.0
2019-09-06,1.0,-0.0,-0.6043403394648373,-0.0,-0.45991745702025316,-0.6689807855249132,0.0
2019-09-09,1.0,-0.0,-0.6082536212079803,-0.0,-0.45946980049193764,-0.6652637332604536,0.0
2019-09-10,1.0,-0.0,-0.6105548260013132,-0.0,-0.43795141168745894,-0.6873221711534253,0.0
2019-09-11,1.0,-0.0,-0.6131654577802107,-0.0,-0.4285205966881073,-0.695415355138908,0.0
2019-09-12,1.0,-0.0,-0.6075160002188065,-0.0,-0.4323341173896395,-0.6952573710409714,0.0
2019-09-13,1.0,-0.0,-0.6081709719789843,-0.0,-0.4384851138353765,-0.6897712346760071,0.0
2019-09-16,1.0,-0.0,-0.6114412465427062,-0.0,-0.43576964153681846,-0.6912396965796752,0.0
2019-09-17,1.0,-0.0,-0.6170125390133055,-0.0,-0.43221267042654554,-0.6885779992334229,0.0
2019-09-18,1.0,-0.0,-0.6187816563997262,-0.0,-0.4293223819301848,-0.6897467488021902,0.0
2019-09-19,1.0,-0.0,-0.6159172391143709,-0.0,-0.43309888064807467,-0.6877582856673692,0.0
2019-09-20,1.0,-0.0,-0.6408292147171882,-0.0,-0.43113673805601316,-0.6737781438769906,0.0
2019-09-23,1.0,-0.0,-0.6469684499314129,-0.0,-0.42117969821673523,-0.6753086419753087,0.0
2019-09-24,1.0,-0.0,-0.6479213575704322,-0.0,-0.4240210884727333,-0.6739524411005546,0.0
2019-09-25,1.0,-0.0,-0.6435274104154091,-0.0,-0.4264665532568732,-0.673791362563793,0.0
2019-09-26,1.0,-0.0,-0.645947058016733,-0.0,-0.41857084076258405,-0.6785900425181731,0.0
2019-09-27,1.0,-0.0,-0.6434351775392237,-0.0,-0.42620423892100195,-0.6829066886870354,0.0
2019-09-30,1.0,-0.0,-0.6244071909120988,-0.0,-0.440470938568435,-0.6923458696371456,0.0
2019-10-01,1.0,-0.0,-0.6044049949003502,-0.0,-0.4501199106872123,-0.7020426165338921,0.0
2019-10-02,1.0,-0.0,-0.6171788635861154,-0.0,-0.45901503426929025,-0.6874585452133539,0.0
2019-10-03,1.0,-0.0,-0.6062493080925496,-0.0,-0.465349274880992,-0.6960312188641647,0.0
2019-10-04,1.0,-0.0,-0.6093680709534368,-0.0,-0.46798780487804875,-0.6942627494456762,0.0
2019-10-07,1.0,-0.0,-0.623537870198822,-0.0,-0.4525343583220418,-0.6891850786715704,0.0
2019-10-08,1.0,-0.0,-0.6170089273375529,-0.0,-0.457284209944446,-0.6896160968464111,0.0
2019-10-09,1.0,-0.0,-0.5992991913746631,-0.0,-0.4058760107816711,-0.6902425876010782,0.0
2019-10-10,1.0,-0.0,-0.6048659970997369,-0.0,-0.3981685375154413,-0.6823943283742414,0.0
2019-10-11,1.0,-0.0,-0.6141469583232437,-0.0,-0.3793418893104098,-0.6970968870234348,0.0
2019-10-14,1.0,-0.0,-0.6021528583376049,-0.0,-0.40720856826827095,-0.6884290608897402,0.0
2019-10-15,1.0,-0.0,-0.6036493198013388,-0.0,-0.4171885122003887,-0.6783901965018355,0.0
2019-10-16,1.0,-0.0,-0.6239798951521375,-0.0,-0.41858077068583477,-0.6597038318110577,0.0
2019-10-17,1.0,-0.0,-0.6315108379165318,-0.0,-0.40634098997088314,-0.6581742693842337,0.0
2019-10-18,1.0,-0.0,-0.6367022999676061,-0.0,-0.40003779289493574,-0.6627254076233668,0.0
2019-10-21,1.0,-0.0,-0.6177638509954347,-0.0,-0.3991463842891488,-0.6844323185391284,0.0
2019-10-22,1.0,-0.0,-0.6242303121961759,-0.0,-0.39634870908501674,-0.6800799395052393,0.0
2019-10-23,1.0,-0.0,-0.6204585537918872,-0.0,-0.37319223985890654,-0.7196852530185863,0.0
2019-10-24,1.0,-0.0,-0.617359313257937,-0.0,-0.3918790025889086,-0.7159013489576236,0.0
2019-10-25,1.0,-0.0,-0.6168924997955233,-0.0,-0.39613948035660734,-0.7133237002099293,0.0
2019-10-28,1.0,-0.0,-0.6276740886269374,-0.0,-0.39729316743069204,-0.7036946081641564,0.0
2019-10-29,1.0,-0.0,-0.6267253396014979,-0.0,-0.40623718807226616,-0.7002487222237407,0.0
2019-10-30,1.0,-0.0,-0.6330853201542389,-0.0,-0.38687340465975134,-0.695514038994189,0.0
2019-10-31,1.0,-0.0,-0.6312239958665324,-0.0,-0.3673075354200092,-0.7208549751176134,0.0
2019-11-01,1.0,-0.0,-0.6249423635032141,-0.0,-0.361740215357075,-0.7256231522417206,0.0
2019-11-04,1.0,-0.0,-0.6224484270940496,-0.0,-0.36263468514808606,-0.7221560452650387,0.0
2019-11-05,1.0,-0.0,-0.6192527567801892,-0.0,-0.36121271234658214,-0.7289008101005175,0.0
2019-11-06,1.0,-0.0,-0.6139781131457578,-0.0,-0.36094206260404443,-0.7541140190486588,0.0
2019-11-07,1.0,-0.0,-0.6098799126637554,-0.0,-0.36386462882096066,-0.7555131004366813,0.0
2019-11-08,1.0,-0.0,-0.6071974661424202,-0.0,-0.36727282656181737,-0.7559796854521625,0.0
2019-11-11,1.0,-0.0,-0.6055013261148935,-0.0,-0.37237853061001286,-0.7563503130724851,0.0
2019-11-12,1.0,-0.0,-0.6081055195249433,-0.0,-0.37241058479052075,-0.7559860985688094,0.0
2019-11-13,1.0,-0.0,-0.6098009104371196,-0.0,-0.3741567487522624,-0.7582953984533538,0.0
2019-11-14,1.0,-0.0,-0.611149195206888,-0.0,-0.3715484383997368,-0.7593572623323919,0.0
2019-11-15,1.0,-0.0,-0.611149214013333,-0.0,-0.3720336890620285,-0.7601986228087021,0.0
2019-11-18,1.0,-0.0,-0.6105769230769231,-0.0,-0.3809065934065934,-0.7557692307692309,0.0
2019-11-19,1.0,-0.0,-0.6187387884641921,-0.0,-0.37916379191389543,-0.7618600800331172,0.0
2019-11-20,1.0,-0.0,-0.6462092862092862,-0.0,-0.39944559944559943,-0.7263478863478863,0.0
2019-11-21,1.0,-0.0,-0.6395248078266946,-0.0,-0.42152341020265544,-0.7341998602375961,0.0
2019-11-22,1.0,-0.0,-0.6391256952790899,-0.0,-0.42231042289739223,-0.7336836515079521,0.0
2019-11-25,1.0,-0.0,-0.6389090705862628,-0.0,-0.42035991728608957,-0.735119879282401,0.0
2019-11-26,1.0,-0.0,-0.6140198927134555,-0.0,-0.4345943227536879,-0.7452782744747429,0.0
2019-11-27,1.0,-0.0,-0.5867202994497054,-0.0,-0.4417721165395682,-0.7648817006061622,0.0
2019-11-29,1.0,-0.0,-0.5832376578645235,-0.0,-0.4551818767326594,-0.7618380891041977,0.0
2019-12-02,1.0,-0.0,-0.5874996479170774,-0.013576317494296256,-0.4568064670591217,-0.758780948088894,0.0
2019-12-03,1.0,-0.0,-0.5847598167355315,-0.0029794530173988813,-0.4596790060994463,-0.7633583494954606,0.0
2019-12-04,1.0,-0.0,-0.5967673809590854,-0.008475769436544364,-0.45431250527975675,-0.7563427477261848,0.0
2019-12-05,1.0,-0.0,-0.5884186072865317,-0.027536970933197347,-0.44311292424499965,-0.7739531984815003,0.0
2019-12-06,1.0,-0.0,-0.6162475380355665,-0.03687951360146148,-0.45671224274255706,-0.7446122227613964,0.0
2019-12-09,1.0,-0.0,-0.5846354166666666,-0.06267361111111111,-0.4833333333333333,-0.7629050925925925,0.0
2019-12-10,1.0,-0.0,-0.5834938019015525,-0.13187507521964137,-0.5387531592249368,-0.7546937056204116,0.0
2019-12-11,1.0,-0.0,-0.5811046861823876,-0.13513432116612456,-0.5386399229008554,-0.7568365257197929,0.0
