Date,BPY,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-18,1.0,-0.0,-0.11061262768357286,-0.0,-0.9253288723291004,-0.4987199959445416,0.0
2019-07-19,1.0,-0.0,-0.11266891463631062,-0.0,-0.9234845219684101,-0.49915067312324113,0.0
2019-07-22,1.0,-0.0,-0.11466761356430873,-0.0,-0.9270804271184722,-0.4945849291094935,0.0
2019-07-23,1.0,-0.0,-0.114637732596461,-0.0,-0.922932616741875,-0.4975409420473559,0.0
2019-07-24,1.0,-0.0,-0.1133260720889587,-0.0,-0.9215025709871072,-0.49813825071557033,0.0
2019-07-25,1.0,-0.0,-0.11022150380117697,-0.0,-0.9187482635819463,-0.49672921981158286,0.0
2019-07-26,1.0,-0.0,-0.10454166771856303,-0.0,-0.922874958976042,-0.4971346343187498,0.0
2019-07-29,1.0,-0.0,-0.10643339719673289,-0.0,-0.9174901683977009,-0.497025310073611,0.0
2019-07-30,1.0,-0.0,-0.10260348474166583,-0.0,-0.9153741565112297,-0.49989928492295294,0.0
2019-07-31,1.0,-0.0,-0.11743566546039405,-0.0,-0.906664656212304,-0.48896763168476076,0.0
2019-08-01,1.0,-0.0,-0.12930342266385628,-0.0,-0.8990765833584262,-0.48087925323697683,0.0
2019-08-02,1.0,-0.0,-0.12207525427125608,-0.006438198306528383,-0.9047296958765471,-0.4718923793777244,0.0
2019-08-05,1.0,-0.0,-0.12184610758938638,-0.005587432036280725,-0.9054145473678935,-0.4727017614191576,0.0
2019-08-06,1.0,-0.0,-0.12518100564238277,-0.019373845308833074,-0.8733959155140559,-0.47870374993758424,0.0
2019-08-07,1.0,-0.0,-0.1303465892016428,-0.021937293398777924,-0.8758639687468697,-0.47610938595612545,0.0
2019-08-08,1.0,-0.0,-0.1212144003208985,-0.017273365423184917,-0.8839249899719214,-0.48460689931809064,0.0
2019-08-09,1.0,-0.0,-0.11727858012876284,-0.023067936066022025,-0.8695717020060156,-0.4758507544308832,0.0
2019-08-12,1.0,-0.0,-0.1161773114884519,-0.025383487059642496,-0.8714914352484898,-0.4730875369813291,0.0
2019-08-13,1.0,-0.0,-0.12932075192786224,-0.020103969055655476,-0.8625982409027076,-0.45169873611076894,0.0
2019-08-14,1.0,-0.0,-0.1383051177271843,-0.01846176298890835,-0.8451790231562561,-0.4304339365635338,0.0
2019-08-15,1.0,-0.0,-0.15053918389893603,-0.033840094147032686,-0.8213608088959339,-0.39596993059058044,0.0
2019-08-16,1.0,-0.0,-0.14989190487629112,-0.035503242853711266,-0.8209704539995196,-0.3957482584674514,0.0
2019-08-19,1.0,-0.0,-0.15274457301329256,-0.03918427847374964,-0.8135698575117146,-0.38522042650855887,0.0
2019-08-20,1.0,-0.0,-0.14498123604579355,-0.05291910123034536,-0.7940477887036245,-0.3832597026269536,0.0
2019-08-21,1.0,-0.0,-0.14854256101321064,-0.04684201788297797,-0.7973578730166259,-0.3790052889974622,0.0
2019-08-22,1.0,-0.0,-0.1533605995413603,-0.03543819002813305,-0.7918390505685714,-0.3835078843471477,0.0
2019-08-23,1.0,-0.0,-0.15727777514118932,-0.037563475867305775,-0.799795928052774,-0.3782924398462342,0.0
2019-08-26,1.0,-0.0,-0.14947605845589962,-0.036910859452093416,-0.7930078473755933,-0.37011888539072413,0.0
2019-08-27,1.0,-0.0,-0.1484455715224946,-0.037827557058326286,-0.7920071381609843,-0.3697755236216775,0.0
2019-08-28,1.0,-0.0,-0.13987934555526865,-0.04443557662965658,-0.7980329100255863,-0.3650149057533861,0.0
2019-08-29,1.0,-0.0,-0.1315894521802428,-0.044778923145560846,-0.7999859111935567,-0.3717801206941085,0.0
2019-08-30,1.0,-0.0,-0.12051599635437357,-0.045827393610806004,-0.8073894043139913,-0.3632072164707532,0.0
2019-09-03,1.0,-0.0,-0.13457363617264642,-0.0619062069609468,-0.7945096757627396,-0.34333201055113327,0.0
2019-09-04,1.0,-0.0,-0.12851039988794735,-0.06620444942456288,-0.7937530639400519,-0.3459392581179821,0.0
2019-09-05,1.0,-0.0,-0.12943754224843243,-0.06167688398871821,-0.7979301181790635,-0.3419034521339829,0.0
2019-09-06,1.0,-0.0,-0.12931637075352997,-0.06106994734144182,-0.7958665361852835,-0.3437718439815462,0.0
2019-09-09,1.0,-0.0,-0.1373627648956665,-0.06058073950282014,-0.7868068611749414,-0.3363507648028225,0.0
2019-09-10,1.0,-0.0,-0.15016667055176114,-0.022564628546119955,-0.7799016294086109,-0.3784237394811068,0.0
2019-09-11,1.0,-0.0,-0.14706841909023116,-0.013516032811334823,-0.7801081282624907,-0.389634601043997,0.0
2019-09-12,1.0,-0.0,-0.12478199195404971,-0.021463618817291818,-0.7829918842871427,-0.3961816617445294,0.0
2019-09-13,1.0,-0.0,-0.12602580495176102,-0.023642915262117866,-0.7821690108101826,-0.3929094501917936,0.0
2019-09-16,1.0,-0.0,-0.12094655849740811,-0.02768544131662754,-0.78323531462842,-0.39268695227690087,0.0
