Date,IWF,IWM,MTUM,SPY,TLK,VLUE,VXX
2020-01-29,-0.0,-0.11071667782987274,-1.1215003348961823,-0.7985934360348292,1.0,-0.3181178834561286,0.0
2020-01-30,-0.0,-0.10957297043641483,-1.116678956894818,-0.8249312864516994,1.0,-0.30069719112422066,0.0
2020-01-31,-0.0,-0.1215158264156037,-1.1149018019842074,-0.8320847674967943,1.0,-0.3060336100425188,0.0
2020-02-03,-0.0,-0.1141361601264156,-1.083190676850145,-0.8058664735317357,1.0,-0.28887937845667633,0.0
2020-02-04,-0.0,-0.10184637624022604,-1.0697811945594324,-0.8106971548721993,1.0,-0.3030093961495499,0.0
2020-02-05,-0.0,-0.10712537128308909,-1.0732121291249144,-0.7979893592714692,1.0,-0.28566765675490424,0.0
2020-02-06,-0.0,-0.11190958385052589,-1.0777422094466584,-0.7963023453322009,1.0,-0.2805252498856732,0.0
2020-02-07,-0.0,-0.12007168458781362,-1.0769631801889865,-0.7864776800260671,1.0,-0.27487781036168135,0.0
2020-02-10,-0.0,-0.12329345988818098,-1.0732999609933687,-0.783090625406319,1.0,-0.27086854765310103,0.0
2020-02-11,-0.0,-0.11918359400350444,-1.0696995262508924,-0.7768187422934648,1.0,-0.27918748783178665,0.0
2020-02-12,-0.0,-0.11937403000517331,-1.0725232798758406,-0.7747348680807036,1.0,-0.26668391101914124,0.0
2020-02-13,-0.0,-0.12623682338485417,-1.0719136002069458,-0.776854426695984,1.0,-0.2584880036215482,0.0
2020-02-14,-0.0,-0.10391620829353447,-1.0697934850630744,-0.8285629590593195,1.0,-0.291393564111854,0.0
2020-02-18,-0.0,-0.10826829991109355,-1.058645329118509,-0.8178734894135467,1.0,-0.3080443873686983,0.0
2020-02-19,-0.0,-0.11064601186552407,-1.0593605800922874,-0.8161832564271588,1.0,-0.3098220171390903,0.0
2020-02-20,-0.0,-0.11229911229911228,-1.0590370590370588,-0.8175428175428174,1.0,-0.3110913110913111,0.0
2020-02-21,-0.0,-0.1155557020000659,-1.0562786253253815,-0.8134040660318298,1.0,-0.30979603940821776,0.0
2020-02-24,-0.0,-0.1200451122831459,-1.0712508707334063,-0.8150396391017348,1.0,-0.31077719176037416,0.0
