Date,ETG,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-10,1.0,-0.14512793733681462,-0.0,-0.29386945169712797,-0.4264020887728459,-0.22337336814621409,0.0
2020-01-13,1.0,-0.1509229098805646,-0.0,-0.29606197277207047,-0.42069656727637184,-0.2203499540633091,0.0
2020-01-14,1.0,-0.14884787821916382,-0.0,-0.2937545615681368,-0.4199353560629757,-0.2227713481388802,0.0
2020-01-15,1.0,-0.1506863604122335,-0.0,-0.2936746359577753,-0.42059915717444823,-0.22124170734760298,0.0
2020-01-16,1.0,-0.1490271318637776,-0.0,-0.292173260203124,-0.41959500323246646,-0.2246668474067277,0.0
2020-01-17,1.0,-0.1534758689672418,-0.0,-0.2874468617154289,-0.4209385679753272,-0.22201383679253148,0.0
2020-01-21,1.0,-0.14757920153199283,-0.0,-0.28895549727321923,-0.4191540735190042,-0.22580242287998,0.0
2020-01-22,1.0,-0.15016652789342214,-0.0,-0.28374271440466275,-0.4229600333055787,-0.22472939217318902,0.0
2020-01-23,1.0,-0.14673212131297583,-0.0,-0.2900736364770978,-0.4154220576611058,-0.2278986562382993,0.0
2020-01-24,1.0,-0.14719217970049916,-0.0,-0.2910981697171381,-0.41686772046589016,-0.2247296173044925,0.0
2020-01-27,1.0,-0.13886292349556512,-0.0,-0.2995160050684448,-0.4099208574811491,-0.22893167985708648,0.0
2020-01-28,1.0,-0.1369377216449947,-0.0,-0.2983678632904042,-0.4104606068147411,-0.22810510379725835,0.0
2020-01-29,1.0,-0.13300064191497732,-0.0,-0.2985939991303087,-0.4096452902076905,-0.2294535439918829,0.0
2020-01-30,1.0,-0.14789491132106747,-0.0,-0.28878667329686725,-0.42203298524780375,-0.21322310624896404,0.0
2020-01-31,1.0,-0.14693200663349917,-0.0,-0.2895107794361526,-0.42263681592039803,-0.2139096185737977,0.0
2020-02-03,1.0,-0.15099744456351497,-0.0,-0.28332371609924983,-0.41764899843376474,-0.20886571593438297,0.0
2020-02-04,1.0,-0.15447473225892985,-0.0,-0.2827221889767029,-0.4189554487113349,-0.2073832566393595,0.0
2020-02-05,1.0,-0.14533519897938185,-0.0,-0.28713115766080904,-0.4201613235112556,-0.20504959051812832,0.0
2020-02-06,1.0,-0.15057835590499322,-0.0,-0.28831350594821553,-0.41707487753673894,-0.20225991026221543,0.0
2020-02-07,1.0,-0.14378492052038017,-0.0,-0.29027070490485124,-0.42125229367255634,-0.20642022142960229,0.0
2020-02-10,1.0,-0.1442995804886074,-0.0,-0.28662498971785805,-0.4195730854651641,-0.20593073949165092,0.0
2020-02-11,1.0,-0.14233793967269667,-0.0,-0.28313586990000206,-0.4212233835034188,-0.2066487341122359,0.0
2020-02-12,1.0,-0.14161873459326213,-0.0,-0.2816762530813475,-0.41918652423993424,-0.21172966310599833,0.0
2020-02-13,1.0,-0.14114940640019719,-0.0,-0.2819496364457955,-0.41909378466088815,-0.21178572895698966,0.0
2020-02-14,1.0,-0.14442319162501802,-0.0,-0.2790358075728595,-0.4170008843915181,-0.21628514427922094,0.0
2020-02-18,1.0,-0.14584105796564084,-0.0,-0.284369464013513,-0.41986981419684427,-0.2098422115107321,0.0
2020-02-19,1.0,-0.14715994482531447,-0.0,-0.28359376608403847,-0.4197599489428283,-0.20822267514874518,0.0
2020-02-20,1.0,-0.1447289931091227,-0.0,-0.28591998354417364,-0.41748431554047105,-0.20884500668517944,0.0
2020-02-21,1.0,-0.1416586523705265,-0.0,-0.2799819934112255,-0.412105338544331,-0.21245728550674225,0.0
2020-02-24,1.0,-0.1549548065638576,-0.0,-0.2793963227573143,-0.41402952500566204,-0.2105458214087175,0.0
2020-02-25,1.0,-0.1770397926768099,-0.0,-0.2873474335395419,-0.4026709580337736,-0.22291422838990135,0.0
2020-02-26,1.0,-0.16609122686624778,-0.003731423302095173,-0.3154553837575862,-0.41929188737106216,-0.23994767429392466,0.0
2020-02-27,1.0,-0.18392282958199357,-0.0,-0.3040514469453376,-0.4258949624866023,-0.2297534833869239,0.0
2020-02-28,1.0,-0.18849914965986395,-0.011437074829931974,-0.29593962585034017,-0.40093537414965985,-0.22901785714285716,0.0
2020-03-02,1.0,-0.1323593167432585,-0.05605653342582156,-0.349908956906269,-0.4008497355414896,-0.22849648833781325,0.0
2020-03-03,1.0,-0.13362533983515298,-0.06514046519656497,-0.3403961506926164,-0.39433823846718163,-0.2241833167910931,0.0
2020-03-04,1.0,-0.09883048451355866,-0.09709548901169517,-0.37113909951591484,-0.37295977380799383,-0.20194490853789146,0.0
2020-03-05,1.0,-0.10362277414300536,-0.11338372610048911,-0.3486205509326897,-0.3569628829744437,-0.19477439708653582,0.0
2020-03-06,1.0,-0.10980110940037544,-0.12494463543753823,-0.3426697319300614,-0.34323919600109676,-0.1884715162508173,0.0
2020-03-09,1.0,-0.10805182785747339,-0.13579571747086788,-0.34178200328130914,-0.3423078541079466,-0.17548693786546632,0.0
2020-03-10,1.0,-0.16213806572132122,-0.15228835866519486,-0.32680224165746796,-0.3000127366901588,-0.18154029039653563,0.0
2020-03-11,1.0,-0.11796979305740989,-0.21914636181575434,-0.34187249666221625,-0.2622037716955941,-0.14490153538050732,0.0
2020-03-12,1.0,-0.11000827129859388,-0.24111895824054633,-0.36171025004771906,-0.2639816758923459,-0.14400542936523086,0.0
2020-03-13,1.0,-0.15088141396381807,-0.2799935224170638,-0.3964512099199556,-0.28441215934854025,-0.2016610373386388,0.0
2020-03-16,1.0,-0.13672867513611614,-0.31295372050816694,-0.37931034482758613,-0.2709845735027223,-0.16864791288566244,0.0
2020-03-17,1.0,-0.18007401207101636,-0.25432838451033085,-0.2956297634257016,-0.28463808978369093,-0.18804793162694391,0.0
2020-03-18,1.0,-0.1755617367117215,-0.2704159242035725,-0.2533791125211874,-0.28351949237254986,-0.19018644878091182,0.0
2020-03-19,1.0,-0.1659725953788286,-0.33626634425935875,-0.2800465699444743,-0.29885366290524806,-0.15780046569944475,0.0
2020-03-20,1.0,-0.1661402683511413,-0.34973008086374124,-0.2751159196290572,-0.29771744730416866,-0.1512891158748292,0.0
2020-03-23,1.0,-0.16718252466098107,-0.36914649624796814,-0.25061791623059965,-0.29374958248903343,-0.14602863568549734,0.0
2020-03-24,1.0,-0.15916078856936156,-0.3572526677518539,-0.2889084825465726,-0.30950443118104537,-0.14595767769940315,0.0
2020-03-25,1.0,-0.16193961573650503,-0.35648137817151276,-0.26561488853680854,-0.3054693950416174,-0.14203467743735076,0.0
2020-03-26,1.0,-0.14161174215865002,-0.36726966764829616,-0.33882578413499737,-0.3471696349273127,-0.14231290609077735,0.0
2020-03-27,1.0,-0.1391577477896696,-0.3661935784085621,-0.3346905537459283,-0.34674267100977196,-0.13987901349464868,0.0
2020-03-30,1.0,-0.1250202992692263,-0.3616285813710706,-0.35601438348219466,-0.3490546340331748,-0.12819858485094537,0.0
2020-03-31,1.0,-0.11441854010546766,-0.3734388009991673,-0.35495883060412614,-0.3407114441668979,-0.12935979276528817,0.0
2020-04-01,1.0,-0.11705693349668292,-0.3804350338642195,-0.34694066249046485,-0.34153163357296407,-0.12556344051223967,0.0
2020-04-02,1.0,-0.11297671083975115,-0.38525405305395594,-0.348712967459932,-0.3423298411156595,-0.1234533638613289,0.0
2020-04-03,1.0,-0.11306840511362323,-0.3856948008414823,-0.348752803014541,-0.3416094504935618,-0.1226391104329935,0.0
2020-04-06,1.0,-0.11580674229996071,-0.3802768086138774,-0.34663462649321836,-0.34430093116754085,-0.12357032278934356,0.0
2020-04-07,1.0,-0.11165282984154729,-0.37706689970793184,-0.34475542165903916,-0.3438815169146563,-0.12236966170687395,0.0
2020-04-08,1.0,-0.10812991263859116,-0.37763640135536963,-0.3332180808150658,-0.34628771638660305,-0.1397782541548533,0.0
2020-04-09,1.0,-0.11004003128882345,-0.37219896010675013,-0.3366079234344085,-0.34548842773662175,-0.13631344039019003,0.0
2020-04-13,1.0,-0.11121845743334943,-0.369217675338716,-0.33715179536723944,-0.34557081406850226,-0.13709658868723115,0.0
2020-04-14,1.0,-0.10896653384618928,-0.38077250846442634,-0.32710689361310086,-0.34776700370822494,-0.1386093005044107,0.0
2020-04-15,1.0,-0.10323812152154915,-0.384480934639621,-0.3238581481992549,-0.3480520675221931,-0.1401729451267191,0.0
2020-04-16,1.0,-0.10591964716422024,-0.3805618726023936,-0.32809592722762043,-0.3486320722210736,-0.13387545080743343,0.0
2020-04-17,1.0,-0.10473477451813733,-0.384341473500425,-0.32484091065726295,-0.3484573502722323,-0.13494451974545704,0.0
2020-04-20,1.0,-0.11123858473681796,-0.37520077096048826,-0.3300904042953513,-0.3467027671974669,-0.13131568078564546,0.0
2020-04-21,1.0,-0.11270515321932745,-0.3748421898312866,-0.32957649489268914,-0.34647079077240905,-0.13182600711580397,0.0
2020-04-22,1.0,-0.10687704674010123,-0.38053907985435226,-0.32608148029404355,-0.34779123823482266,-0.1287700093892413,0.0
2020-04-23,1.0,-0.1038892701898879,-0.3829787234042553,-0.324822695035461,-0.3471059254175246,-0.12900938000457562,0.0
2020-04-24,1.0,-0.10522943128504406,-0.37967730861654647,-0.3267650760956631,-0.3483464927337224,-0.12855017736583133,0.0
2020-04-27,1.0,-0.11209385454378809,-0.3795426424086889,-0.32106686219696623,-0.3480362953118556,-0.1306539571971954,0.0
2020-04-28,1.0,-0.12175566398643851,-0.36304492245664677,-0.32350583006895295,-0.35470643483838454,-0.12778045036996313,0.0
2020-04-29,1.0,-0.11472669399345073,-0.36863679040051295,-0.31983787125878765,-0.35253841397787905,-0.13421420229453387,0.0
2020-04-30,1.0,-0.11418891076415916,-0.36770294400439546,-0.3208644292843735,-0.35380706011629504,-0.13273201776475435,0.0
2020-05-01,1.0,-0.11608369196959985,-0.36699935903305553,-0.3202774471202271,-0.3548209870890944,-0.1310319567805146,0.0
2020-05-04,1.0,-0.11493464948359382,-0.36436340371081255,-0.32295951009962526,-0.35817109953386345,-0.12455442829723061,0.0
2020-05-05,1.0,-0.11445480303445756,-0.3641806050635225,-0.31932638698473637,-0.35967918837400603,-0.1273649574993145,0.0
2020-05-06,1.0,-0.11372047334033901,-0.364303010919724,-0.31763147073605336,-0.35977977795038146,-0.12902636268104353,0.0
2020-05-07,1.0,-0.11194422219682248,-0.3640416047548291,-0.3156932220825237,-0.36157275117156246,-0.13274659961138416,0.0
2020-05-08,1.0,-0.11118730855392493,-0.36613633246468247,-0.31513738398939334,-0.36147304896447674,-0.13201206967494172,0.0
