Date,IWF,IWM,LQDT,MTUM,SPY,VLUE,VXX
2019-09-25,-0.0,-0.46798534008839066,1.0,-0.3684919693866551,-2.0992238870324456,-1.4539721892853292,0.0
2019-09-26,-0.0,-0.4236858072701197,1.0,-0.5183959402062992,-2.152131943295273,-1.4218655193336642,0.0
2019-09-27,-0.0,-0.3706467661691542,1.0,-0.5125483692647872,-2.1831398562741846,-1.4615809839690437,0.0
2019-09-30,-0.0,-0.273743635156077,1.0,-0.5941443435908789,-2.177274739871596,-1.489539517378791,0.0
2019-10-01,-0.0,-0.26417290108063174,1.0,-0.6047104461069548,-2.1789969520642836,-1.4938210030479357,0.0
2019-10-02,-0.0,-0.30723361569326796,1.0,-0.6708091841283995,-2.1605550601872494,-1.4342955862683906,0.0
2019-10-03,-0.0,-0.3503934841230532,1.0,-0.6479555335424577,-2.1185955643607945,-1.3863298662704309,0.0
2019-10-04,-0.0,-0.38519629074351713,1.0,-0.6610583597090344,-2.109778444111278,-1.39674607140874,0.0
2019-10-07,-0.0,-0.4069060773480663,1.0,-0.661767955801105,-2.073756906077348,-1.3824309392265193,0.0
2019-10-08,-0.0,-0.4009733974890769,1.0,-0.6476411702892539,-2.0959570820197997,-1.3860959017753443,0.0
2019-10-09,-0.0,-0.41422227095783765,1.0,-0.6406052963430012,-2.077635835297988,-1.3503481550523604,0.0
2019-10-10,-0.0,-0.4873662390049862,1.0,-0.7420023530730012,-1.982407978037985,-1.3907781948568545,0.0
2019-10-11,-0.0,-0.5002822944896115,1.0,-0.782689701897019,-1.976287262872629,-1.3865740740740742,0.0
2019-10-14,-0.0,-0.44691344028116314,1.0,-0.8545433932316762,-2.022391020917181,-1.3448217221245962,0.0
2019-10-15,-0.0,-0.4538072795411959,1.0,-0.8748509454318325,-2.020157855885526,-1.3295099653625575,0.0
2019-10-16,-0.0,-0.48099173553719016,1.0,-0.9003134796238245,-2.0075805072670274,-1.3107438016528927,0.0
2019-10-17,-0.0,-0.4260998235729327,1.0,-0.9697797507256274,-1.9761538899322746,-1.3192191679471856,0.0
2019-10-18,-0.0,-0.4693819261967326,1.0,-1.0014852050725467,-1.922883582771621,-1.318519364789215,0.0
2019-10-21,-0.0,-0.42900440327100137,1.0,-1.0066334991708126,-1.9219991994052725,-1.3609538514324928,0.0
2019-10-22,-0.0,-0.4114351057747284,1.0,-1.0110348770726127,-1.924757004002287,-1.3702687249857062,0.0
2019-10-23,-0.0,-0.41073165150735086,1.0,-1.0039471426119786,-1.931182426634632,-1.3746353183456326,0.0
2019-10-24,-0.0,-0.3950345147630373,1.0,-1.0964673124891235,-1.938975578629851,-1.3703231045884332,0.0
2019-10-25,-0.0,-0.3989355547842184,1.0,-1.0741640634039107,-1.936364688186972,-1.3756218905472635,0.0
2019-10-28,-0.0,-0.4404009966969925,1.0,-1.0954395317842036,-1.910065480674509,-1.3488439473836704,0.0
2019-10-29,-0.0,-0.4410002907822041,1.0,-1.1917417854027335,-1.8405350392555975,-1.342366967141611,0.0
2019-10-30,-0.0,-0.44552382060380435,1.0,-1.1924262695596533,-1.8379384561689256,-1.3411668896515618,0.0
2019-10-31,-0.0,-0.43554960409874244,1.0,-1.20511178388449,-1.8139264089427107,-1.3674312994876572,0.0
2019-11-01,-0.0,-0.45516717325227957,1.0,-1.228255786766425,-1.807809212064531,-1.353986439092822,0.0
2019-11-04,-0.0,-0.437139023394201,1.0,-1.2459599789977247,-1.817396884662505,-1.3334111195379499,0.0
2019-11-05,-0.0,-0.48332058598576216,1.0,-1.4264870271224332,-1.7283049949991176,-1.2452785785726892,0.0
2019-11-06,-0.0,-0.4773746189252197,1.0,-1.430270787255664,-1.7507920377787076,-1.3192061689282086,0.0
2019-11-07,-0.0,-0.495962677193612,1.0,-1.4267001614929122,-1.7444823254979362,-1.314133620431844,0.0
2019-11-08,-0.0,-0.46279416145367885,1.0,-1.4285373845695561,-1.7433422698838248,-1.3229669347631814,0.0
2019-11-11,-0.0,-0.43882388238823883,1.0,-1.4823282328232823,-1.738973897389739,-1.3405340534053405,0.0
2019-11-12,-0.0,-0.4212551094012984,1.0,-1.4941692714594854,-1.746513584996393,-1.3491824957922578,0.0
2019-11-13,-0.0,-0.4394522892597346,1.0,-1.653646310899199,-1.6916681948774372,-1.3280762882816797,0.0
2019-11-14,-0.0,-0.44077539289427015,1.0,-1.6497278786766953,-1.6908212560386473,-1.3337613893475202,0.0
2019-11-15,-0.0,-0.43969587344411054,1.0,-1.6694463179839352,-1.6844073824268808,-1.3380342142375374,0.0
2019-11-18,-0.0,-0.43940048109541724,1.0,-1.6957379880342935,-1.7030160981928084,-1.3297970764201568,0.0
2019-11-19,-0.0,-0.5245775236136992,1.0,-1.7458716185825356,-1.7707382895328665,-1.38430893786545,0.0
2019-11-20,-0.0,-0.4404185022026431,1.0,-1.3307819383259911,-1.4894273127753304,-1.2459251101321585,0.0
2019-11-21,-0.0,-0.416210110138379,1.0,-1.4170008472182998,-1.5087263484891273,-1.3061282123693871,0.0
2019-11-22,-0.0,-0.413705869125253,1.0,-1.4327074432201485,-1.503373060490218,-1.2720373285360917,0.0
2019-11-25,-0.0,-0.4159023096474749,1.0,-1.4062327328986628,-1.4666261465355288,-1.2367664935351972,0.0
2019-11-26,-0.0,-0.4346740638002774,1.0,-1.41126213592233,-1.4667961165048544,-1.235117891816921,0.0
2019-11-27,-0.0,-0.49964381609951225,1.0,-1.361828045372349,-1.4075839772042302,-1.2106964765192612,0.0
2019-11-29,-0.0,-0.5021439272614558,1.0,-1.3339360438084413,-1.3242237950095572,-1.005734359663171,0.0
2019-12-02,-0.0,-0.5166561248155176,1.0,-1.4273666455829643,-1.3298018131983977,-0.9970482816782626,0.0
2019-12-03,-0.0,-0.5100583013813751,1.0,-1.4173538526183096,-1.3252796890592993,-0.9996848573979725,0.0
2019-12-04,-0.0,-0.5349341513725075,1.0,-1.4223303538372032,-1.3287671232876714,-1.003014756439414,0.0
2019-12-05,-0.0,-0.5131825231295791,1.0,-1.4701320926252741,-1.3015669287127656,-1.0629980212845607,0.0
2019-12-06,-0.0,-0.5737099402498642,1.0,-1.500814774579033,-1.3411732753938075,-1.016132536664856,0.0
2019-12-09,-0.0,-0.4866774211492462,1.0,-1.5922567725426933,-1.411080825499249,-1.0726483840462813,0.0
2019-12-10,-0.0,-0.4803762957636767,1.0,-1.917910000599197,-1.6044700101863503,-0.989214452633471,0.0
