Date,HPS,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-06-07,1.0,-0.0,-0.08261630722240847,-0.0740864901106269,-0.44775952620404513,-0.2579431593846613,0.0
2019-06-10,1.0,-0.0,-0.08387757000651223,-0.07392315564238534,-0.44309238068657547,-0.2597450925667504,0.0
2019-06-11,1.0,-0.0,-0.08331003634330444,-0.08577019849035505,-0.4361010157487653,-0.2585965893206598,0.0
2019-06-12,1.0,-0.0,-0.08008662049396084,-0.08178542759534789,-0.4398790299998133,-0.2650885806560009,0.0
2019-06-13,1.0,-0.0,-0.08676550318757129,-0.08642898539886706,-0.43261231281198004,-0.263755164613285,0.0
2019-06-14,1.0,-0.0,-0.08334423655632604,-0.09113848339283377,-0.4355619521130446,-0.25906057830694756,0.0
2019-06-17,1.0,-0.0,-0.08128184549916945,-0.09074450810952052,-0.4319789469754941,-0.2623975811418653,0.0
2019-06-18,1.0,-0.0,-0.0785605014738256,-0.09044438640349241,-0.4331368232528636,-0.2634789746651244,0.0
2019-06-19,1.0,-0.0,-0.07937099418691311,-0.09217096437621107,-0.43273960351766283,-0.2588873155462811,0.0
2019-06-20,1.0,-0.0,-0.08091375291375291,-0.08872727272727272,-0.4352634032634033,-0.25989743589743586,0.0
2019-06-21,1.0,-0.0,-0.08273495346625136,-0.08872186060391293,-0.4331648544304978,-0.2604397858888039,0.0
2019-06-24,1.0,-0.0,-0.07595480437015595,-0.09037258380801196,-0.43051638808478854,-0.27074423382201884,0.0
2019-06-25,1.0,-0.0,-0.07579946204423192,-0.09014494919306636,-0.4308502689778841,-0.2711259713090257,0.0
2019-06-26,1.0,-0.0,-0.07493786324307151,-0.0872904636429893,-0.424249219786586,-0.2822784100465325,0.0
2019-06-27,1.0,-0.0,-0.07268578269083291,-0.09587939322522117,-0.425097731141163,-0.2768082599180742,0.0
2019-06-28,1.0,-0.0,-0.07118149692425631,-0.09477777985528112,-0.42686461118486246,-0.2769478151936129,0.0
2019-07-01,1.0,-0.0,-0.07320950938031909,-0.0934478050240353,-0.4260516618970129,-0.2777434861492995,0.0
2019-07-02,1.0,-0.0,-0.07943217311612771,-0.09029868891091702,-0.42121308470645447,-0.27936858249013413,0.0
2019-07-03,1.0,-0.0,-0.07632459930052927,-0.0935869382258879,-0.4211412220164955,-0.2791898109184761,0.0
2019-07-05,1.0,-0.0,-0.0746578415974871,-0.0938224515743026,-0.4207987435494728,-0.2804390097973226,0.0
2019-07-08,1.0,-0.0,-0.07432546137880743,-0.09407079149604533,-0.42093453749929877,-0.2804921373945887,0.0
2019-07-09,1.0,-0.0,-0.07233597369600957,-0.09445523837991332,-0.4206957106561052,-0.28067553429980574,0.0
2019-07-10,1.0,-0.0,-0.06570366079270457,-0.0926877581148506,-0.4284379496570927,-0.28187543213798516,0.0
2019-07-11,1.0,-0.0,-0.061737163791331,-0.09936262873591148,-0.4298424328517224,-0.2781817162296032,0.0
2019-07-12,1.0,-0.0,-0.0671857785744963,-0.09777230033798294,-0.4217877616566766,-0.28056318040072453,0.0
2019-07-15,1.0,-0.0,-0.07731660411882224,-0.10522974663455255,-0.4152430030433727,-0.26929180903302896,0.0
2019-07-16,1.0,-0.0,-0.08128502054538664,-0.10952558834516249,-0.4135039223010833,-0.2634478894284647,0.0
2019-07-17,1.0,-0.0,-0.08273105869609876,-0.1083907595196743,-0.4124787569798495,-0.26391767979532,0.0
2019-07-18,1.0,-0.0,-0.08307055025842927,-0.10977179855578154,-0.412479241692012,-0.26059373425633947,0.0
2019-07-19,1.0,-0.0,-0.08399425233732062,-0.11077313527534664,-0.41202157239629017,-0.2593539477858436,0.0
2019-07-22,1.0,-0.0,-0.0804958183990442,-0.1093189964157706,-0.4139038231780167,-0.26306750298685777,0.0
2019-07-23,1.0,-0.0,-0.08230637090148629,-0.10816715213981626,-0.41339905892897155,-0.2633131675255807,0.0
2019-07-24,1.0,-0.0,-0.0825729160835246,-0.10992927653063128,-0.41211815857732,-0.26141558902013473,0.0
2019-07-25,1.0,-0.0,-0.07856663435006339,-0.11268550973226939,-0.41356551569841155,-0.25962040420613025,0.0
2019-07-26,1.0,-0.0,-0.07838165377085858,-0.11222149715670737,-0.414188496317703,-0.2596811783350424,0.0
2019-07-29,1.0,-0.0,-0.07086085301690362,-0.11233628120452255,-0.41464233740064926,-0.2679017873801261,0.0
2019-07-30,1.0,-0.0,-0.06767380627812739,-0.11413418983772478,-0.4131202031708091,-0.27245056114731747,0.0
2019-07-31,1.0,-0.0,-0.06758726362209433,-0.11452649674863592,-0.4121571118917707,-0.27432917258390016,0.0
2019-08-01,1.0,-0.0,-0.07723326799215906,-0.11029590217492767,-0.41211612060113884,-0.26724540278166714,0.0
2019-08-02,1.0,-0.0,-0.07373151584090103,-0.11559475637272269,-0.41119212337069017,-0.26421392209148375,0.0
2019-08-05,1.0,-0.0,-0.07301977890871131,-0.11237253695729173,-0.41174058125011653,-0.26704323024439347,0.0
2019-08-06,1.0,-0.0,-0.07498611368265136,-0.11325680429550083,-0.39716719126087763,-0.26608035548972414,0.0
2019-08-07,1.0,-0.0,-0.0795742243083917,-0.10581560807938942,-0.39212388889915545,-0.2704525714708111,0.0
2019-08-08,1.0,-0.0,-0.07826746315030238,-0.10264282147546744,-0.39457380111335094,-0.2739361210260583,0.0
2019-08-09,1.0,-0.0,-0.07104036551889312,-0.10112566554284345,-0.38696365076733175,-0.2832218721789274,0.0
2019-08-12,1.0,-0.0,-0.0694738391887664,-0.10283968566538454,-0.3892191324511843,-0.27885234738759956,0.0
2019-08-13,1.0,-0.0,-0.06667769080953957,-0.1018814537169735,-0.38999742769999635,-0.27880057325542945,0.0
2019-08-14,1.0,-0.0,-0.06962419798350138,-0.10194317140238314,-0.38498625114573787,-0.2766269477543538,0.0
2019-08-15,1.0,-0.0,-0.07617329835300976,-0.10601588689695379,-0.37625710537822477,-0.2634455618714473,0.0
2019-08-16,1.0,-0.0,-0.07428811025631676,-0.10779523826885914,-0.37973529733474315,-0.2612024647245415,0.0
2019-08-19,1.0,-0.0,-0.0629129456182386,-0.10774704131271329,-0.3833587453713788,-0.26110869091701155,0.0
2019-08-20,1.0,-0.0,-0.06068150840527033,-0.10769650159018627,-0.38497046796910495,-0.2640072694229896,0.0
2019-08-21,1.0,-0.0,-0.06419225053463336,-0.09061582514770379,-0.3934720359563594,-0.26405451448040884,0.0
2019-08-22,1.0,-0.0,-0.06566553148322585,-0.0886167669009492,-0.39652923701181075,-0.26063328744293895,0.0
2019-08-23,1.0,-0.0,-0.06523314372667657,-0.08822144125212855,-0.3964711423499149,-0.2616209557624724,0.0
2019-08-26,1.0,-0.0,-0.05812723066162096,-0.08754057786466272,-0.3911795828326488,-0.25664938931434617,0.0
2019-08-27,1.0,-0.0,-0.0562383545936649,-0.08501146624623764,-0.3893686398165401,-0.26100042998423395,0.0
2019-08-28,1.0,-0.0,-0.051318781671352086,-0.08920801475459739,-0.39310974627106204,-0.2569699357172274,0.0
2019-08-29,1.0,-0.0,-0.04534469486761783,-0.09206781117416443,-0.3963588192119725,-0.25640428921788005,0.0
2019-08-30,1.0,-0.0,-0.04372823855012945,-0.09499151861440941,-0.3942148022497991,-0.25263815730738326,0.0
2019-09-03,1.0,-0.0,-0.04506499071561205,-0.09448650192829595,-0.39713969432938145,-0.248750178545922,0.0
2019-09-04,1.0,-0.0,-0.03140286356982183,-0.10331345734994823,-0.39318741743135643,-0.2573642303709787,0.0
2019-09-05,1.0,-0.0,-0.03213745214991543,-0.09589602065343185,-0.3993946407905279,-0.2530401495593341,0.0
2019-09-06,1.0,-0.0,-0.030132261964019056,-0.09932091303420323,-0.4027767901585721,-0.24546682784612103,0.0
2019-09-09,1.0,-0.0,-0.029018492176386915,-0.09909317211948791,-0.402773826458037,-0.247226173541963,0.0
2019-09-10,1.0,-0.0,-0.02889967810204699,-0.09712070284017145,-0.40463106226324497,-0.2477902861512743,0.0
2019-09-11,1.0,-0.0,-0.030982412506661932,-0.10444128619648252,-0.4020252265055961,-0.23906555338426008,0.0
2019-09-12,1.0,-0.0,-0.02731308826141005,-0.10557627419641272,-0.4034096963239211,-0.23958444326052208,0.0
2019-09-13,1.0,-0.0,-0.02469420724671129,-0.10032132649257043,-0.40357542296152965,-0.24671128548349877,0.0
2019-09-16,1.0,-0.0,-0.019862029828512654,-0.10278600436255297,-0.40463565589033323,-0.24612956427672064,0.0
2019-09-17,1.0,-0.0,-0.023037300177619898,-0.10104795737122559,-0.41015985790408527,-0.24195381882770875,0.0
2019-09-18,1.0,-0.0,-0.030586522757935095,-0.10162962436980756,-0.40595043669672654,-0.23702336149968045,0.0
