Date,IWF,IWM,MTUM,SPY,TPIC,VLUE,VXX
2019-02-05,-0.0,-1.038338658146965,-0.0,-1.2138800141995032,1.0,-1.1851260205892793,0.0
2019-02-06,-0.0,-0.9949004264298589,-0.0,-1.2023123928430124,1.0,-1.1990152547588693,0.0
2019-02-07,-0.0,-0.9912546693034499,-0.0,-1.202856515051637,1.0,-1.2004834102395079,0.0
2019-02-08,-0.0,-0.9895640686922061,-0.0,-1.2234258036107442,1.0,-1.1903126376045796,0.0
2019-02-11,-0.0,-0.974808856675653,-0.0,-1.2256596102002033,1.0,-1.218986166968666,0.0
2019-02-12,-0.0,-0.9689551179705517,-0.0,-1.24308142629058,1.0,-1.2229466028029092,0.0
2019-02-13,-0.0,-0.9877265275377731,-0.0,-1.2338606052549959,1.0,-1.2092693517656963,0.0
2019-02-14,-0.0,-0.9425996626120927,-0.0,-1.2680458137263608,1.0,-1.228669093491965,0.0
2019-02-15,-0.0,-0.954775655264327,-0.0,-1.2632607729897825,1.0,-1.2244335850733006,0.0
2019-02-19,-0.0,-0.9385229540918163,-0.0,-1.275803947660235,1.0,-1.2212463960966955,0.0
2019-02-20,-0.0,-0.9590149280414768,-0.0,-1.2950746402073836,1.0,-1.2153839277733083,0.0
2019-02-21,-0.0,-0.9636070997451602,-0.0,-1.2967765010953636,1.0,-1.2104886663388026,0.0
2019-02-22,-0.0,-0.9620507777579117,-0.0,-1.2995708921866618,1.0,-1.2082513856606472,0.0
2019-02-25,-0.0,-0.9302899970191201,-0.0,-1.1993356896478302,1.0,-1.1287740067282714,0.0
2019-02-26,-0.0,-0.9388223298496049,-0.0,-1.1880363667261449,1.0,-1.1215906194239103,0.0
2019-02-27,-0.0,-0.9383805805465966,-0.0,-1.2006450517738925,1.0,-1.104778475640808,0.0
2019-02-28,-0.0,-0.9354263137771358,-0.0,-1.1991163600832662,1.0,-1.1136836739028846,0.0
2019-03-01,-0.0,-0.929511677282378,-0.0,-1.1983014861995755,1.0,-1.118471337579618,0.0
2019-03-04,-0.0,-0.9140877200533724,-0.0,-1.1983816123617268,1.0,-1.1917961520251368,0.0
2019-03-05,-0.0,-0.9082489396693499,-0.0,-1.2125421968319916,1.0,-1.2070457889725612,0.0
2019-03-06,-0.0,-0.9037748199869082,-0.0,-1.2531093170412395,1.0,-1.2071132445996073,0.0
2019-03-07,-0.0,-0.8277252015422363,-0.0,-1.3487995092884684,1.0,-1.2048282509638977,0.0
2019-03-08,-0.0,-0.806657223796034,-0.0,-1.4056745750708215,1.0,-1.2140138101983002,0.0
2019-03-11,-0.0,-0.8005986953802162,-0.0,-1.4018407649003664,1.0,-1.2654365114824413,0.0
2019-03-12,-0.0,-0.7320656092285508,-0.0,-1.4274062725306416,1.0,-1.346656452775775,0.0
2019-03-13,-0.0,-0.755155335434489,-0.0,-1.4241332733003154,1.0,-1.3231877532642953,0.0
2019-03-14,-0.0,-0.7566935157269495,-0.0,-1.4208252711155107,1.0,-1.3223237186698464,0.0
2019-03-15,-0.0,-0.7359178711333243,-0.0,-1.4213607096222252,1.0,-1.3454005133054168,0.0
2019-03-18,-0.0,-0.7635909090909091,-0.0,-1.4266363636363635,1.0,-1.355227272727273,0.0
2019-03-19,-0.0,-0.7632779704325607,-0.0,-1.4267658331812376,1.0,-1.3728326336922798,0.0
2019-03-20,-0.0,-0.7881893382352941,-0.0,-1.4299632352941176,1.0,-1.3774356617647059,0.0
2019-03-21,-0.0,-0.7903588989476587,-0.0,-1.469371811957171,1.0,-1.3356922935526858,0.0
2019-03-22,-0.0,-0.7865441142163954,-0.0,-1.5555451873279522,1.0,-1.3235664629309942,0.0
2019-03-25,-0.0,-0.6496319955561727,-0.0,-1.635559875943156,1.0,-1.3437948433087996,0.0
2019-03-26,-0.0,-0.6541206100461733,-0.0,-1.6351849260762092,1.0,-1.3747026724499791,0.0
2019-03-27,-0.0,-0.6304672199944045,-0.0,-1.6554135969411545,1.0,-1.3769933787186421,0.0
2019-03-28,-0.0,-0.6208696462692828,-0.0,-1.6429603392832175,1.0,-1.3966537726616022,0.0
2019-03-29,-0.0,-0.6089023537636915,-0.0,-1.6467024003728736,1.0,-1.4053134467490096,0.0
2019-04-01,-0.0,-0.6175449960671818,-0.0,-1.617591264516726,1.0,-1.391662425392125,0.0
2019-04-02,-0.0,-0.6419302701454629,-0.0,-1.6466404987300856,1.0,-1.3293003925190487,0.0
2019-04-03,-0.0,-0.6427119896545355,-0.0,-1.6445132089414374,1.0,-1.3312857934601885,0.0
2019-04-04,-0.0,-0.6376925567840126,-0.0,-1.6525419808484063,1.0,-1.3357542674746727,0.0
2019-04-05,-0.0,-0.6253244345569151,-0.0,-1.667639970337412,1.0,-1.3418149796069707,0.0
2019-04-08,-0.0,-0.628891253064434,-0.0,-1.6650168832970997,1.0,-1.3316064572829458,0.0
2019-04-09,-0.0,-0.6180468568777546,-0.0,-1.693945720250522,1.0,-1.3273022500579914,0.0
2019-04-10,-0.0,-0.5912746094833164,-0.0,-1.6951659118217952,1.0,-1.3350586930400223,0.0
2019-04-11,-0.0,-0.5854718638738614,-0.0,-1.7072178295648959,1.0,-1.331160123919175,0.0
2019-04-12,-0.0,-0.5891984134304953,-0.0,-1.6959690065492112,1.0,-1.3269532330965779,0.0
2019-04-15,-0.0,-0.5919649041791735,-0.0,-1.6904179173401062,1.0,-1.3354883398753177,0.0
2019-04-16,-0.0,-0.5880529335554322,-0.0,-1.7022950212844716,1.0,-1.3367110864334628,0.0
2019-04-17,-0.0,-0.5657145502523031,-0.0,-1.720938845423823,1.0,-1.3427619091708716,0.0
2019-04-18,-0.0,-0.5488467071982179,-0.0,-1.7175476864528707,1.0,-1.3746229173434819,0.0
2019-04-22,-0.0,-0.5182433908673804,-0.0,-1.5849246231155778,1.0,-1.2665064452698274,0.0
2019-04-23,-0.0,-0.5034224179273663,-0.0,-1.584950080655709,1.0,-1.2713955617561146,0.0
2019-04-24,-0.0,-0.4578093041472649,-0.0,-1.5975891030941294,1.0,-1.2964010618390704,0.0
2019-04-25,-0.0,-0.46747807878549935,-0.0,-1.6096496968110632,1.0,-1.2853465951228025,0.0
2019-04-26,-0.0,-0.4518156424581006,-0.0,-1.6146124301675977,1.0,-1.2981407122905029,0.0
2019-04-29,-0.0,-0.44581695676586186,-0.0,-1.5907225845462791,1.0,-1.2825983673821966,0.0
2019-04-30,-0.0,-0.442251209398756,-0.0,-1.594765031098825,1.0,-1.2822650310988253,0.0
2019-05-01,-0.0,-0.43861544444924594,-0.0,-1.60533252668424,1.0,-1.277429670282183,0.0
2019-05-02,-0.0,-0.4438546521664077,-0.0,-1.5782841360262385,1.0,-1.293371310201968,0.0
2019-05-03,-0.0,-0.40467362669528734,-0.0,-1.926090350278076,1.0,-1.54780954239438,0.0
2019-05-06,-0.0,-0.3468479483542818,-0.0,-1.9634176162762262,1.0,-1.5804763534992907,0.0
2019-05-07,-0.0,-0.34567780441269996,-0.0,-1.965363729758818,1.0,-1.5810870309671736,0.0
2019-05-08,-0.0,-0.35008017103153394,-0.0,-1.927797483115495,1.0,-1.5809727418492785,0.0
2019-05-09,-0.0,-0.348205202732161,-0.0,-1.9393014581213972,1.0,-1.5567020297437388,0.0
