Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WRI
2019-02-15,-0.0,-0.38141726981989565,-0.0,-0.6181979945656094,-0.4049823262077091,0.0,1.0
2019-02-19,-0.0,-0.3739391753816565,-0.0,-0.6261329486717154,-0.4040629883399447,0.0,1.0
2019-02-20,-0.0,-0.3717822377118135,-0.0,-0.6302848215358732,-0.40149020550414616,0.0,1.0
2019-02-21,-0.0,-0.3644893540238181,-0.0,-0.6351016480211716,-0.40625526284133284,0.0,1.0
2019-02-22,-0.0,-0.3561323596751259,-0.0,-0.6427349191429879,-0.4111777890246548,0.0,1.0
2019-02-25,-0.0,-0.35534088708115436,-0.0,-0.6525760216928143,-0.4131319000581057,0.0,1.0
2019-02-26,-0.0,-0.35828851092697583,-0.0,-0.6545040461307361,-0.41004021902408294,0.0,1.0
2019-02-27,-0.0,-0.359930322018726,-0.0,-0.664118259018218,-0.3953257687561996,0.0,1.0
2019-02-28,-0.0,-0.35570843729560814,-0.0,-0.6603037717109566,-0.4064097284465008,0.0,1.0
2019-03-01,-0.0,-0.35557385386646,-0.0,-0.6623235087549345,-0.40393790414376013,0.0,1.0
2019-03-04,-0.0,-0.3420291264496365,-0.0,-0.6633439498188715,-0.4258831538255817,0.0,1.0
2019-03-05,-0.0,-0.337572169845794,-0.0,-0.6707106141440717,-0.42783015420594894,0.0,1.0
2019-03-06,-0.0,-0.3326598179073957,-0.0,-0.6766639076878135,-0.42506938020351526,0.0,1.0
2019-03-07,-0.0,-0.3350556923151917,-0.0,-0.6737429622949621,-0.4285261644202881,0.0,1.0
2019-03-08,-0.0,-0.32287523935778467,-0.0,-0.7062404870624048,-0.4258359110325527,0.0,1.0
2019-03-11,-0.0,-0.3210466382810179,-0.0,-0.7107139320724825,-0.44373205267848304,0.0,1.0
2019-03-12,-0.0,-0.2966912223748283,-0.0,-0.7244849544262705,-0.47603945561243605,0.0,1.0
2019-03-13,-0.0,-0.30533929378672964,-0.0,-0.7314531116580442,-0.4746345873725451,0.0,1.0
2019-03-14,-0.0,-0.29615932432094755,-0.0,-0.7381993553062296,-0.46447937229815833,0.0,1.0
2019-03-15,-0.0,-0.2851491098480106,-0.0,-0.7406164709417332,-0.47817813055562514,0.0,1.0
2019-03-18,-0.0,-0.2995025126897144,-0.0,-0.7433773580140913,-0.48243642516225155,0.0,1.0
2019-03-19,-0.0,-0.29588471101639013,-0.0,-0.7528289440300401,-0.4884558786218095,0.0,1.0
2019-03-20,-0.0,-0.28937237222025225,-0.0,-0.7543437515829998,-0.4890836330479712,0.0,1.0
2019-03-21,-0.0,-0.292703213610586,-0.0,-0.7716194076874607,-0.4561310649023314,0.0,1.0
2019-03-22,-0.0,-0.2919005409798593,-0.0,-0.7850049526325147,-0.4629060523709141,0.0,1.0
2019-03-25,-0.0,-0.2195847942890296,-0.0,-0.8302096208662312,-0.47274424236309054,0.0,1.0
2019-03-26,-0.0,-0.2269305826596041,-0.0,-0.8253034949438629,-0.4821704640494716,0.0,1.0
2019-03-27,-0.0,-0.22476248539348676,-0.0,-0.8287354569933444,-0.48679063150942437,0.0,1.0
2019-03-28,-0.0,-0.2160500075922458,-0.0,-0.8119653793592145,-0.5027332084830692,0.0,1.0
2019-03-29,-0.0,-0.22251786528812526,-0.0,-0.8117429425776697,-0.49982261416045815,0.0,1.0
2019-04-01,-0.0,-0.22908058505919035,-0.0,-0.812162538974372,-0.4936753783365865,0.0,1.0
2019-04-02,-0.0,-0.23979656385212922,-0.0,-0.8263960932162647,-0.46410768958275345,0.0,1.0
2019-04-03,-0.0,-0.24143420254699818,-0.0,-0.8242621790984435,-0.46108752779462303,0.0,1.0
2019-04-04,-0.0,-0.24082505345239594,-0.0,-0.8348132310401207,-0.43979373663690097,0.0,1.0
2019-04-05,-0.0,-0.2463626574512308,-0.0,-0.827285703553452,-0.43054616482608365,0.0,1.0
2019-04-08,-0.0,-0.2462813642510142,-0.0,-0.8274402764561527,-0.43041017679170634,0.0,1.0
2019-04-09,-0.0,-0.2434251839943734,-0.0,-0.8434352314686896,-0.4250332822586722,0.0,1.0
2019-04-10,-0.0,-0.22913224175053828,-0.0,-0.8361373992288819,-0.43836062290320965,0.0,1.0
2019-04-11,-0.0,-0.24377425217348594,-0.0,-0.7664423596443835,-0.44567513139152215,0.0,1.0
2019-04-12,-0.0,-0.250356926799758,-0.0,-0.7371082879612825,-0.43240169388989713,0.0,1.0
2019-04-15,-0.0,-0.2506096236026944,-0.0,-0.7323450590308795,-0.43139621912648785,0.0,1.0
2019-04-16,-0.0,-0.24798513585251677,-0.0,-0.7321316538777086,-0.4329182954490613,0.0,1.0
2019-04-17,-0.0,-0.2652532733125197,-0.0,-0.7548343377138846,-0.4000822865993853,0.0,1.0
2019-04-18,-0.0,-0.26912366515727537,-0.0,-0.7504419207206335,-0.40191781485337913,0.0,1.0
2019-04-22,-0.0,-0.2660752805448508,-0.0,-0.7523934171938244,-0.4052449162606946,0.0,1.0
2019-04-23,-0.0,-0.2718332599442243,-0.0,-0.7481530407554186,-0.42629287147120704,0.0,1.0
2019-04-24,-0.0,-0.2789932755092096,-0.0,-0.733846603644869,-0.42356982750219274,0.0,1.0
2019-04-25,-0.0,-0.2908312958435208,-0.0,-0.7431051344743276,-0.4110513447432763,0.0,1.0
2019-04-26,-0.0,-0.28486465318909393,-0.0,-0.7574771158647021,-0.4051838073327133,0.0,1.0
2019-04-29,-0.0,-0.2832493024621861,-0.0,-0.7575750159087572,-0.40667678300455234,0.0,1.0
2019-04-30,-0.0,-0.27104430767721843,-0.0,-0.7678444449893337,-0.41308878699458107,0.0,1.0
2019-05-01,-0.0,-0.2760141093474427,-0.0,-0.759185773074662,-0.41433960415441895,0.0,1.0
2019-05-02,-0.0,-0.2761820808540856,-0.0,-0.7487940449080537,-0.42366365483973656,0.0,1.0
2019-05-03,-0.0,-0.2854170236725501,-0.0,-0.7418541457563219,-0.4207691742759921,0.0,1.0
2019-05-06,-0.0,-0.2592121671516248,-0.0,-0.7500061129178179,-0.43597329877497126,0.0,1.0
2019-05-07,-0.0,-0.2633917731047545,-0.0,-0.7408333738040891,-0.4239959205478121,0.0,1.0
2019-05-08,-0.0,-0.27519267122291696,-0.0,-0.7249769763947458,-0.4233919829382967,0.0,1.0
2019-05-09,-0.0,-0.27386715724244776,-0.0,-0.7225261425251742,-0.42423508907823393,0.0,1.0
2019-05-10,-0.0,-0.2751924846254419,-0.0,-0.725509660549126,-0.42048811195583746,0.0,1.0
2019-05-13,-0.0,-0.2729081248938596,-0.0,-0.7314830539314394,-0.4216502098546787,0.0,1.0
2019-05-14,-0.0,-0.22471640645609997,-0.0,-0.7457131208480227,-0.42782454373216294,0.0,1.0
2019-05-15,-0.0,-0.22103369708598156,-0.0,-0.7588919534716393,-0.4184194747571652,0.0,1.0
2019-05-16,-0.0,-0.22278201621803176,-0.0,-0.7578091262415431,-0.4185259824384626,0.0,1.0
2019-05-17,-0.0,-0.2120013425393172,-0.0,-0.7469073647871116,-0.4384589566551592,0.0,1.0
2019-05-20,-0.0,-0.20471781621569893,-0.0,-0.7493480705280031,-0.4383358453551521,0.0,1.0
2019-05-21,-0.0,-0.19952164553934462,-0.0,-0.7543410667304472,-0.4379095910069361,0.0,1.0
