Date,FIVN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-04-05,1.0,-0.18843175472791446,-1.2474845914765842,-0.7365010799136069,-1.4186377284939156,-0.6767634199020176,0.0
2019-04-08,1.0,-0.19008220910623944,-1.233610876897133,-0.7398292580101179,-1.4254848229342327,-0.6808073355817875,0.0
2019-04-09,1.0,-0.21054578115919056,-1.2184709674010672,-0.7484017541078882,-1.4371532731019179,-0.6688857188143921,0.0
2019-04-10,1.0,-0.21164495543483994,-1.1864880544275092,-0.7690522651758873,-1.4400611782079005,-0.6667369864458625,0.0
2019-04-11,1.0,-0.2192510548523207,-1.1787974683544304,-0.7729957805907173,-1.4395042194092829,-0.6637130801687764,0.0
2019-04-12,1.0,-0.21930888947507257,-1.1773674492218413,-0.7702980743867054,-1.442257979424954,-0.6663677130044844,0.0
2019-04-15,1.0,-0.21081787300757776,-1.1771100078390384,-0.7703684348053307,-1.41640972040763,-0.651267311209825,0.0
2019-04-16,1.0,-0.2096049331103679,-1.1763691471571907,-0.7669314381270903,-1.4183214882943143,-0.6545255016722408,0.0
2019-04-17,1.0,-0.2162728853431523,-1.072210289454843,-0.8240257747775391,-1.3836555180525725,-0.617878694896185,0.0
2019-04-18,1.0,-0.22345741968383478,-1.069556348801632,-0.8395206527281999,-1.3678735339112698,-0.5990311065782764,0.0
2019-04-22,1.0,-0.23885252607895274,-1.0736858253221517,-0.8226119860912252,-1.3722642667212108,-0.6060544078543669,0.0
2019-04-23,1.0,-0.24712025802488097,-1.0736190037372653,-0.8226590897455588,-1.3792556186965648,-0.5968361234833359,0.0
2019-04-24,1.0,-0.23314449037921706,-1.0692083907517993,-0.8389731026386975,-1.3651814423518605,-0.5973561986423723,0.0
2019-04-25,1.0,-0.22786684366384152,-1.0482487491065047,-0.8567854590013274,-1.3712856121719594,-0.6015521290717859,0.0
2019-04-26,1.0,-0.23347297435373454,-1.0298865842444058,-0.8629304179012977,-1.3832635128231328,-0.5993154184121794,0.0
2019-04-29,1.0,-0.2312088584987498,-1.0243914884931367,-0.8572230443435219,-1.3860795019645862,-0.6038679389702505,0.0
2019-04-30,1.0,-0.22905825936128968,-1.018875624936231,-0.8544026119783695,-1.3852157943067034,-0.6139679624528109,0.0
