Date,IWF,IWM,LMAT,MTUM,SPY,VLUE,VXX
2019-08-15,-0.0,-0.6957386661082609,1.0,-0.37462045859072346,-1.9279133075070674,-1.2367291383101247,0.0
2019-08-16,-0.0,-0.6981339763077891,1.0,-0.373990984379914,-1.9235768948527097,-1.2459377293217317,0.0
2019-08-19,-0.0,-0.6564687581021519,1.0,-0.3740731138190303,-1.9260565206118745,-1.2287269898885145,0.0
2019-08-20,-0.0,-0.6579137806264861,1.0,-0.3835418174299597,-1.9185361315000518,-1.209087149798408,0.0
2019-08-21,-0.0,-0.6649545431198315,1.0,-0.3495300220863937,-1.9190507987056347,-1.202835276593559,0.0
2019-08-22,-0.0,-0.6674530721099601,1.0,-0.34100933429069646,-1.9182993127500256,-1.2019694327623347,0.0
2019-08-23,-0.0,-0.6679833786487457,1.0,-0.3419176114502642,-1.9190991638023907,-1.2009952290565846,0.0
2019-08-26,-0.0,-0.634597875569044,1.0,-0.3375316135558928,-1.9193727870510877,-1.1666160849772385,0.0
2019-08-27,-0.0,-0.6295119983867715,1.0,-0.3357531760435572,-1.9120286348054043,-1.164095583787054,0.0
2019-08-28,-0.0,-0.613229885636556,1.0,-0.34958939996977173,-1.9212050984936269,-1.1539624162426318,0.0
2019-08-29,-0.0,-0.5999395831235526,1.0,-0.3600845836270265,-1.9280032222334107,-1.1467626623703555,0.0
2019-08-30,-0.0,-0.5810246870129216,1.0,-0.3710593795565388,-1.9412740710945748,-1.1345467343757856,0.0
2019-09-03,-0.0,-0.5855547731616537,1.0,-0.37732622472588273,-1.936475203701841,-1.1303188814002616,0.0
2019-09-04,-0.0,-0.5597401943507376,1.0,-0.3807461859926489,-1.9483913196717182,-1.1460651528120436,0.0
2019-09-05,-0.0,-0.5849426674713337,1.0,-0.38010460671897,-1.9569503118084894,-1.107221886944277,0.0
2019-09-06,-0.0,-0.5762914898926877,1.0,-0.3881707012727727,-1.9584726728225605,-1.0683304217619167,0.0
2019-09-09,-0.0,-0.5815705448014368,1.0,-0.38784673717820795,-1.9560466972660147,-1.06361005787268,0.0
2019-09-10,-0.0,-0.580672520454999,1.0,-0.38799640790261425,-1.9577928557174216,-1.062562362801836,0.0
2019-09-11,-0.0,-0.5814393939393939,1.0,-0.35576156299840506,-1.9538975279106856,-1.0929525518341308,0.0
2019-09-12,-0.0,-0.5881738091682843,1.0,-0.35179931312528,-1.9498780548504304,-1.0875018665073912,0.0
2019-09-13,-0.0,-0.5943783036111249,1.0,-0.34752754038433037,-1.9275305043718816,-1.0704935039272836,0.0
2019-09-16,-0.0,-0.5923626508992362,1.0,-0.335550628233555,-1.9298842079329885,-1.0695245134269524,0.0
2019-09-17,-0.0,-0.5390425740631744,1.0,-0.34436923680596426,-1.9341769668432411,-1.0872572101236022,0.0
2019-09-18,-0.0,-0.531639360345335,1.0,-0.34724811144903367,-1.9370155989404492,-1.0894241145884431,0.0
2019-09-19,-0.0,-0.5354129880321757,1.0,-0.34951932509319206,-1.9292721208554051,-1.090641553855209,0.0
2019-09-20,-0.0,-0.5463654223968566,1.0,-0.36660117878192533,-1.9131630648330058,-1.0854616895874263,0.0
2019-09-23,-0.0,-0.4721908349026993,1.0,-0.12391713747645952,-1.7576480435237496,-0.8312199204854572,0.0
2019-09-24,-0.0,-0.4719002385236641,1.0,-0.12097752856007031,-1.758630790475792,-0.8331171276729297,0.0
