Date,CTAS,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-05-06,1.0,-0.0,-0.02584736601888107,-0.0,-0.09625501453313796,-0.0,-0.09310816978548608,-0.0,-0.23245814216051308,-0.0,-0.10057892334670542,-0.0,-0.2872036320834034,-0.0,-0.0,-0.21903000312282303,-0.0,-0.0,-0.34769031204208606
2020-05-07,1.0,-0.0,-0.0316975872344516,-0.0,-0.09276170335480151,-0.0,-0.09297798711910027,-0.0,-0.2306786503893108,-0.0,-0.09663077958281266,-0.0,-0.28936364510237433,-0.0,-0.0,-0.21327982312794386,-0.0,-0.0,-0.3557627607420936
2020-05-08,1.0,-0.0,-0.03102413254892544,-0.0,-0.09261616040340978,-0.0,-0.09612198343138433,-0.0,-0.22319606195221517,-0.0,-0.09768279505342779,-0.0,-0.28810181294273024,-0.0,-0.0,-0.21990635130267738,-0.0,-0.0,-0.3526233641493577
2020-05-11,1.0,-0.0,-0.023657565142281303,-0.0,-0.08433706031959308,-0.0,-0.10408368923652768,-0.0,-0.22522673832717502,-0.0,-0.09741350352704065,-0.0,-0.28840155477710067,-0.0,-0.0,-0.22011612841307165,-0.0,-0.0,-0.35611113777052644
2020-05-12,1.0,-0.0,-0.024551056126974995,-0.0,-0.0876309669375914,-0.0,-0.10129708216452085,-0.0,-0.21837013594188304,-0.0,-0.09923517706010694,-0.0,-0.2944208683977079,-0.0,-0.0,-0.2216308230837469,-0.0,-0.0,-0.3504279651873696
2020-05-13,1.0,-0.0,-0.027507974194786195,-0.0,-0.0895508070124949,-0.0,-0.09679353430702449,-0.0,-0.21433196632851284,-0.0,-0.0979446962611219,-0.0,-0.2959925174472984,-0.0,-0.0,-0.22529198743314865,-0.0,-0.0,-0.3508405880518982
2020-05-14,1.0,-0.0,-0.01905926352128884,-0.0,-0.08963847334100498,-0.0,-0.09361814345991562,-0.0,-0.21490218642117376,-0.0,-0.10097813578826237,-0.0,-0.2934167625623322,-0.0,-0.0,-0.2254986574606828,-0.0,-0.0,-0.3602800153433065
2020-05-15,1.0,-0.0,-0.0,-0.0,-0.13401904373949794,-0.0,-0.17676561943072458,-0.0,-0.24560822852487396,-0.0,-0.061739396099597735,-0.0,-0.2860889047303834,-0.0,-0.0,-0.12159478588522836,-0.0,-0.06706044095931564,-0.45310351850908903
2020-05-18,1.0,-0.0,-0.0,-0.0,-0.13511797424631092,-0.0,-0.17288497193508243,-0.0,-0.2379295456277144,-0.0,-0.0692098646280446,-0.0,-0.29560866583699485,-0.0,-0.0,-0.12020928047138901,-0.0,-0.06880349478068727,-0.44007314657252433
2020-05-19,1.0,-0.0,-0.0,-0.0,-0.09474784026910629,-0.0,-0.19805815346194033,-0.0,-0.25340842486175175,-0.0,-0.06335210621543794,-0.003669631253026172,-0.2557274279452613,-0.0,-0.0,-0.10891669427384623,-0.0,-0.11923753217298234,-0.4512117428200097
2020-05-20,1.0,-0.0,-0.0,-0.0,-0.08406085669066218,-0.0,-0.1917087864399857,-0.0,-0.2662480216470108,-0.0,-0.054143054066472664,-0.0,-0.26788175830908256,-0.0,-0.0,-0.09690100576913259,-0.0,-0.12533823454331955,-0.46645734415683876
2020-05-21,1.0,-0.0,-0.0,-0.0,-0.07959855971807248,-0.0,-0.1890753083582318,-0.0,-0.2674736331366991,-0.0,-0.05214637758880462,-0.0,-0.26512423708470595,-0.0,-0.0,-0.09479302331520213,-0.0,-0.13912510533976863,-0.46632957940703285
