Date,IWF,IWM,MTUM,PRSP,SPY,VLUE,VXX
2020-02-05,-0.056877323420074344,-0.3530111524163569,-1.328252788104089,1.0,-0.8395910780669145,-0.13973977695167286,0.0
2020-02-06,-0.054491241147968696,-0.35728661945583307,-1.3253820350354084,1.0,-0.8449496831904585,-0.14509877003354454,0.0
2020-02-07,-0.0,-0.46270783847981,-1.7724465558194775,1.0,-1.207125890736342,-0.30831353919239907,0.0
2020-02-10,-0.0,-0.4691651983427782,-1.776417924663079,1.0,-1.208771846278394,-0.307776560788609,0.0
2020-02-11,-0.0,-0.4688778909298563,-1.7640620538688492,1.0,-1.206528980679547,-0.3192633482440278,0.0
2020-02-12,-0.0,-0.4659842894548917,-1.7668650321352062,1.0,-1.2141394905974767,-0.31378243275410617,0.0
2020-02-13,-0.0,-0.47450999093900526,-1.778864037388526,1.0,-1.2156993657303639,-0.29987123849492114,0.0
2020-02-14,-0.0,-0.5232871247631395,-1.947441906851501,1.0,-1.2238954821980652,-0.2919617034008178,0.0
2020-02-18,-0.0,-0.5248502994011977,-1.9342814371257484,1.0,-1.2201097804391219,-0.31077844311377245,0.0
2020-02-19,-0.0,-0.5641450673096242,-1.9493168575447057,1.0,-1.209413301185453,-0.3002310628892907,0.0
2020-02-20,-0.0,-0.5647663174858986,-1.9505942788074135,1.0,-1.2168614020950848,-0.30403908138597907,0.0
2020-02-21,-0.0,-0.5813531103375208,-1.955199031330407,1.0,-1.2073558347207507,-0.30124615306997626,0.0
2020-02-24,-0.0,-0.5970670037926674,-1.959039190897598,1.0,-1.2072313527180782,-0.29360303413400757,0.0
2020-02-25,-0.0,-0.637817221651753,-1.925382621876681,1.0,-1.0741284044789987,-0.25235929783384675,0.0
2020-02-26,-0.0,-0.6043478260869565,-1.8737712665406427,1.0,-1.053969754253308,-0.19380907372400755,0.0
2020-02-27,-0.0,-0.5883998861804041,-1.875841790761643,1.0,-1.0984539504884758,-0.17978753675424453,0.0
2020-02-28,-0.0,-0.6998471360489165,-1.728666486826724,1.0,-0.9182177861703084,-0.14922219224889846,0.0
2020-03-02,-0.0,-0.6521954514748931,-1.725872551227201,1.0,-0.9646025669894168,-0.1608196352172934,0.0
2020-03-03,-0.0,-0.7511406763037823,-1.528932668116498,1.0,-0.8651656645772035,-0.11901411453669354,0.0
2020-03-04,-0.0,-0.774698237792825,-1.5278630609412456,1.0,-0.8028767296126508,-0.10026496193800731,0.0
2020-03-05,-0.0,-0.8596540855087691,-1.3978016649155418,1.0,-0.7238341550149519,-0.05976723510870443,0.0
2020-03-06,-0.0,-0.9368004477134634,-1.363407419251679,1.0,-0.6752878157978893,-0.02190598017268948,0.0
2020-03-09,-0.0,-0.9387949890634321,-1.3646052893219327,1.0,-0.6671704116126466,-0.006363094054483993,0.0
2020-03-10,-0.2660687593423019,-0.6233539753719126,-1.0901843547583456,1.0,-0.5673713431560965,-0.011993736208982846,0.0
2020-03-11,-0.12128397508493773,-0.797954416761042,-1.1751840317100795,1.0,-0.44464892412231033,-0.0,0.0
