Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WWW
2018-12-19,-0.0,-1.0401618029471251,-0.0,-0.5838389675430993,-0.5863751645317667,0.0,1.0
2018-12-20,-0.0,-1.0282373985817415,-0.0,-0.5853191081581804,-0.5807193509231456,0.0,1.0
2018-12-21,-0.0,-1.0290398424096079,-0.0,-0.5845459744551058,-0.5636398297007054,0.0,1.0
2018-12-24,-0.0,-1.01522233451238,-0.0,-0.5743431025770591,-0.5685952501263265,0.0,1.0
2018-12-26,-0.0,-1.029760972400614,-0.0,-0.5486356943704771,-0.5543372701356474,0.0,1.0
2018-12-27,-0.0,-0.9959543726235741,-0.0,-0.49791634980988597,-0.5479847908745248,0.0,1.0
2018-12-28,-0.0,-0.9990880627412835,-0.0,-0.49582028756421564,-0.5449129099917926,0.0,1.0
2018-12-31,-0.0,-0.9975982001702541,-0.0,-0.4967773318740119,-0.5458774170010945,0.0,1.0
2019-01-02,-0.0,-0.9982957485011716,-0.0,-0.49450683222252656,-0.5505036671840288,0.0,1.0
2019-01-03,-0.0,-0.9980827170638181,-0.0,-0.49481116284731735,-0.5503819349341125,0.0,1.0
2019-01-04,-0.0,-0.9990611750454271,-0.0,-0.48019382192610544,-0.5491823137492429,0.0,1.0
2019-01-07,-0.0,-0.9737875632252306,-0.0,-0.4712585540017852,-0.5302886045819696,0.0,1.0
2019-01-08,-0.0,-0.9607126948775055,-0.0,-0.48068299925760954,-0.528136599851522,0.0,1.0
2019-01-09,-0.0,-0.955421758215684,-0.0,-0.48000949104282836,-0.5305196345948511,0.0,1.0
2019-01-10,-0.0,-0.9536090114124797,-0.0,-0.4811323551207945,-0.5295390543945457,0.0,1.0
2019-01-11,-0.0,-0.9560963970412789,-0.0,-0.48950131233595795,-0.5369840133619661,0.0,1.0
2019-01-14,-0.0,-0.954459995822018,-0.0,-0.49213644095616105,-0.537676445134143,0.0,1.0
2019-01-15,-0.0,-0.9484298903462905,-0.0,-0.4936209626818847,-0.5457587618393139,0.0,1.0
2019-01-16,-0.0,-0.9473354231974921,-0.0,-0.4841319599940289,-0.5540528437080161,0.0,1.0
2019-01-17,-0.0,-0.9432740510861781,-0.0,-0.4852291716400096,-0.5554726665075198,0.0,1.0
2019-01-18,-0.0,-0.9355498106174472,-0.0,-0.49332651956953044,-0.5772259965129561,0.0,1.0
2019-01-22,-0.0,-1.0654760102921146,-0.0,-0.4330558498562131,-0.5285908884516423,0.0,1.0
2019-01-23,-0.0,-1.0334296577946769,-0.0,-0.4493992395437263,-0.5589961977186312,0.0,1.0
2019-01-24,-0.0,-1.02901595420777,-0.0,-0.45792229935452444,-0.5577578857630008,0.0,1.0
2019-01-25,-0.0,-1.0668637777572454,-0.0,-0.4648125904709107,-0.5482152206720257,0.0,1.0
2019-01-28,-0.0,-1.0348926262904758,-0.0,-0.49578776460496893,-0.5327635327635328,0.0,1.0
2019-01-29,-0.0,-1.025980407210638,-0.0,-0.4999846451494028,-0.5450050671006971,0.0,1.0
2019-01-30,-0.0,-1.024968520622831,-0.0,-0.49851048800712505,-0.54771045115322,0.0,1.0
2019-01-31,-0.0,-1.0281659923991664,-0.0,-0.468585264190266,-0.568101017530955,0.0,1.0
2019-02-01,-0.0,-1.0272434422457433,-0.0,-0.4760852891547784,-0.5646571560055222,0.0,1.0
2019-02-04,-0.0,-1.0326060308899239,-0.0,-0.4751164501103212,-0.5567541063986271,0.0,1.0
2019-02-05,-0.0,-1.0365790038972595,-0.0,-0.4742381931445055,-0.5579218706846288,0.0,1.0
2019-02-06,-0.0,-1.055909283851798,-0.0,-0.4526711539627675,-0.5233763871202474,0.0,1.0
2019-02-07,-0.0,-1.0674507921267402,-0.0,-0.44164066250600087,-0.49141862698031685,0.0,1.0
2019-02-08,-0.0,-1.0521897049629343,-0.0,-0.4449373306737324,-0.4800381077138348,0.0,1.0
2019-02-11,-0.0,-1.05237471729556,-0.0,-0.4422390191643852,-0.48119271515295803,0.0,1.0
2019-02-12,-0.0,-1.0824208879797859,-0.0,-0.4418842497894357,-0.4837564673324509,0.0,1.0
2019-02-13,-0.0,-1.083315660314479,-0.0,-0.45120731965946625,-0.4951070984942589,0.0,1.0
