Date,IWF,IWM,LANC,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-04-05,-0.0,-0.0,1.0,-0.0,-0.3857882809970864,-0.0,-0.38190352865004856,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4154742635157009,-0.026545807704758822,-1.0275817416639688,-0.0,-0.0
2019-04-08,-0.0,-0.0,1.0,-0.0,-0.3974928699343371,-0.0,-0.39387809245871197,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.446076805730583,-0.05873184320488161,-1.020129999336738,-0.0,-0.0
2019-04-09,-0.0,-0.0,1.0,-0.0,-0.4092653871608206,-0.0,-0.3742885506287227,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44867637326273985,-0.06025810721376571,-1.016611515552614,-0.0,-0.0
2019-04-10,-0.0,-0.0,1.0,-0.0,-0.421164231521055,-0.0,-0.3683530464168572,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44611204982937414,-0.061226518238743664,-1.0162343040784547,-0.0,-0.0
2019-04-11,-0.0,-0.0,1.0,-0.0,-0.4307878706290176,-0.0,-0.3898966782216538,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44828862787332147,-0.09016255511055767,-1.0063945074546494,-0.0,-0.0
2019-04-12,-0.0,-0.0,1.0,-0.0,-0.41973728528123944,-0.0,-0.40353654429100705,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44388683058268774,-0.09932637251599866,-1.0016840687100033,-0.0,-0.0
2019-04-15,-0.0,-0.0,1.0,-0.0,-0.42134317743082605,-0.0,-0.41920953703390124,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4474887391201274,-0.09689436786669828,-1.0017611000101603,-0.0,-0.0
2019-04-16,-0.0,-0.0,1.0,-0.0,-0.404279202666848,-0.0,-0.422137560378257,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4860194571059256,-0.08347506633104292,-1.0056806585482005,-0.0,-0.0
2019-04-17,-0.0,-0.0,1.0,-0.0,-0.47670760174566124,-0.0,-0.3220677289488819,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5570215501200987,-0.04587435298893738,-0.9814269765553638,-0.0,-0.0
2019-04-18,-0.0,-0.0,1.0,-0.0,-0.5265299145299146,-0.0,-0.35941880341880345,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4667692307692308,-0.04283760683760684,-1.0232478632478634,-0.0,-0.0
