Date,DT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-07-10,1.0,-0.8375117307950126,-0.13513875854672208,-0.7842874379943692,-0.5947177905885507,-0.0,0.0
2020-07-13,1.0,-0.8462054394848921,-0.12948120325966664,-0.7854052785136992,-0.5924410610684463,-0.0,0.0
2020-07-14,1.0,-0.8668490190119204,-0.12470874278188632,-0.8014723263431601,-0.5838314253874987,-0.0,0.0
2020-07-15,1.0,-0.8669998986794555,-0.12462426964774224,-0.8018170150967611,-0.5839440710594751,-0.0,0.0
2020-07-16,1.0,-0.8635687732342007,-0.13430212909766812,-0.7991213247718825,-0.5825278810408921,-0.0,0.0
2020-07-17,1.0,-0.8644101809425065,-0.13856650724104486,-0.7919662864978763,-0.5496504899829426,-0.0,0.0
2020-07-20,1.0,-0.8551731045304309,-0.14412579708209527,-0.7906052816078523,-0.5486261810169265,-0.0,0.0
2020-07-21,1.0,-0.8546765953183958,-0.14438841954118942,-0.7909640364644205,-0.5492369853407686,-0.0,0.0
2020-07-22,1.0,-0.8442244443706189,-0.1468057539616624,-0.7849905318760174,-0.546161257101093,-0.0,0.0
2020-07-23,1.0,-0.8467420212765957,-0.14956781914893616,-0.785372340425532,-0.5428191489361702,-0.0,0.0
2020-07-24,1.0,-0.8348097276135497,-0.1570286320958163,-0.7825885007133141,-0.5433130951196045,-0.0,0.0
2020-07-27,1.0,-0.826191654296553,-0.16021771400296886,-0.777964703941943,-0.5343229424377371,-0.0,0.0
2020-07-28,1.0,-0.8284808873044167,-0.1585132369446095,-0.7768535023436984,-0.5371360665478313,-0.0,0.0
2020-07-29,1.0,-0.8212722545825518,-0.16460986606114458,-0.7743442919669596,-0.5306545562247014,-0.0,0.0
2020-07-30,1.0,-0.8211430263547528,-0.162669035633205,-0.7751126904221368,-0.5312736485374923,-0.0,0.0
2020-07-31,1.0,-0.8220600801945706,-0.16068494051140475,-0.7745020705975153,-0.529415631367909,-0.0,0.0
2020-08-03,1.0,-0.8029772615736955,-0.17336823163749387,-0.7783085228202192,-0.5170947161786357,-0.0,0.0
2020-08-04,1.0,-0.8002420911440442,-0.1680570549939477,-0.775116956194589,-0.5280858442110773,-0.0,0.0
2020-08-05,1.0,-0.8004187248519742,-0.16778435670123326,-0.7748699663057346,-0.5282475710687298,-0.0,0.0
2020-08-06,1.0,-0.7964662464482837,-0.16835951533361637,-0.7733433489010091,-0.5277768705705607,-0.0,0.0
2020-08-07,1.0,-0.7929519750860515,-0.17938042943779708,-0.7776430093427307,-0.5281757089001804,-0.0,0.0
2020-08-10,1.0,-0.8230759049698895,-0.15508569915955264,-0.7963404142677519,-0.534345840778241,-0.0,0.0
2020-08-11,1.0,-0.8263431427720215,-0.14886292164586712,-0.8023436724155053,-0.5326889337614618,-0.0,0.0
2020-08-12,1.0,-0.820853581936593,-0.1548480941518728,-0.792621243677477,-0.5375714899666105,-0.0,0.0
2020-08-13,1.0,-0.817097349811645,-0.16677681580860484,-0.7780384640803648,-0.5425616284449144,-0.0,0.0
2020-08-14,1.0,-0.8173378704284912,-0.16617661634014996,-0.7791469820608543,-0.5410155604744127,-0.0,0.0
2020-08-17,1.0,-0.8185302669838752,-0.16957441184245306,-0.7774914089347079,-0.538659793814433,-0.0,0.0
2020-08-18,1.0,-0.8179356798520768,-0.1705078253978736,-0.7765634286468995,-0.5368487089744437,-0.0,0.0
2020-08-19,1.0,-0.8180017169649342,-0.17014462127715774,-0.7767285214290431,-0.5369807832001584,-0.0,0.0
2020-08-20,1.0,-0.8141374196737519,-0.16889108584610313,-0.7751524139067392,-0.5372549019607843,-0.0,0.0
2020-08-21,1.0,-0.7955381859631981,-0.19247679531021006,-0.7352548444878684,-0.5334961732616839,-0.0,0.0
2020-08-24,1.0,-0.7879258971369348,-0.2112320248736883,-0.7104547221142635,-0.5291812410934059,-0.0,0.0
2020-08-25,1.0,-0.78800427032448,-0.20442560900650253,-0.7164439843421435,-0.5262204393258063,-0.0,0.0
2020-08-26,1.0,-0.7883669772256728,-0.20451604554865424,-0.7159032091097308,-0.5261710662525879,-0.0,0.0
2020-08-27,1.0,-0.8093515803193222,-0.18781362007168456,-0.727109807754969,-0.5340827631150211,-0.0,0.0
2020-08-28,1.0,-0.8075672864386945,-0.19223768040566894,-0.7238330516187751,-0.5269145754778312,-0.0,0.0
2020-08-31,1.0,-0.8076260442739654,-0.19136625166596236,-0.7250918310957969,-0.5265741312615805,-0.0,0.0
2020-09-01,1.0,-0.8076248619861012,-0.19214782100409172,-0.7273170098071053,-0.5202961615899201,-0.0,0.0
2020-09-02,1.0,-0.8133689317227233,-0.1950314199199036,-0.7280630351968221,-0.5194868622407449,-0.0,0.0
2020-09-03,1.0,-0.8164767176815371,-0.19622272875284924,-0.7306740475415174,-0.5128948225333768,-0.0,0.0
2020-09-04,1.0,-0.8240816193487401,-0.19087975488118908,-0.7340526092767039,-0.5105446722513771,-0.0,0.0
2020-09-08,1.0,-0.8272451278033495,-0.19240688146769824,-0.7346652303071851,-0.5101034831717429,-0.0,0.0
2020-09-09,1.0,-0.81740005192108,-0.2066783489096573,-0.7117731048805815,-0.5092159916926272,-0.0,0.0
2020-09-10,1.0,-0.8109951197440288,-0.20280533919394977,-0.7091238162955301,-0.5090333214828221,-0.0,0.0
2020-09-11,1.0,-0.8026908716364104,-0.20403630745461568,-0.7038109952362559,-0.5082399897000129,-0.0,0.0
2020-09-14,1.0,-0.8033519912500804,-0.20166634497844685,-0.703499967831178,-0.5083638937142122,-0.0,0.0
2020-09-15,1.0,-0.8046139510972592,-0.1959001381614883,-0.6978761687497992,-0.514667609163641,-0.0,0.0
2020-09-16,1.0,-0.8065034897558778,-0.19015149078511465,-0.6986266122028882,-0.52108327168634,-0.0,0.0
2020-09-17,1.0,-0.8068411755259354,-0.1880199132808736,-0.6986349767143086,-0.5183234302232214,-0.0,0.0
2020-09-18,1.0,-0.8006359606860667,-0.19120575576540116,-0.698882250915398,-0.5211986895355559,-0.0,0.0
2020-09-21,1.0,-0.7992232137125249,-0.19265583873659883,-0.6989792642999294,-0.5190344739038326,-0.0,0.0
2020-09-22,1.0,-0.8063385940664075,-0.17945421233647263,-0.7091382469223104,-0.5193661405933593,-0.0,0.0
2020-09-23,1.0,-0.8063831838781217,-0.1774499405393244,-0.7104104393661813,-0.5198148683829911,-0.0,0.0
2020-09-24,1.0,-0.8033742036687262,-0.17191151519031916,-0.7031725197682237,-0.5228735153823991,-0.0,0.0
2020-09-25,1.0,-0.8030993326488706,-0.175564681724846,-0.7053388090349076,-0.524416067761807,-0.0,0.0
2020-09-28,1.0,-0.8047261285558337,-0.17478970012200604,-0.7069286585757399,-0.5242406729596096,-0.0,0.0
2020-09-29,1.0,-0.8072764605858385,-0.16927074978343867,-0.7050915974205139,-0.5266771471654528,-0.0,0.0
2020-09-30,1.0,-0.8032666368343667,-0.17221760531867286,-0.6990027488333439,-0.5218308508598094,-0.0,0.0
2020-10-01,1.0,-0.8037344398340248,-0.1691030960740504,-0.6973827002872646,-0.5216406000638365,-0.0,0.0
2020-10-02,1.0,-0.8040661304736372,-0.16650708540788972,-0.6962211157921614,-0.524798927613941,-0.0,0.0
2020-10-05,1.0,-0.807140804138856,-0.16303132884105642,-0.6990706735221793,-0.5243189729505316,-0.0,0.0
2020-10-06,1.0,-0.8092776927003573,-0.1563935681470138,-0.6959226646248086,-0.5288093415007658,-0.0,0.0
2020-10-07,1.0,-0.8050871768718325,-0.16345265036815096,-0.6948968858572658,-0.5239855927071049,-0.0,0.0
2020-10-08,1.0,-0.804658127827694,-0.16376728477665203,-0.6931115784107564,-0.5246288153953993,-0.0,0.0
2020-10-09,1.0,-0.8058846006878106,-0.16303655585275761,-0.6930327346834798,-0.5223856833524392,-0.0,0.0
2020-10-12,1.0,-0.8070136323098483,-0.16180405147152502,-0.6938144986622499,-0.5224869410115938,-0.0,0.0
2020-10-13,1.0,-0.7966737685629788,-0.16901453238782713,-0.6943428625942061,-0.5199542086685534,-0.0,0.0
