Date,IWF,IWM,MTUM,SPY,TRTN,VLUE,VXX
2019-08-01,-0.0,-0.4763384563418342,-0.07052862692112818,-0.9033271406856951,1.0,-0.9276473568653943,0.0
2019-08-02,-0.0,-0.4758116388503335,-0.06259521310809439,-0.9070720064998816,1.0,-0.9399099495582112,0.0
2019-08-05,-0.0,-0.47309250506414585,-0.061850101282916944,-0.9114112086428088,1.0,-0.9297096556380824,0.0
2019-08-06,-0.0,-0.4756794704643466,-0.06548992077023368,-0.8798181392705513,1.0,-0.9220071540801658,0.0
2019-08-07,-0.0,-0.46987791046767635,-0.06077790379611715,-0.8807125225165121,1.0,-0.9244112349055974,0.0
2019-08-08,-0.0,-0.4672738190552442,-0.05844675740592474,-0.8828062449959967,1.0,-0.9274419535628501,0.0
2019-08-09,-0.0,-0.45947293210594525,-0.05473397361337276,-0.8731182081020904,1.0,-0.9359276860190754,0.0
2019-08-12,-0.0,-0.4546782654890763,-0.06653828275449897,-0.8783451756424729,1.0,-0.9206786639219071,0.0
2019-08-13,-0.0,-0.4388973661513966,-0.06425396404166389,-0.8819743912956943,1.0,-0.9320307835202016,0.0
2019-08-14,-0.0,-0.4471077654516641,-0.06438193343898574,-0.8609680401479134,1.0,-0.9291798732171158,0.0
2019-08-15,-0.0,-0.4649191444966093,-0.07759520083463746,-0.8354851330203442,1.0,-0.8823356807511736,0.0
2019-08-16,-0.0,-0.46415758919835626,-0.07784880307872936,-0.8319744308916573,1.0,-0.8874176505120345,0.0
2019-08-19,-0.0,-0.46109303838646715,-0.080416395575797,-0.8304163955757969,1.0,-0.8811646063760572,0.0
2019-08-20,-0.0,-0.4639212117272314,-0.0757329519599558,-0.8324774101280635,1.0,-0.8782097120197621,0.0
2019-08-21,-0.0,-0.47160581813469815,-0.048883993650587966,-0.8431436068547733,1.0,-0.8758625157925426,0.0
2019-08-22,-0.0,-0.47248092096753325,-0.05131936360108653,-0.8458155477945932,1.0,-0.8641184840253525,0.0
2019-08-23,-0.0,-0.4591659705712266,-0.055933945897320564,-0.825547773565508,1.0,-0.8721004947632206,0.0
2019-08-26,-0.0,-0.4500732810807367,-0.05706365895622252,-0.818294781112598,1.0,-0.8607022239214938,0.0
2019-08-27,-0.0,-0.4491590214067278,-0.05845438328236494,-0.817947247706422,1.0,-0.8599643221202854,0.0
2019-08-28,-0.0,-0.45134971475921853,-0.05478535232813845,-0.8170953246008222,1.0,-0.863817445899863,0.0
2019-08-29,-0.0,-0.44714021551998984,-0.055378435248358095,-0.8189759612319072,1.0,-0.8667027992093349,0.0
2019-08-30,-0.0,-0.438227252495708,-0.05592293507979908,-0.824473834806384,1.0,-0.8606218604946907,0.0
2019-09-03,-0.0,-0.43564797151214546,-0.05516342362965789,-0.8223006486074018,1.0,-0.8663360040696935,0.0
2019-09-04,-0.0,-0.43033868659564317,-0.05899189060263953,-0.8208300206710128,1.0,-0.8699634282079822,0.0
2019-09-05,-0.0,-0.43068867026340846,-0.05017454776261505,-0.8265947318311648,1.0,-0.8661377340526817,0.0
2019-09-06,-0.0,-0.4297947920961654,-0.05100066605347458,-0.8271749817628214,1.0,-0.8637127723682958,0.0
2019-09-09,-0.0,-0.43192413814975744,-0.0515682978655926,-0.8269005106086075,1.0,-0.8610890869303225,0.0
