Date,CSGP,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-03-25,1.0,-0.05717367853290183,-0.0,-0.0,-0.0,-0.0,-0.16665519061718193,-0.0,-0.0,-0.2923408845738943,-0.0,-0.0,-0.0,-0.0,-0.2233009708737864,-0.0758337349950653,-0.0,-0.24779086047419036,-0.23211457687805548
2020-03-26,1.0,-0.05924018029620091,-0.0,-0.0,-0.0,-0.0,-0.16410633796338886,-0.0,-0.0,-0.30887222886578974,-0.0,-0.0,-0.0,-0.0,-0.2346150308159323,-0.05912519547419741,-0.0,-0.2465734523042958,-0.2271640143501058
2020-03-27,1.0,-0.055407209612817095,-0.0,-0.0,-0.0,-0.0,-0.16571520648220617,-0.0,-0.0,-0.3131761889415773,-0.0,-0.0,-0.0,-0.0,-0.23415128216932923,-0.05984991482896736,-0.0,-0.2495281064407716,-0.22411491183647164
2020-03-30,1.0,-0.04199595662562029,-0.0,-0.0,-0.0,-0.0,-0.16134442198125346,-0.0,-0.0,-0.2946838816394045,-0.0,-0.0,-0.0,-0.0,-0.2589367763278809,-0.07925932732953501,-0.0,-0.24797831281014518,-0.21317312993934937
2020-03-31,1.0,-0.04466796205280603,-0.0,-0.0,-0.0,-0.0,-0.16228140358898158,-0.0,-0.0,-0.28483255229169047,-0.0,-0.0,-0.0,-0.0,-0.2552520288032918,-0.08405532060806949,-0.0,-0.23332952337409987,-0.22160246885358326
2020-04-01,1.0,-0.0434097552064304,-0.0,-0.0,-0.0,-0.0,-0.16464194373401536,-0.0,-0.0,-0.27975429302155647,-0.0,-0.0,-0.0,-0.0,-0.25698757763975155,-0.08962824260138838,-0.0,-0.22474424552429667,-0.22435604676653273
2020-04-02,1.0,-0.028454818517414528,-0.018985164973746357,-0.0,-0.0,-0.0,-0.16057138926466877,-0.0,-0.0,-0.2905555682938573,-0.0,-0.0,-0.0,-0.0,-0.2224107490885745,-0.11913878889321991,-0.0,-0.2349758099649187,-0.21780203150436797
2020-04-03,1.0,-0.02282133955317738,-0.02147218220484325,-0.0,-0.0,-0.0,-0.15124282545562645,-0.0,-0.0,-0.29514532025336715,-0.0,-0.0,-0.0,-0.0,-0.21472182204843246,-0.1255173675424756,-0.0,-0.22064439413688233,-0.2351649859367497
2020-04-06,1.0,-0.022888731525687003,-0.018525709847636886,-0.0,-0.0,-0.0,-0.1572972108641524,-0.0,-0.0,-0.2961372410169724,-0.0,-0.0,-0.0,-0.0,-0.20985905840966718,-0.12922310802476186,-0.0,-0.21803686867533179,-0.23231377207209264
2020-04-07,1.0,-0.02390650312427679,-0.011039111316824808,-0.0,-0.0,-0.0,-0.17227493635732471,-0.0,-0.0,-0.30226799352001854,-0.0,-0.0,-0.0,-0.0,-0.18785003471418654,-0.13260819254802128,-0.0,-0.21323767646378153,-0.2711177968062949
2020-04-08,1.0,-0.021664660679566707,-0.011202666419775947,-0.0,-0.0,-0.0,-0.16843347838163134,-0.0,-0.0,-0.31075826312378485,-0.0,-0.0,-0.0,-0.0,-0.17648828812147024,-0.13049717618739007,-0.0,-0.22342838626053146,-0.27212758077955745
2020-04-09,1.0,-0.012482662968099863,-0.010540915395284327,-0.0,-0.0,-0.0,-0.1696024040684235,-0.0,-0.0,-0.3150716597318539,-0.0,-0.0,-0.0,-0.0,-0.1792417938049006,-0.12646786870087842,-0.0,-0.21874711049468334,-0.27947295423023577
2020-04-13,1.0,-0.004736598890942699,-0.023382624768946397,-0.0,-0.0,-0.0,-0.16730591497227357,-0.0,-0.0,-0.31469500924214416,-0.0,-0.0,-0.0,-0.0,-0.1791358595194085,-0.13121534195933457,-0.0,-0.2163354898336414,-0.27372920517560073
2020-04-14,1.0,-0.007256592174897738,-0.021908437521665783,-0.0,-0.0,-0.0,-0.1662545353701093,-0.0,-0.0,-0.3179034457257747,-0.0,-0.0,-0.0,-0.0,-0.17836426243904693,-0.12717524439000719,-0.0,-0.2178826465762289,-0.27427145201173997
2020-04-15,1.0,-0.0031527592396557278,-0.03320752980162931,-0.0,-0.0,-0.0,-0.1714916923643393,-0.0,-0.0,-0.32227182767984536,-0.0,-0.0,-0.0,-0.0,-0.1661527132139734,-0.1292171031435541,-0.0,-0.21457173102591248,-0.261218760068118
2020-04-16,1.0,-0.0,-0.030344764265711796,-0.0,-0.0,-0.0,-0.15181563604645826,-0.0,-0.0,-0.32160400312170045,-0.0,-0.0,-0.0,-0.0,-0.1673093696919616,-0.12571730248358812,-0.0,-0.23747876784648578,-0.2611210577055502
2020-04-17,1.0,-0.0,-0.05122917955415034,-0.0,-0.0,-0.0,-0.14983847687126262,-0.0,-0.0,-0.3373198616170642,-0.0,-0.0,-0.0,-0.0,-0.17279538112585058,-0.13872660205741516,-0.0,-0.20943020138841156,-0.23176850642655852
2020-04-20,1.0,-0.0,-0.025461372899207763,-0.0,-0.0,-0.0,-0.1391903649768741,-0.0,-0.0,-0.36412968814397584,-0.0,-0.0,-0.0,-0.0,-0.1728717314649448,-0.14260200577002335,-0.0,-0.217612309383157,-0.22782433484452994
2020-04-21,1.0,-0.0,-0.011395289946821981,-0.0,-0.0,-0.0,-0.1476783535532586,-0.0,-0.0,-0.3635903220608209,-0.0,-0.0,-0.0,-0.0,-0.18264693017795067,-0.15644927369414582,-0.0,-0.20444761619742627,-0.23582494992978661
2020-04-22,1.0,-0.004942300967478727,-0.008392586548548782,-0.0,-0.0,-0.0,-0.15621867350507052,-0.0,-0.0,-0.3842172747406458,-0.0,-0.0,-0.0,-0.0,-0.18100011656370207,-0.123697400629444,-0.0,-0.23641450052453666,-0.23636787504371137
2020-04-23,1.0,-0.004267922944167172,-0.007882830355893466,-0.0,-0.0,-0.0,-0.1579597929007883,-0.0,-0.0,-0.38397313307523673,-0.0,-0.0,-0.0,-0.0,-0.17766686879052193,-0.12339661364802462,-0.0,-0.24177900088623536,-0.23527216754512803
2020-04-24,1.0,-0.001725987778140598,-0.008233428184913934,-0.0,-0.0,-0.0,-0.15477912021271634,-0.0,-0.0,-0.3870644213276111,-0.0,-0.0,-0.0,-0.0,-0.17322853011148948,-0.12249848392965433,-0.0,-0.24800578439147267,-0.23688016047021504
2020-04-27,1.0,-0.0006526654390340551,-0.006013845831099508,-0.0,-0.0,-0.0,-0.15584718304934617,-0.0,-0.0,-0.3887088879047108,-0.0,-0.0,-0.0,-0.0,-0.17188410526561151,-0.12538169273443509,-0.0,-0.24724365399407938,-0.23521596233188038
2020-04-28,1.0,-0.0,-0.035539272880011206,-0.0,-0.0,-0.0,-0.15209782050683718,-0.0,-0.0,-0.3780977271666589,-0.0,-0.0,-0.0,-0.0,-0.16710225416530544,-0.12624259112334907,-0.0,-0.24469127736033977,-0.22973351379101134
2020-04-29,1.0,-0.0,-0.030182072829131653,-0.0,-0.0,-0.0,-0.14985994397759103,-0.0,-0.0,-0.3900793650793651,-0.0,-0.0,-0.0,-0.0,-0.1576797385620915,-0.12565359477124183,-0.0,-0.2549253034547152,-0.22591036414565827
2020-04-30,1.0,-0.00513722730471499,-0.07208538587848932,-0.0,-0.0,-0.0,-0.14527328172648368,-0.0,-0.0,-0.4590429275158339,-0.0,-0.0,-0.0,-0.0,-0.12517006802721087,-0.11355852685901947,-0.0,-0.24034717335209943,-0.18515130190007037
2020-05-01,1.0,-0.00790133877283065,-0.060326838761107594,-0.0,-0.0,-0.0,-0.14602236758809875,-0.0,-0.0,-0.4594265081709691,-0.0,-0.0,-0.0,-0.0,-0.1217556446507702,-0.11755879111861386,-0.0,-0.24191695388150336,-0.18974936109352653
2020-05-04,1.0,-0.010842016333427204,-0.06803247911386463,-0.0,-0.0,-0.0,-0.14474795832159953,-0.0,-0.0,-0.4556697643856191,-0.0,-0.0,-0.0,-0.0,-0.11653994180043181,-0.11332488500891767,-0.0,-0.24495447291842673,-0.19266873181263494
2020-05-05,1.0,-0.015804428997487262,-0.06812577789258625,-0.0,-0.0,-0.0,-0.14754714322617007,-0.0,-0.0,-0.4563558227461663,-0.0,-0.0,-0.0,-0.0,-0.1161731207289294,-0.1108188713805979,-0.0,-0.24035413193058264,-0.19319916398562806
2020-05-06,1.0,-0.01140871851451912,-0.06725509988497383,-0.0,-0.0,-0.0,-0.1472569778633301,-0.0,-0.0,-0.4603863940468086,-0.0,-0.0,-0.0,-0.0,-0.11615296133712061,-0.10955656236061881,-0.0,-0.24092114838376488,-0.19455855771262237
2020-05-07,1.0,-0.022270721862386184,-0.06613160612034169,-0.0,-0.0,-0.0,-0.1421195907256172,-0.0,-0.0,-0.4596357833474139,-0.0,-0.0,-0.0,-0.0,-0.11506148502769173,-0.10487656059326012,-0.0,-0.2356613160612034,-0.20099971838918615
2020-05-08,1.0,-0.017443502824858757,-0.06833804143126176,-0.0,-0.0,-0.0,-0.12561205273069678,-0.0,-0.0,-0.4444915254237288,-0.0,-0.0,-0.0,-0.0,-0.13653483992467044,-0.10193032015065913,-0.0,-0.2584039548022599,-0.20127118644067798
2020-05-11,1.0,-0.01434493805059594,-0.07356197295896735,-0.0,-0.0,-0.0,-0.12389880812173176,-0.0,-0.0,-0.4454468365760588,-0.0,-0.0,-0.0,-0.0,-0.14104678004428323,-0.10048523107363264,-0.0,-0.25592405898148585,-0.20078202289536912
2020-05-12,1.0,-0.018874585206278976,-0.07321550445976795,-0.0,-0.0,-0.0,-0.12390859240780401,-0.0,-0.0,-0.4415993975194747,-0.0,-0.0,-0.0,-0.0,-0.14480713562872138,-0.09865618601586218,-0.0,-0.24866442305429384,-0.20371372761290626
2020-05-13,1.0,-0.01965440225696485,-0.08268484777242271,-0.0,-0.0,-0.0,-0.11416480545433172,-0.0,-0.0,-0.4407664276478195,-0.0,-0.0,-0.0,-0.0,-0.13346655695309745,-0.10687668978488303,-0.0,-0.25649465146350064,-0.19692018337839426
2020-05-14,1.0,-0.01912716151041054,-0.09718856605105282,-0.0,-0.0,-0.0,-0.11365721679802376,-0.0,-0.0,-0.4442300905775791,-0.0,-0.0,-0.0,-0.0,-0.1306905069991766,-0.10471709210681097,-0.0,-0.2602752617339137,-0.18277849664745324
2020-05-15,1.0,-0.010602466793168881,-0.07941176470588236,-0.0,-0.0,-0.0,-0.13733396584440227,-0.0,-0.0,-0.45559772296015183,-0.0,-0.0,-0.0,-0.0,-0.11491935483870969,-0.0890180265654649,-0.0,-0.27855787476280836,-0.2064753320683112
2020-05-18,1.0,-0.012603349837720027,-0.07471985975219729,-0.0,-0.0,-0.0,-0.14024780270545595,-0.0,-0.0,-0.45701357466063347,-0.0,-0.0,-0.0,-0.0,-0.10843145151737699,-0.09189547748217289,-0.0,-0.28177489280045487,-0.20236431261993318
2020-05-19,1.0,-0.018749851850096002,-0.05039467134425297,-0.0,-0.0,-0.0,-0.14305354730130135,-0.0,-0.0,-0.4672292412354517,-0.0,-0.0,-0.0,-0.0,-0.10671533884846042,-0.08284542631616375,-0.0,-0.30267617986583545,-0.1987105032355939
2020-05-20,1.0,-0.01580681091072825,-0.013673957864303149,-0.0,-0.0,-0.0,-0.16155176908311017,-0.0,-0.0,-0.4972628385904211,-0.0,-0.0,-0.0,-0.0,-0.09130980875417684,-0.08687821409104912,-0.0,-0.2883143351423087,-0.2150389838140152
2020-05-21,1.0,-0.015606128780164352,-0.004120586354701968,-0.0,-0.0,-0.0,-0.16439718663414402,-0.0,-0.0,-0.48504511331612477,-0.0,-0.0,-0.0,-0.0,-0.08411679730977811,-0.08655599497951548,-0.0,-0.30511284249413884,-0.2231984275463566
2020-05-22,1.0,-0.013713711318000144,-0.0,-0.0023693846779790826,-0.0,-0.0,-0.17136155852858817,-0.0,-0.0,-0.5026924825886127,-0.0,-0.0,-0.0,-0.0,-0.10494698800947755,-0.07687336955221023,-0.0,-0.3146494985999091,-0.2067347964483163
2020-05-26,1.0,-0.01287913245397745,-0.0,-0.0007899839609317023,-0.0,-0.0,-0.16654298230914708,-0.0,-0.0,-0.5094438991693199,-0.0,-0.0,-0.0,-0.0,-0.10542695042252173,-0.08967514901970172,-0.0,-0.31166064204151006,-0.19747205132501855
2020-05-27,1.0,-0.011564707290793726,-0.0,-0.002346462348856698,-0.0,-0.0,-0.1670537531425835,-0.0,-0.0,-0.5085119118879444,-0.0,-0.0,-0.0,-0.0,-0.10863162935472286,-0.0847599664791093,-0.0,-0.3137076499461271,-0.197749311624566
