Date,IWF,IWM,MTUM,SPY,UHS,VLUE,VXX
2019-10-10,-0.0,-0.25435569634574046,-0.25302636044801446,-0.9500791944790135,1.0,-0.37091299920805526,0.0
2019-10-11,-0.0,-0.26478601430355314,-0.3111306618231354,-0.8828187081394029,1.0,-0.379242819843342,0.0
2019-10-14,-0.0,-0.2702391968817476,-0.3022068926838844,-0.8667451838142508,1.0,-0.36499256891281795,0.0
2019-10-15,-0.0,-0.28689050768930197,-0.3404783834324151,-0.842362332189009,1.0,-0.32130397164308244,0.0
2019-10-16,-0.0,-0.2943264393515931,-0.34823923979877025,-0.8370598099496925,1.0,-0.31523197316936835,0.0
2019-10-17,-0.0,-0.28020392728087623,-0.3684697050337544,-0.8296590940922716,1.0,-0.32286618672791956,0.0
2019-10-18,-0.0,-0.29703859649122805,-0.3779368421052632,-0.8125473684210526,1.0,-0.3194666666666666,0.0
2019-10-21,-0.0,-0.28080575377872674,-0.3797831095128392,-0.8104736753385403,1.0,-0.3384278249143114,0.0
2019-10-22,-0.0,-0.27281160398043514,-0.38477539776241076,-0.8131781638275144,1.0,-0.3402766065103728,0.0
2019-10-23,-0.0,-0.27298777918246947,-0.3732827644332069,-0.8089057451889311,1.0,-0.3542070515521843,0.0
2019-10-24,-0.0,-0.269018743109151,-0.39699771011788654,-0.8012608486698896,1.0,-0.35976592316173356,0.0
2019-10-25,-0.0,-0.26969054684188215,-0.39231312703122795,-0.8021760633036598,1.0,-0.3618765013423767,0.0
2019-10-28,-0.0,-0.3227682298413795,-0.42686472637245587,-0.8492385640671329,1.0,-0.27990327316694014,0.0
2019-10-29,-0.0,-0.3207979355736612,-0.4651918002841486,-0.8289889529995071,1.0,-0.2844965061323901,0.0
2019-10-30,-0.0,-0.3223267255100564,-0.4646505570829113,-0.8249457386774706,1.0,-0.28201418029228764,0.0
2019-10-31,-0.0,-0.31916188488958447,-0.4698023532139339,-0.8158291311655944,1.0,-0.2932533472439576,0.0
2019-11-01,-0.0,-0.3285510992361978,-0.47927859901838354,-0.8105305956495222,1.0,-0.2858304533441756,0.0
2019-11-04,-0.0,-0.32282742614824794,-0.5170912008251912,-0.7512105670324634,1.0,-0.2740895676341652,0.0
2019-11-05,-0.0,-0.3370857868606396,-0.5751356656275257,-0.7162856483085094,1.0,-0.25799561251587577,0.0
2019-11-06,-0.0,-0.32758670814315205,-0.5745849928772858,-0.7144518417303835,1.0,-0.290606738959793,0.0
2019-11-07,-0.0,-0.3331782630186375,-0.5754077864681766,-0.7104352629895618,1.0,-0.2885470880702468,0.0
2019-11-08,-0.0,-0.3191972076788831,-0.5794357184409541,-0.7145433391506689,1.0,-0.2954915648632926,0.0
2019-11-11,-0.0,-0.3071882039729674,-0.6103683332845733,-0.7015886018548316,1.0,-0.3064568034873175,0.0
2019-11-12,-0.0,-0.30883688234088047,-0.6080665475527958,-0.7055153627603176,1.0,-0.30664011013151343,0.0
2019-11-13,-0.0,-0.3146983806868735,-0.6681594400616881,-0.6805860371315025,1.0,-0.302360756865769,0.0
2019-11-14,-0.0,-0.30941823341610497,-0.6775747901146978,-0.6603996689133261,1.0,-0.30873832328248785,0.0
2019-11-15,-0.0,-0.30803148674242425,-0.6876775568181819,-0.6529060132575757,1.0,-0.3106356534090909,0.0
2019-11-18,-0.0,-0.29293949839534056,-0.6869428265779152,-0.669767027219779,1.0,-0.32191251634375373,0.0
2019-11-19,-0.0,-0.34144784828592273,-0.6885788961828349,-0.6800996839290057,1.0,-0.3290481400437637,0.0
2019-11-20,-0.0,-0.3428277385961195,-0.6953415867058147,-0.6678269818688137,1.0,-0.32088264672942457,0.0
2019-11-21,-0.0,-0.3368292682926829,-0.7120121951219511,-0.6664024390243902,1.0,-0.3335365853658536,0.0
2019-11-22,-0.0,-0.33314038508408483,-0.7018340238849623,-0.6689617353156228,1.0,-0.34261515963928835,0.0
