Date,IWF,IWM,MTUM,SMFG,SPY,VLUE,VXX
2019-10-11,-0.0,-0.11999654934437544,-0.0,1.0,-0.5570652173913043,-0.47959799861973773,0.0
2019-10-14,-0.0,-0.11501058909971043,-0.0,1.0,-0.5710117992825345,-0.47501836884643645,0.0
2019-10-15,-0.0,-0.11137445864127038,-0.0,1.0,-0.5565706405808967,-0.48673805778802437,0.0
2019-10-16,-0.0,-0.10638618227183756,-0.0,1.0,-0.5544944182745047,-0.4900733475296294,0.0
2019-10-17,-0.0,-0.10704758626624215,-0.0,1.0,-0.5552448154203597,-0.48898545736167287,0.0
2019-10-18,-0.0,-0.09755887544667843,-0.0,1.0,-0.5579928531450467,-0.4971154260128299,0.0
2019-10-21,-0.0,-0.09199439715547893,-0.0,1.0,-0.5612110763926301,-0.5017562762633336,0.0
2019-10-22,-0.0,-0.08840279575459488,-0.0,1.0,-0.562494606954871,-0.5063422210717059,0.0
2019-10-23,-0.0,-0.08843390649608422,-0.0,1.0,-0.565316821643546,-0.5037216025544217,0.0
2019-10-24,-0.0,-0.0857477700371118,-0.0,1.0,-0.5851726457885712,-0.49933806454413265,0.0
2019-10-25,-0.0012156735048301313,-0.08518397915988277,-0.0,1.0,-0.5884511017041137,-0.4959947899706936,0.0
2019-10-28,-0.006364722493754752,-0.10038014554143587,-0.0,1.0,-0.5850982947757141,-0.48041707396546107,0.0
2019-10-29,-0.013094072865687874,-0.10114192495921696,-0.0,1.0,-0.5818597063621535,-0.47899945622620993,0.0
2019-10-30,-0.0,-0.11150836040199691,-0.0,1.0,-0.5916156177105361,-0.4769026182119422,0.0
2019-10-31,-0.0028302092177737138,-0.10619815818692442,-0.0,1.0,-0.5716151786297433,-0.49644046763764615,0.0
2019-11-01,-0.024650218946918722,-0.139592011107551,-0.0,1.0,-0.5178254832852718,-0.45399978639325,0.0
2019-11-04,-0.027362759327243233,-0.13747545462306837,-0.0,1.0,-0.5176513275847349,-0.45186971740800824,0.0
2019-11-05,-0.0,-0.1343207786711807,-0.0,1.0,-0.5208421498095641,-0.46079136690647476,0.0
2019-11-06,-0.0,-0.12800493554014383,-0.0,1.0,-0.516891460664596,-0.48247032293749736,0.0
2019-11-07,-0.0,-0.12863070539419086,-0.0,1.0,-0.5170975635705927,-0.48217895520800086,0.0
2019-11-08,-0.0,-0.132172545017752,-0.0,1.0,-0.5133830814040011,-0.4804302995514169,0.0
2019-11-11,-0.0,-0.12969828688315008,-0.0,1.0,-0.5182817693684479,-0.48276229438336316,0.0
2019-11-12,-0.0,-0.13181944059817224,-0.0,1.0,-0.5167969665338815,-0.4816053511705686,0.0
2019-11-13,-0.014451176432807382,-0.13404268984564002,-0.0,1.0,-0.5145475176090261,-0.47787364319510156,0.0
2019-11-14,-0.015153460896365737,-0.13458327982534996,-0.0,1.0,-0.5146397842558109,-0.475964213860708,0.0
2019-11-15,-0.017662927121692217,-0.1338314635608461,-0.0,1.0,-0.5125460306585595,-0.4769204418943222,0.0
2019-11-18,-0.022854447612717876,-0.1310164440537701,-0.0,1.0,-0.5144609051733379,-0.4755911926762858,0.0
2019-11-19,-0.014344043267278053,-0.12629598751576562,-0.0,1.0,-0.5204258321041493,-0.4766455033241412,0.0
2019-11-20,-0.01129001218808134,-0.13535185066392968,-0.0,1.0,-0.5246648277631664,-0.466974576089978,0.0
2019-11-21,-0.02442965165126349,-0.12744781231823177,-0.011956310993343244,1.0,-0.5128503414550076,-0.4776061526530085,0.0
2019-11-22,-0.023203705698588817,-0.1281051384250781,-0.012323602283744479,1.0,-0.5129160831627707,-0.4779489389206076,0.0
2019-11-25,-0.033269148480958494,-0.12847667950363714,-0.007252888318356868,1.0,-0.5037655113393239,-0.46673085151904153,0.0
2019-11-26,-0.03204991239690611,-0.1220674330156831,-0.00602538353061835,1.0,-0.5089526088628691,-0.467565488654331,0.0
2019-11-27,-0.03164868041457421,-0.12458596003846564,-0.007116144887274282,1.0,-0.5080029917726253,-0.465626669515974,0.0
2019-11-29,-0.036660796357544774,-0.12389931703964606,-0.018405566771186804,1.0,-0.5127571839697608,-0.45595120484515267,0.0
2019-12-02,-0.0394283858395583,-0.1312547363862726,-0.04113889791057703,1.0,-0.5010284724477644,-0.45235466060409224,0.0
2019-12-03,-0.03821463309197017,-0.1285637090673295,-0.035966713498324865,1.0,-0.5036420620339349,-0.45507403004430996,0.0
2019-12-04,-0.036750693000692995,-0.1382103257103257,-0.04151507276507276,1.0,-0.5011477823977823,-0.448024948024948,0.0
2019-12-05,-0.03545557688950952,-0.13237475999301798,-0.05753621923546867,1.0,-0.49039972071914817,-0.46613719671845,0.0
2019-12-06,-0.025959465286761536,-0.12138852953859423,-0.053018542475204836,1.0,-0.4782233721431652,-0.477490297542044,0.0
2019-12-09,-0.009917644231819471,-0.10645083775695219,-0.07407650129977937,1.0,-0.5035498175939882,-0.4905083338794591,0.0
2019-12-10,-0.011496337951520373,-0.09922677490306342,-0.1230811092718986,1.0,-0.5519602730096823,-0.4817577832702206,0.0
2019-12-11,-0.014323980750022699,-0.09556887314991373,-0.1258285662398983,1.0,-0.5499182783982566,-0.48440479433396894,0.0
2019-12-12,-0.013195248801980424,-0.09781744679884627,-0.1268197406372783,1.0,-0.5504076673252936,-0.48288705684631283,0.0
2019-12-13,-0.014535941765241128,-0.10211555959963603,-0.1497270245677889,1.0,-0.5405141037306642,-0.4679026387625114,0.0
2019-12-16,-0.025106113970920257,-0.1004696107649237,-0.16664408922604534,1.0,-0.5344983292693941,-0.4310484963424547,0.0
2019-12-17,-0.05200767438673427,-0.08763875565300809,-0.17852085331871545,1.0,-0.5383719336713718,-0.4275272943218675,0.0
2019-12-18,-0.03908765451556977,-0.09103190507283904,-0.162880237768221,1.0,-0.5378605363294531,-0.4207101524328462,0.0
2019-12-19,-0.038180670753696355,-0.10383609808871258,-0.16710241615578794,1.0,-0.5244545618463757,-0.4203479985575189,0.0
2019-12-20,-0.03605801816456554,-0.1097103610320365,-0.16960372328408113,1.0,-0.5274049975147983,-0.41647462834937415,0.0
2019-12-23,-0.03715247193802652,-0.11495810465930394,-0.16699415046186508,1.0,-0.5276554418772726,-0.4117487634663595,0.0
2019-12-24,-0.026944011563565733,-0.11218013867244844,-0.17982248119791314,1.0,-0.5237030512455677,-0.41588183481265667,0.0
2019-12-26,-0.033778600117333815,-0.11327225957850083,-0.17494020488289183,1.0,-0.5254298479173248,-0.4089760368247664,0.0
2019-12-27,-0.03233386808866394,-0.11977766229071107,-0.18132724766703573,1.0,-0.5195562283932486,-0.40653455950471107,0.0
2019-12-30,-0.04135883606037257,-0.11934007161310792,-0.1883923310519875,1.0,-0.5235462085845081,-0.3935774826632824,0.0
2019-12-31,-0.036105577689243024,-0.12425298804780877,-0.18779427743571173,1.0,-0.5241986599058313,-0.3913210793190873,0.0
2020-01-02,-0.03635745837580699,-0.1252689998867369,-0.18842451013704836,1.0,-0.5246120738475478,-0.39064446709706646,0.0
2020-01-03,-0.03825881497637223,-0.11997909850963287,-0.18759087604507452,1.0,-0.5296255906942929,-0.39642402762631773,0.0
2020-01-06,-0.045062910284463895,-0.12071480671043035,-0.18697574762946756,1.0,-0.5287427060539752,-0.3978847556528082,0.0
