Date,IWF,IWM,MTUM,PFL,SPY,VLUE,VXX
2019-04-29,-0.0,-0.15084146751935376,-0.0,1.0,-0.36196566812521036,-0.17009424436216763,0.0
2019-04-30,-0.0,-0.14517810891721886,-0.002791886709946517,1.0,-0.36075885499007704,-0.17313061320596052,0.0
2019-05-01,-0.0,-0.1393939393939394,-0.007121212121212122,1.0,-0.3620538720538721,-0.17493265993265994,0.0
2019-05-02,-0.0,-0.13942995673327835,-0.005690331487062072,1.0,-0.35362548191046983,-0.1847842556271991,0.0
2019-05-03,-0.0,-0.1421500959563651,-0.0059762297565738535,1.0,-0.35158748863674627,-0.18373118750210432,0.0
2019-05-06,-0.0,-0.12790521804890345,-0.010335265944038316,1.0,-0.3496849004285354,-0.19260566338963114,0.0
2019-05-07,-0.0,-0.128545980102178,-0.013578919064264587,1.0,-0.34574146275880613,-0.19269292820650713,0.0
2019-05-08,-0.0,-0.12924016851575218,-0.02349821245740949,1.0,-0.330838046962856,-0.19486731902180296,0.0
2019-05-09,-0.0,-0.12823566911036924,-0.023738026136992735,1.0,-0.3310238386820782,-0.19460148635273197,0.0
2019-05-10,-0.0,-0.12736450228065468,-0.023879796082640195,1.0,-0.3328414274215187,-0.19288301583042664,0.0
2019-05-13,-0.0,-0.12712915772532188,-0.02224718347639485,1.0,-0.3323497854077253,-0.19475925429184548,0.0
2019-05-14,-0.0,-0.10717198448760841,-0.04883407400009987,1.0,-0.3160067242555883,-0.19242356152527423,0.0
2019-05-15,-0.0,-0.10679627810975913,-0.05311516886662117,1.0,-0.31849126953742696,-0.18612780265326165,0.0
2019-05-16,-0.0,-0.10699006176025036,-0.053653177073796014,1.0,-0.31789049624610877,-0.18617968736994556,0.0
2019-05-17,-0.0,-0.10341552815728092,-0.05763078973675442,1.0,-0.31306231256247924,-0.19201932689103635,0.0
2019-05-20,-0.0,-0.09659062629614268,-0.060555785980920776,1.0,-0.31138946495230196,-0.19052675238490252,0.0
2019-05-21,-0.0,-0.09272356848259984,-0.05891706557567124,1.0,-0.31499180097063256,-0.1897371341493714,0.0
2019-05-22,-0.0,-0.08818514410581554,-0.06381710728889037,1.0,-0.3150959325905938,-0.1883556541460427,0.0
2019-05-23,-0.0,-0.0799228308544669,-0.05385351053655641,1.0,-0.32077960623948815,-0.19437390759489495,0.0
2019-05-24,-0.0,-0.07096795366161822,-0.05949821964786768,1.0,-0.3142608667115173,-0.19613409251267577,0.0
2019-05-28,-0.0,-0.07158678852117414,-0.05816529115460975,1.0,-0.31402694144092413,-0.1969744203980508,0.0
2019-05-29,-0.0,-0.08212749315604223,-0.06177486637987224,1.0,-0.3061856342067527,-0.17942575935340893,0.0
2019-05-30,-0.0,-0.08054149921085603,-0.06378235897102133,1.0,-0.30259197188369485,-0.18018516409313529,0.0
2019-05-31,-0.0,-0.08486197540091313,-0.06601459047557152,1.0,-0.3009244967260793,-0.17297349992688515,0.0
2019-06-03,-0.0,-0.08712059862006413,-0.06943409672508179,1.0,-0.29892131774156977,-0.16416701758932334,0.0
2019-06-04,-0.0,-0.07980870551998055,-0.061181810813001544,1.0,-0.2942692712977223,-0.1858636621544946,0.0
2019-06-05,-0.0,-0.07396197253393011,-0.07048443965031476,1.0,-0.29494630753626455,-0.17057620787918795,0.0
2019-06-06,-0.0,-0.07153087333644455,-0.06890780644019245,1.0,-0.2966479458006791,-0.17215686905585684,0.0
2019-06-07,-0.0,-0.07352799150114284,-0.07322216141390078,1.0,-0.2909892798506261,-0.17189260535041687,0.0
2019-06-10,-0.0,-0.07445764919672579,-0.07235096408986379,1.0,-0.287763536657929,-0.17358442017914863,0.0
2019-06-11,-0.0,-0.07364409641266421,-0.07504301265456417,1.0,-0.2879998713640237,-0.17126272290202763,0.0
2019-06-12,-0.0,-0.0771232172684055,-0.07567775921881023,1.0,-0.2834382628806373,-0.16980919953745344,0.0
2019-06-13,-0.0,-0.08014010057679022,-0.07835671020709821,1.0,-0.2816632123519866,-0.16649796757764174,0.0
2019-06-14,-0.0,-0.07537277537277537,-0.09009139009139008,1.0,-0.2833894500561167,-0.15448132114798782,0.0
2019-06-17,-0.0,-0.07451684240889715,-0.09065414570045832,1.0,-0.2860485240857665,-0.1512772026537611,0.0
2019-06-18,-0.0,-0.07127016289867096,-0.08800676484196754,1.0,-0.28717073248560077,-0.14903393589354946,0.0
2019-06-19,-0.0,-0.07288829422914576,-0.08934231694302416,1.0,-0.2869817301412848,-0.14364218473742055,0.0
2019-06-20,-0.0,-0.07194680528757993,-0.0849265702485928,1.0,-0.29241146173839555,-0.1452808827515826,0.0
2019-06-21,-0.0,-0.07385385449212524,-0.08445450487789326,1.0,-0.28918255435822227,-0.14659185104890646,0.0
2019-06-24,-0.0,-0.0700424499696786,-0.08520315342631898,1.0,-0.2882608279339951,-0.15235709042162715,0.0
2019-06-25,-0.0,-0.062162938379551336,-0.08611226345853144,1.0,-0.29259341991894566,-0.15470530044356512,0.0
2019-06-26,-0.0,-0.05976057462090982,-0.08189944134078213,1.0,-0.28346368715083803,-0.1710295291300878,0.0
2019-06-27,-0.0,-0.054689370122719946,-0.0925745655330897,1.0,-0.2809632478496082,-0.16761087084882625,0.0
2019-06-28,-0.0,-0.0433693814400102,-0.09367722589083484,1.0,-0.2897246945481226,-0.16826171563466996,0.0
2019-07-01,-0.0,-0.041045668287239975,-0.09498684944608272,1.0,-0.29205387742089745,-0.1659360803379294,0.0
2019-07-02,-0.0,-0.04345056065239552,-0.09411633537206932,1.0,-0.28956422018348627,-0.16563137104994904,0.0
2019-07-03,-0.0,-0.038109465386815845,-0.0983090712605683,1.0,-0.2920348356747823,-0.16076536774521644,0.0
2019-07-05,-0.0,-0.02761500960729201,-0.10264716624585139,1.0,-0.2934591015196989,-0.16426087370777953,0.0
