Date,FTAI,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-12,1.0,-0.0,-0.4950797328608423,-0.0,-0.6866566716641679,-0.5441733678615238,0.0
2019-03-13,1.0,-0.0,-0.5032189135139578,-0.0,-0.6924088431087855,-0.5439005013286579,0.0
2019-03-14,1.0,-0.0,-0.5044906900328586,-0.0,-0.6921412924424972,-0.5415936473165388,0.0
2019-03-15,1.0,-0.0,-0.49356341483584637,-0.0,-0.7102296220745927,-0.5527744852110154,0.0
2019-03-18,1.0,-0.0,-0.5026861517049408,-0.0,-0.7151565762004175,-0.5657341684064022,0.0
2019-03-19,1.0,-0.0,-0.5039609483960948,-0.0,-0.7082566248256625,-0.57721059972106,0.0
2019-03-20,1.0,-0.0,-0.5028929200324231,-0.0,-0.7088352852391201,-0.5833636134947033,0.0
2019-03-21,1.0,-0.0,-0.501383106541116,-0.0,-0.7350303165777194,-0.5577691469445919,0.0
2019-03-22,1.0,-0.0,-0.49674473661959917,-0.0,-0.7756545756883966,-0.5460105408528508,0.0
2019-03-25,1.0,-0.0,-0.45249475890985325,-0.0,-0.7971767994409503,-0.5455765199161425,0.0
2019-03-26,1.0,-0.0,-0.45953002610966054,-0.0,-0.7965411718464865,-0.5514191863892867,0.0
2019-03-27,1.0,-0.0,-0.4415821046140046,-0.0,-0.8079834052811571,-0.553568425183607,0.0
2019-03-28,1.0,-0.0,-0.44193159179550495,-0.0,-0.8052695081231236,-0.5586857094755746,0.0
2019-03-29,1.0,-0.0,-0.43383960096396346,-0.0,-0.806394664574343,-0.5619850921930168,0.0
2019-04-01,1.0,-0.0,-0.4404394865183026,-0.0,-0.8069678793654353,-0.5554403273726106,0.0
2019-04-02,1.0,-0.0,-0.44995385518919373,-0.0,-0.8182453785272814,-0.5284839332158738,0.0
2019-04-03,1.0,-0.0,-0.45116838103756707,-0.0,-0.8157144454382825,-0.5282871198568873,0.0
2019-04-04,1.0,-0.0,-0.44996370134584235,-0.0,-0.8255151616686213,-0.516725302954152,0.0
2019-04-05,1.0,-0.0,-0.4415152362314788,-0.0,-0.8328767123287671,-0.521246854906346,0.0
2019-04-08,1.0,-0.0,-0.44075947959524076,-0.0,-0.8313410430334705,-0.5078116312687646,0.0
2019-04-09,1.0,-0.0,-0.4392851177551361,-0.0,-0.8391793329992763,-0.5053727520739381,0.0
2019-04-10,1.0,-0.0,-0.43562649463322395,-0.0,-0.8458928869362106,-0.4991935932373061,0.0
2019-04-11,1.0,-0.0,-0.41382667964946446,-0.0,-0.8822923911531506,-0.4859090276811796,0.0
2019-04-12,1.0,-0.0,-0.41412118177265894,-0.0,-0.8792355199465866,-0.48862182162132084,0.0
2019-04-15,1.0,-0.0,-0.41597106288258207,-0.0,-0.8736505286588759,-0.4927657206455203,0.0
2019-04-16,1.0,-0.0,-0.4144991237099062,-0.0,-0.87384204523326,-0.49353214454613736,0.0
2019-04-17,1.0,-0.0,-0.40971835689635977,-0.0,-0.8830012245352333,-0.49031503951909167,0.0
2019-04-18,1.0,-0.0,-0.4086557194544948,-0.0,-0.8806568327303088,-0.4938769830225438,0.0
2019-04-22,1.0,-0.0,-0.40741670852168094,-0.0,-0.8840337072381271,-0.49888386628718123,0.0
2019-04-23,1.0,-0.0,-0.41169074296571573,-0.0,-0.8799631171589036,-0.5025007683925229,0.0
2019-04-24,1.0,-0.0,-0.39562219057989223,-0.0,-0.8825418097551442,-0.5138062931010414,0.0
2019-04-25,1.0,-0.0,-0.3852479650918855,-0.0,-0.8922267908589969,-0.5196218287600347,0.0
2019-04-26,1.0,-0.0,-0.3728851477949606,-0.0,-0.8984031991946083,-0.5252104365334601,0.0
2019-04-29,1.0,-0.0,-0.3644065427093527,-0.0,-0.8973857122885502,-0.5342373829162589,0.0
2019-04-30,1.0,-0.0,-0.3639058218220458,-0.0,-0.9019629774621106,-0.5303674291147028,0.0
2019-05-01,1.0,-0.0,-0.3697436615772517,-0.0,-0.9092029696035859,-0.522594200868469,0.0
2019-05-02,1.0,-0.0,-0.36886187288159333,-0.0,-0.9104176587579486,-0.52191938149528,0.0
2019-05-03,1.0,-0.0,-0.3797422247128047,-0.0,-0.9033622863547212,-0.5188007845334828,0.0
2019-05-06,1.0,-0.0,-0.3572707936863315,-0.0,-0.9123194895331915,-0.5289936191648942,0.0
2019-05-07,1.0,-0.0,-0.3561908495267962,-0.0,-0.9126393011144089,-0.5311922495379963,0.0
2019-05-08,1.0,-0.0,-0.35146047392309193,-0.0,-0.8907359452009022,-0.5423105839111185,0.0
2019-05-09,1.0,-0.0,-0.35183225662731116,-0.0,-0.8919024281577188,-0.5408220093562041,0.0
2019-05-10,1.0,-0.0,-0.3428281609825639,-0.0,-0.8827722337975656,-0.5159008663230618,0.0
2019-05-13,1.0,-0.0,-0.33878190159611,-0.0,-0.8902502678497843,-0.518145105903684,0.0
2019-05-14,1.0,-0.0,-0.3076546033820766,-0.0,-0.896958309506304,-0.5184761593551726,0.0
2019-05-15,1.0,-0.0,-0.31523218465893627,-0.0,-0.9089226414067179,-0.49782241820458384,0.0
2019-05-16,1.0,-0.0,-0.3207864406779661,-0.0,-0.8999050847457627,-0.4911728813559322,0.0
2019-05-17,1.0,-0.0,-0.31841582000926105,-0.0,-0.9148530493285757,-0.49053468798518235,0.0
2019-05-20,1.0,-0.0,-0.3088223292254958,-0.0,-0.919638727930575,-0.49198835659294327,0.0
2019-05-21,1.0,-0.0,-0.3098629839060461,-0.0,-0.9173281861678991,-0.49138212266202697,0.0
2019-05-22,1.0,-0.0,-0.3032179226069246,-0.0,-0.9220366598778004,-0.49026476578411404,0.0
2019-05-23,1.0,-0.0,-0.3021116056888503,-0.0,-0.9257409618933884,-0.48629356204538055,0.0
