Date,EXPO,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-04-17,1.0,-0.0,-0.24734907179533924,-0.0,-0.35171512776106706,-0.0,-0.810834624616413,-0.0,-0.0,-0.16710722207030657,-0.0,-0.07048886458238386,-0.0,-0.0,-0.10874122687084133,-0.05162094005408198,-0.23045605080059553,-0.0,-0.0
2019-04-18,1.0,-0.0,-0.24076154616949563,-0.0,-0.3446087511007196,-0.0,-0.7964655512707618,-0.0,-0.0,-0.17368596848146237,-0.0,-0.07782467433880909,-0.0,-0.0,-0.1267421735037804,-0.04676160689885525,-0.22961770868126197,-0.0,-0.0
2019-04-22,1.0,-0.0,-0.24148710166919574,-0.0,-0.31863429438543245,-0.0,-0.7760546282245826,-0.0,-0.0,-0.1538998482549317,-0.0,-0.08531107738998482,-0.0,-0.0,-0.1470713201820941,-0.06515933232169954,-0.24731411229135053,-0.0,-0.0
2019-04-23,1.0,-0.0,-0.2502955889040473,-0.0,-0.318781264211005,-0.0,-0.7896922843716842,-0.0,-0.0,-0.11044414127633773,-0.0,-0.08458390177353343,-0.0,-0.0,-0.1385175079581628,-0.041230862513263605,-0.29816583295437327,-0.0,-0.0
2019-04-24,1.0,-0.0,-0.20146836536385232,-0.0,-0.2701360397322392,-0.0,-0.7227997655551099,-0.0,-0.0,-0.16074898972761203,-0.0,-0.1266927846500293,-0.0,-0.0,-0.20140666934016102,-0.08982941049449363,-0.31175000771200295,-0.0,-0.0
2019-04-25,1.0,-0.0,-0.22439720812182742,-0.0,-0.24184644670050764,-0.0,-0.7084073604060914,-0.0,-0.0,-0.12293781725888325,-0.0,-0.15399746192893402,-0.0,-0.0,-0.23531091370558377,-0.12420685279187817,-0.36151649746192893,-0.0,-0.0
2019-04-26,1.0,-0.0,-0.22658833349385216,-0.0,-0.3073613920190055,-0.0,-0.6717711644033516,-0.0,-0.0,-0.12196218177148545,-0.0,-0.13191434717005363,-0.0,-0.0,-0.29464830331631836,-0.13644097723843462,-0.3197213393688401,-0.0,-0.0
2019-04-29,1.0,-0.0,-0.2515998327812972,-0.0,-0.35739781972537543,-0.0,-0.6432131716885873,-0.0,-0.0,-0.08444544489822169,-0.0,-0.09238833327973758,-0.0,-0.0,-0.3012509245264816,-0.14705598610798468,-0.33842492844968963,-0.0,-0.0
2019-04-30,1.0,-0.0,-0.35974673228223053,-0.0,-0.42290693665172563,-0.0,-0.5335234930884243,-0.0,-0.0,-0.05516722565275994,-0.0,-0.01564116227314046,-0.0,-0.0,-0.3301256935084475,-0.13327900197473594,-0.28411121211171364,-0.0,-0.0
2019-05-01,1.0,-0.0,-0.32701304334355735,-0.0,-0.3990457601387985,-0.0,-0.48216996622982305,-0.0,-0.0,-0.11875329181770301,-0.0,-0.02552901446850699,-0.0,-0.0,-0.3263624252563745,-0.15119125073581807,-0.2681475973603495,-0.0,-0.0
2019-05-02,1.0,-0.0,-0.3267464085332018,-0.0,-0.39342746161908876,-0.0,-0.4745976940625193,-0.0,-0.0,-0.12127751402675874,-0.0,-0.02722116036747025,-0.0,-0.0,-0.3178987607127443,-0.1617547321043221,-0.2598803872001973,-0.0,-0.0
2019-05-03,1.0,-0.0,-0.33984530251612705,-0.0,-0.3779999388547495,-0.0,-0.4668439878932404,-0.0,-0.0,-0.11694029166284509,-0.0,-0.02491668959613562,-0.0,-0.0,-0.3152649117979761,-0.1639915619554251,-0.25139869760616346,-0.0,-0.0
2019-05-06,1.0,-0.0,-0.34126813044683274,-0.0,-0.38025436516490624,-0.0,-0.5109783512456502,-0.0,-0.0,-0.12133156776398853,-0.0,-0.0216487543497675,-0.0,-0.0,-0.2820189080158901,-0.1576386536507252,-0.26434268469189787,-0.0,-0.0
2019-05-07,1.0,-0.0,-0.3498001844451276,-0.0,-0.3745465723947126,-0.0,-0.5162926529357517,-0.0,-0.0,-0.1215493390716262,-0.0,-0.012573009529664924,-0.0,-0.0,-0.2845066092837381,-0.15333538272363972,-0.26148170919151553,-0.0,-0.0
2019-05-08,1.0,-0.0,-0.3507364424166335,-0.0,-0.3707627767400557,-0.0,-0.519490461463086,-0.0,-0.0,-0.12098478121076645,-0.0,-0.008390237927549988,-0.0,-0.0,-0.2829714915638301,-0.14370579048902224,-0.26508864868175275,-0.0,-0.0
2019-05-09,1.0,-0.0,-0.37519671675872496,-0.0,-0.34869009781837257,-0.0,-0.5311506773228006,-0.0,-0.0,-0.12244268213657543,-0.0,-0.02440830684728608,-0.0,-0.0,-0.26488104421884157,-0.11864720585058781,-0.3003672046162866,-0.0,-0.0
2019-05-10,1.0,-0.0,-0.36821429676142164,-0.0,-0.35151102725107486,-0.0,-0.5448359058430511,-0.0,-0.0,-0.12063472424139317,-0.0,-0.023972284945405053,-0.0,-0.0,-0.26307649478796125,-0.12589316093909492,-0.29509109468279254,-0.0,-0.0
