Date,IWF,IWM,MTUM,RRR,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-03-28,-0.0,-0.7088470466855816,-0.0,1.0,-0.03213825122517411,-0.0,-0.6802166623678102,-0.4749032757286562,-0.37735362393603306,-0.24596337374258448,-0.0,-0.37590920815063195,-0.0,-0.0,-0.12829507351044622,-0.0,-1.1350012896569512,-0.0,-0.0
2019-03-29,-0.0,-0.6927713973912593,-0.0,1.0,-0.029257392298498153,-0.0,-0.7110117964974276,-0.43439172686171595,-0.4274281556929793,-0.23863222990178248,-0.0,-0.3545704931663462,-0.0,-0.0,-0.17419321311645794,-0.0047289923608584946,-1.1296575378059555,-0.0,-0.0
2019-04-01,-0.0,-0.735447549196839,-0.0,1.0,-0.050720520634264764,-0.0,-0.70590362068075,-0.39620887350859973,-0.4072620215897939,-0.2510717421620784,-0.0,-0.3295284334486855,-0.0,-0.0,-0.1671401270595527,-0.02861422447187645,-1.0931253550952946,-0.0,-0.0
2019-04-02,-0.0,-0.7469817884182526,-0.0,1.0,-0.04711479435236341,-0.0,-0.7256496828320034,-0.3817781870268058,-0.38878657663188054,-0.24007571107018622,-0.0,-0.3189584612236546,-0.0,-0.0,-0.10793943114385104,-0.0,-1.1583793738489871,-0.0,-0.0
2019-04-03,-0.0,-0.7085950742845747,-0.0,1.0,-0.07049556286768371,-0.0,-0.5275700468640941,-0.3819423671353076,-0.3557184165918835,-0.21667165220859505,-0.0,-0.36424369328946055,-0.0,-0.0,-0.199621098813441,-0.034599660983148865,-1.077275899890318,-0.0,-0.04880845547911058
2019-04-04,-0.0,-0.6622765757290686,-0.0,1.0,-0.10006436599494974,-0.0,-0.42496410357973957,-0.33836708422042877,-0.5191860177254047,-0.21310095558746348,-0.0,-0.3295043818388869,-0.0,-0.0,-0.24825469129078573,-0.029558845373075206,-1.0431747289201365,-0.0,-0.042778630489676686
2019-04-05,-0.0,-0.6066093254866456,-0.0,1.0,-0.06528846637493084,-0.0,-0.624113475177305,-0.2448065992656305,-0.5145616417685227,-0.27558975906644534,-0.0,-0.4106433278004125,-0.0,-0.0,-0.16719480911422968,-0.055681303757356276,-1.0041748402997839,-0.0,-0.061214224636587704
2019-04-08,-0.0,-0.5493132935993781,-0.0,1.0,-0.22187095102358123,-0.0,-0.7472402176729722,-0.3310183985488468,-0.35573982897123607,-0.16055973050012956,-0.0,-0.5225187872505831,-0.0,-0.0,-0.15781290489764188,-0.1879243327286862,-0.9054677377558953,-0.0,-0.043223633065561026
2019-04-09,-0.0,-0.6185338151781105,-0.0,1.0,-0.24155911202891067,-0.0,-0.686060918946825,-0.2947341249354672,-0.36830149716055754,-0.14331440371708828,-0.0,-0.5373773877129582,-0.0,-0.0,-0.1324212700051626,-0.2148167268972638,-0.9198244708311821,-0.0,-0.005627258647392876
2019-04-10,-0.0,-0.6123122968161412,-0.0,1.0,-0.2351514526033335,-0.0,-0.6896640693534238,-0.2994994581763765,-0.3695753134836679,-0.14515712885081788,-0.0,-0.5396563290159452,-0.0,-0.0,-0.12823159089736313,-0.21414933691108934,-0.9208421487176841,-0.0,-0.005985860983538882
2019-04-11,-0.0,-0.7841441816855922,-0.0,1.0,-0.17611209500989686,-0.0,-0.7451817897697676,-0.26773622252317947,-0.2964892176268361,-0.13845192207521614,-0.0,-0.5228669653088863,-0.0,-0.0,-0.10428169601000103,-0.2675278674861965,-0.9061360558391499,-0.0,-0.0
2019-04-12,-0.0,-0.8182100362131401,-0.0,1.0,-0.1612519399896534,-0.0,-0.741386445938955,-0.2960682876357993,-0.3244697361614071,-0.11376099327470253,-0.0,-0.4563890325918262,-0.0,-0.0,-0.07635799275737197,-0.28520434557682356,-0.900155199172271,-0.0,-0.0
2019-04-15,-0.0,-0.8755648068233741,-0.0,1.0,-0.11245367314819515,-0.0,-0.6774635731329645,-0.30370107122912116,-0.2890795552622227,-0.13154287454942376,-0.0,-0.4803777224958115,-0.0,-0.0,-0.042595319084124485,-0.2652688226633497,-0.8856170990506169,-0.0,-0.013250748845001777
2019-04-16,-0.0,-0.8119203284172115,-0.0,1.0,-0.018194718970148495,-0.0,-0.5373270488064467,-0.33931377020931525,-0.27180578784653586,-0.16441133242106326,-0.0,-0.5323602452992752,-0.0,-0.0,-0.26156809082154986,-0.2509756221174801,-0.8803405808119202,-0.0,-0.0
2019-04-17,-0.0,-0.8278284262442087,-0.0,1.0,-0.044836347332237333,-0.0,-0.4998256364270413,-0.3863398595127783,-0.24933990933094205,-0.1710257559906342,-0.0,-0.4847307328251881,-0.0,-0.0,-0.27345190056294527,-0.18064066158521397,-0.8637473222737011,-0.0,-0.0
2019-04-18,-0.0,-0.7298414551113706,-0.0,1.0,-0.0,-0.0,-0.3717537204552086,-0.4620173134909056,-0.19696527575138606,-0.19487403949032198,-0.0,-0.4843400447427293,-0.0,-0.0,-0.4106604415912849,-0.18354245695943977,-0.769429043867328,-0.0,-0.059867717148137344
2019-04-22,-0.0,-0.774423076923077,-0.0,1.0,-0.007451923076923077,-0.0,-0.4444711538461539,-0.5040865384615385,-0.18043269230769232,-0.266875,-0.0,-0.4599519230769231,-0.0,-0.0,-0.3481730769230769,-0.11615384615384616,-0.700673076923077,-0.0,-0.004951923076923078
2019-04-23,-0.0,-0.7861354810873004,-0.0,1.0,-0.0,-0.0,-0.46646531473224984,-0.46426003164101826,-0.2152548060789108,-0.21832302603192866,-0.0,-0.4557744858334532,-0.0,-0.0,-0.3498729565175704,-0.06745289802962749,-0.7706026175751474,-0.0,-0.0
2019-04-24,-0.0,-0.6959945224238274,-0.0,1.0,-0.0,-0.0,-0.39761334181053454,-0.4174695554360053,-0.2013498312710911,-0.24331197730718443,-0.0,-0.5051596811268156,-0.0,-0.0,-0.4127255832151416,-0.10563896904191324,-0.8066709052672764,-0.0,-0.1047586442998973
2019-04-25,-0.0,-0.6696463462289957,-0.0,1.0,-0.0,-0.0,-0.25874364986322784,-0.4696658851113716,-0.19104142243063696,-0.17501953888237592,-0.0,-0.5879738178976163,-0.0,-0.0,-0.4738178976162563,-0.19196951934349354,-0.8068093005080109,-0.0,-0.060033216100039075
2019-04-26,-0.0,-0.6736550632911392,-0.0,1.0,-0.05602254746835443,-0.0,-0.22161787974683544,-0.40793117088607594,-0.23323773734177214,-0.23625395569620256,-0.0,-0.586778085443038,-0.0,-0.0,-0.5799050632911392,-0.2232990506329114,-0.7259196993670886,-0.0,-0.0
2019-04-29,-0.0,-0.7726094399608706,-0.0,1.0,-0.16067498165810712,-0.0,-0.1322572756175104,-0.3915871851308389,-0.17759843482514065,-0.15529469307899244,-0.0,-0.5130838835901198,-0.0,-0.0,-0.6233797994619712,-0.2528246515040352,-0.7118610907312302,-0.0,-0.0
2019-04-30,-0.0,-0.6548022329309604,-0.0,1.0,-0.09890739061978147,-0.0,-0.29820125005964027,-0.40202299728040464,-0.061119328212223864,-0.19418865403883773,-0.0,-0.5975475929195094,-0.0,-0.0,-0.4858056204971611,-0.27549024285509804,-0.7030869793406174,-0.0,-0.0
2019-05-01,-0.0,-0.6415514301951127,-0.0,1.0,-0.16172570562606556,-0.0,-0.22542148134116313,-0.3934457283576435,-0.0043568857738207995,-0.31544800151543856,-0.0,-0.6051335480204585,-0.0,-0.0,-0.44591778745974614,-0.26865883690092823,-0.6740860011365789,-0.0,-0.0
