Date,FBK,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-13,1.0,-0.0,-0.8936246740401044,-0.0,-0.39085214159398135,-0.712855558552888,0.0
2019-02-14,1.0,-0.0,-0.8598630466122057,-0.0,-0.41893921191734745,-0.7245615088899567,0.0
2019-02-15,1.0,-0.0,-0.860781545670261,-0.0,-0.4185564533085033,-0.7242963986423572,0.0
2019-02-19,1.0,-0.0,-0.8655733744072966,-0.0,-0.42405846999486574,-0.7305125184983843,0.0
2019-02-20,1.0,-0.0,-0.8624384942795906,-0.0,-0.4260874815105503,-0.7301898753282821,0.0
2019-02-21,1.0,-0.0,-0.8527751788247367,-0.0,-0.42902846105091597,-0.7363353756074005,0.0
2019-02-22,1.0,-0.0,-0.852733526430123,-0.0,-0.43099806903210236,-0.7334057446294955,0.0
2019-02-25,1.0,-0.0,-0.8475818418582115,-0.0,-0.4415372035977106,-0.7392568365585537,0.0
2019-02-26,1.0,-0.0,-0.8471023054318518,-0.0,-0.44078887576115605,-0.7415553333939229,0.0
2019-02-27,1.0,-0.0,-0.8517664897649735,-0.0,-0.4448521607278241,-0.7359818043972707,0.0
2019-02-28,1.0,-0.0,-0.8512652466775896,-0.0,-0.4454457187936161,-0.7374840706353541,0.0
2019-03-01,1.0,-0.0,-0.8492448595863408,-0.0,-0.45554072905925885,-0.7279371626129678,0.0
2019-03-04,1.0,-0.0,-0.8453633249461909,-0.0,-0.4448722223906387,-0.7412920241307182,0.0
2019-03-05,1.0,-0.0,-0.8307720342586407,-0.0,-0.46498208103018895,-0.7413594120148211,0.0
2019-03-06,1.0,-0.0,-0.8323622238407382,-0.0,-0.4629764505948046,-0.7393481427530955,0.0
2019-03-07,1.0,-0.0,-0.8224627793444311,-0.0,-0.4623548318627005,-0.7474150216804633,0.0
2019-03-08,1.0,-0.0,-0.8226347232382347,-0.0,-0.46988539380638866,-0.7555169470860766,0.0
2019-03-11,1.0,-0.0,-0.8218724109362056,-0.0,-0.47448525576114636,-0.7721623860811929,0.0
2019-03-12,1.0,-0.0,-0.8019141710404446,-0.0,-0.4870639086137697,-0.7983945662241432,0.0
2019-03-13,1.0,-0.0,-0.8108418406925869,-0.0,-0.4933130604772396,-0.7988332764452167,0.0
2019-03-14,1.0,-0.0,-0.8065477114041892,-0.0,-0.499922420480993,-0.7966795965865012,0.0
2019-03-15,1.0,-0.0,-0.7960149439601495,-0.0,-0.5075342465753425,-0.8097758405977584,0.0
2019-03-18,1.0,-0.0,-0.8024095625571639,-0.0,-0.5224398397830131,-0.829059829059829,0.0
2019-03-19,1.0,-0.0,-0.80005060408628,-0.0,-0.5284647985324814,-0.8342399898791827,0.0
2019-03-20,1.0,-0.0,-0.8218007968127491,-0.0,-0.5293386454183268,-0.8361115537848607,0.0
2019-03-21,1.0,-0.0,-0.8243774574049804,-0.0,-0.5234152734712144,-0.8488316337947128,0.0
2019-03-22,1.0,-0.0,-0.8179935945132801,-0.0,-0.5828345896282876,-0.8342984698003947,0.0
2019-03-25,1.0,-0.0,-0.7933131677178531,-0.0,-0.5932230660316644,-0.8313811301325782,0.0
2019-03-26,1.0,-0.0,-0.8101913302470134,-0.0,-0.5939978633170384,-0.8332092330603127,0.0
2019-03-27,1.0,-0.0,-0.8126884299931922,-0.0,-0.5933802314649723,-0.8357700910947579,0.0
2019-03-28,1.0,-0.0,-0.8118956454020377,-0.0,-0.5904017132844441,-0.8425270945551301,0.0
2019-03-29,1.0,-0.0,-0.8052247282167776,-0.0,-0.5916923576180432,-0.8482557196170697,0.0
2019-04-01,1.0,-0.0,-0.8118506493506493,-0.0,-0.590551948051948,-0.8443506493506494,0.0
2019-04-02,1.0,-0.0,-0.8184769200805038,-0.0,-0.601473738882036,-0.8261702265792379,0.0
2019-04-03,1.0,-0.0,-0.8191776369250773,-0.0,-0.6130342922151796,-0.8182350073135057,0.0
2019-04-04,1.0,-0.0,-0.8140387297674267,-0.0,-0.6009276979467385,-0.8287326867559764,0.0
2019-04-05,1.0,-0.0,-0.7987168686410472,-0.0,-0.6006091633724321,-0.84093707471972,0.0
2019-04-08,1.0,-0.0,-0.8018088106583682,-0.0,-0.6004084411164057,-0.8393789101753704,0.0
2019-04-09,1.0,-0.0,-0.7991172843512688,-0.0,-0.6080677614071526,-0.8381255273576944,0.0
2019-04-10,1.0,-0.0,-0.7919992213354098,-0.0,-0.606644604503277,-0.8457919667769774,0.0
2019-04-11,1.0,-0.0,-0.7935270033144862,-0.0,-0.6145447455644375,-0.8414245791902255,0.0
2019-04-12,1.0,-0.0,-0.7931303415331622,-0.0,-0.6143697397068859,-0.8421018425242907,0.0
2019-04-15,1.0,-0.0,-0.7899547867112247,-0.0,-0.6420614638621323,-0.8443090229998034,0.0
2019-04-16,1.0,-0.0,-0.793183909556987,-0.0,-0.6429604311818062,-0.8503023530958328,0.0
