Date,IWF,IWM,MTUM,PFPT,SPY,VLUE,VXX
2018-12-28,-0.4382967873533911,-0.9263859546878415,-0.179172433889415,1.0,-0.6562978072412035,-0.4423034894733008,0.0
2018-12-31,-0.4385153347417498,-0.925948859911124,-0.17928170758359438,1.0,-0.6562613826764769,-0.4424491877322066,0.0
2019-01-02,-0.43792209688606576,-0.9320629357865148,-0.1641660278173256,1.0,-0.6623955025006388,-0.45405760595772643,0.0
2019-01-03,-0.4402421678398191,-0.9260731609467887,-0.17947408731171816,1.0,-0.6649768408767642,-0.43633976439695105,0.0
2019-01-04,-0.40727563171652625,-0.9418022073772871,-0.17495643334301478,1.0,-0.6572393261690386,-0.4492811501597444,0.0
2019-01-07,-0.3874865927779764,-0.9178405434393994,-0.19703253485877725,1.0,-0.6442259563818377,-0.4286735788344655,0.0
2019-01-08,-0.3880042841842199,-0.9110674759014636,-0.1991074616208497,1.0,-0.6457336665476615,-0.42624062834701887,0.0
2019-01-09,-0.38558899030233884,-0.9007772390188248,-0.19819594980034227,1.0,-0.6469623502567028,-0.43379207073588133,0.0
2019-01-10,-0.3859011368901244,-0.8994618482483339,-0.19851028190598383,1.0,-0.6471007519868848,-0.4329805053636979,0.0
2019-01-11,-0.3828250115662479,-0.9008861525321185,-0.20114594825438628,1.0,-0.645183102601516,-0.4288052955621196,0.0
2019-01-14,-0.3783205562488858,-0.8987698341950437,-0.20345872704581924,1.0,-0.6451773934747727,-0.439971474416117,0.0
2019-01-15,-0.3710685088001142,-0.8914712077398164,-0.20923922744636034,1.0,-0.6454607118631965,-0.4528221056013709,0.0
2019-01-16,-0.3647978301987795,-0.8957924413832483,-0.20127761321865742,1.0,-0.6423753613361407,-0.4645087612861782,0.0
2019-01-17,-0.36636100902700963,-0.8894637314018625,-0.20605130766760624,1.0,-0.6417383237592321,-0.4643736397045705,0.0
2019-01-18,-0.3570762499103364,-0.875618678717452,-0.21497740477727564,1.0,-0.6436051933146832,-0.49526576285775764,0.0
2019-01-22,-0.2551181681184989,-1.033520785092072,-0.10714154445547103,1.0,-0.8427610541404786,-0.43694637409490206,0.0
2019-01-23,-0.23121005069429135,-1.021563441334215,-0.1320990375431636,1.0,-0.8529865549922856,-0.43564029094115053,0.0
2019-01-24,-0.2216400410376667,-1.0265645610435292,-0.1408837754653378,1.0,-0.8365088670672725,-0.4384434999267185,0.0
2019-01-25,-0.1546618871588066,-1.1036182368096785,-0.06149882379298756,1.0,-1.0013815764907956,-0.41286733131697845,0.0
2019-01-28,-0.1525644363447019,-1.1026518391787854,-0.06467809722170566,1.0,-0.9901811284263772,-0.4091568415963105,0.0
2019-01-29,-0.14030640772356207,-1.086442762888135,-0.07369441234577105,1.0,-0.9943713423043948,-0.4327356767435792,0.0
2019-01-30,-0.13745257049326687,-1.0867866974183469,-0.07235324752622573,1.0,-0.9955732460382412,-0.4277583513131463,0.0
2019-01-31,-0.10118603610323736,-1.1084588990004476,-0.07586155452782335,1.0,-0.9847829330150678,-0.45934656124123524,0.0
2019-02-01,-0.10132487404366486,-1.1092367979100577,-0.0743049076320209,1.0,-0.9884306773651799,-0.45874230266840826,0.0
2019-02-04,-0.0008447984552256819,-1.1722181993724354,-0.024177327218601656,1.0,-1.1607933059779547,-0.664775927266876,0.0
2019-02-05,-0.0,-1.179921037789058,-0.003585528966239626,1.0,-1.1686810087825317,-0.6764966561920878,0.0
2019-02-06,-0.0,-1.180221550855992,-0.006203423967774421,1.0,-1.1618529707955692,-0.6799194360523666,0.0
2019-02-07,-0.0,-1.1815361057382336,-0.004593810444874275,1.0,-1.1685606060606062,-0.6749677627337203,0.0
2019-02-08,-0.0,-1.1763780163021549,-0.015172302477604711,1.0,-1.1744007747558711,-0.669235735614559,0.0
2019-02-11,-0.0,-1.1739341281066884,-0.018427965245504142,1.0,-1.1812891493230957,-0.6676096181046677,0.0
2019-02-12,-0.0,-1.1770571544385895,-0.009282529387920551,1.0,-1.198500202675314,-0.6686663964329145,0.0
2019-02-13,-0.0,-1.1937494939680997,-0.014776131487328962,1.0,-1.1843575418994414,-0.6553720346530646,0.0
2019-02-14,-0.0,-1.1531633769707776,-0.037166133019900294,1.0,-1.1918291249544035,-0.6708547805293236,0.0
2019-02-15,-0.0,-1.1512819474259792,-0.042326542184778645,1.0,-1.1871683745797725,-0.6696504516181295,0.0
2019-02-19,-0.020390892605279064,-1.1271408422325206,-0.04718920008059641,1.0,-1.1768688293370946,-0.6582712069312915,0.0
2019-02-20,-0.02317240267590876,-1.12811316192472,-0.04702990247440961,1.0,-1.177843153058757,-0.6537841541065528,0.0
2019-02-21,-0.025803330242309398,-1.117485788009515,-0.05120348344958271,1.0,-1.1790912389630286,-0.6582268273999112,0.0
2019-02-22,-0.017020762916465478,-1.1246579752132626,-0.06176565266376952,1.0,-1.1685981007564785,-0.651778528891035,0.0
2019-02-25,-0.0,-1.109374372162173,-0.08872101900590669,1.0,-1.1698878932776149,-0.6501788082131233,0.0
2019-02-26,-0.0,-1.1090310139803954,-0.0912743049975896,1.0,-1.1680861320906315,-0.6489635224168407,0.0
2019-02-27,-0.0,-1.1102001446829033,-0.09319990354473112,1.0,-1.171931516759103,-0.643597781528816,0.0
2019-02-28,-0.0,-1.109188711814058,-0.09385412066958372,1.0,-1.1677572156878486,-0.6435309702541047,0.0
2019-03-01,-0.0,-1.1115126691563264,-0.09107336465486085,1.0,-1.1684134441633538,-0.6445408183752962,0.0
2019-03-04,-0.0,-1.107813252045564,-0.09229103160596823,1.0,-1.150128349109578,-0.6606770415530242,0.0
2019-03-05,-0.0,-1.1036816241037621,-0.08712639974220575,1.0,-1.1641827116732457,-0.6730443889470715,0.0
2019-03-06,-0.0,-1.1092737879702275,-0.07616173808086904,1.0,-1.167692617179642,-0.6702072017702676,0.0
2019-03-07,-0.004813477737665463,-1.077496991576414,-0.08804653028479743,1.0,-1.1795828319294024,-0.6612916165262737,0.0
2019-03-08,-0.0,-1.0709653886682338,-0.10792737294317907,1.0,-1.2105860419875174,-0.663370349355597,0.0
2019-03-11,-0.0,-1.0651756143435418,-0.11775769718281064,1.0,-1.198511673549495,-0.7073639448828556,0.0
2019-03-12,-0.0,-1.0359697443065035,-0.1370138945983721,1.0,-1.2028282496094715,-0.7350160322288908,0.0
2019-03-13,-0.0,-1.024230330672748,-0.12762664929141554,1.0,-1.1923766085681706,-0.7280908942824564,0.0
2019-03-14,-0.0,-1.02113880742913,-0.13119094167481266,1.0,-1.1935076572173346,-0.7271098077549691,0.0
2019-03-15,-0.0,-1.0073523404950575,-0.1420227105628625,1.0,-1.195204640143779,-0.740094763499714,0.0
2019-03-18,-0.0,-1.0100644949266728,-0.201988251242657,1.0,-1.1531446411699462,-0.7427597255884648,0.0
2019-03-19,-0.0,-1.0103419859909353,-0.2007828594973218,1.0,-1.1558714462299136,-0.7533168520807582,0.0
2019-03-20,-0.0,-1.0093615968327285,-0.20104750907291324,1.0,-1.156837677334213,-0.7568046849224679,0.0
2019-03-21,-0.0,-1.0095194922937443,-0.207656803758345,1.0,-1.1749361246188081,-0.7288799142833595,0.0
2019-03-22,-0.0,-0.9940365262765561,-0.23655112436327494,1.0,-1.1920321364972875,-0.7186814096989275,0.0
2019-03-25,-0.0,-0.9182888925241289,-0.2952314739080648,1.0,-1.1712334369376738,-0.7048912154424997,0.0
2019-03-26,-0.0,-0.9258970038222843,-0.31145452303645554,1.0,-1.1566725576425136,-0.7159179647363446,0.0
2019-03-27,-0.0,-0.909229000738977,-0.32046966089169887,1.0,-1.1618359471220954,-0.7138927662369653,0.0
2019-03-28,-0.0,-0.9047247008511863,-0.32772729141823265,1.0,-1.1586002713927384,-0.7209589210082652,0.0
2019-03-29,-0.0,-0.8978786383818451,-0.3313599736885381,1.0,-1.157498766650222,-0.7244696595954612,0.0
2019-04-01,-0.0,-0.897165891983053,-0.3314960306034305,1.0,-1.157336185265929,-0.7273250791822632,0.0
2019-04-02,-0.0,-0.9005488654050955,-0.38367330220365364,1.0,-1.1370525108544278,-0.6747358073236667,0.0
2019-04-03,-0.0,-0.9005447917093351,-0.383074591406218,1.0,-1.1409494941219842,-0.6716093884405848,0.0
2019-04-04,-0.0,-0.9013454754286653,-0.37447698744769875,1.0,-1.1421363524489294,-0.6841414390023792,0.0
2019-04-05,-0.0,-0.8944580108439221,-0.404329291006167,1.0,-1.1665080087744713,-0.6736062249079094,0.0
2019-04-08,-0.0,-0.8918672954413833,-0.4061801935964259,1.0,-1.166459832878299,-0.6721684454372466,0.0
2019-04-09,-0.0,-0.8723413076827398,-0.42522492640656745,1.0,-1.1869895103445416,-0.6615945934740246,0.0
2019-04-10,-0.0,-0.8506622516556291,-0.4406043046357616,1.0,-1.189072847682119,-0.6587748344370861,0.0
2019-04-11,-0.0,-0.8392310872261265,-0.4429516329061595,1.0,-1.1911120297643654,-0.6606448945845391,0.0
2019-04-12,-0.0,-0.8255425028552782,-0.45451949747103937,1.0,-1.1639745472344591,-0.6349322891173111,0.0
2019-04-15,-0.0,-0.827639751552795,-0.44789964040536123,1.0,-1.172278522392939,-0.6384847989539065,0.0
2019-04-16,-0.0,-0.8259448416751788,-0.4519713993871297,1.0,-1.1707456588355465,-0.6370990806945864,0.0
2019-04-17,-0.0,-0.8074831322837867,-0.4561439378450215,1.0,-1.1789818033122061,-0.6464935595992639,0.0
2019-04-18,-0.0,-0.8066271221108611,-0.4440989977500511,1.0,-1.178400490897934,-0.6616895070566579,0.0
2019-04-22,-0.0,-0.8154717910815471,-0.4369713394103638,1.0,-1.186458076701979,-0.6671593988667159,0.0
2019-04-23,-0.0,-0.811879965422138,-0.4359692092372288,1.0,-1.2059440991232042,-0.6626188614004034,0.0
2019-04-24,-0.0,-0.801504439329168,-0.4399457415323907,1.0,-1.2016606379480435,-0.667338046695166,0.0
2019-04-25,-0.0,-0.8071178769800453,-0.448961119111294,1.0,-1.2006583007611604,-0.6576424603990949,0.0
2019-04-26,-0.0,-0.7825098201364482,-0.47967748604506927,1.0,-1.2383708910481703,-0.6342360967541865,0.0
2019-04-29,-0.0,-0.7427897772725359,-0.44377078859837477,1.0,-1.2982190223569534,-0.72561155319776,0.0
2019-04-30,-0.0,-0.7350675590352317,-0.43713431830618343,1.0,-1.2941448836132508,-0.7429389232647219,0.0
2019-05-01,-0.0,-0.7391194331983806,-0.42775809716599195,1.0,-1.3175185560053981,-0.7328778677462887,0.0
2019-05-02,-0.0,-0.7497893850042122,-0.4208087615838248,1.0,-1.2972198820556025,-0.7444397641112047,0.0
2019-05-03,-0.0,-0.7490204339582894,-0.41942279334316407,1.0,-1.2992626922266695,-0.7454813566463029,0.0
2019-05-06,-0.0,-0.7202320887991928,-0.430163134880592,1.0,-1.2991927346115035,-0.7549192734611503,0.0
2019-05-07,-0.0,-0.7177114009255364,-0.43525452250736224,1.0,-1.2967606226335717,-0.7572991165334455,0.0
2019-05-08,-0.0,-0.705749623934481,-0.4549974928965402,1.0,-1.2538860103626943,-0.7638308540865786,0.0
2019-05-09,-0.0,-0.7018042098229201,-0.45652355496157704,1.0,-1.2564316739057801,-0.7616521884396926,0.0
2019-05-10,-0.0,-0.6997954668781566,-0.45919772926493296,1.0,-1.260424927995993,-0.7546854781483491,0.0
2019-05-13,-0.0,-0.700492569711137,-0.454917348472199,1.0,-1.2618550676239773,-0.7570128569043246,0.0
2019-05-14,-0.0,-0.6594376185371484,-0.5123690937577307,1.0,-1.2139440916962152,-0.7372804485858003,0.0
2019-05-15,-0.0,-0.6774923849510167,-0.5146949864163992,1.0,-1.2141681073516095,-0.7098872149501935,0.0
2019-05-16,-0.0,-0.6790860436393578,-0.5184026348291478,1.0,-1.2091395636064224,-0.7103334705640181,0.0
2019-05-17,-0.0,-0.6789021027941237,-0.5173449652277684,1.0,-1.2034895683305213,-0.7153203571869471,0.0
2019-05-20,-0.0,-0.6704363202697702,-0.5256404984167454,1.0,-1.200682649997944,-0.7155899165193075,0.0
2019-05-21,-0.0,-0.6715926398551022,-0.523442967109867,1.0,-1.204709175482649,-0.7167085168567077,0.0
2019-05-22,-0.0,-0.6619521420935779,-0.5336732176630211,1.0,-1.2043417482114958,-0.7114957651508923,0.0
2019-05-23,-0.0,-0.6514461538461538,-0.5254153846153846,1.0,-1.2105025641025642,-0.7152000000000001,0.0
2019-05-24,-0.0,-0.6392550143266476,-0.5326238231682359,1.0,-1.2095374539500614,-0.7118706508391323,0.0
2019-05-28,-0.0,-0.6421699078812692,-0.531914022517912,1.0,-1.2092118730808599,-0.7108290685772773,0.0
2019-05-29,-0.0,-0.6397184473919766,-0.5329156155911792,1.0,-1.2035560257140534,-0.6924078444137033,0.0
2019-05-30,-0.0,-0.6391261898950451,-0.5309982914327557,1.0,-1.2047433081116263,-0.6931494589537059,0.0
2019-05-31,-0.0,-0.6369701407533968,-0.5328288991945326,1.0,-1.2051094296639817,-0.6930680986087381,0.0
2019-06-03,-0.0,-0.6402105689410812,-0.5473577647297024,1.0,-1.1987446851589392,-0.6630896942700952,0.0
2019-06-04,-0.0,-0.6266733391717753,-0.6011093039743108,1.0,-1.3557696317611243,-0.5867634179907418,0.0
2019-06-05,-0.0,-0.6283064381966396,-0.6040176343370488,1.0,-1.3484861088005324,-0.5782315754450175,0.0
