Date,AEE,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-18,1.0,-0.0,-0.0,-0.06608699269860421,-0.972271337341127,-0.04181141181120379,0.0
2019-07-19,1.0,-0.0,-0.0,-0.06634489358603617,-0.971976615973537,-0.04210789106871659,0.0
2019-07-22,1.0,-0.0,-0.0,-0.0725163010645168,-0.9788346561673229,-0.03185217590567256,0.0
2019-07-23,1.0,-0.0,-0.0,-0.07332319296564081,-0.9786218823578438,-0.0316921217677578,0.0
2019-07-24,1.0,-0.0,-0.0,-0.0793214694557186,-0.9756062025184723,-0.02643355187844729,0.0
2019-07-25,1.0,-0.0,-0.0,-0.08014560582423297,-0.977597503900156,-0.022340093603744147,0.0
2019-07-26,1.0,-0.0,-0.0,-0.07877666431036633,-0.9798328412823817,-0.020479021996756618,0.0
2019-07-29,1.0,-0.0,-0.0,-0.07958304725048373,-0.9746166489815451,-0.026402846264278135,0.0
2019-07-30,1.0,-0.0,-0.0,-0.0824555560181523,-0.968046130146967,-0.031183646280028312,0.0
2019-07-31,1.0,-0.0,-0.0,-0.08249895702962036,-0.9694618272841051,-0.033979974968710885,0.0
2019-08-01,1.0,-0.0,-0.0,-0.09117604181852261,-0.9588687339900452,-0.03257179748838953,0.0
2019-08-02,1.0,-0.0,-0.0,-0.10774312841501674,-0.9594872540668565,-0.010325556271165312,0.0
2019-08-05,1.0,-0.0,-0.0,-0.10882995319812792,-0.9600624024960999,-0.011190847633905356,0.0
2019-08-06,1.0,-0.0,-0.0,-0.11522836390496123,-0.9179285157372071,-0.018630226927653988,0.0
2019-08-07,1.0,-0.0,-0.0,-0.1069441034454538,-0.9114903019887062,-0.027539078484327687,0.0
2019-08-08,1.0,-0.0,-0.0,-0.11353524633658515,-0.9060777990938406,-0.02128658312584187,0.0
2019-08-09,1.0,-0.0,-0.0,-0.11118118566139074,-0.9016560198559629,-0.021585221955486837,0.0
2019-08-12,1.0,-0.0,-0.0,-0.11628710155821466,-0.9074416431343072,-0.007841862543932715,0.0
2019-08-13,1.0,-0.0,-0.0,-0.1129737609329446,-0.907555879494655,-0.0040897311305474575,0.0
