Date,EL,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-04-24,1.0,-0.0,-0.24789875683103765,-0.0,-1.290690613914544,-0.6572177303377967,0.0
2019-04-25,1.0,-0.0,-0.24558541266794628,-0.0,-1.2960972488803584,-0.6572936660268714,0.0
2019-04-26,1.0,-0.0,-0.23649232937257791,-0.0,-1.309707587355475,-0.6565672741248438,0.0
2019-04-29,1.0,-0.0,-0.23896128846338577,-0.0,-1.3100765265281293,-0.652908968652941,0.0
2019-04-30,1.0,-0.0,-0.23764088114754098,-0.0,-1.313140368852459,-0.6510309938524591,0.0
2019-05-01,1.0,-0.0,-0.2312147977470558,-0.0,-1.3272529441884282,-0.6417370711725551,0.0
2019-05-02,1.0,-0.0,-0.22584768783356235,-0.0,-1.3295516282637179,-0.6404077849860982,0.0
2019-05-03,1.0,-0.0,-0.22675273215312838,-0.0,-1.3290407106793636,-0.6397072921326772,0.0
2019-05-06,1.0,-0.0,-0.21921749136939012,-0.0,-1.3287942718322465,-0.6485104206623193,0.0
2019-05-07,1.0,-0.0,-0.20733703501620823,-0.0,-1.3444169849472027,-0.6577976056744872,0.0
2019-05-08,1.0,-0.0,-0.21523675724001404,-0.011111465883329608,-1.304320061304639,-0.6622816820460423,0.0
2019-05-09,1.0,-0.0,-0.2141629535327817,-0.0086569064290261,-1.2933481858688733,-0.6664863144493953,0.0
2019-05-10,1.0,-0.0,-0.21468351207714095,-0.009165261114470294,-1.291760812143971,-0.6667727460777138,0.0
2019-05-13,1.0,-0.0,-0.2164193363480033,-0.001496719954143048,-1.2942487739634418,-0.6723138653588943,0.0
2019-05-14,1.0,-0.0,-0.14899586998329076,-0.09782780037201676,-1.244932059648791,-0.6609287808568995,0.0
2019-05-15,1.0,-0.0,-0.15279267907857366,-0.10277690123067214,-1.2502997791101294,-0.6496686651940675,0.0
2019-05-16,1.0,-0.0,-0.15226870576339738,-0.10243933265925177,-1.2550556117290192,-0.6499936804853388,0.0
2019-05-17,1.0,-0.0,-0.13642392471420453,-0.12000252636897618,-1.2309417040358746,-0.6705930651171604,0.0
2019-05-20,1.0,-0.0,-0.1384814767985839,-0.11844101656340879,-1.2329308382854978,-0.6710709318497914,0.0
2019-05-21,1.0,-0.0,-0.1403852226081465,-0.12459741079886329,-1.2231449321124093,-0.6694032207136091,0.0
2019-05-22,1.0,-0.0,-0.1293995206257096,-0.13627475715907658,-1.2217106093099535,-0.6664248770026492,0.0
2019-05-23,1.0,-0.0,-0.1381062935307774,-0.1635816025600803,-1.201135721905001,-0.634529710736023,0.0
2019-05-24,1.0,-0.0,-0.12121781031947182,-0.17043712256328422,-1.20125786163522,-0.6360649582277292,0.0
2019-05-28,1.0,-0.0,-0.11416067521100343,-0.17514848390121912,-1.2015317286652079,-0.6351047202250703,0.0
2019-05-29,1.0,-0.0,-0.11957810647194657,-0.17683954315671221,-1.2080758909068212,-0.6160519253572989,0.0
2019-05-30,1.0,-0.0,-0.11927349893895892,-0.1770378229933841,-1.2093995755835725,-0.6149981275745849,0.0
2019-05-31,1.0,-0.0,-0.11575331772053084,-0.18295081967213117,-1.2123653395784544,-0.6114597970335676,0.0
2019-06-03,1.0,-0.0,-0.11172400897531788,-0.18654948890550985,-1.212883320867614,-0.6052729992520569,0.0
2019-06-04,1.0,-0.0,-0.11696143991000561,-0.17486407099556278,-1.1982376101493657,-0.6347415786513343,0.0
2019-06-05,1.0,-0.0,-0.11805899851264254,-0.18393653941497273,-1.1938212692117005,-0.6028445711452652,0.0
2019-06-06,1.0,-0.0,-0.1347289650267479,-0.17928816599152725,-1.1742478122390922,-0.6040075450694208,0.0
2019-06-07,1.0,-0.0,-0.12866621194270478,-0.18704656786755133,-1.1743969740187263,-0.6102498914863274,0.0
2019-06-10,1.0,-0.0,-0.13056407397082057,-0.1918037357122944,-1.165226280085494,-0.6100114611405383,0.0
2019-06-11,1.0,-0.0,-0.12610313335998277,-0.17425663417484086,-1.1742566341748408,-0.6003505427262384,0.0
2019-06-12,1.0,-0.0,-0.12634135842326968,-0.1752913322879193,-1.173753958736894,-0.5993604526027734,0.0
2019-06-13,1.0,-0.0,-0.13480588199101703,-0.18282778563957422,-1.1636005660493447,-0.5951209007567834,0.0
2019-06-14,1.0,-0.0,-0.12794261893084846,-0.204665277096616,-1.1605259931338892,-0.5720941638057871,0.0
2019-06-17,1.0,-0.0,-0.1285635460732021,-0.20492305805897862,-1.1595855557599166,-0.5723438170559745,0.0
2019-06-18,1.0,-0.0,-0.1345104530684814,-0.20516829133713446,-1.1563975231438905,-0.5693397093985654,0.0
2019-06-19,1.0,-0.0,-0.13230750405335126,-0.2127932943803726,-1.1549144972314844,-0.5591483373611918,0.0
2019-06-20,1.0,-0.0,-0.13498453908091726,-0.2104828092949209,-1.1556807396748614,-0.5604200471481493,0.0
2019-06-21,1.0,-0.0,-0.13808722264728387,-0.21257842387146136,-1.1534200459066566,-0.5563886763580719,0.0
2019-06-24,1.0,-0.0,-0.13034279757159503,-0.21950696020114063,-1.1428221009382473,-0.5734653829643711,0.0
2019-06-25,1.0,-0.0,-0.11729512472003191,-0.22535513760623446,-1.1502469855490443,-0.5752155370785138,0.0
2019-06-26,1.0,-0.0,-0.12295456623091688,-0.22649846116342137,-1.1307858731754883,-0.5669927171892617,0.0
2019-06-27,1.0,-0.0,-0.11673424590713696,-0.24590713697753114,-1.1301484710831986,-0.5559281729215573,0.0
2019-06-28,1.0,-0.0,-0.09857138505589569,-0.2530689329556185,-1.1388711200463004,-0.5555454019312193,0.0
2019-07-01,1.0,-0.0,-0.09532795617105463,-0.25469487140465685,-1.1446963932430374,-0.5489271039415614,0.0
2019-07-02,1.0,-0.0,-0.10306737264926052,-0.24852413121538555,-1.1388229566064147,-0.5526139614143996,0.0
2019-07-03,1.0,-0.0,-0.0993945663086799,-0.25239587453223405,-1.1382153396817671,-0.5524050016733093,0.0
2019-07-05,1.0,-0.0,-0.09970201897348577,-0.2518243736317198,-1.1356725857455607,-0.5533933349549988,0.0
