Date,GEF,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-11-06,1.0,-0.0,-1.1593174974907996,-0.0,-0.4843760455001673,-0.0,-0.19685513549682168,-0.3801940448310472,-0.5278019404483105,-0.0,-0.0,-0.0,-0.6125794580127133,-0.0,-0.0,-0.6438273670123787,-1.6593509534961526,-0.0,-0.026831716293074605
2019-11-07,1.0,-0.0,-1.1858880128290794,-0.0,-0.478818655619404,-0.0,-0.17773620205799814,-0.3648937591874917,-0.5277963383669652,-0.0,-0.0,-0.0,-0.6221435253240679,-0.0,-0.0,-0.6515434985968195,-1.6430575972203663,-0.0,-0.029934518241347054
2019-11-08,1.0,-0.0,-1.1753954539412468,-0.0,-0.4780007975541672,-0.0,-0.2570118303868138,-0.3590987637910408,-0.5373521201648278,-0.0,-0.02565465904559351,-0.0,-0.607204572643892,-0.0,-0.0,-0.6210953077229828,-1.5854712215871327,-0.0,-0.0
2019-11-11,1.0,-0.0,-1.1872079049272266,-0.0,-0.46681799973294164,-0.0,-0.25644278274803045,-0.35632260648951797,-0.5640940045399919,-0.0,-0.026372012284684207,-0.0,-0.6018159967952997,-0.0,-0.0,-0.6448123915075444,-1.572639871811991,-0.0,-0.0
2019-11-12,1.0,-0.0,-1.1891404528150673,-0.0,-0.45114539504441326,-0.0,-0.2734254992319508,-0.34194884124757896,-0.562078407800708,-0.0,-0.01228878648233487,-0.0,-0.6262606024176852,-0.0,-0.0,-0.6798236826287317,-1.5425098510652508,-0.0,-0.0
2019-11-13,1.0,-0.0,-1.1995574331120498,-0.0,-0.4702608462415342,-0.0,-0.3020183732314088,-0.3020183732314088,-0.5619258365184737,-0.0,-0.04948702474351237,-0.0,-0.621135921679072,-0.0,-0.0,-0.6904043452021725,-1.508750754375377,-0.0,-0.0
2019-11-14,1.0,-0.0,-1.1997866097626033,-0.0,-0.47499333155508133,-0.0,-0.28534275806881837,-0.3164843958388904,-0.5799546545745532,-0.0,-0.03841024273139504,-0.0,-0.6184982662043211,-0.0,-0.0,-0.6905841557748732,-1.464257135236063,-0.0,-0.0
2019-11-15,1.0,-0.0,-1.120318129291007,-0.0,-0.5758955883352594,-0.0,-0.24491876826864253,-0.4319896675956767,-0.5565223302290803,-0.0,-0.03575555706614098,-0.0,-0.5785466657603154,-0.0,-0.0,-0.6698388960641697,-1.5838488206104278,-0.0,-0.0
2019-11-18,1.0,-0.0,-1.1823169884706208,-0.0,-0.5511876649534657,-0.0,-0.18808167801083484,-0.4034588137241284,-0.5872343381025142,-0.0,-0.04722878177524656,-0.0,-0.5641061258508127,-0.0,-0.032296152243367134,-0.696346714821503,-1.6931518266425893,-0.0,-0.0
2019-11-19,1.0,-0.0,-1.1861953799053717,-0.0,-0.5451572502087393,-0.0,-0.18021152240467578,-0.4246451433342611,-0.5839827442248818,-0.0,-0.043974394656276096,-0.0,-0.5484970776509881,-0.0,-0.04265237962705261,-0.7011550236571111,-1.7013637628722518,-0.0,-0.0
2019-11-20,1.0,-0.0,-1.2149986138064874,-0.0,-0.504435819240366,-0.0,-0.16689769891876907,-0.4579290268921542,-0.5470612697532576,-0.0,-0.027585250901025784,-0.0,-0.5613390629331856,-0.0,-0.1754227890213474,-0.6375797061269753,-1.6375797061269755,-0.0,-0.0
2019-11-21,1.0,-0.0,-1.2261019283746557,-0.0,-0.5077134986225895,-0.0,-0.16453168044077138,-0.46280991735537186,-0.5142561983471075,-0.0,-0.010950413223140497,-0.0,-0.5794765840220386,-0.0,-0.16191460055096418,-0.634641873278237,-1.624724517906336,-0.0,-0.0
2019-11-22,1.0,-0.0,-1.2449276365902637,-0.0,-0.4049581053943632,-0.0,-0.19209196039055465,-0.5242019250744409,-0.605567481476352,-0.0,-0.014126445537012672,-0.0,-0.5582023405581331,-0.0,-0.15968423239387852,-0.4958105394363271,-1.6644276712139046,-0.0,-0.06079911363478983
2019-11-25,1.0,-0.0,-1.1750355618776671,-0.0,-0.4614509246088193,-0.0,-0.20362731152204835,-0.4291607396870554,-0.6334992887624467,-0.0,-0.0,-0.0,-0.6985775248933144,-0.0,-0.07617354196301565,-0.5918918918918918,-1.7991465149359886,-0.0,-0.04381223328591749
2019-11-26,1.0,-0.0,-0.8921737137618884,-0.0,-0.406611664947863,-0.0,-0.12575913830640542,-0.251002635499026,-0.7561590466368739,-0.0,-0.12919674573163745,-0.0,-0.43984187005843933,-0.0,-0.11298269737595967,-0.2697375959665406,-1.2609144035751116,-0.0,-0.08496619686031855
2019-11-27,1.0,-0.0,-0.8922742110990207,-0.0,-0.40129431304049024,-0.0,-0.13034763186529982,-0.23589714220262298,-0.7578031040604777,-0.0,-0.13000400893419622,-0.0,-0.43903556497336926,-0.0,-0.13006127942271348,-0.2724357138766394,-1.2345226504782087,-0.0,-0.10348777275070156
