Date,AFIN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-09,1.0,-0.0,-0.1644502356953972,-0.29176407465603804,-1.9592611045107882,-0.41693174414593953,0.0
2019-10-10,1.0,-0.0,-0.22109405745769384,-0.37245179063360884,-1.8847697756788666,-0.45718221172766627,0.0
2019-10-11,1.0,-0.0,-0.23101591574946548,-0.4515401061049964,-1.8016865943463454,-0.4748990418877187,0.0
2019-10-14,1.0,-0.0,-0.20277213526108254,-0.4911379296610507,-1.8316405783247698,-0.45740231807862347,0.0
2019-10-15,1.0,-0.0,-0.2046569116063953,-0.5045652087237351,-1.8287947051552969,-0.44906502930505166,0.0
2019-10-16,1.0,-0.0,-0.23334798417708874,-0.5150037959004276,-1.8074879130539019,-0.43980501058856436,0.0
2019-10-17,1.0,-0.0,-0.194529969211084,-0.5697149026350514,-1.7812787396537249,-0.45303690671358315,0.0
2019-10-18,1.0,-0.0,-0.23520946594179726,-0.6066517428845539,-1.699512312120243,-0.456108090821874,0.0
2019-10-21,1.0,-0.0,-0.18787248510059595,-0.6110955561777529,-1.6922123115075396,-0.5086196552137914,0.0
2019-10-22,1.0,-0.0,-0.16356521044645,-0.6125309480073478,-1.6908793227378005,-0.5263157894736843,0.0
2019-10-23,1.0,-0.0,-0.16309012875536483,-0.5505768397842266,-1.689569634208765,-0.534236327125251,0.0
2019-10-24,1.0,-0.0,-0.14500882525985487,-0.6434595018631104,-1.6331045303000589,-0.500764855854089,0.0
2019-10-25,1.0,-0.0,-0.14790642815018673,-0.6167092588952231,-1.6528405740121879,-0.5141733831334775,0.0
2019-10-28,1.0,-0.0,-0.2221278239042286,-0.6346785093647421,-1.5516895153504537,-0.45325352384630235,0.0
2019-10-29,1.0,-0.0,-0.22307395993836673,-0.7197996918335902,-1.4591294298921418,-0.4500770416024653,0.0
2019-10-30,1.0,-0.0,-0.2325287356321839,-0.7147126436781609,-1.4414942528735633,-0.4426436781609195,0.0
2019-10-31,1.0,-0.0,-0.2335730130803947,-0.7162472271093092,-1.443624263749713,-0.4312705576378795,0.0
