Date,ACAD,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-08-28,1.0,-0.0,-1.5062922147173836,-1.017916814788482,-2.106861002488446,-1.4787771062922148,0.0
2019-08-29,1.0,-0.0,-1.481842086561012,-1.034041645938455,-2.1186127496268923,-1.4723189538767678,0.0
2019-08-30,1.0,-0.0,-1.4615984129233386,-1.0439988663738133,-2.1242737707241037,-1.4553634688961317,0.0
2019-09-03,1.0,-0.0,-1.4839075570679146,-1.0718134127321708,-2.1143485041826175,-1.4191124344250674,0.0
2019-09-04,1.0,-0.0,-1.508857142857143,-1.0789285714285712,-2.1344999999999996,-1.4205714285714284,0.0
2019-09-05,1.0,-0.0,-1.5501206872071558,-1.0921482322873775,-2.109541388612807,-1.3475081641346016,0.0
2019-09-06,1.0,-0.0,-1.4775728960632935,-0.996363172334588,-1.9217124992024501,-0.9847508454029222,0.0
2019-09-09,1.0,-0.0,-1.5064029415493851,-0.9925827310764549,-1.892417902878154,-0.9481425129960696,0.0
2019-09-10,1.0,-1.4557233217710672,-1.9508263619669457,-1.6287492348500305,-2.060599877576005,-2.1062028157518875,0.0
2019-09-11,1.0,-1.445844340581183,-1.9465555781345256,-1.6098353993090837,-2.050599471652103,-2.1077016866490554,0.0
2019-09-12,1.0,-1.4487453012293,-1.932845677130956,-1.616072335670019,-2.0540485624301534,-2.107792339733821,0.0
2019-09-13,1.0,-1.4544527185555443,-1.94287463021524,-1.6170560032643067,-2.06314393552994,-2.12332959298174,0.0
2019-09-16,1.0,-1.4486970684039089,-1.9429967426710097,-1.6104438110749186,-2.057410423452769,-2.11970684039088,0.0
2019-09-17,1.0,-1.4578325629173086,-1.9704160246533127,-1.6232152028762197,-2.0812532100667696,-2.1394966615305595,0.0
2019-09-18,1.0,-1.4583333333333333,-1.9765432098765434,-1.6213991769547325,-2.084979423868313,-2.1468106995884773,0.0
2019-09-19,1.0,-1.459751207977794,-1.9738871183304205,-1.6213632157910969,-2.0824509098385935,-2.1432096226997017,0.0
2019-09-20,1.0,-1.4676125848241828,-1.9779971211186511,-1.6289327575570633,-2.0745424634998972,-2.1327369936253344,0.0
2019-09-23,1.0,-1.467743595020064,-1.980759337380389,-1.6321638028603764,-2.0739788044037453,-2.134478855849367,0.0
2019-09-24,1.0,-1.4685473077319056,-1.9818799546998869,-1.6339956758982805,-2.075362915680017,-2.135591475342325,0.0
2019-09-25,1.0,-1.461340736171088,-1.9793337446020973,-1.6295496607032696,-2.075365001028172,-2.136027143738433,0.0
2019-09-26,1.0,-1.5266806722689075,-1.993067226890756,-1.7231092436974789,-2.113655462184874,-2.147794117647059,0.0
2019-09-27,1.0,-1.5095881798176674,-1.9854343497851827,-1.7157078486848998,-2.1155821020643404,-2.152677355129414,0.0
2019-09-30,1.0,-1.5249658362241143,-1.9713024282560705,-1.735730053610848,-2.122569115946599,-2.157468727005151,0.0
2019-10-01,1.0,-1.5279738699820884,-1.9747128858918976,-1.7428089769255084,-2.1284374670740704,-2.1623643451691077,0.0
2019-10-02,1.0,-1.57132172240624,-1.998610962709691,-1.7912170103643552,-2.1537557431349503,-2.1699967945293297,0.0
2019-10-03,1.0,-1.5703426124197002,-2.0278372591006426,-1.7911134903640258,-2.1548179871520343,-2.162526766595289,0.0
2019-10-04,1.0,-1.5778398110371485,-2.038866222890273,-1.8016963710543266,-2.154283873738458,-2.163732016319519,0.0
2019-10-07,1.0,-1.5735909822866343,-2.046376811594203,-1.798174986580784,-2.1514761137949545,-2.1657541599570584,0.0
2019-10-08,1.0,-1.5738672965428386,-2.0482070002147306,-1.7975091260468115,-2.1509555507837663,-2.166094051964784,0.0
2019-10-09,1.0,-1.5705712142321295,-2.048869360197192,-1.7924123888114887,-2.1478941163862393,-2.1572178758975458,0.0
2019-10-10,1.0,-1.6518074961188736,-2.122200044355733,-1.879795963628299,-2.207806609004214,-2.227212242182302,0.0
2019-10-11,1.0,-1.6897133220910623,-2.1481731309724563,-1.9255761663856097,-2.228892636312535,-2.2499156829679596,0.0
2019-10-14,1.0,-1.7055518093953697,-2.123173746909418,-1.9457181389076197,-2.2335356259833667,-2.230501236232861,0.0
2019-10-15,1.0,-1.714768502872592,-2.1268446547256956,-1.9552776839022192,-2.2378055649431112,-2.230370620705193,0.0
