Date,IWF,IWM,MTUM,NPTN,SPY,VLUE,VXX
2019-03-13,-0.0,-1.6509393063583815,-0.0,1.0,-2.34385838150289,-2.230635838150289,0.0
2019-03-14,-0.0,-1.6575095536808708,-0.0,1.0,-2.328069795947797,-2.224745836037205,0.0
2019-03-15,-0.0,-1.6486829130863503,-0.0,1.0,-2.2542611635441614,-2.140371883363854,0.0
2019-03-18,-0.0,-1.691070279545292,-0.0,1.0,-2.285336383784943,-2.1731607921641527,0.0
2019-03-19,-0.0,-1.6755511448217197,-0.0,1.0,-2.239172042248529,-2.174027078755228,0.0
2019-03-20,-0.0,-1.685053380782918,-0.0,1.0,-2.2441281138790035,-2.188256227758007,0.0
2019-03-21,-0.0,-1.6872249822569199,-0.0,1.0,-2.2694819020581973,-2.140525195173882,0.0
2019-03-22,-0.0,-1.6799426934097421,-0.0,1.0,-2.350071633237822,-2.13323782234957,0.0
2019-03-25,-0.0,-1.4762379055207742,-0.0,1.0,-2.467842914058054,-2.1703187250996017,0.0
2019-03-26,-0.0,-1.4897695455524447,-0.0,1.0,-2.484887644482734,-2.2045372962883194,0.0
2019-03-27,-0.0,-1.442597104772825,-0.0,1.0,-2.5145477999140033,-2.2092589938368925,0.0
2019-03-28,-0.0,-1.4373923032739806,-0.0,1.0,-2.50689259046525,-2.235496840896037,0.0
2019-03-29,-0.0,-1.4311050477489766,-0.0,1.0,-2.5079342284770587,-2.2411861851080634,0.0
2019-04-01,-0.0,-1.4388161639157657,-0.0,1.0,-2.463147410358566,-2.2124359704040977,0.0
2019-04-02,-0.0,-1.4670594916938804,-0.0,1.0,-2.487434331960812,-2.1447536561124516,0.0
2019-04-03,-0.0,-1.4648015706072082,-0.0,1.0,-2.4329687280886274,-2.113939138970691,0.0
2019-04-04,-0.0,-1.463733650416171,-0.0,1.0,-2.4316989578233197,-2.098971812268308,0.0
2019-04-05,-0.0,-1.4491840022413671,-0.0,1.0,-2.443160327799958,-2.1119282762485114,0.0
2019-04-08,-0.0,-1.4286415253049207,-0.0,1.0,-2.4582924435721294,-2.122809477078368,0.0
2019-04-09,-0.0,-1.3878948839809895,-0.0,1.0,-2.517053396701146,-2.0841487279843443,0.0
2019-04-10,-0.0,-1.3187009770194027,-0.01644419980734829,1.0,-2.4727535434154397,-2.0725196091922387,0.0
2019-04-11,-0.0,-1.2701795258325341,-0.07119364122242018,1.0,-2.4827326298478827,-2.0280937371522545,0.0
2019-04-12,-0.0,-1.2584491687108204,-0.07488416462251295,1.0,-2.467974925047697,-2.01253747615154,0.0
2019-04-15,-0.0,-1.2603235274042728,-0.07002934953245513,1.0,-2.4755306804996247,-2.019589106545628,0.0
2019-04-16,-0.0,-1.2377371273712736,-0.06239837398373983,1.0,-2.462533875338753,-2.0123983739837397,0.0
2019-04-17,-0.0,-1.1704262339236415,-0.10349471416066258,1.0,-2.4585549794626624,-2.0010773685273717,0.0
2019-04-18,-0.0,-1.1634978425026967,-0.08845738942826321,1.0,-2.462446062567422,-2.0277777777777777,0.0
2019-04-22,-0.0,-1.1733179754725929,-0.08225489531811098,1.0,-2.4780811708110306,-2.0418727556067484,0.0
2019-04-23,-0.0,-1.1674793444399294,-0.08160639306514966,1.0,-2.481985642692672,-2.0412433969930923,0.0
2019-04-24,-0.0,-1.1241374644838318,-0.08929779461507238,1.0,-2.486605330807739,-2.0649438506291435,0.0
2019-04-25,-0.0,-1.07829157782516,-0.14205756929637525,1.0,-2.4312366737739874,-2.0115938166311302,0.0
2019-04-26,-0.0,-1.0669693530079456,-0.14034853441944317,1.0,-2.445883688322094,-2.023703011283969,0.0
2019-04-29,-0.0,-1.0542345711995726,-0.13104461661768635,1.0,-2.4523777718407693,-2.0414106331819397,0.0
2019-04-30,-0.0,-1.0617817046435927,-0.14429017471600344,1.0,-2.4346641865408887,-2.0024579817976482,0.0
2019-05-01,-0.0,-1.0129436882839604,-0.18074459567654122,1.0,-2.457832933013077,-2.0204830531091535,0.0
2019-05-02,-0.0,-1.003002001334223,-0.1802535023348899,1.0,-2.4516344229486324,-2.036224149432955,0.0
2019-05-03,-0.0,-1.0098065376917946,-0.17945296864576385,1.0,-2.447898599066044,-2.033955970647098,0.0
2019-05-06,-0.0,-0.9158539046209727,-0.21974843613371897,1.0,-2.496737741306249,-2.093899239927356,0.0
2019-05-07,-0.0,-0.9035916824196596,-0.21725627869295167,1.0,-2.516810694031866,-2.1135565757493926,0.0
2019-05-08,-0.0,-0.9018837782067496,-0.263396125940225,1.0,-2.427211608866405,-2.063968581508354,0.0
2019-05-09,-0.0,-0.8963861848246433,-0.27183624483264435,1.0,-2.4446592879050537,-2.054673956527537,0.0
2019-05-10,-0.0,-0.8978082739324496,-0.27386583172340284,1.0,-2.438012124442076,-2.0520951302378254,0.0
2019-05-13,-0.0,-0.9000598444045482,-0.2597912095219097,1.0,-2.426690604428486,-2.0628366247755836,0.0
2019-05-14,-0.0,-0.8098495212038304,-0.37769526415217247,1.0,-2.3296202201810954,-1.997003452543808,0.0
2019-05-15,-0.0,-0.8200660664550813,-0.40112701599844547,1.0,-2.321199559556966,-1.9347755683658268,0.0
2019-05-16,-0.0,-0.8235332168963063,-0.4154861245876188,1.0,-2.3024128339478622,-1.9272915453780968,0.0
2019-05-17,-0.0,-0.9767134356864762,-0.47484022625431577,1.0,-2.542275765812091,-2.3520899140527436,0.0
2019-05-20,-0.0,-1.0706169450163958,-0.4600777854037978,1.0,-2.6515671471059257,-2.443758102646229,0.0
2019-05-21,-0.0,-1.0672673131251431,-0.4751469802244789,1.0,-2.6462548675269146,-2.446590822325723,0.0
2019-05-22,-0.0,-1.055881680262255,-0.4849432034764046,1.0,-2.6434398109323776,-2.4393535107112903,0.0
2019-05-23,-0.0,-1.055880787653007,-0.5126587090397627,1.0,-2.630350490382422,-2.403862236752072,0.0
2019-05-24,-0.0,-1.003027092477675,-0.5384440744664749,1.0,-2.620629635235356,-2.405554714696534,0.0
2019-05-28,-0.0,-0.9919031403707909,-0.5393870601589104,1.0,-2.624517593643587,-2.411350737797957,0.0
2019-05-29,-0.0,-0.9855039465695203,-0.5313448694596237,1.0,-2.643366727383121,-2.429341226472374,0.0
2019-05-30,-0.0,-0.9790464621925296,-0.5303674460977832,1.0,-2.642726996659581,-2.439644700880656,0.0
2019-05-31,-0.0,-0.9832423415225964,-0.5443585077343039,1.0,-2.639975735517137,-2.4150743099787686,0.0
2019-06-03,-0.0,-1.0129047214280196,-0.6433815006568272,1.0,-2.7183370682327483,-2.3528320840738735,0.0
2019-06-04,-0.0,-1.0138491295938103,-0.6347388781431335,1.0,-2.7155899419729206,-2.372688588007737,0.0
2019-06-05,-0.0,-0.9869509141946742,-0.6573097640543205,1.0,-2.6736211213109775,-2.2687959942341247,0.0
2019-06-06,-0.0,-1.043010752688172,-0.5835637480798771,1.0,-2.68678955453149,-2.3671274961597537,0.0
2019-06-07,-0.0,-1.034613304488913,-0.6027196167812717,1.0,-2.705168817121224,-2.38368229931237,0.0
2019-06-10,-0.0,-1.037154089262314,-0.5914591844600323,1.0,-2.69282355661759,-2.3868033608263315,0.0
2019-06-11,-0.0,-1.0399221789883268,-0.6462256809338521,1.0,-2.7094941634241243,-2.3864591439688714,0.0
2019-06-12,-0.0,-1.0518622191120441,-0.6529818832128139,1.0,-2.698545991758028,-2.3721328046030634,0.0
2019-06-13,-0.0,-1.0801184630971863,-0.6746161639778661,1.0,-2.6812407450705322,-2.3576494427558257,0.0
2019-06-14,-0.0,-1.0690379825653797,-0.6815068493150684,1.0,-2.68423100871731,-2.348458904109589,0.0
2019-06-17,-0.0,-1.0702858030444236,-0.678471575023299,1.0,-2.6662783473128298,-2.351351351351351,0.0
2019-06-18,-0.0,-1.0905481158517596,-0.6722983494238555,1.0,-2.675957645593273,-2.3470102771722203,0.0
2019-06-19,-0.0,-1.083145893120298,-0.6902970604203832,1.0,-2.6675715504537347,-2.3152098037694873,0.0
2019-06-20,-0.0,-1.0966461753949108,-0.6741887790833397,1.0,-2.68274842424714,-2.3278344097735584,0.0
2019-06-21,-0.0,-1.11067009105767,-0.6718032531714531,1.0,-2.669390614055569,-2.3307650400809403,0.0
2019-06-24,-0.0,-1.0914553257900899,-0.6836519703472493,1.0,-2.6600078033554433,-2.3681623097932114,0.0
2019-06-25,-0.0,-1.094088324635875,-0.6848664226185839,1.0,-2.6497390762520445,-2.3600747721785185,0.0
2019-06-26,-0.0,-1.0953161592505856,-0.6600312256049962,1.0,-2.625995316159251,-2.4250585480093676,0.0
2019-06-27,-0.0,-1.0895218718209563,-0.6818999921746616,1.0,-2.6321308396588154,-2.4217857422333515,0.0
2019-06-28,-0.0,-1.0995141827299795,-0.6770882306848456,1.0,-2.6333646763830116,-2.425873687509794,0.0
2019-07-01,-0.0,-1.0672926447574336,-0.6998435054773083,1.0,-2.6550860719874807,-2.402503912363067,0.0
2019-07-02,-0.0,-1.0587307843910132,-0.7064249113125739,1.0,-2.6978320851399293,-2.420338983050848,0.0
2019-07-03,-0.0,-1.0645644461962949,-0.7020102483247932,1.0,-2.6931809223492316,-2.423571147024044,0.0
2019-07-05,-0.0,-1.0386954118297402,-0.7040195846165995,1.0,-2.707731185343126,-2.4466556108347155,0.0
2019-07-08,-0.0,-1.0390205371248025,-0.7032385466034755,1.0,-2.7082148499210112,-2.448420221169037,0.0
