Date,AAP,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-02-19,1.0,-0.0,-0.8861257715359155,-0.0,-0.15922712228285177,-0.0,-0.4108596475534484,-0.0,-0.0,-0.06476429018695769,-0.6203596028267286,-0.0,-0.0,-0.0,-1.2163878701136057,-0.0,-2.6561409786206283,-0.5130154754450308,-1.4183737364701674
2020-02-20,1.0,-0.0,-1.0019564250778126,-0.0,-0.1256558470431303,-0.0,-0.3678079146287239,-0.03228101378390396,-0.0,-0.0,-0.5893285904846598,-0.0,-0.0,-0.0,-1.2515784793241442,-0.0,-2.6095153401511784,-0.513472654513117,-1.4013339261894175
2020-02-21,1.0,-0.0,-1.060345607527368,-0.0,-0.11119153171084774,-0.0,-0.3136704966977291,-0.0,-0.0,-0.0,-0.6127748122681624,-0.0,-0.0,-0.0,-1.4114719985524293,-0.0,-2.59241834795983,-0.48122681624898217,-1.4641273862299828
2020-02-24,1.0,-0.0,-1.1052298226565327,-0.0,-0.13825551936301123,-0.0,-0.40155627940644234,-0.0,-0.0,-0.0,-0.5969960188201231,-0.0,-0.0337495475931958,-0.0,-1.277777777777778,-0.0,-2.621425986246833,-0.4630836047774159,-1.4099710459645314
2020-02-25,1.0,-0.0,-1.036144578313253,-0.0,-0.7374324885749896,-0.0,-0.8446198587453262,-0.0,-0.0,-0.0,-0.2623182384711259,-0.0,-0.23656003323639385,-0.0,-0.7375155795596179,-0.0,-2.5912754466140426,-0.10868300789364353,-0.7545492314083923
2020-02-26,1.0,-0.0,-0.8409260086348073,-0.0,-0.7440077415512878,-0.0,-0.5482358195623046,-0.0,-0.0,-0.0,-0.1752270358791127,-0.0,-0.0,-0.0,-1.0357302367128185,-0.0,-2.184755099002531,-0.10064016674110468,-0.814277207086497
2020-02-27,1.0,-0.0,-0.7966528436018957,-0.0,-0.7890995260663508,-0.0,-0.6393661137440758,-0.0,-0.0,-0.054798578199052136,-0.1276658767772512,-0.0,-0.0,-0.0,-1.072348933649289,-0.0,-2.0545023696682465,-0.09619372037914692,-0.7745853080568721
2020-02-28,1.0,-0.0,-0.8421995032634436,-0.0,-0.5763299254895164,-0.0,-0.06041702766707099,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09599722751689481,-0.0,-0.8993819673078033,-0.0,-1.3897071564720151,-0.39744700514064574,-0.5145844163345463
2020-03-02,1.0,-0.0,-0.7277599734777324,-0.0,-0.4655210520499503,-0.0,-0.0,-0.0,-0.0,-0.23433528566692455,-0.016300143662283124,-0.0,-0.0,-0.0,-0.8924743065532103,-0.0,-1.1283014697756657,-0.4166206210631009,-0.6441595756437175
2020-03-03,1.0,-0.0,-0.9083896728526702,-0.0,-0.35913607695448974,-0.0,-0.0,-0.0,-0.0,-0.2513271927038432,-0.0,-0.0,-0.10240936521620762,-0.0,-0.385453060483688,-0.0,-0.6955397250328963,-0.13603158038023502,-0.6991242796860111
2020-03-04,1.0,-0.0,-0.8835974340456265,-0.0,-0.2912188283274566,-0.0,-0.0,-0.0,-0.0,-0.11763456391520456,-0.0,-0.0,-0.05008708951102426,-0.0,-0.4421173371850971,-0.0,-0.6306555078805387,-0.11070988572156847,-0.7222481838650749
2020-03-05,1.0,-0.0,-0.9758267332307345,-0.0,-0.31789347246724975,-0.0,-0.0,-0.0,-0.0,-0.0719942945084644,-0.028264704778349165,-0.0,-0.0,-0.0,-0.2534439397920499,-0.0,-0.41575015952854627,-0.0,-0.6904395480650126
2020-03-06,1.0,-0.0,-0.9596921424735995,-0.0,-0.2615715052801145,-0.0,-0.0,-0.0,-0.0,-0.02287453015929837,-0.02487918381958117,-0.0,-0.0,-0.0,-0.2696975120816181,-0.0,-0.4075890459996421,-0.0,-0.6334347592625739
2020-03-09,1.0,-0.0,-0.906055623078573,-0.0,-0.3193322370772861,-0.0,-0.0,-0.0,-0.0,-0.007614213197969543,-0.0,-0.0,-0.0,-0.0,-0.30653463930792885,-0.0,-0.4052334310431115,-0.0,-0.6299778365625224
2020-03-10,1.0,-0.0,-0.05323115161557581,-0.0,-0.15810549571941454,-0.0,-0.036902789284727976,-0.0,-0.0,-0.21948356807511737,-0.0,-0.0,-0.0,-0.0,-0.6601077050538525,-0.0,-0.3171430544048605,-0.3831123998895333,-0.6239298536315936
2020-03-11,1.0,-0.0,-0.10332882451915147,-0.0,-0.1112797334301079,-0.0,-0.005146646431988387,-0.0,-0.0,-0.14951667711391903,-0.0,-0.0,-0.0,-0.0,-0.6294084655735542,-0.0,-0.3876150572399459,-0.38616343901553896,-0.5267064761967603
2020-03-12,1.0,-0.0,-0.03217391304347826,-0.0,-0.115527950310559,-0.0,-0.002515527950310559,-0.0,-0.0,-0.15422360248447206,-0.0,-0.0,-0.0,-0.0,-0.5630745341614907,-0.0,-0.3362111801242236,-0.4102795031055901,-0.49161490683229814
2020-03-13,1.0,-0.0,-0.025729231818957185,-0.0,-0.16338772957298003,-0.0,-0.07167225791778017,-0.0,-0.0,-0.15406265991925855,-0.0,-0.0,-0.0,-0.0,-0.40390629442201625,-0.0,-0.2495024734178655,-0.4038494342412009,-0.37092738954909876
2020-03-16,1.0,-0.0,-0.0859037262962472,-0.0,-0.08935154488794589,-0.0,-0.09096936745789683,-0.0,-0.0,-0.02397560005304336,-0.0,-0.0,-0.0,-0.0,-0.2269725500596738,-0.0,-0.3095875878530699,-0.3631083410688238,-0.4622729081023737
2020-03-17,1.0,-0.0,-0.09376144868372849,-0.0,-0.116318626681321,-0.0,-0.1187784581566965,-0.0,-0.0,-0.06960799706913696,-0.0,-0.0,-0.0,-0.0,-0.23920552677029364,-0.0,-0.27374784110535405,-0.3361856911079709,-0.36926257392578643
2020-03-18,1.0,-0.0,-0.1402797486316643,-0.0,-0.04705554429353335,-0.0,-0.1816845732819785,-0.0,-0.0,-0.09631562943442125,-0.0,-0.0,-0.0,-0.0,-0.19144030002027165,-0.0,-0.1291556861950132,-0.31940502736671395,-0.4285931481856883
2020-03-19,1.0,-0.0,-0.18023839559251345,-0.0,-0.08562675385526348,-0.0,-0.19880029863810725,-0.0,-0.0,-0.03864274129186726,-0.0,-0.0,-0.006642123419921221,-0.0,-0.16468861828386067,-0.0,-0.126354812965013,-0.31812681821692457,-0.45532013490204154
2020-03-20,1.0,-0.0,-0.13088815106868645,-0.0,-0.07371861382029467,-0.0,-0.21869163726914298,-0.0,-0.0,-0.025757418551566717,-0.0,-0.0,-0.032060593484125335,-0.0,-0.18857646814691847,-0.0,-0.1653351317700768,-0.3452220377671717,-0.41367503631458813
2020-03-23,1.0,-0.0,-0.06494166755860002,-0.0,-0.11241036069784865,-0.0,-0.24622712190945095,-0.0,-0.0,-0.0549609333190624,-0.0,-0.0,-0.03716686289200471,-0.0,-0.23423953762174893,-0.0,-0.19552071069249705,-0.33787327410895857,-0.39251311142031464
