Date,IWF,IWM,MTUM,SASR,SPY,VLUE,VXX
2019-11-01,-0.0,-0.6864788304921847,-0.0,1.0,-0.4163589458242703,-0.4263746269411705,0.0
2019-11-04,-0.0,-0.6850218594425209,-0.0,1.0,-0.41843774481312074,-0.42364357736726393,0.0
2019-11-05,-0.0,-0.7027006466337011,-0.0,1.0,-0.43337137060986436,-0.39974641815646,0.0
2019-11-06,-0.0,-0.6986820679829026,-0.0,1.0,-0.43435782617545293,-0.41123040911866476,0.0
2019-11-07,-0.0,-0.7067263661341203,-0.0,1.0,-0.42922560293070117,-0.4080594281062379,0.0
2019-11-08,-0.0,-0.7002902388105301,-0.0,1.0,-0.4348490248994348,-0.41081521462396253,0.0
2019-11-11,-0.0,-0.6935496231958105,-0.0,1.0,-0.4448588580917103,-0.4161961936390344,0.0
2019-11-12,-0.0,-0.6924491672626953,-0.0,1.0,-0.4454122815980382,-0.4165474609175437,0.0
2019-11-13,-0.0,-0.701419607036313,-0.0,1.0,-0.4604978911634605,-0.40983437917909676,0.0
2019-11-14,-0.0,-0.7018224815566922,-0.0,1.0,-0.4619181040022621,-0.4067552630902501,0.0
2019-11-15,-0.0,-0.7020270791048994,-0.0,1.0,-0.46088431004804353,-0.4062636487423888,0.0
2019-11-18,-0.0,-0.6982015591633005,-0.0,1.0,-0.4701417655080145,-0.4045591375717189,0.0
2019-11-19,-0.0,-0.6993942194157811,-0.0,1.0,-0.4669130858873659,-0.40053390831151503,0.0
2019-11-20,-0.0,-0.6971142747210466,-0.0,1.0,-0.46194690265486726,-0.40602795947159165,0.0
2019-11-21,-0.0,-0.6827448643887781,-0.00670932310960288,1.0,-0.47410822993031626,-0.42690982566121805,0.0
2019-11-22,-0.0,-0.6794948109423121,-0.009601697766505345,1.0,-0.478299127824219,-0.42066306063821524,0.0
2019-11-25,-0.0,-0.6800672182006205,-0.011194415718717684,1.0,-0.4781540847983454,-0.4158738366080662,0.0
2019-11-26,-0.0,-0.6665375777760566,-0.01040456458317197,1.0,-0.48550331758448867,-0.41930653447964267,0.0
2019-11-27,-0.0,-0.6676820610785553,-0.006711929163332214,1.0,-0.4850401424994192,-0.42207708392492965,0.0
2019-11-29,-0.0,-0.6639790521621902,-0.01869231566939749,1.0,-0.4910038369801929,-0.4188530540288292,0.0
2019-12-02,-0.0,-0.676203403988723,-0.055680275660436464,1.0,-0.4695363892659497,-0.4090268351258223,0.0
2019-12-03,-0.0,-0.6742371029423242,-0.04844038606623482,1.0,-0.4669736465568823,-0.41187335778766354,0.0
2019-12-04,-0.0,-0.6828849456210647,-0.05255763126398501,1.0,-0.4631055835978561,-0.40331477337773847,0.0
2019-12-05,-0.0,-0.6695032861145295,-0.07656254091278049,1.0,-0.4404702678641565,-0.4318818569820114,0.0
2019-12-06,-0.0,-0.6803034693501224,-0.08419167039856695,1.0,-0.4481704907668397,-0.4215905798055899,0.0
2019-12-09,-0.0,-0.6631181135891839,-0.10328950870282641,1.0,-0.4615159418747006,-0.43349124394528127,0.0
2019-12-10,-0.0,-0.6662220369598444,-0.17271085174378212,1.0,-0.520439071835487,-0.41956370710018065,0.0
2019-12-11,-0.0,-0.6548262762388043,-0.17868729722984775,1.0,-0.5122979230790561,-0.42711366220225716,0.0
2019-12-12,-0.0,-0.6503796907045064,-0.17715204256970238,1.0,-0.5144947619311568,-0.42943850119173,0.0
2019-12-13,-0.0,-0.6504498500499833,-0.18807619682328114,1.0,-0.5115239364656227,-0.4268021770520938,0.0
2019-12-16,-0.0,-0.6505970563732296,-0.18836434323798945,1.0,-0.5112746459316857,-0.42677034157178567,0.0
2019-12-17,-0.0,-0.6260523193400757,-0.23374201932312558,1.0,-0.5438442849878523,-0.4213797389683032,0.0
2019-12-18,-0.0,-0.6369631236442517,-0.2618655097613883,1.0,-0.5637599421547361,-0.429645697758496,0.0
2019-12-19,-0.0,-0.6485319266108229,-0.2672966000985479,1.0,-0.5535781571548651,-0.4290600272455871,0.0
2019-12-20,-0.0,-0.656790770844258,-0.2801957699702849,1.0,-0.5528171065664511,-0.42346909048534637,0.0
2019-12-23,-0.0,-0.655558151761201,-0.289736550032128,1.0,-0.5423798119049009,-0.433056837432093,0.0
2019-12-24,-0.0,-0.6592586111354157,-0.2842768396185143,1.0,-0.5429171406072273,-0.4300755388339604,0.0
2019-12-26,-0.0,-0.655169397632515,-0.28377747973642775,1.0,-0.5390401772698116,-0.43763484751297455,0.0
2019-12-27,-0.0,-0.6632113761789353,-0.2912955879347096,1.0,-0.5311706134843928,-0.4342862148509359,0.0
2019-12-30,-0.0,-0.6646559297218154,-0.2998535871156662,1.0,-0.537510980966325,-0.42620790629575406,0.0
2019-12-31,-0.0,-0.6567272727272727,-0.30266181818181814,1.0,-0.5221527272727273,-0.4275781818181818,0.0
2020-01-02,-0.0,-0.6806518534694546,-0.21591963749522303,1.0,-0.43781732816509256,-0.3953431238739968,0.0
2020-01-03,-0.0,-0.6660297529684728,-0.20567763068104272,1.0,-0.4462126381875256,-0.41168281697829945,0.0
2020-01-06,-0.0,-0.6793158009602794,-0.20452313400261893,1.0,-0.43567219554779574,-0.40858249672632035,0.0
2020-01-07,-0.0,-0.6837120696693428,-0.20250374200571508,1.0,-0.4198122193495714,-0.4154578854265886,0.0
2020-01-08,-0.0,-0.6871703784670038,-0.20795190599808716,1.0,-0.4325727558409619,-0.4049187047410849,0.0
2020-01-09,-0.0,-0.6933428149444779,-0.20562332476341555,1.0,-0.43113068212898636,-0.4049559652097806,0.0
2020-01-10,-0.0,-0.6920505302386759,-0.21127339489765162,1.0,-0.432466500424739,-0.40446112953169105,0.0
2020-01-13,-0.0,-0.6927214842463497,-0.21218026128005268,1.0,-0.4350093314304534,-0.4046272916895378,0.0
2020-01-14,-0.0,-0.6884490088896251,-0.23082656948815639,1.0,-0.446303351554304,-0.39514659599138646,0.0
2020-01-15,-0.0,-0.6886544992682994,-0.23281884198028552,1.0,-0.4550625396913052,-0.38459839301985255,0.0
2020-01-16,-0.0,-0.673166948283981,-0.22173900999972299,1.0,-0.46516716988449075,-0.40996094291016866,0.0
2020-01-17,-0.0,-0.6754944872292094,-0.21979057011468775,1.0,-0.4676159344007978,-0.40730788409330154,0.0
2020-01-21,-0.0,-0.6758171745152355,-0.2183656509695291,1.0,-0.4694736842105263,-0.40639889196675905,0.0
2020-01-22,-0.0,-0.6838398402839396,-0.20807453416149066,1.0,-0.4785104259094942,-0.4024234693877551,0.0
2020-01-23,-0.0,-0.6734586382789977,-0.19139498780217346,1.0,-0.4889387890884897,-0.41846861831891774,0.0
2020-01-24,-0.0,-0.6760313634222703,-0.1941650735599701,1.0,-0.4894854958025102,-0.41093840910979973,0.0
2020-01-27,-0.0,-0.6739906467055926,-0.1929877964413205,1.0,-0.48833605445941825,-0.4119046960179318,0.0
2020-01-28,-0.0,-0.6857237459301363,-0.19521549583356324,1.0,-0.47971966227029406,-0.3985431267590089,0.0
2020-01-29,-0.0,-0.687154373125705,-0.1906347153822874,1.0,-0.4726937573940077,-0.4008033675406498,0.0
2020-01-30,-0.0,-0.6927180728192718,-0.1944230557694423,1.0,-0.4544054559454405,-0.4084259157408426,0.0
2020-01-31,-0.0,-0.686659146559551,-0.20119954879357305,1.0,-0.4557735163837455,-0.4075989765317633,0.0
2020-02-03,-0.0,-0.6825081069297217,-0.1910237894105785,1.0,-0.44709376788293315,-0.40436547946698637,0.0
2020-02-04,-0.0,-0.6748457922339066,-0.19032091519252195,1.0,-0.4436292492051846,-0.40852150756772915,0.0
2020-02-05,-0.0,-0.6761930512369879,-0.1823712315803704,1.0,-0.44226037582803834,-0.40294714073272947,0.0
2020-02-06,-0.0,-0.677662709893735,-0.18716707676500016,1.0,-0.4405537679474353,-0.398561501230295,0.0
2020-02-07,-0.0,-0.6829947796921912,-0.18490167969489602,1.0,-0.43869519353006414,-0.3982580941819264,0.0
2020-02-10,-0.0,-0.6793870435934164,-0.18437339531364016,1.0,-0.4395556876841167,-0.3992865057701143,0.0
2020-02-11,-0.0,-0.6691532909619735,-0.18245717979101586,1.0,-0.4263707853064742,-0.41511364860497685,0.0
