Date,CDNS,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-05-01,1.0,-0.0,-0.15895183721270675,-0.13435807348850826,-0.0,-0.0,-0.506455862977602,-0.0,-0.30727565510174204,-0.11225296442687746,-0.0,-0.0,-0.0,-0.2902942468159859,-0.0,-0.0,-0.3340945688771776,-0.08417508417508418,-0.0
2019-05-02,1.0,-0.0,-0.14089801192259127,-0.14633071976037354,-0.0,-0.0,-0.5115261504125922,-0.0,-0.29850527119490206,-0.0996681643320706,-0.0,-0.021202243561507062,-0.0,-0.2809737761724371,-0.0,-0.0,-0.34140898011922594,-0.0960561477696532,-0.0
2019-05-03,1.0,-0.0,-0.1511730723885876,-0.12163994340957321,-0.0,-0.0,-0.5160044800754539,-0.0,-0.32754656920537606,-0.09705847677434566,-0.0,-0.012113888233907097,-0.0,-0.2678908276349917,-0.0,-0.0,-0.34060363121905207,-0.11338717283659512,-0.0
2019-05-06,1.0,-0.0,-0.12769353551476456,-0.14143832579586768,-0.0,-0.0,-0.5180160208093169,-0.0,-0.33055481658833613,-0.09568147556974374,-0.0,-0.01173479944429665,-0.0,-0.2686589222902072,-0.0,-0.0,-0.33676214123141496,-0.1253288404126393,-0.0
2019-05-07,1.0,-0.0,-0.1323021519024707,-0.1447294624671606,-0.0,-0.0,-0.5116450689258198,-0.0,-0.3322608259290964,-0.10242937686335862,-0.0,-0.003748856156094105,-0.0,-0.264545266700121,-0.0,-0.0,-0.33571449656108865,-0.1244797355137704,-0.0
2019-05-08,1.0,-0.0,-0.14371275065323977,-0.168022078036464,-0.0,-0.0,-0.4710078975954904,-0.0,-0.3350459469774816,-0.1075717095798714,-0.0,-0.0,-0.0,-0.26291066028595755,-0.0,-0.0,-0.33874519244884177,-0.1089222277678283,-0.0
2019-05-09,1.0,-0.0,-0.13280792218446033,-0.1625747099496074,-0.0,-0.0,-0.48690378530411343,-0.0,-0.3390659791398101,-0.11262158678073363,-0.0,-0.0,-0.0,-0.2529298019453885,-0.0,-0.0,-0.3221317238954647,-0.12079573420836752,-0.0
2019-05-10,1.0,-0.0,-0.1332104508616402,-0.1641066151730595,-0.0,-0.0,-0.4804412065888411,-0.0,-0.33763421984259345,-0.1102431317475643,-0.0,-0.0,-0.0,-0.25819947921238184,-0.0,-0.0,-0.3258140963749671,-0.11606542028731091,-0.0
2019-05-13,1.0,-0.0,-0.14108982942306572,-0.1496186761366944,-0.0,-0.0,-0.4753158293066309,-0.0,-0.3140827851196367,-0.102025964953135,-0.0,-0.005996390522209932,-0.0,-0.2786283984397741,-0.0,-0.0,-0.3158875240146708,-0.1282528963148396,-0.0
2019-05-14,1.0,-0.0,-0.14513821992585457,-0.12260267974428585,-0.0,-0.0,-0.4841346294188049,-0.0,-0.31129404209358674,-0.11331990542078992,-0.0,-0.009195200980821439,-0.0,-0.28429226143561903,-0.0,-0.0,-0.31540998919928775,-0.1337536853781709,-0.0
2019-05-15,1.0,-0.0,-0.15097550242041954,-0.07818688572685932,-0.0,-0.0,-0.4916825583101071,-0.0,-0.3243655566964941,-0.10831744168989292,-0.0,-0.004019363356315094,-0.0,-0.2952031685492152,-0.0,-0.0,-0.3272993985624175,-0.1537626521930468,-0.0
2019-05-16,1.0,-0.0,-0.1385991907448567,-0.0,-0.0,-0.0,-0.4544651507380179,-0.0,-0.31293098535362174,-0.06334416139511027,-0.0,-0.1078816891776372,-0.0,-0.24192169601641308,-0.0,-0.0,-0.33082578218498887,-0.19949279079044854,-0.0
2019-05-17,1.0,-0.0,-0.14872658748286888,-0.0,-0.0,-0.0,-0.4719906349931476,-0.0,-0.30293513019643675,-0.052763819095477386,-0.0,-0.123172681589767,-0.0,-0.2570808588396528,-0.0,-0.0,-0.32206486980356325,-0.17642188213796253,-0.0
2019-05-20,1.0,-0.0,-0.16058352238463086,-0.0,-0.0,-0.0,-0.47365247106797237,-0.0,-0.297475806220027,-0.05013927576601671,-0.0,-0.1295695373747236,-0.0,-0.2553771932343566,-0.0,-0.0,-0.33027022370272524,-0.17459724894466302,-0.0
