Date,IWF,IWM,MTUM,PFN,SPY,VLUE,VXX
2019-03-22,-0.0,-0.2123971997553184,-0.0,1.0,-0.29514714877999043,-0.19161625773125804,0.0
2019-03-25,-0.0,-0.17857866306549627,-0.0,1.0,-0.3148041863605672,-0.19468264686022957,0.0
2019-03-26,-0.0,-0.1749800715727345,-0.0,1.0,-0.31369888570410953,-0.20735740574277914,0.0
2019-03-27,-0.0,-0.16855094326830178,-0.0,1.0,-0.3187450209332678,-0.20770547654965507,0.0
2019-03-28,-0.0,-0.16326081435706424,-0.0,1.0,-0.3113688309489545,-0.21842038432235675,0.0
2019-03-29,-0.0,-0.15824220469241965,-0.0,1.0,-0.31254020381216774,-0.22199275484984934,0.0
2019-04-01,-0.0,-0.16282649884964137,-0.0,1.0,-0.31406482609284075,-0.21482947624847745,0.0
2019-04-02,-0.0,-0.16753714314689924,-0.0,1.0,-0.3212142724337846,-0.2014941771039332,0.0
2019-04-03,-0.0,-0.16738509390266576,-0.0,1.0,-0.3241205605422858,-0.1989282756055919,0.0
2019-04-04,-0.0,-0.16666385092328226,-0.0,1.0,-0.33033738237232013,-0.1924447973509486,0.0
2019-04-05,-0.0,-0.16075686095469996,-0.0,1.0,-0.33255550482760954,-0.1976191683998715,0.0
2019-04-08,-0.0,-0.16166023949665112,-0.0,1.0,-0.33236925783099924,-0.19733103308301198,0.0
2019-04-09,-0.0,-0.15715810698612265,-0.0,1.0,-0.3433248047172849,-0.19394411779656712,0.0
2019-04-10,-0.0,-0.150140539808324,-0.0070439229232280125,1.0,-0.35165430593653696,-0.18442886653797963,0.0
2019-04-11,-0.0,-0.1429732613076389,-0.014563188999712123,1.0,-0.35669652684876296,-0.17917802651855114,0.0
2019-04-12,-0.0,-0.14449176892133997,-0.013960720684176723,1.0,-0.3521786160970828,-0.17952878342291181,0.0
2019-04-15,-0.0,-0.14581959033169262,-0.015916510207878758,1.0,-0.34590077975676997,-0.1837925610189273,0.0
2019-04-16,-0.0,-0.1466610312764159,-0.020169061707523243,1.0,-0.3426204564666103,-0.1811665257819104,0.0
2019-04-17,-0.0,-0.122392937767445,-0.031419522221099096,1.0,-0.345901142221773,-0.1849961252063749,0.0
2019-04-18,-0.0,-0.12118151981822772,-0.035411933013548766,1.0,-0.3438189009509383,-0.18264747959269548,0.0
2019-04-22,-0.0,-0.12106186332051541,-0.03363016933144437,1.0,-0.3470114012008365,-0.1848816029143898,0.0
2019-04-23,-0.0,-0.12254157811287657,-0.03442634011402355,1.0,-0.3455621900617346,-0.18419188341261006,0.0
2019-04-24,-0.0,-0.11726148350352172,-0.0364978263067435,1.0,-0.34359518754423213,-0.1876621844774711,0.0
2019-04-25,-0.0,-0.11973979136120803,-0.03960429411665572,1.0,-0.34268668790130946,-0.1832583379678784,0.0
2019-04-26,-0.0,-0.11318368104160695,-0.03933010642065674,1.0,-0.3485402998667634,-0.18548563911422933,0.0
2019-04-29,-0.0,-0.11109986675437264,-0.037662972895478077,1.0,-0.3496095397122569,-0.188281131407175,0.0
