Date,AMK,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-07-23,1.0,-0.36234494378758386,-0.4101618104174535,-0.4807250965923946,-0.5595386805333643,-0.09226389332713592,0.0
2020-07-24,1.0,-0.35688574082675334,-0.41279609846725496,-0.4783732001857872,-0.5584939619136089,-0.09637714816535067,0.0
2020-07-27,1.0,-0.35561597871047984,-0.41242660032975614,-0.4741257123022186,-0.5547134881837378,-0.0957160625958173,0.0
2020-07-28,1.0,-0.3571738564360733,-0.40800856407140584,-0.4708792639527819,-0.5577351503052397,-0.09947053207186876,0.0
2020-07-29,1.0,-0.3581886574074074,-0.40616319444444443,-0.47008101851851847,-0.5542534722222222,-0.10483217592592592,0.0
2020-07-30,1.0,-0.35787433464475815,-0.40407313121962507,-0.4705507984262902,-0.5548484147188151,-0.1055311270539227,0.0
2020-07-31,1.0,-0.35694263834705964,-0.4017916486056928,-0.4700765785291143,-0.5544285507874585,-0.10648750180609738,0.0
2020-08-03,1.0,-0.35383815629873505,-0.40380061225668573,-0.471177727719055,-0.551839658060417,-0.10737596026107549,0.0
2020-08-04,1.0,-0.3484612724757953,-0.3964096357768557,-0.4658828953434762,-0.5539419087136929,-0.11681650530198247,0.0
2020-08-05,1.0,-0.3505041774704696,-0.39585133967156433,-0.46539902045520015,-0.5560933448573898,-0.11316623451454912,0.0
2020-08-06,1.0,-0.3600849998544523,-0.361686024510232,-0.48691526213140046,-0.5697610106832008,-0.1324775128809711,0.0
2020-08-07,1.0,-0.3575476107021848,-0.36517116485570744,-0.49182147447131674,-0.5621567940179928,-0.1441757214627877,0.0
2020-08-10,1.0,-0.358526395746297,-0.36474918928394057,-0.49244792427473777,-0.562213327879868,-0.1435624762628181,0.0
2020-08-11,1.0,-0.34916266541749624,-0.36506031151188667,-0.48325330834992397,-0.5657863918491627,-0.16448061833938402,0.0
2020-08-12,1.0,-0.34062939521800284,-0.36664908579465544,-0.4674460853258322,-0.5742498827941867,-0.1811708860759494,0.0
2020-08-13,1.0,-0.33560721395948007,-0.3733165476051061,-0.45227778428387405,-0.576501932310575,-0.19003981730881836,0.0
2020-08-14,1.0,-0.3339767775145506,-0.37533268988915214,-0.4485683366967916,-0.5780468544353777,-0.18879237226170628,0.0
2020-08-17,1.0,-0.33820043891733725,-0.38136064374542794,-0.44743233357717627,-0.5767373811265545,-0.18241404535479153,0.0
2020-08-18,1.0,-0.33791972832928363,-0.37834831230422433,-0.4368687607951052,-0.5838285664100237,-0.19052079978922098,0.0
2020-08-19,1.0,-0.3392757985796534,-0.3807171873630067,-0.42768214630154605,-0.5760294590408277,-0.19881930034778034,0.0
2020-08-20,1.0,-0.33518102517723253,-0.3757329988038626,-0.4262625083875484,-0.5754879365171981,-0.2047728797736091,0.0
2020-08-21,1.0,-0.33026185338543185,-0.3775295970140549,-0.42033591881961857,-0.5755817344141833,-0.21228203184230476,0.0
2020-08-24,1.0,-0.3278082032160336,-0.38062223257981825,-0.4124912607783734,-0.5739338149615475,-0.21821836401771152,0.0
2020-08-25,1.0,-0.3278564353551244,-0.38469381809706926,-0.41417584338402375,-0.5717531900017478,-0.214793451028375,0.0
2020-08-26,1.0,-0.3283443285187015,-0.3845505536342236,-0.40591124415123947,-0.5678456217849981,-0.2195355866197797,0.0
2020-08-27,1.0,-0.3202346722430368,-0.3896488629432779,-0.4033283959222793,-0.5660015683540995,-0.22517498765647237,0.0
2020-08-28,1.0,-0.31902535358522344,-0.39104928411698076,-0.40249179566113896,-0.5666076147881393,-0.22498765718932418,0.0
2020-08-31,1.0,-0.3195613067951024,-0.3886728950269831,-0.4078512156908257,-0.5649045436081935,-0.22044913828120466,0.0
2020-09-01,1.0,-0.3169806952041909,-0.3925790859888282,-0.40317212236983013,-0.5586234841249168,-0.2229168475586814,0.0
2020-09-02,1.0,-0.313834403749349,-0.3912515188335358,-0.4029103743563039,-0.5580049759879651,-0.2270149858242203,0.0
2020-09-03,1.0,-0.31806085849820664,-0.3929480504454472,-0.4034189517528636,-0.5561437001041305,-0.22194261251880135,0.0
2020-09-04,1.0,-0.28907282864861755,-0.39506811519227447,-0.38288210611024887,-0.5632005518192791,-0.24383514399034315,0.0
2020-09-08,1.0,-0.28665804969122505,-0.39342237541289676,-0.38239264684762314,-0.5617406290392072,-0.24808272296423955,0.0
2020-09-09,1.0,-0.2768535985822901,-0.3919853655748014,-0.3776081861315955,-0.5587663636883324,-0.25307265763448233,0.0
2020-09-10,1.0,-0.2700444799270073,-0.3880873631386862,-0.3725764142335767,-0.5587648266423358,-0.2618328010948905,0.0
2020-09-11,1.0,-0.26389718217748587,-0.3872160141033296,-0.3687053939549035,-0.5581620176860304,-0.2654041911911058,0.0
2020-09-14,1.0,-0.26364127498649376,-0.386107082942364,-0.36859165742557365,-0.5582188859506952,-0.26685433194006086,0.0
2020-09-15,1.0,-0.2649262202043133,-0.3814699205448354,-0.366572077185017,-0.5572360953461974,-0.2674801362088536,0.0
2020-09-16,1.0,-0.2674639925002131,-0.3760688616800659,-0.3685122581744837,-0.557711428652595,-0.27110025283372635,0.0
2020-09-17,1.0,-0.27183170565523507,-0.37119577560754036,-0.37057120145355443,-0.5567794685441744,-0.26859527594821714,0.0
2020-09-18,1.0,-0.2729674450315323,-0.37046190557354697,-0.37196750184648597,-0.5575535480938583,-0.2677688767683654,0.0
2020-09-21,1.0,-0.2749985788187141,-0.36746063327838097,-0.37092831561594,-0.560883406287306,-0.26809163776931383,0.0
2020-09-22,1.0,-0.2726988191776924,-0.3729691278987054,-0.36867264191207855,-0.560734101579172,-0.2703087210129464,0.0
2020-09-23,1.0,-0.26836888295606237,-0.3749325456559402,-0.36805930301911444,-0.5575563066261467,-0.2712658695219972,0.0
2020-09-24,1.0,-0.2613408042561621,-0.36896171152050256,-0.3647168690041599,-0.5572912244955712,-0.2775844016186999,0.0
2020-09-25,1.0,-0.26063573834526876,-0.3708568031928444,-0.36383707435817597,-0.555860624416202,-0.2793455801183164,0.0
2020-09-28,1.0,-0.2576987246557136,-0.3686338828719283,-0.3589062013969403,-0.5564855922857224,-0.286061702909821,0.0
2020-09-29,1.0,-0.2588757814931115,-0.36903448470960987,-0.35655888426829613,-0.5565645421369769,-0.2879006478259639,0.0
2020-09-30,1.0,-0.25913771641959943,-0.36836596129908333,-0.35903021387348644,-0.5547414280864547,-0.2877390517143827,0.0
2020-10-01,1.0,-0.26086956521739135,-0.3712788556861635,-0.35725817872822546,-0.555558702733324,-0.28746636453760094,0.0
2020-10-02,1.0,-0.26536896824499945,-0.3712566391682676,-0.3543903265905752,-0.5524353034241157,-0.28172674878517345,0.0
2020-10-05,1.0,-0.25942131263232177,-0.37563867325335215,-0.34862385321100914,-0.5528863796753705,-0.28629498941425546,0.0
