Date,ALLK,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-04-26,1.0,-0.0,-0.0,-0.0,-1.051578796970996,-0.0,-3.108729818545507,-0.0,-0.6422346049435633,-0.0,-0.0,-1.4746392341763108,-0.0,-0.0,-1.672524646378054,-0.8728389769967139,-4.465352193170453,-0.0,-0.0
2019-04-29,1.0,-0.0,-0.0,-0.0,-1.2932576295244855,-0.0,-2.936976579134138,-0.0,-0.5330021291696239,-0.0,-0.0,-1.3436479772888572,-0.0,-0.0,-1.7266146202980837,-0.9287437899219305,-4.43236337828247,-0.0,-0.0
2019-04-30,1.0,-0.0,-0.0,-0.0,-1.3008316604531116,-0.0,-2.920562087754517,-0.0,-0.48049899627186693,-0.0,-0.0,-1.4588471465443074,-0.0,-0.0,-1.8226268999139663,-0.8837109262976771,-4.471752222540867,-0.0,-0.0
2019-05-01,1.0,-0.0,-0.0,-0.0,-1.4149876793738223,-0.0,-2.6593709233222205,-0.0,-0.256413973039571,-0.5051456732859835,-0.0,-1.5212349615886362,-0.0,-0.0,-1.757790984200609,-0.9146253080156546,-4.465139875344253,-0.0,-0.0
2019-05-02,1.0,-0.0,-0.0,-0.0,-1.2743207712532867,-0.0,-2.6007887817703774,-0.0,-0.04279871457785568,-0.39964943032427697,-0.0,-1.848962898042653,-0.0,-0.0,-1.769062226117441,-1.2027461291264974,-4.468594799883144,-0.0,-0.0
2019-05-03,1.0,-0.0,-0.0,-0.0,-1.2887479722754756,-0.0,-2.5910632650051615,-0.0,-0.11296268986875094,-0.38932310868603454,-0.0,-1.8292287273263532,-0.0,-0.0,-1.805928329154992,-1.2066066951777026,-4.523079191859607,-0.0,-0.0
2019-05-06,1.0,-0.0,-0.0,-0.0,-1.2545699730296676,-0.0,-2.9111477374887627,-0.0,-0.15208270902007792,-0.40740185795624817,-0.0,-1.806562780940965,-0.0,-0.0,-1.638148037159125,-1.1880431525322146,-4.625561881929877,-0.0,-0.0
2019-05-07,1.0,-0.0,-0.0,-0.0,-1.3210867551713492,-0.0,-3.1977462179685086,-0.0,-0.0,-0.43531954306884835,-0.0,-1.826489657301636,-0.0,-0.0,-1.7670577338684779,-1.187712256869404,-4.701605433775857,-0.0,-0.0
2019-05-08,1.0,-0.0,-0.0,-0.0,-1.2134797653076574,-0.0,-3.2253648262374,-0.0,-0.0,-0.3554987212276215,-0.0,-1.7317586881299836,-0.0,-0.0,-1.8139010079735218,-1.0093275161727093,-4.695050398676095,-0.0,-0.0
2019-05-09,1.0,-0.0,-0.0,-0.0,-1.012710007304602,-0.0,-3.478159240321403,-0.0,-0.0,-0.3754565376186998,-0.0,-1.7840759678597518,-0.0,-0.0,-1.7503287070854638,-0.9127830533235939,-4.295836376917458,-0.0,-0.0
2019-05-10,1.0,-0.0,-0.0,-0.0,-1.0131793277062044,-0.0,-3.5638975270250253,-0.0,-0.0,-0.35495335406486006,-0.0,-1.7971272027247147,-0.0,-0.0,-1.7809862283429585,-0.9598696875462757,-4.338220050347993,-0.0,-0.0
2019-05-13,1.0,-0.0,-0.0,-0.0,-1.1704898623649547,-0.0,-3.635785111735977,-0.0,-0.0,-0.3468995116175817,-0.0,-1.799763208524493,-0.0,-0.0,-1.6859553056089978,-0.9132751220956045,-4.247299097232499,-0.0,-0.0
2019-05-14,1.0,-0.0,-0.0,-0.0,-1.0225265017667846,-0.0,-3.631036513545348,-0.0,-0.0,-0.2825382803297998,-0.0,-1.755005889281508,-0.0,-0.0,-1.6874263839811545,-0.9762956419316843,-4.368374558303888,-0.0,-0.0
2019-05-15,1.0,-0.0,-0.0,-0.0,-1.0420862768675785,-0.0,-3.7065985269803097,-0.0,-0.0,-0.23207575529836164,-0.0,-1.8073049751991581,-0.0,-0.0,-1.6983315797384635,-1.0434390500526076,-4.500977002855854,-0.0,-0.0
2019-05-16,1.0,-0.0,-0.0,-0.0,-1.0393594732116131,-0.0,-3.6239149955103263,-0.0,-0.0,-0.15234959592936245,-0.0,-1.8756360371146361,-0.0,-0.0,-1.6915594133492966,-1.0788686022149057,-4.503891050583658,-0.0,-0.0
2019-05-17,1.0,-0.0,-0.0,-0.0,-1.0846841387668535,-0.0,-3.5321920921072567,-0.0,-0.0,-0.08529010755946068,-0.0,-1.9860627177700347,-0.0,-0.0,-1.8947129222845023,-1.206483866080897,-4.3597939706105135,-0.0,-0.0
2019-05-20,1.0,-0.0,-0.0,-0.0,-0.9784429280397022,-0.0,-3.593672456575683,-0.0,-0.0,-0.0,-0.0,-2.085452853598015,-0.0,-0.0,-2.039547146401985,-1.2008374689826304,-4.610576923076923,-0.0,-0.0
2019-05-21,1.0,-0.0,-0.0,-0.0,-0.8966244725738396,-0.0,-3.5452079566003616,-0.0,-0.0,-0.05440024110910187,-0.0,-2.0970464135021096,-0.0,-0.0,-1.8318264014466545,-1.1333634719710668,-4.510849909584087,-0.0,-0.0
2019-05-22,1.0,-0.0,-0.0,-0.0,-0.7925936986710468,-0.0,-3.487681051216963,-0.0,-0.0,-0.17336120651037779,-0.0,-2.1956099746154996,-0.0,-0.0,-1.6758249962669851,-1.048230550992982,-4.558906973271615,-0.0,-0.0
2019-05-23,1.0,-0.0,-0.0,-0.0,-0.7244821934137982,-0.0,-3.4160333780360603,-0.0,-0.0,-0.18164208016689015,-0.0,-2.2248547161376844,-0.0,-0.0,-1.7504097749962748,-1.0531962449709433,-4.550141558635077,-0.0,-0.0
