Date,APEI,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-09-17,1.0,-0.0,-0.6994616977225673,-0.08053830227743271,-1.4754037267080746,-0.8853830227743272,0.0
2019-09-18,1.0,-0.0,-0.6896879913928661,-0.07659521641976329,-1.4781511214102458,-0.8936522386824464,0.0
2019-09-19,1.0,-0.0,-0.6988998262883613,-0.0777979981801638,-1.4610389610389611,-0.8982132517164365,0.0
2019-09-20,1.0,-0.0,-0.7134040261784442,-0.0951039681882197,-1.443418109518681,-0.8902327893297987,0.0
2019-09-23,1.0,-0.0,-0.7132404905425067,-0.10006235709831636,-1.4526293909790065,-0.8911660777385159,0.0
2019-09-24,1.0,-0.0,-0.7075369785607445,-0.07669935183646336,-1.4664700016619576,-0.904188133621406,0.0
2019-09-25,1.0,-0.0,-0.6939239773338296,-0.06965297596889605,-1.4661041485709558,-0.9064813665880795,0.0
2019-09-26,1.0,-0.0,-0.6636776963879768,-0.18110633998484466,-1.492127641660352,-0.8729477140692093,0.0
2019-09-27,1.0,-0.0,-0.6589961718417695,-0.18188005104210975,-1.5141641854529988,-0.8984262016163335,0.0
2019-09-30,1.0,-0.0,-0.5867120954003406,-0.25264054514480405,-1.5051959114139692,-0.9143526405451448,0.0
2019-10-01,1.0,-0.0,-0.5554374175987751,-0.27725088249053714,-1.4974269553013226,-0.922893718368562,0.0
2019-10-02,1.0,-0.0,-0.5487646855563234,-0.33375086385625435,-1.5381824464409122,-0.8985832757429164,0.0
2019-10-03,1.0,-0.0,-0.6006689823748874,-0.31733779321583255,-1.5211630001286502,-0.8492216647369099,0.0
2019-10-04,1.0,-0.0,-0.6281616352471335,-0.3410486537553142,-1.4838321810452184,-0.8411560097908705,0.0
2019-10-07,1.0,-0.0,-0.6378756054695872,-0.3232028805349565,-1.4792747224484548,-0.8461571434695014,0.0
2019-10-08,1.0,-0.0,-0.6391112633246286,-0.30253863607174963,-1.4924868359090715,-0.8468684447108181,0.0
2019-10-09,1.0,-0.0,-0.6492289341398995,-0.2929624265144415,-1.493908153701968,-0.8238902615659879,0.0
2019-10-10,1.0,-0.0,-0.696534674936028,-0.36310014312356337,-1.4253372077893915,-0.8521490219889838,0.0
2019-10-11,1.0,-0.0,-0.7065687688475154,-0.41243826755823604,-1.3957868974258116,-0.8556007167518902,0.0
2019-10-14,1.0,-0.0,-0.6679814181786309,-0.46195985625383473,-1.4255412393724254,-0.827022526075905,0.0
2019-10-15,1.0,-0.0,-0.6754213175749617,-0.49074195666447806,-1.4146640402713944,-0.7964543663821405,0.0
2019-10-16,1.0,-0.0,-0.6826838300123435,-0.5264944454240874,-1.4208693352142479,-0.7783459707282665,0.0
2019-10-17,1.0,-0.0,-0.6732537577365164,-0.5436339522546418,-1.4223253757736516,-0.7816091954022989,0.0
2019-10-18,1.0,-0.0,-0.7330822069576779,-0.5691114557943718,-1.3639707511633061,-0.7655218258364724,0.0
2019-10-21,1.0,-0.0,-0.6893005939189788,-0.5757025086428509,-1.3639305026150166,-0.803297580001773,0.0
2019-10-22,1.0,-0.0,-0.6845928944803757,-0.5776114113581997,-1.3644901213785772,-0.8031806503056614,0.0
2019-10-23,1.0,-0.0,-0.6861730360934182,-0.5638711960368011,-1.3562013446567587,-0.817011677282378,0.0
2019-10-24,1.0,-0.0,-0.6825064576467444,-0.5887147056203795,-1.362429856595707,-0.8198984590718804,0.0
2019-10-25,1.0,-0.0,-0.6810295852816501,-0.5811300965782458,-1.3205436350128916,-0.7873967574181707,0.0
2019-10-28,1.0,-0.0,-0.7165174653326313,-0.6036949271546428,-1.322143233280674,-0.7459189046866772,0.0
2019-10-29,1.0,-0.0,-0.7128866436231499,-0.6682176726048037,-1.302180271204467,-0.7481609501019233,0.0
2019-10-30,1.0,-0.0,-0.7130700704693526,-0.6682621991756416,-1.3019545273234943,-0.7487479501839295,0.0
