Date,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XYL
2019-07-17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.27615262906133864,-0.0,-0.2285020421680097,-0.0,-0.29915001655811896,-0.3366449571328697,-0.48276115833241345,-0.0,-0.2185671707694006,-0.19027118519336203,-0.4864407403318983,-0.0,-0.16105530411745225,1.0
2019-07-18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28652221814175544,-0.0,-0.23488799118619172,-0.0,-0.29805361733382296,-0.3395152405435182,-0.46085200146896804,-0.0,-0.22174072713918475,-0.18329048843187662,-0.4865222181417554,-0.0,-0.16099889827396255,1.0
2019-07-19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2868695074219038,-0.0,-0.2208477955837826,-0.0,-0.30374418432907463,-0.3181818181818182,-0.4670999187652315,-0.0,-0.22132781921571523,-0.18960933461339635,-0.4920611476257292,-0.0,-0.19278487556310464,1.0
2019-07-22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2556721240062439,-0.0,-0.23058772280103096,-0.0,-0.31157657821178353,-0.27825171525029946,-0.5264457109667114,-0.0,-0.22158492757832068,-0.15243039169419537,-0.4841180527825172,-0.0,-0.169455839111337,1.0
2019-07-23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2596279610521727,-0.0,-0.22649324226129924,-0.0,-0.30667780845807296,-0.28818485685220174,-0.5008719662839705,-0.0,-0.2290728091847115,-0.14173085307368116,-0.48670251416945215,-0.0,-0.19386717046940852,1.0
2019-07-24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.26783227036141044,-0.0,-0.22908877648266254,-0.0,-0.30936148376218753,-0.2751631112088556,-0.5089802800381203,-0.0,-0.224946851403856,-0.14328128436331647,-0.4939887105050949,-0.0,-0.21277765559709697,1.0
2019-07-25,-0.0,-0.0,-0.0,-0.030565866222255895,-0.0,-0.07696386637375957,-0.0,-0.08067570638587987,-0.1396485114764033,-0.32963411862737674,-0.24645860162108935,-0.6005605635936673,-0.0,-0.39144761760472696,-0.0843117945610181,-0.6283993636845694,-0.0,-0.17892583895159458,1.0
2019-07-26,-0.0,-0.0,-0.0,-0.07778231343006643,-0.0,-0.15923850521393848,-0.0,-0.09195828849222548,-0.15779121980183325,-0.3576279363194419,-0.24277285041006424,-0.6027387093182915,-0.0,-0.3664971982038817,-0.06846773295728653,-0.5648495194270234,-0.0,-0.021301072475600254,1.0
2019-07-29,-0.0,-0.0,-0.0,-0.05497633836143153,-0.0,-0.1714729370008873,-0.0,-0.061483288967761014,-0.10754954155575275,-0.37034161490683226,-0.20840727595385983,-0.6765380065069506,-0.0,-0.33895297249334516,-0.08351818988464951,-0.5646997929606625,-0.0,-0.05926501035196687,1.0
2019-07-30,-0.0,-0.0,-0.0,-0.04347021142666717,-0.0,-0.16388343762728183,-0.0,-0.06605694819861518,-0.11145258636649757,-0.3680527270707595,-0.20735364905394899,-0.680342133520939,-0.0,-0.3343947865368238,-0.08486688636279484,-0.5696300959010627,-0.0,-0.0732032436035102,1.0
