Date,IWF,IWM,MTUM,SAFE,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-08-08,-0.0,-0.0,-0.0,1.0,-0.4273180642777983,-0.0,-1.0960472848171408,-0.4850387883265607,-0.0,-0.7383635020317694,-0.8663649796823052,-0.4220539342445511,-0.0,-0.0,-0.31686368673808646,-0.3412449205762837,-2.939416328038419,-0.5007388252678241,-0.10177318064277799
2019-08-09,-0.0,-0.0,-0.0,1.0,-0.26646148106696516,-0.0,-0.972113411676926,-0.6824286513710129,-0.0,-0.6589255735870174,-0.7076105204252939,-0.5320835664987875,-0.04075732139526208,-0.0,-0.4750046633090842,-0.28865883230740536,-3.02257041596717,-0.6800037306472674,-0.0
2019-08-12,-0.0,-0.0,-0.0,1.0,-0.24397083567021874,-0.0,-0.9667227519162459,-0.6107683679192372,-0.0,-0.6311460085997382,-0.7166760142082632,-0.5956253505328098,-0.03739016638624042,-0.0,-0.47195737521031966,-0.2926715273882968,-3.058515610394466,-0.7220975883342681,-0.0
2019-08-13,-0.0,-0.0,-0.0,1.0,-0.22608046298889198,-0.0,-0.9431531783814058,-0.6514515075142351,-0.0,-0.6175674414263045,-0.7432091851022122,-0.512368150844768,-0.047325679081489776,-0.0,-0.45216092597778396,-0.31177074582283204,-3.12666853355736,-0.7026976570521796,-0.0
2019-08-14,-0.0,-0.0,-0.0,1.0,-0.17320322762244325,-0.0,-0.9499906173766186,-0.6314505535747795,-0.0,-0.5973916306999438,-0.8015575154813287,-0.5420341527491087,-0.04559954963407769,-0.0,-0.3763370238318634,-0.4129292550197035,-3.1945956089322576,-0.6575342465753425,-0.0
2019-08-15,-0.0,-0.0,-0.0,1.0,-0.20844001059415557,-0.0,-0.8170742473735323,-0.5728789617727554,-0.0,-0.49298137194314473,-0.6615167299373179,-0.3362761543215326,-0.15485124039904652,-0.0,-0.43533150878432064,-0.35402136488037433,-3.204555486889733,-0.5905358877019512,-0.0
2019-08-16,-0.0,-0.0,-0.0,1.0,-0.32942206654991246,-0.0,-0.8286339754816113,-0.6314360770577934,-0.0,-0.5031523642732049,-0.6766199649737303,-0.2297723292469352,-0.16978984238178635,-0.0,-0.2932574430823117,-0.2946584938704028,-3.1947460595446584,-0.6050788091068301,-0.0
2019-08-19,-0.0,-0.0,-0.0,1.0,-0.2619603771952591,-0.0,-0.9135738385673501,-0.5942555584393113,-0.0,-0.5010814084263344,-0.6914958041353059,-0.22787438359719697,-0.10814084263344581,-0.0,-0.26542088415952936,-0.30218877065490096,-3.185310147936673,-0.5651872999394412,-0.034864607665022924
2019-08-20,-0.0,-0.0,-0.0,1.0,-0.28094993141289437,-0.0,-0.96630658436214,-0.5322359396433471,-0.0,-0.4671639231824417,-0.6020233196159123,-0.2664609053497943,-0.162980109739369,-0.0,-0.23353909465020578,-0.263460219478738,-3.1858710562414267,-0.5659293552812071,-0.046382030178326476
2019-08-21,-0.0,-0.0,-0.0,1.0,-0.2535223294338656,-0.0,-0.9573050977713261,-0.48339168303304586,-0.0,-0.4515412859704551,-0.596362394330117,-0.21142515583639312,-0.2070702758090684,-0.0,-0.16343608573136367,-0.22167193237127486,-3.25369310904278,-0.5581931517376825,-0.18128255486294934
2019-08-22,-0.0,-0.0,-0.0,1.0,-0.14153093088024307,-0.0,-0.9840492868596505,-0.36475651953751376,-0.0,-0.5173432357160942,-0.6849523166511942,-0.2985062030551101,-0.22769853996117817,-0.0,-0.17587982108194786,-0.19638788083382563,-3.179002447463921,-0.6694235800489493,-0.0
2019-08-23,-0.0,-0.0,-0.0,1.0,-0.11718684276941195,-0.0,-1.021872633969883,-0.37688230840413894,-0.0,-0.5018086985782788,-0.6664423319592833,-0.29317742071170183,-0.23344830487086732,-0.0,-0.16429713131992932,-0.1595861024648776,-3.155043324640363,-0.7228905527046353,-0.0
2019-08-26,-0.0,-0.0,-0.0,1.0,-0.0179867466077627,-0.0,-0.9514042284632375,-0.3499526664562953,-0.0,-0.4246607762701167,-0.5641369517197854,-0.3577627011675607,-0.21804985799936888,-0.0,-0.1403439570842537,-0.17876301672451875,-3.019327863679394,-0.6666140738403281,-0.0
2019-08-27,-0.0,-0.0,-0.0,1.0,-0.00719035101283439,-0.0,-0.9361373125096644,-0.3979434049791248,-0.0,-0.34900262873047777,-0.5755373434359053,-0.3333075614659038,-0.22614813669398484,-0.0,-0.06857893922993659,-0.19011906602752435,-2.929874748724292,-0.7177207360445337,-0.0
2019-08-28,-0.0,-0.0,-0.0,1.0,-0.006724897580582824,-0.0,-0.9570224936229419,-0.3655406972250135,-0.0,-0.3677050320785344,-0.5703795315760994,-0.34683466027672566,-0.22223081085259333,-0.0,-0.08850583597433717,-0.1747700394218134,-2.9090979361521216,-0.7208781015691427,-0.0
2019-08-29,-0.0,-0.0,-0.0,1.0,-0.012192298788486764,-0.0,-0.9657380970753916,-0.3616019754610695,-0.0,-0.37973609074774284,-0.561000077166448,-0.3502585076008951,-0.21444555907091595,-0.0,-0.06782930781696117,-0.17015201790261594,-2.9226792190755457,-0.7109344856856239,-0.0
2019-08-30,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.9933988212180745,-0.3831041257367387,-0.0,-0.3886051080550098,-0.6095088408644401,-0.3277799607072691,-0.050609037328094304,-0.0,-0.30349705304518665,-0.2663261296660118,-2.8273477406679763,-0.7082121807465619,-0.0
2019-09-03,-0.0,-0.0,-0.0,1.0,-0.01559546313799622,-0.0,-0.9498267170762446,-0.41572148708254575,-0.0,-0.3859483301827348,-0.6289382482671708,-0.33695652173913043,-0.0,-0.0,-0.270872715816005,-0.28008821676118467,-2.858301827347196,-0.7343257718966604,-0.0
2019-09-04,-0.0,-0.0,-0.0,1.0,-0.05208497246262785,-0.0,-1.003225806451613,-0.2908733280881196,-0.0,-0.41549960660896934,-0.6062155782848151,-0.357513768686074,-0.09630212431156569,-0.0,-0.2530291109362707,-0.17828481510621558,-2.7683713611329663,-0.8462627852084973,-0.0
2019-09-05,-0.0,-0.0,-0.0,1.0,-0.06492384989794316,-0.0,-0.9759773904851625,-0.22797927461139897,-0.0,-0.3757261736536348,-0.5953053854608259,-0.3781598367090595,-0.11689433192023867,-0.0,-0.2405401161877846,-0.13141780499293454,-2.8084471659601196,-0.9351546553619093,-0.0
2019-09-06,-0.0,-0.0,-0.0,1.0,-0.07562563740487957,-0.0,-0.9710520122381737,-0.1876519965482074,-0.0,-0.3781281870243979,-0.6073585941790225,-0.35663293323919354,-0.13830705263983684,-0.0,-0.2520593080724876,-0.16090060406370127,-2.8051306189691694,-0.9119792892445282,-0.0
2019-09-09,-0.0,-0.0,-0.0,1.0,-0.04502275085814641,-0.0,-0.9589686277640298,-0.1862377265107368,-0.0,-0.4165402730102978,-0.5996647241957372,-0.37838269338229424,-0.1585375588728347,-0.0,-0.2587211622894548,-0.16644048854474336,-2.907799153827732,-0.9063622575237488,-0.0
2019-09-10,-0.0,-0.012629716032499396,-0.0,1.0,-0.07666318075778296,-0.0,-0.9997586678465127,-0.11736787064596574,-0.0,-0.4164588528678304,-0.6002735097739522,-0.4232965972166358,-0.18373421285495936,-0.0,-0.2344139650872818,-0.16515163703644115,-2.986968063711688,-0.8277692864612662,-0.0
2019-09-11,-0.0,-0.020990831590799418,-0.0,1.0,-0.10712562329097636,-0.0,-0.9573749396815184,-0.1370435901560238,-0.0,-0.4104873733311887,-0.5928100369953353,-0.41201544153128516,-0.18658516969599484,-0.0,-0.22551069647740066,-0.14146694547209265,-3.010133504905903,-0.840839633263632,-0.0
2019-09-12,-0.0,-0.03531247433686458,-0.0,1.0,-0.15028332101502834,-0.0,-1.1129999178779668,-0.32774903506610825,-0.0,-0.4444444444444444,-0.5980126467931346,-0.19610741561961073,-0.1655580192165558,-0.0,-0.21943007308860968,-0.2359366017902603,-3.0223371930689007,-0.7038679477703867,-0.0
2019-09-13,-0.0,-0.06261328060636019,-0.0,1.0,-0.14985994397759103,-0.0,-1.1016641950898007,-0.3212226066897347,-0.0,-0.4310430054374691,-0.6073488218816938,-0.20637666831438456,-0.16287691547207117,-0.0,-0.21749876421156697,-0.25358378645575874,-3.0011534025374855,-0.7233481627945296,-0.0
2019-09-16,-0.0,-0.023903022024927438,-0.0,1.0,-0.11089294860850266,-0.0,-1.0751237835069147,-0.21341983950828072,-0.0,-0.4191565647942633,-0.704200102441523,-0.32465425985999663,-0.25951852484206933,-0.0,-0.2219566330886119,-0.20334642308348985,-3.154259859996585,-0.8264469865118661,-0.0
2019-09-17,-0.0,-0.0,-0.0,1.0,-0.24477041923444143,-0.0,-1.0972137835257354,-0.26377918583456295,-0.0,-0.4234007464629806,-0.6233833868587796,-0.35682666435205274,-0.20814165437028034,-0.0,-0.3067442062320979,-0.1374880652721118,-3.187917715476087,-0.8300494748719729,-0.0
2019-09-18,-0.0,-0.009190860676859647,-0.0,1.0,-0.1122659336883697,-0.0,-0.9675313520013744,-0.3089675313520014,-0.0,-0.4459714825631335,-0.6621714482047759,-0.38129187424841093,-0.1609689056863082,-0.0,-0.3270915650231919,-0.09749183989005326,-3.205978354234668,-0.910582374162515,-0.0
2019-09-19,-0.0,-0.0,-0.0,1.0,-0.057953772943575795,-0.0,-0.9215669612508498,-0.4037219578518014,-0.0,-0.510112168592794,-0.6434398368456832,-0.302430319510537,-0.16544867437117608,-0.0,-0.26674031271244053,-0.009177430319510536,-3.3267335146159076,-0.8902957171991842,-0.0
2019-09-20,-0.0,-0.0,-0.0,1.0,-0.03453877062494657,-0.0,-0.9227152261263571,-0.4176284517397623,-0.0,-0.49952979396426433,-0.6339232281781653,-0.2948619304095067,-0.20825852782764812,-0.0,-0.2892194579806788,-0.0,-3.3434213901000254,-0.9051038727878944,-0.0
2019-09-23,-0.0,-0.0,-0.0,1.0,-0.026219147664189937,-0.0,-0.9395336920317704,-0.41096592364847556,-0.0,-0.5104620377487402,-0.6169613118114271,-0.34110513280382615,-0.23545990263899566,-0.0,-0.2630455205397558,-0.013152276026987786,-3.318216756341276,-0.8654026816978393,-0.0
2019-09-24,-0.0,-0.0,-0.0,1.0,-0.06579060379627244,-0.0,-0.9612642789659023,-0.4117495490852873,-0.0,-0.49111053852099973,-0.6311088207506657,-0.34424117495490847,-0.2047582238254745,-0.0,-0.30584900798763204,-0.008760628703942282,-3.316670961092502,-0.8475478828480631,-0.0
2019-09-25,-0.0,-0.0,-0.0,1.0,-0.028723313041241535,-0.0,-0.9463259881677099,-0.3334476549772786,-0.0,-0.48512389608162565,-0.670839406670668,-0.3417645545742948,-0.2487353168138558,-0.0,-0.3426219669038841,-0.0,-3.306953613992969,-0.8695018434365086,-0.0
2019-09-26,-0.0,-0.0,-0.0,1.0,-0.02125471374700034,-0.0,-0.9436064449777168,-0.3265341103873843,-0.0,-0.4807164895440521,-0.6768940692492286,-0.34230373671580394,-0.2517997943092218,-0.0,-0.3507027768255056,-0.0,-3.3012512855673632,-0.8753856702091188,-0.0
2019-09-27,-0.0,-0.0,-0.0,1.0,-0.047461752433936015,-0.0,-0.939760083449235,-0.3294506258692629,-0.0,-0.4772253129346314,-0.7359179415855355,-0.3097183588317107,-0.237134909596662,-0.0,-0.3452712100139082,-0.012865090403337968,-3.366481223922114,-0.8913421418636996,-0.0
2019-09-30,-0.0,-0.0,-0.0,1.0,-0.09326964828484585,-0.0,-0.8941380807642205,-0.27572731220147634,-0.0,-0.4423795049934867,-0.7491098567086409,-0.3750759878419453,-0.2182370820668693,-0.0,-0.36057316543638734,-0.004950065132435953,-3.366739036039948,-0.903951367781155,-0.0
2019-10-01,-0.0,-0.0,-0.0,1.0,-0.1290041782729805,-0.0,-0.9030292479108636,-0.2838614206128134,-0.0,-0.4181754874651811,-0.7509575208913649,-0.3650766016713092,-0.23180710306406688,-0.0,-0.3511490250696379,-0.016887186629526464,-3.352541782729805,-0.9022458217270196,-0.0
2019-10-02,-0.0,-0.0,-0.0,1.0,-0.053608247422680416,-0.0,-0.928641864634693,-0.3808157776781712,-0.0,-0.5013895114298521,-0.7497086508292246,-0.27108919766920664,-0.09699686239354549,-0.0,-0.5506947557149261,-0.0,-3.508471537427163,-0.9231734648139848,-0.0
2019-10-03,-0.0,-0.35193365185251957,-0.0,1.0,-0.0,-0.0,-1.1272874785901017,-0.251059226539259,-0.0,-0.4954475795546741,-0.6775443973677094,-0.16523934012440278,-0.07446137203641937,-0.0,-0.36040746416659153,-0.08347606598755972,-3.5706301271071847,-0.8572973947534481,-0.0
2019-10-04,-0.0,-0.3502972437398667,-0.0,1.0,-0.0,-0.0,-1.1267339218158892,-0.22356332192397765,-0.0,-0.5045937668888489,-0.6651954602774275,-0.21257431093496668,-0.09709962168978563,-0.0,-0.34417222122140156,-0.08340839488380472,-3.5920554854981086,-0.8077823815528734,-0.0
2019-10-07,-0.0,-0.37983462256601763,-0.0,1.0,-0.039832844314039294,-0.0,-1.025340090690851,-0.31937405530363655,-0.0,-0.4829732373077265,-0.6951186983195519,-0.056992975904685696,-0.12421090068462701,-0.0,-0.25215613052369523,-0.24655463679203343,-3.5348981950742417,-0.7117453543167066,-0.02231706232773184
2019-10-08,-0.0,-0.371485761077245,-0.0,1.0,-0.0,-0.0,-0.9371303794013284,-0.3683923209899008,-0.0,-0.49904467291420257,-0.6931125466290602,-0.0,-0.11745973978709853,-0.0,-0.12037121281048131,-0.44154308070239284,-3.6199617869165683,-0.9298516968428715,-0.0
2019-10-09,-0.0,-0.448846360221785,-0.0,1.0,-0.0,-0.0,-0.9531389733500267,-0.22258987658737256,-0.0,-0.3639778214988374,-0.6971024861384368,-0.0,-0.038096941513146125,-0.0,-0.0,-0.5482024682525487,-3.48426041852978,-1.1094616347701662,-0.07717760686818101
2019-10-10,-0.0,-0.5134225214848942,-0.0,1.0,-0.0,-0.0,-0.9502082041286436,-0.1832196332063436,-0.0,-0.3681226189421458,-0.6876052095330911,-0.0,-0.0,-0.0,-0.0,-0.5268893417205635,-3.473553645787189,-1.0857623815008417,-0.07087800124036503
2019-10-11,-0.0,-0.5426850867871059,-0.0,1.0,-0.0,-0.0,-0.9415515409139212,-0.16161884520014166,-0.0,-0.3689337584130358,-0.6706517888770811,-0.0,-0.0,-0.0,-0.0,-0.5213425433935529,-3.4953949698901874,-1.078551186680836,-0.0750974140984768
2019-10-14,-0.0,-0.5183949424883659,-0.0,1.0,-0.0,-0.0,-0.9496882957239442,-0.1426815348142945,-0.0,-0.37360611115989106,-0.681710422337343,-0.0,-0.0,-0.0,-0.061989639125471944,-0.49644393713232066,-3.4802879971902714,-1.0231802616559837,-0.05233119676881201
2019-10-15,-0.0,-0.549738219895288,-0.0,1.0,-0.0,-0.0,-0.9420593368237348,-0.1342059336823735,-0.0,-0.3406631762652705,-0.6424083769633508,-0.0,-0.0,-0.0,-0.028272251308900525,-0.5356893542757417,-3.441884816753927,-1.0209424083769634,-0.0900523560209424
2019-10-16,-0.0,-0.6098197962914599,-0.0,1.0,-0.0,-0.0,-0.9902498476538696,-0.12866718899625665,-0.0,-0.27283015582832765,-0.6426395055279881,-0.0,-0.0,-0.0,-0.10873160964568643,-0.538782972055367,-3.434229999129451,-0.8582745712544615,-0.12126751980499695
2019-10-17,-0.0,-0.632161855760007,-0.0,1.0,-0.0,-0.0,-0.9805528909043342,-0.10796197784948112,-0.0,-0.2712130461323799,-0.6266678294235632,-0.0,-0.004185924827766635,-0.0,-0.12897880875555942,-0.543210953169966,-3.422952821138921,-0.8795674544344642,-0.12322316211738031
2019-10-18,-0.0,-0.5285613540197461,-0.0,1.0,-0.0,-0.0,-1.0308533145275036,-0.17462976022566998,-0.0,-0.2205571227080395,-0.6539139633286318,-0.0,-0.0,-0.0,-0.05165726375176304,-0.5957334273624824,-3.4774330042313117,-0.8678596614950634,-0.21412200282087446
2019-10-21,-0.0,-0.46471054718477406,-0.0,1.0,-0.0,-0.0,-1.126354744911446,-0.27491408934707906,-0.0,-0.0,-0.6454313155344084,-0.0,-0.05771433606485153,-0.0,-0.07066701912062737,-0.6023438188386643,-3.5024231209798224,-0.877434135166094,-0.18935589038681822
2019-10-22,-0.0,-0.5297003210845522,-0.0,1.0,-0.0,-0.0,-1.2822868355333572,-0.05815198002140563,-0.0,-0.0,-0.7394755618979665,-0.0,-0.0,-0.0,-0.1814127720299679,-0.4149125936496611,-3.611130931145202,-0.7694434534427399,-0.3325900820549411
2019-10-23,-0.0,-0.526845035015263,-0.0,1.0,-0.0,-0.0,-1.401059436164482,-0.02765307954749506,-0.0,-0.0,-0.7406177051535283,-0.0,-0.0,-0.0,-0.16124977554318548,-0.416591847728497,-3.6086370982223017,-0.7317292152989765,-0.36388938768180995
2019-10-24,-0.0,-0.6166666666666667,-0.0,1.0,-0.0,-0.0,-1.3192934782608696,-0.0,-0.0,-0.0,-0.7121376811594202,-0.0,-0.0,-0.0,-0.1759963768115942,-0.4451086956521739,-3.660960144927536,-0.6859601449275363,-0.44175724637681163
2019-10-25,-0.0,-0.49813351853459503,-0.0,1.0,-0.0,-0.0,-1.1305668894869347,-0.08967792343085337,-0.039239517319211735,-0.0,-0.6148971264866743,-0.0,-0.13100095494400554,-0.0,-0.08394825939751714,-0.4698324507335706,-3.603524611511416,-0.5066412014931851,-0.5138466880805626
