Date,ACC,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-03-12,1.0,-0.0,-0.0,-0.0,-0.08902661319722932,-0.0,-0.09818933041681857,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7243893547211082,-0.5188236723781747,-0.0,-0.0
2019-03-13,1.0,-0.0,-0.0,-0.0,-0.08817737582962584,-0.0,-0.09775605961150416,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7256460749276737,-0.5195341939561909,-0.0,-0.0
2019-03-14,1.0,-0.0,-0.0,-0.0,-0.08810733296064943,-0.0,-0.09459689376078556,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.728993996548623,-0.5188488928857885,-0.0,-0.0
2019-03-15,1.0,-0.0,-0.0,-0.0,-0.08974607482070168,-0.0,-0.09178135297538283,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7334270207404536,-0.5079715061058345,-0.0,-0.0
2019-03-18,1.0,-0.0,-0.0,-0.0,-0.08671667069924993,-0.0,-0.08586982821195258,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7417856278732157,-0.5051778369223324,-0.0,-0.0
2019-03-19,1.0,-0.0,-0.0,-0.0,-0.0813728337689999,-0.0,-0.08882757285313196,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7439248717203989,-0.5062445541678768,-0.0,-0.0
2019-03-20,1.0,-0.0,-0.0,-0.0,-0.07506624909660323,-0.0,-0.0951577933028186,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7406167188629245,-0.4982172970368585,-0.0,-0.0
2019-03-21,1.0,-0.0,-0.0,-0.0,-0.0940325934522946,-0.0,-0.08228154166062188,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7252768509115528,-0.5163450843851249,-0.0,-0.0
2019-03-22,1.0,-0.0,-0.0,-0.0,-0.09678980090475844,-0.0,-0.07209037907927522,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7302174807073566,-0.520042576868181,-0.0,-0.0
2019-03-25,1.0,-0.0,-0.0,-0.0,-0.08466503880279477,-0.0,-0.07598578439668302,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7284529652104539,-0.5285399995164761,-0.0,-0.0
2019-03-26,1.0,-0.0,-0.0,-0.0,-0.08012797207881917,-0.0,-0.07542596766766038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7323735427421896,-0.5357861315107006,-0.0,-0.0
2019-03-27,1.0,-0.0,-0.0,-0.0,-0.08680639984438068,-0.0,-0.07197393376452853,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7337693916257355,-0.5390020911345621,-0.0,-0.0
2019-03-28,1.0,-0.0,-0.0,-0.0,-0.09261327764557331,-0.0,-0.06760235054149871,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7358069059297752,-0.5321985333398086,-0.0,-0.0
2019-03-29,1.0,-0.0,-0.0,-0.0,-0.09406833357703369,-0.0,-0.06791928644538675,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7635375542233269,-0.511502656333772,-0.0,-0.0
2019-04-01,1.0,-0.0,-0.0,-0.0,-0.09571745435932434,-0.0,-0.05669437199892753,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7723450410705145,-0.5126623930582299,-0.0,-0.0
2019-04-02,1.0,-0.0,-0.0,-0.0,-0.11076150056100297,-0.0,-0.052612322552319624,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7683545538806771,-0.5074393872871847,-0.0,-0.0
2019-04-03,1.0,-0.0,-0.0,-0.0,-0.11086425781249999,-0.0,-0.0452392578125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7780761718749999,-0.5072021484375,-0.0,-0.0
2019-04-04,1.0,-0.0,-0.0,-0.0,-0.08963187781476405,-0.0,-0.06395633444292148,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.782455453299393,-0.5116017231251224,-0.0,-0.0
2019-04-05,1.0,-0.0,-0.0,-0.0,-0.09293158244844663,-0.0,-0.08423464485451723,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7792751730764494,-0.5072556604006011,-0.0,-0.0
2019-04-08,1.0,-0.0,-0.0,-0.0,-0.09580971710021534,-0.0,-0.08816177016558176,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7840754399425786,-0.5070168056827463,-0.0,-0.0
