Date,IWF,IWM,MTH,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-05-02,-0.0,-0.0,1.0,-0.0,-0.4851703210649961,-0.0,-0.0,-0.0937255285826155,-0.0,-0.605667580266249,-0.0,-0.30315191855912293,-0.0,-0.0,-0.6211335160532497,-0.41028778386844167,-1.375146828504307,-0.0,-0.0
2019-05-03,-0.0,-0.0,1.0,-0.0,-0.5362467614997312,-0.0,-0.0,-0.08412768245588306,-0.0,-0.6011145329227159,-0.0,-0.28826318619543434,-0.0,-0.0,-0.6128953414479151,-0.3993254142836193,-1.3663293738084763,-0.0,-0.0
2019-05-06,-0.0,-0.0,1.0,-0.0,-0.5395058111143667,-0.0,-0.00649477488035941,-0.14127356187127652,-0.0,-0.6108018361168083,-0.0,-0.26389295829670867,-0.0,-0.0,-0.5370641664225022,-0.39100498095517144,-1.3932024611778495,-0.0,-0.0
2019-05-07,-0.0,-0.0,1.0,-0.0,-0.5344415736362307,-0.0,-0.02764100814117876,-0.13688880222298055,-0.0,-0.607712182518403,-0.0,-0.2578364939306781,-0.0,-0.0,-0.5431677472822113,-0.3886803490469458,-1.3785891873446106,-0.0,-0.0
2019-05-08,-0.0,-0.0,1.0,-0.0,-0.513058170407917,-0.0,-0.012647839729664495,-0.1611875452570601,-0.0,-0.6201303403330919,-0.0,-0.24151580979966206,-0.0,-0.0,-0.5196234612599565,-0.34371228578324886,-1.4155442915761525,-0.0,-0.0
2019-05-09,-0.0,-0.0,1.0,-0.0,-0.500458516337661,-0.0,-0.043727979149572854,-0.15420628408706982,-0.0,-0.6171629904918191,-0.0,-0.24528210820985566,-0.0,-0.0,-0.5289830590279453,-0.3495342439306916,-1.3871808484965489,-0.0,-0.0
2019-05-10,-0.0,-0.0,1.0,-0.0,-0.5068420545437025,-0.0,-0.08114098487038643,-0.14657415437987859,-0.0,-0.6173267803796859,-0.0,-0.22058398381034983,-0.0,-0.0,-0.5344030066493206,-0.35414859786065334,-1.357328707718994,-0.0,-0.0
2019-05-13,-0.0,-0.0,1.0,-0.0,-0.5756060023085802,-0.0,-0.10879184301654483,-0.1774240092343209,-0.0,-0.6183147364370912,-0.0,-0.18511927664486344,-0.0,-0.0,-0.4901404386302424,-0.34051558291650635,-1.3136783378222394,-0.0,-0.0
2019-05-14,-0.0,-0.0,1.0,-0.0,-0.6495104895104895,-0.0,-0.15547785547785548,-0.1302097902097902,-0.0,-0.6050349650349651,-0.0,-0.17613053613053614,-0.0,-0.0,-0.4019114219114219,-0.28144522144522144,-1.2622377622377623,-0.0,-0.0
2019-05-15,-0.0,-0.0,1.0,-0.0,-0.6528531337698784,-0.0,-0.15364826941066417,-0.15112254443405052,-0.0,-0.5975678203928907,-0.0,-0.16987839101964453,-0.0,-0.0,-0.414265668849392,-0.28844714686623013,-1.2494855004677268,-0.0,-0.0
2019-05-16,-0.0,-0.0,1.0,-0.0,-0.6781971142548292,-0.0,-0.2173708699534709,-0.1647318700944682,-0.0,-0.5903557832401185,-0.0,-0.16459087277341733,-0.0,-0.0,-0.3556892419044038,-0.25464116181792545,-1.2743337876580345,-0.0,-0.0
2019-05-17,-0.0,-0.0,1.0,-0.0,-0.6286169116958517,-0.0,-0.14121172394418954,-0.28509223710085213,-0.0,-0.5436370446671037,-0.0,-0.162421575053844,-0.0,-0.0,-0.41965539844554733,-0.2974997658956831,-1.2039516808689952,-0.0,-0.0
2019-05-20,-0.0,-0.0,1.0,-0.0,-0.5943320601688122,-0.0,-0.12137501768284056,-0.2771254774366954,-0.0,-0.5216673739802895,-0.0,-0.19281369359173858,-0.0,-0.0,-0.4710708728250106,-0.28999858537275425,-1.2470410713443671,-0.0,-0.0
