Date,GRTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-08-24,1.0,-1.125591224715709,-0.7606420448827614,-0.8766730401529637,-1.259635704941129,-0.009208010465935394,0.0
2020-08-25,1.0,-1.1258364779874213,-0.7607044025157231,-0.8791949685534591,-1.2582138364779873,-0.007446540880503144,0.0
2020-08-26,1.0,-1.1237606321405205,-0.7611354371130907,-0.8785042025265489,-1.2587951079571191,-0.010770547083396245,0.0
2020-08-27,1.0,-1.1084452492329362,-0.7727478497057492,-0.8706302499874252,-1.2555706453397717,-0.022483778481967708,0.0
2020-08-28,1.0,-1.1114354741292531,-0.7724984900342259,-0.8725588886651902,-1.256291524058788,-0.02043487014294343,0.0
2020-08-31,1.0,-1.1113461247922647,-0.7728257037820416,-0.872488291282671,-1.2569371002669085,-0.022410233167145088,0.0
2020-09-01,1.0,-1.1115475650903963,-0.7731278642292391,-0.871984690537342,-1.257793221533968,-0.021604471974618525,0.0
2020-09-02,1.0,-1.1033297963720883,-0.7634278207265929,-0.8765600525491385,-1.2642110050022737,-0.04527310393613258,0.0
2020-09-03,1.0,-1.1052364779236579,-0.7584021898920261,-0.8763623460232169,-1.2728240482587316,-0.0563694428955239,0.0
2020-09-04,1.0,-1.0645274504888445,-0.7638505891200803,-0.8337929305590375,-1.2767610930057658,-0.07480571571822511,0.0
2020-09-08,1.0,-1.0567020637146864,-0.762372270086155,-0.8302444399919856,-1.273542376277299,-0.08615507914245642,0.0
2020-09-09,1.0,-1.0335798217179903,-0.7928991085899514,-0.7871252025931929,-1.3109805510534847,-0.14019448946515398,0.0
2020-09-10,1.0,-1.0262187421065925,-0.7934326850214701,-0.7770649153826725,-1.30932053548876,-0.14564283910078304,0.0
2020-09-11,1.0,-1.020427818329278,-0.8048965936739658,-0.7813767234387672,-1.3147810218978102,-0.14745539334955393,0.0
2020-09-14,1.0,-1.0177457790396998,-0.8003853369162907,-0.7807635755209653,-1.3162297824874514,-0.1550474065811489,0.0
2020-09-15,1.0,-1.0321364909600204,-0.7772345301757067,-0.7718360071301248,-1.345301757066463,-0.16648841354723706,0.0
2020-09-16,1.0,-1.0311957520678035,-0.7796385173082814,-0.7608495864392935,-1.3545389563974266,-0.17946492392525273,0.0
2020-09-17,1.0,-1.0203268641470888,-0.7877936670071501,-0.7536772216547498,-1.3531154239019407,-0.19239019407558736,0.0
2020-09-18,1.0,-1.0144949726943298,-0.7870668095748482,-0.7524626141989487,-1.350941662838769,-0.19894860409329865,0.0
2020-09-21,1.0,-1.012601397887863,-0.7886842508035306,-0.7535329830110709,-1.3484516096117545,-0.1984592622825366,0.0
2020-09-22,1.0,-1.0140787594368497,-0.7867271985309121,-0.7541828198326873,-1.350132625994695,-0.19592940216282392,0.0
2020-09-23,1.0,-1.0074436626899153,-0.7855613337412052,-0.7564494748648924,-1.347149994901601,-0.20179463648414395,0.0
2020-09-24,1.0,-0.9975577490587159,-0.7699196092398495,-0.7462603032461586,-1.3533631830670603,-0.22097282995827824,0.0
