Date,IWF,IWM,LAMR,MTUM,SPY,VLUE,VXX
2019-02-20,-0.0,-0.4922177530167137,1.0,-0.0,-0.6494366302745647,-0.35665925500287304,0.0
2019-02-21,-0.0,-0.485225,1.0,-0.0,-0.653725,-0.36105,0.0
2019-02-22,-0.0,-0.48677566121693916,1.0,-0.0,-0.6513924303784812,-0.3616819159042048,0.0
2019-02-25,-0.0,-0.48413235995082915,1.0,-0.0,-0.6586387697247936,-0.3659466646596924,0.0
2019-02-26,-0.0,-0.4825595984943538,1.0,-0.0,-0.659146800501882,-0.36770388958594724,0.0
2019-02-27,-0.0,-0.4810634562327565,1.0,-0.0,-0.6570604464509656,-0.37002758966641586,0.0
2019-02-28,-0.0,-0.4738830403465471,1.0,-0.0,-0.6538054702060142,-0.3908225457109757,0.0
2019-03-01,-0.0,-0.4765808257875754,1.0,-0.0,-0.6657250233308952,-0.3799530859838071,0.0
2019-03-04,-0.0,-0.48249488855794226,1.0,-0.0,-0.6606002473685538,-0.3810485397682813,0.0
2019-03-05,-0.0,-0.4662492712478771,1.0,-0.0,-0.688094091404527,-0.38044662999670475,0.0
2019-03-06,-0.0,-0.4644404469330361,1.0,-0.0,-0.6851199675694849,-0.3840989130710178,0.0
2019-03-07,-0.0,-0.45498875666388744,1.0,-0.0,-0.6994365698981784,-0.3721670582884863,0.0
2019-03-08,-0.0,-0.4490201068974293,1.0,-0.0,-0.7271570374141002,-0.368999745482311,0.0
2019-03-11,-0.0,-0.4447725172024237,1.0,-0.0,-0.7254031015713259,-0.3973759884974838,0.0
2019-03-12,-0.0,-0.4163687237680709,1.0,-0.0,-0.7401160681900616,-0.43432302191823413,0.0
2019-03-13,-0.0,-0.42501626968632045,1.0,-0.0,-0.7431472081218274,-0.4349863334634908,0.0
2019-03-14,-0.0,-0.42363546618865766,1.0,-0.0,-0.7447328085625957,-0.42950666354921674,0.0
2019-03-15,-0.0,-0.4091915115219373,1.0,-0.0,-0.750579351646921,-0.44405676344226014,0.0
2019-03-18,-0.0,-0.4189578423671118,1.0,-0.0,-0.7542288557213931,-0.44529981670594393,0.0
2019-03-19,-0.0,-0.41846727401612016,1.0,-0.0,-0.7549423718133843,-0.4520202683189372,0.0
2019-03-20,-0.0,-0.41444228853112386,1.0,-0.0,-0.7557029734123447,-0.45191147936441345,0.0
2019-03-21,-0.0,-0.4156048450526978,1.0,-0.0,-0.7682869277961304,-0.43788999003722934,0.0
2019-03-22,-0.0,-0.4135252637718042,1.0,-0.0,-0.786808758814485,-0.45063888447060074,0.0
2019-03-25,-0.0,-0.41602060322854717,1.0,-0.0,-0.7874362786745965,-0.451624893797791,0.0
2019-03-26,-0.0,-0.42024384387589037,1.0,-0.0,-0.7810474081583652,-0.4665848517994824,0.0
2019-03-27,-0.0,-0.4224299065420561,1.0,-0.0,-0.7804539385847796,-0.467369826435247,0.0
2019-03-28,-0.0,-0.4170159374249179,1.0,-0.0,-0.7715902720307537,-0.48097920392962973,0.0
2019-03-29,-0.0,-0.4211285668483489,1.0,-0.0,-0.7720957571871326,-0.47857219194186174,0.0
2019-04-01,-0.0,-0.42726956893556745,1.0,-0.0,-0.772495256420535,-0.4726743098425933,0.0
2019-04-02,-0.0,-0.43239271017048797,1.0,-0.0,-0.7795414462081128,-0.46029073806851584,0.0
2019-04-03,-0.0,-0.43340634683192647,1.0,-0.0,-0.7782348541510844,-0.4595843573031307,0.0
2019-04-04,-0.0,-0.43109625668449203,1.0,-0.0,-0.7814438502673797,-0.46128342245989307,0.0
2019-04-05,-0.0,-0.4327572851838991,1.0,-0.0,-0.7876011645610194,-0.450626352199578,0.0
2019-04-08,-0.0,-0.4328035261119273,1.0,-0.0,-0.7871510618405235,-0.4513156137304661,0.0
2019-04-09,-0.0,-0.4227278811404096,1.0,-0.0,-0.8138401820372105,-0.44044973899076434,0.0
2019-04-10,-0.0,-0.42517808365915055,1.0,-0.0,-0.8123560602003107,-0.44038883830539344,0.0
2019-04-11,-0.0,-0.42338072669826227,1.0,-0.0,-0.813666425683455,-0.4405173106273596,0.0
2019-04-12,-0.0,-0.4229018263617375,1.0,-0.0,-0.8132397836216593,-0.4418081516790745,0.0
2019-04-15,-0.0,-0.42397276796483424,1.0,-0.0,-0.8113859926559276,-0.4449328580235333,0.0
2019-04-16,-0.0,-0.4189326624558398,1.0,-0.0,-0.8099507547371801,-0.4474895621453805,0.0
2019-04-17,-0.0,-0.3716406042936655,1.0,-0.0,-0.8346673734428836,-0.44410283593957056,0.0
2019-04-18,-0.0,-0.3747782103228199,1.0,-0.0,-0.8356770212653267,-0.4377797198167422,0.0
2019-04-22,-0.0,-0.37605816946633763,1.0,-0.0,-0.8366372104131836,-0.4410211501207441,0.0
2019-04-23,-0.0,-0.3764593250538521,1.0,-0.0,-0.8309443395473767,-0.45195862032284656,0.0
2019-04-24,-0.0,-0.38752122241086584,1.0,-0.0,-0.8181239388794567,-0.4471561969439728,0.0
2019-04-25,-0.0,-0.3947675962815405,1.0,-0.0,-0.8227622841965471,-0.43853917662682607,0.0
2019-04-26,-0.0,-0.38927441440004257,1.0,-0.0,-0.8317513493392891,-0.4377974528728298,0.0
2019-04-29,-0.0,-0.3950387266774906,1.0,-0.0,-0.834712943493652,-0.43187564877165896,0.0
2019-04-30,-0.0,-0.39344567792774804,1.0,-0.0,-0.8395761786864733,-0.42917232382930004,0.0
2019-05-01,-0.0,-0.3832627287986572,1.0,-0.0,-0.8505048890309861,-0.43058108864199507,0.0
2019-05-02,-0.0,-0.38556047119023507,1.0,-0.0,-0.8456905282234423,-0.43385214007782097,0.0
2019-05-03,-0.0,-0.3737227839298133,1.0,-0.0,-0.8592253784839244,-0.4418766383138073,0.0
2019-05-06,-0.0,-0.35848048513343844,1.0,-0.0,-0.8594555606016082,-0.45353030748270245,0.0
2019-05-07,-0.0,-0.36590453269153633,1.0,-0.0,-0.8572269019922449,-0.4510228640192539,0.0
2019-05-08,-0.0,-0.36629177549171155,1.0,-0.0,-0.8374553595224136,-0.4613560044773733,0.0
2019-05-09,-0.0,-0.36751179716867954,1.0,-0.0,-0.8381455117438482,-0.4603695113172839,0.0
2019-05-10,-0.0,-0.3689232409381663,1.0,-0.0,-0.8390724946695096,-0.4572228144989339,0.0
2019-05-13,-0.0,-0.36646078483573824,1.0,-0.0,-0.8369362653745807,-0.4588680048985677,0.0
2019-05-14,-0.0,-0.33227789651441986,1.0,-0.0,-0.8470672049394443,-0.4592469458297053,0.0
2019-05-15,-0.0,-0.3327967063418753,1.0,-0.0,-0.8554538016943336,-0.4508986302815972,0.0
2019-05-16,-0.0,-0.33267253455977586,1.0,-0.0,-0.8595934765945075,-0.4509290830756218,0.0
2019-05-17,-0.0,-0.3324695242880186,1.0,-0.0,-0.8609884443504244,-0.450855435386202,0.0
2019-05-20,-0.0,-0.32998466663141757,1.0,-0.0,-0.8621583038121927,-0.4515412679109608,0.0
2019-05-21,-0.0,-0.3285423657163994,1.0,-0.0,-0.8625326957119078,-0.45100266849850723,0.0
2019-05-22,-0.0,-0.3237770914178612,1.0,-0.0,-0.8675853330165518,-0.44848340856893965,0.0
2019-05-23,-0.0,-0.3233050959280078,1.0,-0.0,-0.8694745731401577,-0.4462301744385506,0.0
2019-05-24,-0.0,-0.31310156208909695,1.0,-0.0,-0.8696418240151476,-0.4470362383632252,0.0
