Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZEAL
2019-04-05,-0.0,-0.8533664508116738,-0.0,-3.9602590259913066,-3.057216357668766,0.0,1.0
2019-04-08,-0.0,-0.8355748373101951,-0.0,-3.8806941431670277,-2.9606073752711497,0.0,1.0
2019-04-09,-0.0,-0.8347222222222223,-0.0,-3.880642361111111,-2.965277777777778,0.0,1.0
2019-04-10,-0.0,-0.8031509695290859,-0.0,-3.8935249307479225,-2.9599203601108033,0.0,1.0
2019-04-11,-0.0,-0.7585039916695592,-0.0,-3.967632766400556,-2.9514057618882332,0.0,1.0
2019-04-12,-0.0,-0.7539875173370318,-0.0,-3.9661927877947294,-2.9483356449375866,0.0,1.0
2019-04-15,-0.0,-0.7793950021920211,-0.0,-3.977202981148619,-3.011573871109163,0.0,1.0
2019-04-16,-0.0,-0.7779832672831352,-0.0,-4.008806693086746,-3.0199911933069132,0.0,1.0
2019-04-17,-0.0,-0.7291703364453056,-0.0,-4.068169807997181,-3.010040514356174,0.0,1.0
2019-04-18,-0.0,-0.7322903849534189,-0.0,-4.035595007910001,-3.0210054491123217,0.0,1.0
2019-04-22,-0.0,-0.7326845519901807,-0.0,-4.020077152375943,-3.014553743643696,0.0,1.0
2019-04-23,-0.0,-0.7375252126633342,-0.0,-4.024993422783478,-3.007015697623432,0.0,1.0
2019-04-24,-0.0,-0.7041342539987764,-0.0,-4.0192290883664015,-3.0171313696355213,0.0,1.0
2019-04-25,-0.0,-0.6917260559707978,-0.0,-4.021467060664001,-2.977924561098557,0.0,1.0
2019-04-26,-0.0,-0.6736453201970443,-0.0,-4.159922589725545,-2.963054187192118,0.0,1.0
2019-04-29,-0.0,-0.6544654641443027,-0.0,-4.158732952045755,-2.9857457105147382,0.0,1.0
2019-04-30,-0.0,-0.6450875186911778,-0.0,-4.160260357111444,-2.99050048377166,0.0,1.0
2019-05-01,-0.0,-0.6446441155743481,-0.0,-4.158650458069063,-3.0056377730796338,0.0,1.0
2019-05-02,-0.0,-0.6411702502643638,-0.0,-4.133679943602397,-3.0373634120549875,0.0,1.0
2019-05-03,-0.0,-0.6286521316974137,-0.0,-4.150763527231,-3.047488745696884,0.0,1.0
2019-05-06,-0.0,-0.5383535193961734,-0.0,-4.154203967000175,-3.0839038090222926,0.0,1.0
2019-05-07,-0.0,-0.5514667135078166,-0.0,-4.146320042157035,-3.084928860003513,0.0,1.0
2019-05-08,-0.0,-0.581001216756475,-0.0,-4.0504084825308535,-3.059707978446028,0.0,1.0
2019-05-09,-0.0,-0.5786185352308226,-0.0,-4.044255466851787,-3.0547552933009374,0.0,1.0
2019-05-10,-0.0,-0.5884324510140941,-0.0,-3.98710897215538,-3.018391199724991,0.0,1.0
2019-05-13,-0.0,-0.5894791129448169,-0.0,-3.981777548564552,-3.0242392986075295,0.0,1.0
2019-05-14,-0.0,-0.4448931516069326,-0.18256772673733807,-3.8496550563688374,-2.936143361938415,0.0,1.0
2019-05-15,-0.0,-0.4409144394015801,-0.19314170448814927,-3.84947049924357,-2.92141536392671,0.0,1.0
2019-05-16,-0.0,-0.4460804818873923,-0.19375888898184557,-3.811930059399314,-2.914414791265791,0.0,1.0
2019-05-17,-0.0,-0.43731092436974794,-0.20260504201680674,-3.791428571428572,-2.9721008403361346,0.0,1.0
2019-05-20,-0.0,-0.41269175957750026,-0.22298600050297593,-3.778774415290469,-2.9684801743649927,0.0,1.0
2019-05-21,-0.0,-0.4134833347326002,-0.24414406850810177,-3.764923180253547,-2.97305012173621,0.0,1.0
2019-05-22,-0.0,-0.3843520374081496,-0.2656145624582498,-3.74498997995992,-2.9550768203072812,0.0,1.0
2019-05-23,-0.0,-0.36898350723662066,-0.348199259508583,-3.804695388757994,-2.892881184786267,0.0,1.0
2019-05-24,-0.0,-0.31371075484301936,-0.36831997327989313,-3.7876586506346026,-2.8804275217100868,0.0,1.0
2019-05-28,-0.0,-0.30904690368886667,-0.370973126356201,-3.7867634785511606,-2.879068602904357,0.0,1.0
2019-05-29,-0.0,-0.32160053129669597,-0.37190768719907025,-3.775776191266811,-2.832226465216669,0.0,1.0
2019-05-30,-0.0,-0.3121728292480266,-0.3690070627336934,-3.778645616950561,-2.8492729538845034,0.0,1.0
2019-05-31,-0.0,-0.329431299294313,-0.3623080116230801,-3.7703611457036112,-2.8400996264009963,0.0,1.0
2019-06-03,-0.0,-0.33798053126546773,-0.4247648902821317,-3.756805807622505,-2.729912555683881,0.0,1.0
2019-06-04,-0.0,-0.31383950822395745,-0.46120618042864264,-3.852217976408041,-2.679847150689483,0.0,1.0
2019-06-05,-0.0,-0.28475409836065574,-0.5340983606557377,-3.8708196721311476,-2.507049180327869,0.0,1.0
2019-06-06,-0.0,-0.3126693488792184,-0.48353723622629113,-3.8561458247803597,-2.5585023400936038,0.0,1.0
2019-06-07,-0.0,-0.3422846349675618,-0.4936355424160302,-3.825572801182557,-2.550710355588404,0.0,1.0
2019-06-10,-0.0,-0.3343142063102828,-0.4608468203367664,-3.8335785515775704,-2.545201896354422,0.0,1.0
2019-06-11,-0.0,-0.3138834635416667,-0.5498860677083334,-3.7757975260416665,-2.4984537760416665,0.0,1.0
2019-06-12,-0.0,-0.3280311637721149,-0.5558350917058918,-3.753773738029541,-2.4779256614186007,0.0,1.0
2019-06-13,-0.0,-0.3310996286129501,-0.5638624253189084,-3.7170999515582106,-2.4615695139673823,0.0,1.0
2019-06-14,-0.0,-0.3152971534553665,-0.5906781711152326,-3.722280461253125,-2.4356100314490767,0.0,1.0
2019-06-17,-0.0,-0.30630485546340286,-0.5927208309847813,-3.7314598598921007,-2.421692567839601,0.0,1.0
2019-06-18,-0.0,-0.2937147461724416,-0.5969379532634971,-3.735294117647059,-2.432070910556003,0.0,1.0
2019-06-19,-0.0,-0.3300885661852709,-0.6040852150323147,-3.703981488869385,-2.340780339902657,0.0,1.0
2019-06-20,-0.0,-0.29693981372779216,-0.6020975189794161,-3.6385693042185174,-2.2889567191046414,0.0,1.0
2019-06-21,-0.0,-0.3172813405371545,-0.5976822488450395,-3.619215409913085,-2.296061389084645,0.0,1.0
2019-06-24,-0.0,-0.2632729544034978,-0.608213616489694,-3.581433479075578,-2.3546221111805123,0.0,1.0
2019-06-25,-0.0,-0.24178055447090982,-0.6159312768449824,-3.5924248340491993,-2.3593127684498243,0.0,1.0
2019-06-26,-0.0,-0.23787926180794494,-0.5909446355958712,-3.5617766656240226,-2.429230528620582,0.0,1.0
2019-06-27,-0.0,-0.2487975174553918,-0.573855702094647,-3.526454615981381,-2.408844065166796,0.0,1.0
2019-06-28,-0.0,-0.1976159145444694,-0.5963309853703846,-3.5427664679928785,-2.4039012307454137,0.0,1.0
2019-07-01,-0.0,-0.19450431034482757,-0.5968288177339901,-3.5367149014778323,-2.368919334975369,0.0,1.0
2019-07-02,-0.0,-0.20725627061440513,-0.588478944542456,-3.5169134003221596,-2.357904425864846,0.0,1.0
2019-07-03,-0.0,-0.19643679926278604,-0.5974504684380278,-3.5264936261710953,-2.358854246659499,0.0,1.0
2019-07-05,-0.0,-0.19342701374491283,-0.5914151885126315,-3.5232281348383627,-2.370651923519926,0.0,1.0
2019-07-08,-0.0,-0.19705227604206646,-0.585169263836647,-3.519766638519997,-2.374299531741767,0.0,1.0
2019-07-09,-0.0,-0.1830040430238767,-0.5843313753909527,-3.4926386452055835,-2.368449157067663,0.0,1.0
2019-07-10,-0.0,-0.18880158669616293,-0.5829582729422533,-3.486078266839576,-2.3705088107407124,0.0,1.0
2019-07-11,-0.0,-0.17920708883966086,-0.607898556260026,-3.4905660377358494,-2.3610877702238176,0.0,1.0
2019-07-12,-0.0,-0.18387293830177154,-0.6044593769089799,-3.48045204642639,-2.367058643860721,0.0,1.0
2019-07-15,-0.0,-0.22712355949019308,-0.6412271998778905,-3.454018163779287,-2.309394795085095,0.0,1.0
2019-07-16,-0.0,-0.2351685221900259,-0.6292511819429617,-3.4450968430684763,-2.3159219155101414,0.0,1.0
2019-07-17,-0.0,-0.2611217092712705,-0.6170164059519267,-3.443723769553605,-2.308813429988554,0.0,1.0
2019-07-18,-0.0,-0.26242271582321963,-0.6233111976185024,-3.45691168613083,-2.290359514540875,0.0,1.0
2019-07-19,-0.0,-0.27162378807542564,-0.6363081151232918,-3.448583861363463,-2.277654782807848,0.0,1.0
2019-07-22,-0.0,-0.2345132743362832,-0.6135947512969179,-3.45415013732072,-2.3266707354287455,0.0,1.0
2019-07-23,-0.0,-0.2388583638583639,-0.6162240537240538,-3.4532967032967035,-2.3228785103785103,0.0,1.0
2019-07-24,-0.0,-0.2400121988411101,-0.6408203720646538,-3.4424367185117415,-2.300930161634645,0.0,1.0
2019-07-25,-0.0,-0.194295225845502,-0.6692138912007263,-3.4371642581523796,-2.2653400923053644,0.0,1.0
2019-07-26,-0.0,-0.16148271176204138,-0.6709195228748303,-3.4470028687905785,-2.2700437868035634,0.0,1.0
2019-07-29,-0.0,-0.10738409579367517,-0.6936598096407737,-3.4941664108074915,-2.380564937058643,0.0,1.0
2019-07-30,-0.0,-0.08045171339563864,-0.7124610591900312,-3.54595015576324,-2.449376947040499,0.0,1.0
2019-07-31,-0.0,-0.09335307410582093,-0.7107457336554196,-3.539156861217174,-2.4492324475960414,0.0,1.0
2019-08-01,-0.0,-0.12613310606647557,-0.6705663593398932,-3.534283722011312,-2.416750600449369,0.0,1.0
2019-08-02,-0.0,-0.09836699945824628,-0.7049763950158657,-3.5352526894203233,-2.4006655831591983,0.0,1.0
2019-08-05,-0.0,-0.09203116562524107,-0.6973694360873255,-3.535987040037029,-2.388953174419502,0.0,1.0
2019-08-06,-0.0,-0.08804420879695318,-0.6885221417369876,-3.3398551265775525,-2.351280710925248,0.0,1.0
2019-08-07,-0.0,-0.10097477490884738,-0.6492298534117121,-3.32256864350026,-2.3682565667088324,0.0,1.0
2019-08-08,-0.0,-0.09664929262844378,-0.6481757259865972,-3.3283693224125095,-2.3728220402084883,0.0,1.0
