Date,CLDR,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-08-05,1.0,-1.0109417741305198,-0.0,-2.1762407190308712,-2.1422430636967564,-1.6268073466197732,-3.7295818679171546,-1.4533020711215319,-0.19968737788198512,-2.586166471277843,-2.3302071121531847,-1.577960140679953,-1.2946463462289957,-0.0,-3.7084798749511525,-4.053145760062525,-6.4279015240328246,-2.177413051973427,-1.5826494724501758
2019-08-06,1.0,-0.6717391304347826,-0.0,-1.6923913043478263,-2.056159420289855,-1.3485507246376813,-3.4655797101449277,-1.361231884057971,-0.7307971014492753,-2.239492753623188,-2.0981884057971016,-1.1576086956521738,-1.2445652173913042,-0.0,-3.2644927536231885,-3.7297101449275365,-6.305797101449276,-2.267391304347826,-1.598550724637681
2019-08-07,1.0,-0.5917480998914224,-0.0,-1.5320304017372421,-2.12775968150561,-1.2895403546869346,-3.369163952225842,-1.408975750995295,-0.9583785740137533,-2.2099167571480276,-2.3680781758957656,-1.0217155266015203,-1.131017010495838,-0.0,-3.3445530220774526,-3.7785016286644955,-6.275787187839305,-2.2537097357944265,-1.532392327180601
2019-08-08,1.0,-0.5655619596541787,-0.0,-1.5090057636887606,-2.123198847262248,-1.2770172910662825,-3.363832853025937,-1.3948126801152736,-0.9221902017291067,-2.180115273775216,-2.3389769452449567,-1.0976224783861672,-1.128602305475504,-0.0,-3.369236311239193,-3.7262247838616718,-6.279899135446686,-2.2197406340057637,-1.5270172910662823
2019-08-09,1.0,-0.34411470490163387,-0.0,-1.2654218072690897,-1.944981660553518,-1.1357119039679893,-3.116705568522841,-1.4298099366455486,-0.8309436478826276,-1.9416472157385796,-1.966322107369123,-1.1627209069689897,-1.1293764588196065,-0.0,-3.2164054684894965,-3.397132377459153,-5.856618872957652,-2.27675891963988,-1.3294431477159054
2019-08-12,1.0,-0.3280883829929695,-0.0,-1.2815533980582525,-1.9397388684298627,-1.1345831938399733,-3.140274522932708,-1.3762972882490794,-0.8389688650820221,-1.901573485102109,-1.96786072982926,-1.2142618011382658,-1.1158352862403749,-0.0,-3.225979243388015,-3.4298627385336458,-5.9286909943086705,-2.3367927686642114,-1.3183796451288918
2019-08-13,1.0,-0.2921129503407984,-0.0,-1.1648815319701395,-1.8743914313534566,-1.077572216812723,-3.065238558909445,-1.3485881207400194,-0.7617656604998377,-1.857838364167478,-1.9457968192145407,-1.0817916260954235,-1.0769230769230769,-0.0,-3.1535215839013304,-3.4044141512495942,-5.849399545602076,-2.271989613761766,-1.2307692307692308
2019-08-14,1.0,-0.20822622107969152,-0.0,-1.080655526992288,-1.8541131105398458,-1.0083547557840618,-3.0610539845758358,-1.31780205655527,-0.7718508997429306,-1.843508997429306,-1.9881105398457586,-1.086439588688946,-1.074228791773779,-0.0,-3.0822622107969155,-3.494215938303342,-5.876928020565553,-2.225578406169666,-1.1600257069408741
2019-08-15,1.0,-0.22497785651018604,-0.2285208148804252,-0.8748154709182168,-1.7195157956894007,-0.9007971656333038,-2.8777679362267494,-1.0873929731325658,-0.5639208739297313,-1.4968999114260408,-1.5943312666076175,-0.6896958960732211,-1.0321818718630056,-0.0,-3.063773250664305,-3.3554768231473284,-5.839385887215826,-1.9713610865072335,-1.004428697962799
2019-08-16,1.0,-0.2115272088940901,-0.28379169104739616,-0.8864833235810415,-1.7390286717378582,-0.8832650672908133,-2.8390871854885895,-1.1059098888238736,-0.5433001755412522,-1.4862492685781157,-1.6217086015213573,-0.6047396138092451,-1.0275014628437682,-0.0,-2.9479227618490342,-3.2884727911059097,-5.766530134581626,-1.9455822118197776,-1.0766530134581627
2019-08-19,1.0,-0.19570742728042928,-0.1996611126800339,-0.8124823496187519,-1.6546173397345385,-0.8316859644168315,-2.7955379836204464,-1.020050833097995,-0.4899745834510026,-1.4620163795537984,-1.589381530641062,-0.5571872352442814,-0.9279864445072015,-0.0,-2.8415701779158433,-3.236091499576391,-5.643885907935612,-1.8811070319118894,-1.1016661959898335
2019-08-20,1.0,-0.19714050041242784,-0.23013472642287602,-0.8267803134451471,-1.5960956832554303,-0.803409403354413,-2.74649436348639,-0.9818531756942535,-0.5397305471542481,-1.4008798460269454,-1.3742095133351662,-0.5499037668408029,-0.9139400604894143,-0.0,-2.763541380258455,-3.1550728622491064,-5.498487764641188,-1.8518009348364035,-1.065713500137476
2019-08-21,1.0,-0.21788482834994463,-0.25830564784053156,-0.8538205980066446,-1.5861018826135105,-0.8017718715393134,-2.7666112956810633,-0.951827242524917,-0.49307862679955705,-1.3992248062015504,-1.3909191583610188,-0.47480620155038755,-0.9617940199335548,-0.0,-2.7198228128460684,-3.1522702104097453,-5.616832779623477,-1.8457918050941304,-1.1946290143964564
2019-08-22,1.0,-0.20851769911504425,-0.2696349557522124,-0.8412610619469026,-1.554203539823009,-0.8030973451327434,-2.7688053097345136,-0.9109513274336283,-0.5041482300884956,-1.449391592920354,-1.4305862831858407,-0.5171460176991152,-0.9646017699115045,-0.0,-2.745575221238938,-3.1584623893805315,-5.582964601769912,-1.8744469026548676,-1.070796460176991
2019-08-23,1.0,-0.22225297536673125,-0.2856352061998339,-0.8646554110157764,-1.5521727096595626,-0.8095765292001107,-2.77359535012455,-0.9189039579296983,-0.4932189316357597,-1.4353722668142816,-1.4151674508718517,-0.5264323277055079,-0.9673401605314144,-0.0,-2.7434265153611954,-3.1428176030999166,-5.557985053971768,-1.8992526985884306,-1.070855244948796
2019-08-26,1.0,-0.16047430830039527,-0.1868247694334651,-0.6666666666666667,-1.4553359683794467,-0.7262187088274046,-2.7175230566534916,-0.8361001317523058,-0.47773386034255605,-1.319631093544137,-1.2071146245059288,-0.5349143610013175,-0.918840579710145,-0.0,-2.7151515151515153,-3.157575757575758,-5.504084321475626,-1.7884057971014493,-0.9783926218708829
