Date,CCJ,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-05,1.0,-0.0,-0.20299822270303688,-0.06008036473224635,-1.5168456842593308,-1.0838034155011205,0.0
2019-07-08,1.0,-0.0,-0.21409852254168407,-0.042880474002050965,-1.4689885677389949,-1.0721637737855596,0.0
2019-07-09,1.0,-0.0,-0.2056014553172137,-0.04316683089517169,-1.4643750473736072,-1.0767452436898355,0.0
2019-07-10,1.0,-0.0,-0.1846223805373451,-0.03797036644056235,-1.4855053241881087,-1.0813596574330213,0.0
2019-07-11,1.0,-0.0,-0.18406864606272308,-0.043928923988154,-1.487698382565115,-1.0811375199331763,0.0
2019-07-12,1.0,-0.0,-0.17438568678518854,-0.05201373947835278,-1.4971879364360396,-1.05099460234779,0.0
2019-07-15,1.0,-0.0,-0.15547155547155547,-0.035758835758835754,-1.4997164997164996,-1.089056889056889,0.0
2019-07-16,1.0,-0.0,-0.19828832701551447,-0.007581382625346829,-1.5715346437922544,-1.1305248348899917,0.0
2019-07-17,1.0,-0.0,-0.19524498494505924,-0.009580416845892151,-1.5736518984866852,-1.1318969225354865,0.0
2019-07-18,1.0,-0.0,-0.19518674792936394,-0.011251758087201125,-1.5772776996405689,-1.123144241287701,0.0
2019-07-19,1.0,-0.0,-0.19422746445867836,-0.009803155756912983,-1.5776831745039837,-1.1239650054678956,0.0
2019-07-22,1.0,-0.0,-0.18452101890920455,-0.0032036255664947646,-1.5802469135802468,-1.1388888888888888,0.0
2019-07-23,1.0,-0.0,-0.18639099507543191,-0.006566090830923162,-1.5800046900648794,-1.1354256233877902,0.0
2019-07-24,1.0,-0.0,-0.18821128639824192,-0.03712424456479083,-1.5800957538654736,-1.1189074640923005,0.0
2019-07-25,1.0,-0.0,-0.15593806492179516,-0.05183525897980036,-1.6198616678456337,-1.1022557572899472,0.0
2019-07-26,1.0,-0.0,-0.1908651911468813,-0.040080482897384306,-1.6633400402414487,-1.1298591549295776,0.0
2019-07-29,1.0,-0.0,-0.18539958192635472,-0.04538511014632577,-1.6522752854156617,-1.1368387200514551,0.0
2019-07-30,1.0,-0.0,-0.18979624578854484,-0.048692443446173586,-1.6417455478902614,-1.1306754371891543,0.0
2019-07-31,1.0,-0.0,-0.20851865208158035,-0.04756180630684778,-1.6318067075369638,-1.1190046880634692,0.0
2019-08-01,1.0,-0.0,-0.22079732366880406,-0.023577203393205626,-1.6353897009040583,-1.102871480345693,0.0
2019-08-02,1.0,-0.0,-0.21175908221797324,-0.02585245379222435,-1.6372291268323773,-1.1085882727852134,0.0
2019-08-05,1.0,-0.0,-0.2089083316762776,-0.014953271028037382,-1.6389341817458738,-1.1141777689401473,0.0
2019-08-06,1.0,-0.0,-0.21023259444270995,-0.017951920074929753,-1.5641195753980641,-1.1102872307211986,0.0
2019-08-07,1.0,-0.0,-0.23386564090608852,-0.001981582935074018,-1.5410498504099157,-1.1085596611881727,0.0
2019-08-08,1.0,-0.0,-0.2191902771326831,-0.0,-1.5314677194612172,-1.1199102028177736,0.0
2019-08-09,1.0,-0.0,-0.19788380146210077,-0.0,-1.509349749903809,-1.140400153905348,0.0
2019-08-12,1.0,-0.0,-0.1955794733807419,-0.0,-1.5180857197770519,-1.1302709975014416,0.0
2019-08-13,1.0,-0.0,-0.18885947750028773,-0.0,-1.519891049986573,-1.1275175509264588,0.0
2019-08-14,1.0,-0.0,-0.20736426683014675,-0.0,-1.4996743170236408,-1.1244875282577877,0.0
2019-08-15,1.0,-0.0,-0.23542246633059963,-0.0,-1.4691520577834625,-1.0573696486344142,0.0
2019-08-16,1.0,-0.0,-0.23739653875094058,-0.0,-1.4658765989465763,-1.0589541008276901,0.0
2019-08-19,1.0,-0.0,-0.21662110033332083,-0.0029961424665742855,-1.4756001647878356,-1.049960675630126,0.0
2019-08-20,1.0,-0.0,-0.2052377205799708,-0.00970364542355101,-1.4736428009441387,-1.0579970776666292,0.0
2019-08-21,1.0,-0.0,-0.21598021212007645,-0.0034478881684967956,-1.4821047108645953,-1.0461717198216092,0.0
2019-08-22,1.0,-0.0,-0.21497077776112694,-0.007118237674209501,-1.4811554023677507,-1.0432339277686198,0.0
2019-08-23,1.0,-0.0,-0.21947647125098582,-0.009539189544447366,-1.4886769068990122,-1.0378938671273519,0.0
2019-08-26,1.0,-0.0,-0.21071309748253303,-0.014528113563269383,-1.464714797974197,-1.0068019666555765,0.0
2019-08-27,1.0,-0.0,-0.20732922463741374,-0.009447540318116399,-1.460419972690704,-1.013211794663616,0.0
2019-08-28,1.0,-0.0,-0.20151615514830354,-0.014609553249429601,-1.4633473172885847,-1.0005151983513654,0.0
2019-08-29,1.0,-0.0,-0.18944076526857986,-0.01747608535688006,-1.467328918322296,-1.0049300956585725,0.0
2019-08-30,1.0,-0.0,-0.17680085134490478,-0.023522072584492314,-1.474698176213717,-0.9945690066419581,0.0
2019-09-03,1.0,-0.0,-0.17644895557516918,-0.03092821418064137,-1.463077375698735,-1.007097675786996,0.0
2019-09-04,1.0,-0.0,-0.16272483172104316,-0.03509030051127377,-1.4658476477728326,-1.0146025674035384,0.0
2019-09-05,1.0,-0.0,-0.16957734076900496,-0.02924126797769298,-1.4705019078368065,-0.9995597299677135,0.0
2019-09-06,1.0,-0.0,-0.16087004123937085,-0.041859786139192,-1.472391518557717,-0.9743440020437211,0.0
2019-09-09,1.0,-0.0,-0.16008611881477156,-0.04207414975915925,-1.472157349292074,-0.9748211939862793,0.0
2019-09-10,1.0,-0.0,-0.1533493870402802,-0.06476211325160537,-1.4761018680677174,-0.9543199065966143,0.0
2019-09-11,1.0,-0.0,-0.14474932496533605,-0.08432460045245566,-1.4795300299204552,-0.9402320659709552,0.0
2019-09-12,1.0,-0.0,-0.16388888888888886,-0.07803362573099415,-1.4774122807017545,-0.9356359649122806,0.0
2019-09-13,1.0,-0.0,-0.20757889291257112,-0.03120150025866529,-1.217731505431971,-0.7768365235385412,0.0
2019-09-16,1.0,-0.0,-0.20960331327250373,-0.023522940529347055,-1.2238076748851356,-0.778683750728014,0.0
2019-09-17,1.0,-0.0,-0.17586151108234915,-0.029768645850186053,-1.2324219381977026,-0.7976702798899854,0.0
2019-09-18,1.0,-0.0,-0.19917374043830488,-0.037762644030597425,-1.2151502436820192,-0.7754897847206533,0.0
2019-09-19,1.0,-0.0,-0.20046529662659945,-0.033281633708155615,-1.2186247899702727,-0.7788548533023136,0.0
2019-09-20,1.0,-0.0,-0.2548969808565351,-0.08505031905774788,-1.1164163941712435,-0.7183085177307216,0.0
2019-09-23,1.0,-0.0,-0.25725178713264496,-0.08702144559173948,-1.1095472597299445,-0.7233042096902305,0.0
2019-09-24,1.0,-0.0,-0.25605095541401274,-0.08792993630573248,-1.114235668789809,-0.7264968152866241,0.0
2019-09-25,1.0,-0.0,-0.2416526084603877,-0.08775503708183467,-1.125091510965401,-0.7285227742941719,0.0
2019-09-26,1.0,-0.0,-0.22078257778926622,-0.11683737762124785,-1.1741574848945038,-0.7193124172024945,0.0
2019-09-27,1.0,-0.0,-0.20484007556510975,-0.1107094000390854,-1.2002475408768158,-0.7413523548954465,0.0
2019-09-30,1.0,-0.0,-0.1496816326530612,-0.15751836734693875,-1.1949061224489794,-0.7632653061224489,0.0
2019-10-01,1.0,-0.0,-0.13400882497140057,-0.17238110802418696,-1.1917633600261481,-0.7703546331099853,0.0
2019-10-02,1.0,-0.0,-0.1551809129448881,-0.19813335962404285,-1.18442932728647,-0.748595090209997,0.0
2019-10-03,1.0,-0.0,-0.22287955548292204,-0.18656643242359863,-1.1686223239091356,-0.6904722993953261,0.0
2019-10-04,1.0,-0.0,-0.23304848901548636,-0.19637887568346266,-1.154274301804014,-0.6903709524277248,0.0
2019-10-07,1.0,-0.0,-0.24142661179698216,-0.18567509308250046,-1.1464498007707884,-0.6925338036449148,0.0
2019-10-08,1.0,-0.0,-0.24375265410119884,-0.17603632443733053,-1.1540195341848234,-0.6927775781530722,0.0
2019-10-09,1.0,-0.0,-0.24183812552735767,-0.15320958006101124,-1.1664178620107744,-0.6838125527357695,0.0
2019-10-10,1.0,-0.0,-0.2748821415619952,-0.20149671974417302,-1.1156166551280784,-0.704744008175914,0.0
2019-10-11,1.0,-0.0,-0.26894482413735626,-0.24500750125020837,-1.0815135855975997,-0.738456409401567,0.0
2019-10-14,1.0,-0.0,-0.25032651284283847,-0.26897960550550887,-1.115468336626369,-0.7140417266668899,0.0
2019-10-15,1.0,-0.0,-0.2504266354358374,-0.2627405052702025,-1.1141375271875522,-0.7188221515810608,0.0
2019-10-16,1.0,-0.0,-0.2695894270763451,-0.28317456057963236,-1.1002616396082117,-0.7012947806252516,0.0
2019-10-17,1.0,-0.0,-0.2748063445223165,-0.2779249522148821,-1.1038865229200898,-0.6967573186680528,0.0
2019-10-18,1.0,-0.0,-0.23869532987398073,-0.28532920008086804,-1.1179998652200283,-0.7274748972302716,0.0
2019-10-21,1.0,-0.0,-0.1962459066203032,-0.2885452888153675,-1.1117788055771245,-0.7793794942777085,0.0
2019-10-22,1.0,-0.0,-0.2645950732571245,-0.2495894380937047,-1.0227660602157462,-0.6831428111415231,0.0
2019-10-23,1.0,-0.0,-0.2673371985009129,-0.26298087703001377,-1.001409398122938,-0.67145007847785,0.0
2019-10-24,1.0,-0.0,-0.25539498412286954,-0.31294148143347805,-1.010141922104854,-0.6617523167649536,0.0
2019-10-25,1.0,-0.0,-0.259080608611201,-0.2818711557138232,-1.0269019100032373,-0.6694075752670767,0.0
2019-10-28,1.0,-0.0,-0.2764377877196395,-0.29160993321662454,-1.0225961226739284,-0.6513000064838228,0.0
2019-10-29,1.0,-0.0,-0.2755815473078933,-0.3351084683742812,-1.0037245164662831,-0.6527051751176163,0.0
