Date,IWF,IWM,MTUM,SDY,SPY,TFC,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-04-25,-0.0,-0.0,-0.0,-0.18700159489633172,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9506113769271665,-0.0,-0.0,-0.1514354066985646,-0.0,-0.36911217437533234,-0.0,-0.0
2019-04-26,-0.0,-0.0,-0.0,-0.1841858219563876,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9552074672102567,-0.0,-0.0,-0.17640747793900705,-0.006383606469436473,-0.36000321862511064,-0.0,-0.0
2019-04-29,-0.0,-0.0,-0.0,-0.20836694090444696,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.924261977738345,-0.0,-0.0,-0.18524493197827607,-0.011426574178630963,-0.35933215034683014,-0.0,-0.0
2019-04-30,-0.0,-0.0,-0.0,-0.2260528155757543,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9178723175388587,-0.0,-0.0,-0.1925186898295057,-0.00500188242887108,-0.3477383961706018,-0.0,-0.0
2019-05-01,-0.0,-0.0,-0.0,-0.2361650290487537,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9180744826109073,-0.0,-0.0,-0.18213702444378996,-0.0070145377633798285,-0.33391341597279856,-0.0,-0.0
2019-05-02,-0.0,-0.0,-0.0,-0.19384408602150535,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9414784946236558,-0.0,-0.0,-0.18489247311827955,-0.029059139784946238,-0.33889784946236556,-0.0,-0.0
2019-05-03,-0.0,-0.0,-0.0,-0.19623902149900319,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9408642707042405,-0.0,-0.0,-0.1867018697128078,-0.027533811088959532,-0.3427447599547389,-0.0,-0.0
2019-05-06,-0.0,-0.0,-0.0,-0.2144170452087389,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9424616050183863,-0.0,-0.0,-0.16412502703871945,-0.02809322950465066,-0.3547750378542072,-0.0,-0.0
2019-05-07,-0.0,-0.0,-0.0,-0.21967142356146646,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.935822385281502,-0.0,-0.0,-0.16677007742318378,-0.024117186867733145,-0.35126385928943316,-0.0,-0.0
2019-05-08,-0.0,-0.0,-0.0,-0.23299089485280455,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9464309415730934,-0.0,-0.0,-0.11032359109129039,-0.014414270924583897,-0.3504287117411271,-0.0,-0.0
2019-05-09,-0.0,-0.0,-0.0,-0.23135338944797004,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9669153766495844,-0.0,-0.0,-0.10408645548445342,-0.00047794800987759225,-0.35243355195029336,-0.0,-0.0
2019-05-10,-0.0,-0.0,-0.0,-0.23437790219439067,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9621885530819646,-0.0,-0.0,-0.10653541008835939,-0.0039270836097327995,-0.3464324568153475,-0.0,-0.0
2019-05-13,-0.0,-0.0,-0.0,-0.2333112495031138,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9694448125082813,-0.0,-0.0,-0.10025175566450245,-0.0,-0.34705180866569496,-0.0,-0.0
2019-05-14,-0.0,-0.0,-0.0,-0.22839571625490404,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9716626020570458,-0.0,-0.0,-0.10359452868200614,-0.0,-0.3470999893966705,-0.0,-0.0
2019-05-15,-0.0,-0.0,-0.0,-0.22595387395047298,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9742533744287385,-0.0,-0.0,-0.09435115315123818,-0.0034807099585503244,-0.3590179615261983,-0.0,-0.0
2019-05-16,-0.0,-0.0,-0.0,-0.2405705482362941,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9716850828729282,-0.0,-0.0,-0.08388227794305142,-0.0,-0.36004568635784107,-0.0,-0.0
2019-05-17,-0.0,-0.0,-0.0,-0.23587559270272443,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9807924134051274,-0.0,-0.0,-0.10862868011465616,-0.007259771223445579,-0.3463259128291677,-0.0,-0.0
2019-05-20,-0.0,-0.0,-0.0,-0.2440358648663073,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9779313657469179,-0.0,-0.0,-0.10038960345839781,-0.009206383092277311,-0.3369536211773496,-0.0,-0.0
2019-05-21,-0.0,-0.0,-0.0,-0.2365160739079355,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9922834561572146,-0.0,-0.0,-0.08979493752002563,-0.0,-0.35148990708106376,-0.0,-0.0
2019-05-22,-0.0,-0.0,-0.0,-0.22487218608635137,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0080034262159052,-0.0,-0.0,-0.08346047806418802,-0.0,-0.36039508552156113,-0.0,-0.0
2019-05-23,-0.0,-0.0,-0.0,-0.20279908491454718,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0102812542053559,-0.0,-0.0,-0.10649979814291483,-0.0,-0.3718476651863814,-0.0,-0.0
2019-05-24,-0.0,-0.0,-0.0,-0.21186099557225282,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0240440091238427,-0.0,-0.0,-0.10594391520193211,-0.00048302696900576957,-0.341124379444519,-0.0,-0.0
2019-05-28,-0.0,-0.0,-0.0,-0.20647534161990927,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.026631587425166,-0.0,-0.0,-0.10802974576498697,-0.0003758490160809686,-0.3431233053236329,-0.0,-0.0
2019-05-29,-0.0,-0.0,-0.0,-0.20742381384426534,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.025430965469392,-0.0,-0.0,-0.09652025404280301,-0.003042109195709025,-0.33609969578908044,-0.0,-0.0
2019-05-30,-0.0,-0.0,-0.0,-0.22947989162195184,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.025208521489667,-0.0,-0.0,-0.0616267332518727,-0.0,-0.3400095627689529,-0.0,-0.0
2019-05-31,-0.0,-0.0,-0.0,-0.23138617831840663,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0413581072049192,-0.0,-0.0,-0.06063360513300361,-0.0,-0.3400614891057345,-0.0,-0.0
