Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XEC
2019-12-03,-0.0,-0.8826176269196909,-0.24410642668492616,-1.4009097133913724,-1.3632984446835565,0.0,1.0
2019-12-04,-0.0,-0.8966604275440844,-0.22293370111319083,-1.4189735001477686,-1.387006206285095,0.0,1.0
2019-12-05,-0.0,-0.8828631243146247,-0.2642807297378128,-1.407287409032001,-1.4301166384208952,0.0,1.0
2019-12-06,-0.0,-0.9377490793522676,-0.2929929879432982,-1.432073853604399,-1.3818796347676943,0.0,1.0
2019-12-09,-0.0,-0.8996190672294863,-0.3441264284978895,-1.4868217852362813,-1.417172861113971,0.0,1.0
2019-12-10,-0.0,-0.8890001669170422,-0.5727480109052467,-1.6903688866633284,-1.4118399821955154,0.0,1.0
2019-12-11,-0.0,-0.8787203210344443,-0.5846616876602385,-1.6898339092631816,-1.4203544755322708,0.0,1.0
2019-12-12,-0.0,-0.8874951218152423,-0.5863856832246195,-1.6866811618442323,-1.4144505770195683,0.0,1.0
2019-12-13,-0.0,-0.8844690612062214,-0.6066912834284435,-1.688933646637574,-1.4146245943829026,0.0,1.0
2019-12-16,-0.0,-0.8857238793441156,-0.6097151491409705,-1.6870557949521519,-1.4137892439420228,0.0,1.0
2019-12-17,-0.0,-0.8452469524409087,-0.7178503977565388,-1.7582555943455618,-1.4018199507812052,0.0,1.0
2019-12-18,-0.0,-0.8903380197427461,-0.8233921627280886,-1.8321866586897997,-1.4367334729285075,0.0,1.0
2019-12-19,-0.0,-0.9137765510620425,-0.8333133325333013,-1.81411256450258,-1.43903756150246,0.0,1.0
2019-12-20,-0.0,-0.9366837195305446,-0.8482696358712009,-1.8116761962082457,-1.4220884742702378,0.0,1.0
2019-12-23,-0.0,-0.949777456995068,-0.8401900637555637,-1.8169132683748348,-1.40785516660652,0.0,1.0
2019-12-24,-0.0,-0.9507821901323706,-0.8285800240673887,-1.8300842358604092,-1.4074608904933814,0.0,1.0
2019-12-26,-0.0,-0.9508966181249248,-0.8295823805512096,-1.8277169334456613,-1.4093753760982068,0.0,1.0
2019-12-27,-0.0,-0.9815947242206234,-0.8370503597122302,-1.7865107913669063,-1.3900479616306955,0.0,1.0
2019-12-30,-0.0,-0.9816198626009401,-0.8653127636495118,-1.8055321200433891,-1.3737495480294082,0.0,1.0
2019-12-31,-0.0,-0.9909714698447093,-0.8613217768147345,-1.7993258697484047,-1.367400987119297,0.0,1.0
2020-01-02,-0.0,-0.9974127557160049,-0.8593862815884478,-1.794404332129964,-1.3657039711191337,0.0,1.0
2020-01-03,-0.0,-1.0022987115117052,-0.8809509406569476,-1.7816224063879982,-1.384368761720404,0.0,1.0
2020-01-06,-0.0,-1.0439452525624502,-0.9554409869269012,-1.7695329282513965,-1.3686859387467012,0.0,1.0
2020-01-07,-0.0,-1.0415078096175132,-0.958246218177346,-1.7907391464764484,-1.35881195424917,0.0,1.0
2020-01-08,-0.0,-1.0335467191924166,-0.9638064754401083,-1.7845008001969715,-1.3735073248799705,0.0,1.0
2020-01-09,-0.0,-1.0405021023992085,-0.9742765273311897,-1.780546623794212,-1.388201830324017,0.0,1.0
2020-01-10,-0.0,-1.0405581395348837,-0.9908217054263565,-1.78368992248062,-1.3864806201550386,0.0,1.0
2020-01-13,-0.0,-1.0427880441523008,-1.0000620116581918,-1.778370333622721,-1.3799454297407914,0.0,1.0
2020-01-14,-0.0,-1.0286668346774193,-1.0648941532258065,-1.8235257056451615,-1.3832535282258065,0.0,1.0
2020-01-15,-0.0,-1.0362560584125384,-1.0635739913136526,-1.8201044879461192,-1.3745200478378548,0.0,1.0
2020-01-16,-0.0,-1.0181531673495114,-1.0446265364008822,-1.8359911755436493,-1.4044122281752285,0.0,1.0
2020-01-17,-0.0,-1.0109820752335268,-1.0391315324413029,-1.8613355213329967,-1.4000883615248674,0.0,1.0
2020-01-21,-0.0,-1.0102819655585693,-1.0329906011480476,-1.868605311297546,-1.3960764524064844,0.0,1.0
2020-01-22,-0.0,-1.0131836245505583,-1.0261780104712042,-1.8681006749511135,-1.400492020437772,0.0,1.0
2020-01-23,-0.0,-1.0221573233445496,-1.0337756332931243,-1.9005142530632975,-1.392356040886293,0.0,1.0
2020-01-24,-0.0,-1.0255824287437314,-1.0354218244143973,-1.9014156033771346,-1.3856408303180345,0.0,1.0
2020-01-27,-0.0,-0.9938650306748467,-1.0375055341218138,-1.8926064132565936,-1.4007336664347607,0.0,1.0
2020-01-28,-0.0,-1.0232119267786375,-1.0345977228407877,-1.8732465245014782,-1.359438887840473,0.0,1.0
2020-01-29,-0.0,-1.027621195039459,-1.0270574971815107,-1.8585744707503447,-1.3500563697857948,0.0,1.0
