Date,GSBC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-08-01,1.0,-0.0,-0.7058701836048616,-0.0,-0.33289371605896045,-0.5471942073959142,0.0
2019-08-02,1.0,-0.0,-0.7090258511162393,-0.0,-0.3297897165970908,-0.5540747270982964,0.0
2019-08-05,1.0,-0.0,-0.7073151771138348,-0.0,-0.3279002876318313,-0.5560622943173279,0.0
2019-08-06,1.0,-0.0,-0.7056435032894737,-0.0,-0.3114720394736842,-0.5527600740131579,0.0
2019-08-07,1.0,-0.0,-0.7031245994924769,-0.0,-0.30492399969241024,-0.5551995488683259,0.0
2019-08-08,1.0,-0.0,-0.7083087952886954,-0.0,-0.3026757137370375,-0.5495327102803739,0.0
2019-08-09,1.0,-0.0,-0.7040326697294538,-0.0,-0.29275140377743747,-0.5555385400714651,0.0
2019-08-12,1.0,-0.0,-0.7019566825684329,-0.0,-0.3110283425597592,-0.5381004617464731,0.0
2019-08-13,1.0,-0.0,-0.690422650380743,-0.0,-0.31379363213573874,-0.551132007972607,0.0
2019-08-14,1.0,-0.0,-0.6936367574730512,-0.0,-0.3033307000331286,-0.5513620957671823,0.0
2019-08-15,1.0,-0.0,-0.7030453007423868,-0.0,-0.2988232917529418,-0.523256401191859,0.0
2019-08-16,1.0,-0.0,-0.7017933821672139,-0.0,-0.29921697398332914,-0.5248547613033595,0.0
2019-08-19,1.0,-0.0,-0.6969872683726207,-0.0,-0.30081936215807387,-0.5233077020042859,0.0
2019-08-20,1.0,-0.0,-0.7022818184105261,-0.0,-0.2987244962137412,-0.5148054039095323,0.0
2019-08-21,1.0,-0.0,-0.7013068768413365,-0.0,-0.30027950545161536,-0.5164555687054617,0.0
2019-08-22,1.0,-0.0,-0.701734045770743,-0.0,-0.2936283899586652,-0.5250529287226535,0.0
2019-08-23,1.0,-0.0,-0.7017645576002017,-0.0,-0.2943534156793547,-0.5246785984371061,0.0
2019-08-26,1.0,-0.0,-0.6958903424297757,-0.0,-0.2892518572250432,-0.5161459766377349,0.0
2019-08-27,1.0,-0.0,-0.6961319055244195,-0.0,-0.29008206565252204,-0.5157876301040832,0.0
2019-08-28,1.0,-0.0,-0.6966688340919321,-0.0,-0.2843995398389436,-0.5198069324263492,0.0
2019-08-29,1.0,-0.0,-0.6797017233209467,-0.0,-0.2857570391799885,-0.5285183430181809,0.0
2019-08-30,1.0,-0.0,-0.6820656903453592,-0.0,-0.27954449389591984,-0.5247768467639673,0.0
2019-09-03,1.0,-0.0,-0.692405189124708,-0.0,-0.279636164819325,-0.5131964809384164,0.0
2019-09-04,1.0,-0.0,-0.7015497126937141,-0.0,-0.27690853461356685,-0.509042063630258,0.0
2019-09-05,1.0,-0.0,-0.7116931479642502,-0.0,-0.2785253227408143,-0.49240317775571,0.0
2019-09-06,1.0,-0.0,-0.709474308007605,-0.0,-0.27736487320674585,-0.48235758907627346,0.0
2019-09-09,1.0,-0.0,-0.7099664330141179,-0.0,-0.27774212656728203,-0.48045216704511795,0.0
2019-09-10,1.0,-0.0,-0.7151121285971002,-0.0,-0.25657878541712825,-0.4899687369224331,0.0
2019-09-11,1.0,-0.0,-0.7153897270556964,-0.0,-0.26036769953976024,-0.4853929265831508,0.0
2019-09-12,1.0,-0.0,-0.7024363939408794,-0.0,-0.2603068777881269,-0.48835727241531446,0.0
2019-09-13,1.0,-0.0,-0.7042877782403212,-0.0,-0.254034331611039,-0.4904375933589637,0.0
2019-09-16,1.0,-0.0,-0.7048127818074887,-0.0,-0.253553224857871,-0.4921093903156244,0.0
2019-09-17,1.0,-0.0,-0.6774256842931423,-0.0,-0.2653536740900618,-0.5098842342784263,0.0
2019-09-18,1.0,-0.0,-0.6809919788063875,-0.0,-0.26082370544803396,-0.511124193587951,0.0
2019-09-19,1.0,-0.0,-0.6718447078455912,-0.0,-0.27782276865689953,-0.5044050160740141,0.0
2019-09-20,1.0,-0.0,-0.6773400830609687,-0.0,-0.27872115597277175,-0.5013638709360332,0.0
2019-09-23,1.0,-0.0,-0.6848534001818675,-0.0,-0.26633733933004006,-0.5064759517314262,0.0
2019-09-24,1.0,-0.0,-0.6851651326475365,-0.0,-0.2691096126396614,-0.5066939016587094,0.0
2019-09-25,1.0,-0.0,-0.6873107692307693,-0.0,-0.26404923076923076,-0.510203076923077,0.0
2019-09-26,1.0,-0.0,-0.6924700740078479,-0.0,-0.2893756519147668,-0.501639099985099,0.0
2019-09-27,1.0,-0.0,-0.6926581522145044,-0.0,-0.29320088629969876,-0.503746856872557,0.0
2019-09-30,1.0,-0.0,-0.6431274900398406,-0.0,-0.3231822709163346,-0.5237300796812748,0.0
2019-10-01,1.0,-0.0,-0.6332204065364686,-0.0,-0.32948884017536867,-0.5282981267437226,0.0
2019-10-02,1.0,-0.0,-0.664925522343297,-0.0,-0.33432470258922325,-0.5,0.0
2019-10-03,1.0,-0.0,-0.6976310621690821,-0.0,-0.3175818439434239,-0.4705560665191777,0.0
2019-10-04,1.0,-0.0,-0.7165495144184199,-0.0,-0.30563075929559624,-0.461612975335933,0.0
2019-10-07,1.0,-0.0,-0.7457773607269854,-0.0,-0.27817562228368237,-0.4454267088107468,0.0
2019-10-08,1.0,-0.0,-0.7482674427207932,-0.0,-0.27365773053493475,-0.44437319653735174,0.0
2019-10-09,1.0,-0.0,-0.7645630472639866,-0.0,-0.2611169703956243,-0.4270437320644575,0.0
2019-10-10,1.0,-0.0,-0.7747721040539539,-0.0,-0.26183947231898025,-0.43378047876676795,0.0
2019-10-11,1.0,-0.0,-0.7733323472859044,-0.0,-0.259626288024454,-0.4321599368929645,0.0
2019-10-14,1.0,-0.0,-0.7638419194786601,-0.0,-0.28056577225938634,-0.42405766335069484,0.0
2019-10-15,1.0,-0.0,-0.7682475447860633,-0.0,-0.2898139466021813,-0.40946552830281796,0.0
2019-10-16,1.0,-0.0,-0.7815063754077296,-0.0,-0.2871404566571118,-0.4024167243253929,0.0
2019-10-17,1.0,-0.0,-0.7822002472187886,-0.0,-0.28934487021013594,-0.40064276885043265,0.0
2019-10-18,1.0,-0.0,-0.8540460282108389,-0.0,-0.24580549368968077,-0.37478346943825785,0.0
2019-10-21,1.0,-0.0,-0.8222288394252958,-0.0,-0.24303332588897986,-0.41616417280825824,0.0
2019-10-22,1.0,-0.0,-0.8035178991700731,-0.0,-0.24280936454849497,-0.43109129196085716,0.0
2019-10-23,1.0,-0.0,-0.8047486864280757,-0.0,-0.25314761574303557,-0.4205412907702984,0.0
2019-10-24,1.0,-0.0,-0.8005330410740529,-0.0,-0.2721996662266172,-0.4181134331332354,0.0
2019-10-25,1.0,-0.0,-0.8008078390305933,-0.0,-0.26823247812102624,-0.4242900241853043,0.0
2019-10-28,1.0,-0.0,-0.8099503480625765,-0.0,-0.2742333890566132,-0.4108635444996133,0.0
2019-10-29,1.0,-0.0,-0.8073615324825113,-0.0,-0.28856906451370257,-0.4114033548128275,0.0
2019-10-30,1.0,-0.0,-0.8080491474423269,-0.0,-0.2881143430290873,-0.41133400200601805,0.0
2019-10-31,1.0,-0.0,-0.8014318010550113,-0.0,-0.29349409696056267,-0.41698065812609897,0.0
2019-11-01,1.0,-0.0,-0.80090395480226,-0.0,-0.2918769617074702,-0.4182046453232894,0.0
2019-11-04,1.0,-0.0,-0.7892780916509731,-0.0,-0.31876961707470186,-0.40293785310734465,0.0
2019-11-05,1.0,-0.0,-0.7992888485398699,-0.0,-0.33207242648913093,-0.3904524133756998,0.0
2019-11-06,1.0,-0.0,-0.7906357061286639,-0.0,-0.33158228651186394,-0.4155310239817282,0.0
2019-11-07,1.0,-0.0,-0.8085063239804324,-0.0,-0.31797328466783265,-0.4081818873089499,0.0
2019-11-08,1.0,-0.0,-0.8090422970678426,-0.0,-0.3181023340682734,-0.40715679566131935,0.0
2019-11-11,1.0,-0.0,-0.802563646074417,-0.0,-0.32877234924591164,-0.4119636816806125,0.0
2019-11-12,1.0,-0.0,-0.8098759784487141,-0.0,-0.3233709464267561,-0.4081528921419132,0.0
2019-11-13,1.0,-0.0,-0.8151178847235717,-0.0,-0.3383112565846673,-0.4037232138290799,0.0
2019-11-14,1.0,-0.0,-0.8162242340545242,-0.0,-0.3351490972328781,-0.40604061173341516,0.0
2019-11-15,1.0,-0.0,-0.8154192459200901,-0.0,-0.3354478948176191,-0.40704455926740674,0.0
2019-11-18,1.0,-0.0,-0.8148992875813643,-0.0,-0.3461893290964071,-0.40156834606119624,0.0
2019-11-19,1.0,-0.0,-0.8249608944277765,-0.0,-0.3409493037925994,-0.39836397671615764,0.0
2019-11-20,1.0,-0.0,-0.8298456172744524,-0.0,-0.34207826845155664,-0.39259886136328664,0.0
2019-11-21,1.0,-0.0,-0.8074718578952803,-0.0,-0.3511566663224207,-0.42324176391614166,0.0
2019-11-22,1.0,-0.0,-0.8044829631922412,-0.0,-0.3574763341845289,-0.41742113544326653,0.0
2019-11-25,1.0,-0.0,-0.8045653856074284,-0.0,-0.3585504255867939,-0.4161722981686871,0.0
2019-11-26,1.0,-0.0,-0.7902864066407157,-0.0,-0.3655744889278441,-0.4220566626279292,0.0
2019-11-27,1.0,-0.0,-0.7718395388930346,-0.0,-0.37274528471811236,-0.4285824563209223,0.0
2019-11-29,1.0,-0.0,-0.7690503196535368,-0.0,-0.3814446277583007,-0.4273561559084348,0.0
2019-12-02,1.0,-0.0,-0.7767660258904715,-0.0,-0.3975925493553325,-0.41987703323215814,0.0
2019-12-03,1.0,-0.0,-0.7762331376789208,-0.0,-0.37825661620842344,-0.4199104108742663,0.0
2019-12-04,1.0,-0.0,-0.7713674669653996,-0.0,-0.36346971510044046,-0.411182116760445,0.0
2019-12-05,1.0,-0.0,-0.7576848447712419,-0.0,-0.3542687908496732,-0.44112540849673204,0.0
2019-12-06,1.0,-0.0,-0.7892518440463645,-0.0,-0.37410367781233134,-0.40674394099051636,0.0
2019-12-09,1.0,-0.0,-0.7848849157418823,-0.0,-0.3763357994245787,-0.407598643649815,0.0
2019-12-10,1.0,-0.0,-0.7919418228484346,-0.0475897655268294,-0.44426917626928325,-0.3897548325000669,0.0
2019-12-11,1.0,-0.0,-0.7778664750804928,-0.05231366914132142,-0.4329049253612198,-0.3978606210585136,0.0
2019-12-12,1.0,-0.0,-0.7631377517354238,-0.039512233747723495,-0.43302452028400246,-0.40372687201414736,0.0
